"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"160027 Laranjal do Jari";-;-;-;-;-;-;-;-;-;1;-;-;1
"160030 Macapá";203;187;278;124;88;39;20;35;27;18;11;15;1045
"160040 Mazagão";-;-;1;-;-;1;-;-;-;-;-;-;2
"160050 Oiapoque";169;132;61;31;16;31;18;5;2;4;2;17;488
"160015 Pedra Branca do Amapari";-;-;1;-;-;-;-;-;-;-;-;-;1
"160053 Porto Grande";3;3;11;1;1;-;1;-;-;-;-;-;20
"160055 Pracuúba";-;-;-;1;-;-;-;-;-;-;-;-;1
"160060 Santana";21;28;23;10;4;3;7;3;7;5;3;1;115
"160005 Serra do Navio";-;-;1;3;10;20;9;-;-;-;-;-;43
"160070 Tartarugalzinho";-;1;-;-;-;-;-;-;-;-;-;-;1
"Total";396;351;376;170;119;94;55;43;36;28;16;33;1717
