"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"140005 Alto Alegre";-;3;2;2;-;2;7;5;6;-;1;-;28
"140002 Amajari";6;-;8;5;7;1;1;1;1;-;-;1;31
"140010 Boa Vista";131;83;115;73;58;73;98;82;52;53;43;19;880
"140015 Bonfim";3;5;8;2;2;3;6;1;1;3;1;-;35
"140017 Cantá";5;3;9;9;-;2;3;9;-;1;1;-;42
"140020 Caracaraí";7;6;-;3;18;21;3;2;-;2;-;-;62
"140023 Caroebe";1;3;1;4;3;5;1;1;-;-;-;-;19
"140028 Iracema";1;-;-;2;2;4;9;4;1;2;1;-;26
"140030 Mucajaí";-;4;1;8;5;7;6;6;3;1;1;-;42
"140040 Normandia";-;2;9;2;-;1;2;-;1;-;-;-;17
"140045 Pacaraima";1;10;6;2;1;5;4;7;1;5;2;5;49
"140047 Rorainópolis";1;1;7;2;3;7;3;3;3;8;-;-;38
"140050 São João da Baliza";-;2;2;-;2;2;1;1;-;-;-;1;11
"140060 São Luiz";-;6;4;3;-;-;-;-;-;1;-;-;14
"140070 Uiramutã";-;-;-;-;-;-;-;-;-;-;1;-;1
"Total";156;128;172;117;101;133;144;122;69;76;51;26;1295
