"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"140005 Alto Alegre";2;3;1;-;-;3;1;4;6;2;3;-;25
"140002 Amajari";1;1;1;1;-;2;1;1;1;2;2;-;13
"140010 Boa Vista";581;526;448;185;103;44;68;105;87;59;57;97;2360
"140015 Bonfim";10;13;11;9;3;9;1;-;5;2;9;1;73
"140017 Cantá";14;11;12;35;31;6;2;2;2;1;2;2;120
"140020 Caracaraí";5;27;18;2;2;-;-;2;1;-;2;3;62
"140023 Caroebe";17;22;23;9;-;4;27;13;4;2;3;8;132
"140028 Iracema";7;10;2;2;-;3;1;5;6;-;1;-;37
"140030 Mucajaí";9;21;25;6;18;2;3;2;6;5;6;8;111
"140040 Normandia";1;-;-;1;-;-;-;-;-;-;-;-;2
"140045 Pacaraima";4;5;3;2;2;1;-;-;-;-;6;9;32
"140047 Rorainópolis";19;53;21;9;14;9;14;19;8;5;6;2;179
"140050 São João da Baliza";-;3;-;-;3;13;33;13;1;-;-;-;66
"140060 São Luiz";1;2;1;-;-;-;-;-;1;-;-;-;5
"140070 Uiramutã";-;1;2;1;1;-;-;-;-;-;-;-;5
"Total";671;698;568;262;177;96;151;166;128;78;97;130;3222
