"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"140005 Alto Alegre";3;4;4;1;4;10;10;1;5;1;2;6;51
"140002 Amajari";-;1;-;1;14;10;5;2;5;-;3;3;44
"140010 Boa Vista";41;58;138;240;778;1549;724;573;269;69;57;77;4573
"140015 Bonfim";3;5;1;17;29;53;17;18;9;15;7;4;178
"140017 Cantá";1;-;1;9;26;31;30;31;9;5;3;3;149
"140020 Caracaraí";26;170;141;123;65;37;6;9;4;3;6;7;597
"140023 Caroebe";34;81;111;24;13;4;4;1;-;1;-;13;286
"140028 Iracema";2;1;4;11;70;68;20;3;5;2;1;4;191
"140030 Mucajaí";-;4;3;8;21;19;19;6;3;-;4;4;91
"140040 Normandia";-;-;-;-;1;1;1;5;3;1;-;-;12
"140045 Pacaraima";3;3;10;43;28;12;6;12;-;-;-;2;119
"140047 Rorainópolis";23;50;179;269;149;77;25;2;1;1;-;4;780
"140050 São João da Baliza";2;30;27;10;16;3;-;1;-;-;-;-;89
"140060 São Luiz";-;1;4;143;51;1;3;-;-;-;1;-;204
"140070 Uiramutã";-;-;1;1;-;1;-;1;1;-;1;-;6
"Total";138;408;624;900;1265;1876;870;665;314;98;85;127;7370
