"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"140005 Alto Alegre";-;1;1;1;2;2;3;2;3;1;4;-;20
"140002 Amajari";-;-;1;-;-;-;-;-;-;-;4;7;12
"140010 Boa Vista";19;25;10;17;23;22;18;18;40;40;42;47;321
"140015 Bonfim";1;-;7;7;21;33;17;4;8;5;-;-;103
"140017 Cantá";-;-;-;-;-;1;-;1;-;-;-;-;2
"140020 Caracaraí";33;5;2;1;-;3;8;-;1;-;3;8;64
"140023 Caroebe";1;-;-;-;1;2;-;-;1;-;-;-;5
"140028 Iracema";-;-;1;-;10;12;27;26;29;6;1;-;112
"140030 Mucajaí";1;-;2;1;2;3;6;12;3;3;-;1;34
"140040 Normandia";-;-;-;-;-;1;-;-;1;1;-;-;3
"140045 Pacaraima";-;1;3;4;-;-;-;-;6;1;-;-;15
"140047 Rorainópolis";29;18;37;39;44;43;52;66;42;30;11;31;442
"140050 São João da Baliza";-;-;2;-;1;-;-;2;-;-;-;-;5
"Total";84;50;66;70;104;122;131;131;134;87;65;94;1138
