"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"140005 Alto Alegre";2;-;1;1;5;18;14;5;-;-;2;1;49
"140002 Amajari";-;-;-;1;11;6;5;3;4;10;7;-;47
"140010 Boa Vista";115;21;25;24;36;75;99;133;51;29;9;26;643
"140015 Bonfim";4;4;-;8;14;3;1;2;8;1;12;3;60
"140017 Cantá";4;4;2;1;3;8;16;17;4;-;2;-;61
"140020 Caracaraí";4;31;51;25;36;17;5;4;5;5;6;2;191
"140023 Caroebe";-;-;27;15;18;1;-;1;-;2;2;1;67
"140028 Iracema";1;-;20;11;53;19;4;3;2;-;1;-;114
"140030 Mucajaí";-;2;3;6;7;8;2;2;-;-;2;-;32
"140040 Normandia";1;-;-;-;1;2;1;2;1;1;-;1;10
"140045 Pacaraima";2;11;16;21;37;4;2;2;1;2;-;1;99
"140047 Rorainópolis";2;1;8;10;9;31;10;8;5;5;19;15;123
"140050 São João da Baliza";11;6;25;16;11;3;-;1;-;3;4;1;81
"140060 São Luiz";-;20;83;34;19;2;1;1;-;-;-;-;160
"140070 Uiramutã";-;-;-;-;2;-;3;70;31;4;-;-;110
"Total";146;100;261;173;262;197;163;254;112;62;66;51;1847
