Estado,AreaKm2,Desmatado2008,Incremento20072008,Floresta2008,NaoFloresta2008,Hidrografia2008,Desmatado2009,Incremento20082009,Floresta2009,NaoFloresta2009,Hidrografia2009,Desmatado2010,Incremento20092010,Floresta2010,NaoFloresta2010,Hidrografia2010,Desmatado2011,Incremento20102011,Floresta2011,NaoFloresta2011,Hidrografia2011,Desmatado2012,Incremento20112012,Floresta2012,NaoFloresta2012,Hidrografia2012,Desmatado2013,Incremento20122013,Floresta2013,NaoFloresta2013,Hidrografia2013,Desmatado2014,Incremento20132014,Floresta2014,NaoFloresta2014,Hidrografia2014,Desmatado2015,Incremento20142015,Floresta2015,NaoFloresta2015,Hidrografia2015,Desmatado2016,Incremento20152016,Floresta2016,NaoFloresta2016,Hidrografia2016,Desmatado2017,Incremento20162017,Floresta2017,NaoFloresta2017,Hidrografia2017,Desmatado2018,Incremento20172018,Floresta2018,NaoFloresta2018,Hidrografia2018,Desmatado2019,Incremento20182019,Floresta2019,NaoFloresta2019,Hidrografia2019,PercDesmatado2008,PercDesmatado2009,PercDesmatado2010,PercDesmatado2011,PercDesmatado2012,PercDesmatado2013,PercDesmatado2014,PercDesmatado2015,PercDesmatado2016,PercDesmatado2017,PercDesmatado2018,PercDesmatado2019,CodIbge,Internacoes2008,Internacoes2009,Internacoes2010,Internacoes2011,Internacoes2012,Internacoes2013,Internacoes2014,Internacoes2015,Internacoes2016,Internacoes2017,Internacoes2018,Internacoes2019
AC,170884,20340.399999999998,299.2,146878.30000000002,74.4,117.6,20508.499999999996,168.29999999999998,132696.8,74.4,117.6,20784.400000000005,276.2,147864.50000000003,74.4,117.6,21092.999999999996,308.69999999999993,146757.80000000002,74.4,117.6,21374.000000000004,280.90000000000003,148047.09999999998,74.4,117.6,21581.999999999996,208.20000000000002,142143.8,74.4,117.6,21938.999999999996,357.3,146756.90000000002,74.4,117.6,22169.2,230.2,145548.2,74.4,117.6,22548.699999999997,379.49999999999994,144377.49999999997,74.4,117.6,22812.100000000002,263.8,146435.19999999998,74.4,117.6,23294.699999999997,482.59999999999997,113395.49999999999,74.4,117.6,24033.1,737.9,146563.9,74.4,117.6,5.204492486796752,5.2411479689922915,5.288637075698995,5.349508601705822,5.401465569651687,5.441203944074819,5.507541654418304,5.556181260990933,5.632157346327995,5.68070380168856,5.763434647827595,5.891296372566219,2640762,150.0,652.0,754.0,455.0,225.0,248.0,670.0,351.0,109.0,79.0,207.0,277.0
AM,1492410,31428.099999999984,603.1000000000001,1274007.4000000001,46233.69999999998,47160.400000000016,31763.0,335.3,1298932.6,46233.69999999998,47160.400000000016,32281.299999999985,518.2,1168231.7,46233.69999999998,47160.400000000016,32782.299999999996,501.1000000000002,1249310.7999999996,46233.69999999998,47160.400000000016,33252.899999999994,471.1000000000001,1253493.5999999999,46233.69999999998,47160.400000000016,33733.7,481.1,1064435.5,46233.69999999998,47160.400000000016,34273.69999999999,540.5,1185147.5,46233.69999999998,47160.400000000016,34957.8,683.9000000000001,1281195.7000000002,46233.69999999998,47160.400000000016,35963.99999999999,1006.4000000000002,1130829.3000000003,46233.69999999998,47160.400000000016,36988.49999999998,1024.6,1257686.6,46233.69999999998,47160.400000000016,38062.49999999999,1074.1000000000001,1168643.7,46233.69999999998,47160.400000000016,39639.5,1577.1000000000006,1289308.1000000003,46233.69999999998,47160.400000000016,2.6897394787817666,2.7117173294324695,2.7516430696846017,2.783005514726082,2.8038698700568,2.82313697679294,2.8501333289302253,2.8797806229248355,2.9128726158453175,2.9490684418434716,2.983867885123833,3.039844112721861,6900676,881.0,220.0,701.0,1853.0,230.0,486.0,201.0,319.0,261.0,112.0,59.0,142.0
AP,135836,2543.0,91.9,74302.99999999999,22983.399999999998,3413.7000000000003,2587.1000000000004,43.80000000000001,83322.70000000001,22983.399999999998,3413.7000000000003,2649.4,62.50000000000001,67673.3,22983.399999999998,3413.7000000000003,2664.9,15.399999999999997,62762.100000000006,22983.399999999998,3413.7000000000003,2683.7000000000003,18.900000000000002,70888.29999999999,22983.399999999998,3413.7000000000003,2704.9999999999995,21.400000000000002,50308.7,22983.399999999998,3413.7000000000003,2730.9,26.2,69037.90000000001,22983.399999999998,3413.7000000000003,2748.6,17.799999999999997,63504.39999999999,22983.399999999998,3413.7000000000003,2759.4,11.000000000000002,41606.399999999994,22983.399999999998,3413.7000000000003,2777.9999999999995,18.4,49191.9,22983.399999999998,3413.7000000000003,2802.6000000000004,24.599999999999994,65076.59999999999,22983.399999999998,3413.7000000000003,2839.3,37.0,91533.9,22983.399999999998,3413.7000000000003,0.4630607782905335,0.4681453147302136,0.47859630346041104,0.480980430602303,0.48339526081739503,0.48596803651597514,0.4892440192573675,0.4916400301007398,0.49344418349030095,0.4960303092303968,0.5003078967344682,0.5047949861032508,2240508,166.0,133.0,205.0,229.0,147.0,87.0,112.0,191.0,0.0,0.0,36.0,0.0
MA,263942,102533.90000000001,1258.2000000000005,27844.999999999996,112558.60000000006,4078.8999999999996,103495.49999999997,962.4000000000005,37352.4,112558.60000000006,4078.8999999999996,104072.59999999998,577.9,31692.80000000001,112558.60000000006,4078.8999999999996,104408.40000000007,336.49999999999994,34315.200000000004,112558.60000000006,4078.8999999999996,104716.30000000003,309.00000000000017,29733.3,112558.60000000006,4078.8999999999996,104998.50000000001,283.39999999999986,24467.19999999999,112558.60000000006,4078.8999999999996,105277.09999999999,278.5999999999999,29392.199999999993,112558.60000000006,4078.8999999999996,105490.00000000004,213.39999999999995,37110.50000000003,112558.60000000006,4078.8999999999996,105735.10000000003,244.79999999999995,33871.2,112558.60000000006,4078.8999999999996,106019.50000000003,284.2999999999999,37462.70000000001,112558.60000000006,4078.8999999999996,106210.40000000002,191.09999999999994,21258.69999999999,112558.60000000006,4078.8999999999996,106494.00000000007,283.80000000000007,39372.39999999998,112558.60000000006,4078.8999999999996,92.93852988880164,93.5918966371457,93.95014600491871,94.17329037321537,94.39225588847019,94.58590691192298,94.79304994954383,94.9427487013471,95.10464000514024,95.32550766301487,95.469142794029,95.66842854619155,35599201,2094.0,1464.0,2537.0,4269.0,3136.0,2326.0,1888.0,2848.0,3649.0,1579.0,392.0,1642.0
MT,904265,204731.39999999997,3449.5,314643.5,377464.7999999999,4315.599999999999,205560.3000000001,829.2000000000004,313549.70000000007,377464.7999999999,4315.599999999999,206339.20000000007,780.1999999999998,310559.4000000001,377464.7999999999,4315.599999999999,207407.10000000003,1067.8000000000002,313975.79999999993,377464.7999999999,4315.599999999999,208201.4000000001,794.8,313327.0999999999,377464.7999999999,4315.599999999999,209306.10000000006,1106.3000000000006,311862.8999999999,377464.7999999999,4315.599999999999,210410.20000000004,1104.2,310590.0000000001,377464.7999999999,4315.599999999999,211902.60000000006,1491.9000000000003,310565.5000000001,377464.7999999999,4315.599999999999,213286.00000000003,1383.8000000000006,308762.2999999998,377464.7999999999,4315.599999999999,214900.3,1614.2000000000007,307184.4,377464.7999999999,4315.599999999999,216390.69999999998,1491.0,299068.2,377464.7999999999,4315.599999999999,218295.20000000004,1905.0,304178.39999999985,377464.7999999999,4315.599999999999,43.4108173618894,43.54561934325724,43.6656719973219,43.82327510865451,43.93565681349805,44.08942495059827,44.23032141123032,44.42006333914875,44.57668872524722,44.80747680762295,44.997540510942166,45.23371338847085,70962756,745.0,4619.0,3804.0,988.0,2766.0,1769.0,521.0,902.0,681.0,363.0,387.0,735.0
PA,1245956,238891.7000000001,5655.000000000002,825713.1999999997,73465.00000000001,43907.1,242456.80000000016,3566.4999999999973,810363.6000000001,73465.00000000001,43907.1,245778.89999999997,3321.9,770385.7000000001,73465.00000000001,43907.1,248192.29999999993,2414.000000000001,791860.9,73465.00000000001,43907.1,249903.1,1711.6999999999998,783341.8000000002,73465.00000000001,43907.1,251987.3,2085.2000000000003,687512.5,73465.00000000001,43907.1,253767.19999999998,1782.7000000000005,750617.1000000001,73465.00000000001,43907.1,256070.9,2303.299999999999,794021.7000000002,73465.00000000001,43907.1,258803.4999999999,2732.7999999999993,715362.8000000002,73465.00000000001,43907.1,261403.40000000002,2599.8,761838.4999999997,73465.00000000001,43907.1,264100.39999999997,2697.0999999999985,683907.9999999999,73465.00000000001,43907.1,268567.2,4466.199999999999,838232.8999999994,73465.00000000001,43907.1,63.19733119141018,63.60469177040042,64.05449757932023,64.33645111658339,64.49457908760583,64.69694317659788,64.8538298192526,65.09610332866085,65.32496105535448,65.60744495483696,65.83858641307428,66.18837297045408,21062588,7269.0,4487.0,7393.0,7785.0,5526.0,3902.0,1872.0,2294.0,3029.0,2170.0,827.0,1080.0
RO,238601,82893.80000000003,1105.3999999999999,127532.69999999997,24614.699999999997,1807.1000000000001,83325.10000000003,431.29999999999995,126534.79999999999,24614.699999999997,1807.1000000000001,83765.99999999999,441.0000000000001,127303.00000000001,24614.699999999997,1807.1000000000001,84545.00000000001,779.2,127228.59999999999,24614.699999999997,1807.1000000000001,85249.40000000004,704.6999999999999,126672.4,24614.699999999997,1807.1000000000001,86228.8,979.5,125193.4,24614.699999999997,1807.1000000000001,86999.39999999998,770.8000000000003,124012.79999999997,24614.699999999997,1807.1000000000001,87970.39999999998,971.2,122604.19999999998,24614.699999999997,1807.1000000000001,89170.2,1199.5999999999997,122865.60000000003,24614.699999999997,1807.1000000000001,90477.00000000001,1307.3999999999999,121702.19999999998,24614.699999999997,1807.1000000000001,91726.99999999997,1249.5999999999995,120058.40000000001,24614.699999999997,1807.1000000000001,93156.89999999998,1429.8000000000002,119022.30000000002,24614.699999999997,1807.1000000000001,27.871186767076523,27.95637637914254,28.0265170559154,28.13939098286049,28.25857727333225,28.40903731658324,28.534364185877816,28.691503383135796,28.90946530086422,29.145263669662626,29.353224709950343,29.615068274094888,5613496,1076.0,4130.0,4423.0,2078.0,1505.0,2832.0,1362.0,1252.0,1469.0,587.0,338.0,429.0
RR,226216,9181.400000000001,674.2999999999998,128697.5,61222.00000000001,1723.1999999999998,9294.099999999999,112.59999999999998,123315.00000000001,61222.00000000001,1723.1999999999998,9533.4,239.29999999999998,90103.4,61222.00000000001,1723.1999999999998,9663.9,130.5,121690.49999999999,61222.00000000001,1723.1999999999998,9772.199999999999,108.29999999999998,115920.0,61222.00000000001,1723.1999999999998,9921.300000000001,149.1,96082.0,61222.00000000001,1723.1999999999998,10111.999999999998,190.9,113286.6,61222.00000000001,1723.1999999999998,10267.599999999999,155.59999999999997,123072.6,61222.00000000001,1723.1999999999998,10497.700000000003,230.19999999999996,109436.00000000001,61222.00000000001,1723.1999999999998,10624.699999999999,126.99999999999999,78893.4,61222.00000000001,1723.1999999999998,10756.300000000001,131.79999999999998,41480.5,61222.00000000001,1723.1999999999998,11311.099999999997,554.8000000000002,143764.0,61222.00000000001,1723.1999999999998,1.0509723749432192,1.0634126412497935,1.0864734226764785,1.0981066923637308,1.1078144598717792,1.12240326868305,1.1378212186474386,1.1515155961015562,1.1708124809274827,1.180928581568701,1.1910814773133491,1.2344944113370875,2100462,951.0,754.0,1188.0,234.0,293.0,68.0,0.0,122.0,41.0,0.0,0.0,123.0
TO,271812,28270.199999999986,103.10000000000001,9192.600000000004,231751.7999999999,1483.5999999999997,28328.099999999995,58.40000000000002,9535.8,231751.7999999999,1483.5999999999997,28382.3,54.400000000000006,9709.999999999998,231751.7999999999,1483.5999999999997,28416.49999999999,34.50000000000001,9673.1,231751.7999999999,1483.5999999999997,28463.59999999999,47.40000000000001,9529.800000000003,231751.7999999999,1483.5999999999997,28540.40000000001,77.2,9483.7,231751.7999999999,1483.5999999999997,28585.400000000012,45.100000000000016,9512.800000000001,231751.7999999999,1483.5999999999997,28639.90000000001,54.70000000000001,9883.300000000005,231751.7999999999,1483.5999999999997,28691.499999999993,52.00000000000002,9440.699999999999,231751.7999999999,1483.5999999999997,28725.2,34.00000000000001,9871.600000000002,231751.7999999999,1483.5999999999997,28748.1,23.099999999999998,9803.1,231751.7999999999,1483.5999999999997,28778.899999999998,30.9,9817.900000000003,231751.7999999999,1483.5999999999997,29.14443573984422,29.204609215638317,29.245958631976002,29.281248914132817,29.311010760480976,29.349700010354663,29.387170147436766,29.42731156301178,29.461943699962486,29.48274889647129,29.505978407596732,29.547436446216604,22762066,1195.0,946.0,1224.0,1037.0,1053.0,1073.0,726.0,483.0,393.0,299.0,164.0,569.0
