,Municipio,CodIbge,Estado,Ano,Notificações de 1o Sintoma
149,Carutapera,0,MA,2008,
150,Caxias,210300,MA,2008,89.0
151,Cedral,210310,MA,2008,5.0
152,Central do Maranhão,210312,MA,2008,1.0
153,Centro Novo do Maranhão,0,MA,2008,
154,Centro do Guilherme,210315,MA,2008,2.0
155,Chapadinha,210320,MA,2008,21.0
156,Cidelândia,210325,MA,2008,65.0
157,Codó,210330,MA,2008,7.0
158,Coelho Neto,210340,MA,2008,14.0
159,Colinas,210350,MA,2008,9.0
160,Conceição do Lago-Açu,0,MA,2008,
161,Coroatá,210360,MA,2008,20.0
162,Cururupu,210370,MA,2008,5.0
163,Cândido Mendes,210260,MA,2008,2.0
164,Davinópolis,210375,MA,2008,10.0
165,Dom Pedro,210380,MA,2008,10.0
166,Duque Bacelar,210390,MA,2008,6.0
167,Esperantinópolis,210400,MA,2008,4.0
168,Estreito,210405,MA,2008,161.0
169,Feira Nova do Maranhão,210407,MA,2008,20.0
170,Fernando Falcão,210408,MA,2008,1.0
171,Formosa da Serra Negra,210409,MA,2008,55.0
172,Fortaleza dos Nogueiras,210410,MA,2008,11.0
173,Fortuna,0,MA,2008,
174,Godofredo Viana,0,MA,2008,
175,Gonçalves Dias,210440,MA,2008,17.0
176,Governador Archer,210450,MA,2008,15.0
177,Governador Edison Lobão,210455,MA,2008,11.0
178,Governador Eugênio Barros,210460,MA,2008,10.0
179,Governador Luiz Rocha,210462,MA,2008,5.0
180,Governador Newton Bello,210465,MA,2008,1.0
181,Governador Nunes Freire,210467,MA,2008,27.0
182,Grajaú,210480,MA,2008,35.0
183,Graça Aranha,210470,MA,2008,25.0
184,Guimarães,210490,MA,2008,8.0
185,Humberto de Campos,210500,MA,2008,5.0
186,Icatu,0,MA,2008,
187,Igarapé Grande,210520,MA,2008,2.0
188,Igarapé do Meio,0,MA,2008,
189,Imperatriz,210530,MA,2008,1028.0
190,Itaipava do Grajaú,210535,MA,2008,2.0
191,Itapecuru Mirim,210540,MA,2008,3.0
192,Itinga do Maranhão,210542,MA,2008,9.0
193,Jatobá,210545,MA,2008,16.0
194,Jenipapo dos Vieiras,210547,MA,2008,1.0
195,Joselândia,210560,MA,2008,30.0
196,João Lisboa,210550,MA,2008,18.0
197,Junco do Maranhão,210565,MA,2008,1.0
198,Lago Verde,210590,MA,2008,3.0
199,Lago da Pedra,210570,MA,2008,94.0
200,Lago do Junco,210580,MA,2008,16.0
201,Lago dos Rodrigues,0,MA,2008,
202,Lagoa Grande do Maranhão,210596,MA,2008,111.0
203,Lagoa do Mato,0,MA,2008,
204,Lajeado Novo,210598,MA,2008,35.0
205,Lima Campos,210600,MA,2008,1.0
206,Loreto,0,MA,2008,
207,Luís Domingues,210620,MA,2008,9.0
208,Magalhães de Almeida,210630,MA,2008,10.0
209,Maracaçumé,210632,MA,2008,5.0
210,Marajá do Sena,210635,MA,2008,1.0
211,Maranhãozinho,210637,MA,2008,3.0
212,Mata Roma,0,MA,2008,
213,Matinha,0,MA,2008,
214,Matões,210660,MA,2008,99.0
215,Matões do Norte,210663,MA,2008,36.0
216,Milagres do Maranhão,210667,MA,2008,2.0
217,Mirador,210670,MA,2008,17.0
218,Miranda do Norte,210675,MA,2008,18.0
219,Mirinzal,0,MA,2008,
220,Montes Altos,210700,MA,2008,17.0
221,Monção,210690,MA,2008,5.0
222,Morros,210710,MA,2008,67.0
223,Nina Rodrigues,210720,MA,2008,32.0
224,Nova Colinas,210725,MA,2008,7.0
225,Nova Iorque,210730,MA,2008,1.0
226,Nova Olinda do Maranhão,210735,MA,2008,53.0
227,Olho d'Água das Cunhãs,210740,MA,2008,1.0
228,Olinda Nova do Maranhão,0,MA,2008,
229,Palmeirândia,0,MA,2008,
230,Paraibano,210770,MA,2008,4.0
231,Parnarama,210780,MA,2008,51.0
232,Passagem Franca,0,MA,2008,
233,Pastos Bons,210800,MA,2008,11.0
234,Paulino Neves,210805,MA,2008,1.0
235,Paulo Ramos,0,MA,2008,
