,Municipio,CodIbge,Estado,Ano,Notificações de 1o Sintoma
2850,Primavera do Leste,510704,MT,2011,22.0
2851,Querência,510706,MT,2011,1.0
2852,Reserva do Cabaçal,510715,MT,2011,1.0
2853,Ribeirão Cascalheira,510718,MT,2011,47.0
2854,Ribeirãozinho,510719,MT,2011,1.0
2855,Rio Branco,510720,MT,2011,20.0
2856,Rondolândia,510757,MT,2011,1.0
2857,Rondonópolis,510760,MT,2011,34.0
2858,Rosário Oeste,510770,MT,2011,12.0
2859,Salto do Céu,510775,MT,2011,2.0
2860,Santa Carmem,510724,MT,2011,9.0
2861,Santa Cruz do Xingu,510774,MT,2011,
2862,Santa Rita do Trivelato,510776,MT,2011,5.0
2863,Santa Terezinha,510777,MT,2011,
2864,Santo Afonso,510726,MT,2011,
2865,Santo Antônio do Leste,0,MT,2011,19.0
2866,Santo Antônio do Leverger,510780,MT,2011,20.0
2867,Sapezal,510787,MT,2011,23.0
2868,Serra Nova Dourada,510788,MT,2011,
2869,Sinop,510790,MT,2011,741.0
2870,Sorriso,510792,MT,2011,108.0
2871,São Félix do Araguaia,510785,MT,2011,4.0
2872,São José do Povo,510729,MT,2011,5.0
2873,São José do Rio Claro,510730,MT,2011,5.0
2874,São José do Xingu,510735,MT,2011,11.0
2875,São José dos Quatro Marcos,510710,MT,2011,45.0
2876,São Pedro da Cipa,510740,MT,2011,15.0
2877,Tabaporã,0,MT,2011,34.0
2878,Tangará da Serra,510795,MT,2011,53.0
2879,Tapurah,510800,MT,2011,6.0
2880,Terra Nova do Norte,510805,MT,2011,24.0
2881,Tesouro,0,MT,2011,3.0
2882,Torixoréu,510820,MT,2011,146.0
2883,União do Sul,510830,MT,2011,1.0
2884,Vale de São Domingos,510835,MT,2011,6.0
2885,Vera,510850,MT,2011,3.0
2886,Vila Bela da Santíssima Trindade,510550,MT,2011,10.0
2887,Vila Rica,510860,MT,2011,13.0
2888,Várzea Grande,510840,MT,2011,166.0
2889,Água Boa,510020,MT,2011,15.0
2890,Abaetetuba,150010,PA,2011,222.0
2891,Abel Figueiredo,150013,PA,2011,26.0
2892,Acará,150020,PA,2011,54.0
2893,Afuá,150030,PA,2011,1.0
2894,Alenquer,150040,PA,2011,25.0
2895,Almeirim,150050,PA,2011,1.0
2896,Altamira,150060,PA,2011,1293.0
2897,Anajás,0,PA,2011,
2898,Ananindeua,150080,PA,2011,353.0
2899,Anapu,150085,PA,2011,15.0
2900,Augusto Corrêa,150090,PA,2011,32.0
2901,Aurora do Pará,150095,PA,2011,20.0
2902,Aveiro,150100,PA,2011,1.0
2903,Bagre,150110,PA,2011,4.0
2904,Baião,150120,PA,2011,5.0
2905,Bannach,150125,PA,2011,10.0
2906,Barcarena,150130,PA,2011,125.0
2907,Belterra,150145,PA,2011,55.0
2908,Belém,150140,PA,2011,1681.0
2909,Benevides,150150,PA,2011,76.0
2910,Bom Jesus do Tocantins,150157,PA,2011,23.0
2911,Bonito,150160,PA,2011,
2912,Bragança,150170,PA,2011,99.0
2913,Brasil Novo,0,PA,2011,86.0
2914,Brejo Grande do Araguaia,150175,PA,2011,11.0
2915,Breu Branco,150178,PA,2011,224.0
2916,Breves,150180,PA,2011,14.0
2917,Bujaru,150190,PA,2011,4.0
2918,Cachoeira do Arari,150200,PA,2011,
2919,Cachoeira do Piriá,150195,PA,2011,47.0
2920,Cametá,150210,PA,2011,161.0
2921,Canaã dos Carajás,150215,PA,2011,61.0
2922,Capanema,150220,PA,2011,70.0
2923,Capitão Poço,150230,PA,2011,22.0
2924,Castanhal,150240,PA,2011,139.0
2925,Chaves,0,PA,2011,
2926,Colares,150260,PA,2011,1.0
2927,Conceição do Araguaia,150270,PA,2011,222.0
2928,Concórdia do Pará,150275,PA,2011,57.0
2929,Cumaru do Norte,150276,PA,2011,21.0
2930,Curionópolis,150277,PA,2011,77.0
2931,Curralinho,150280,PA,2011,
2932,Curuá,150285,PA,2011,1.0
2933,Curuçá,150290,PA,2011,8.0
2934,Dom Eliseu,150293,PA,2011,84.0
2935,Eldorado do Carajás,150295,PA,2011,100.0
2936,Floresta do Araguaia,150304,PA,2011,56.0
2937,Garrafão do Norte,150307,PA,2011,7.0
2938,Goianésia do Pará,150309,PA,2011,86.0
2939,Gurupá,150310,PA,2011,7.0
2940,Igarapé-Açu,150320,PA,2011,48.0
2941,Igarapé-Miri,150330,PA,2011,25.0
2942,Inhangapi,150340,PA,2011,10.0
2943,Ipixuna do Pará,150345,PA,2011,123.0
2944,Irituia,150350,PA,2011,18.0
2945,Itaituba,150360,PA,2011,419.0
2946,Itupiranga,150370,PA,2011,157.0
2947,Jacareacanga,150375,PA,2011,
2948,Jacundá,150380,PA,2011,280.0
2949,Juruti,150390,PA,2011,146.0
2950,Limoeiro do Ajuru,150400,PA,2011,12.0
2951,Magalhães Barata,150410,PA,2011,2.0
2952,Marabá,150420,PA,2011,518.0
2953,Maracanã,150430,PA,2011,22.0
2954,Marapanim,150440,PA,2011,13.0
2955,Marituba,150442,PA,2011,499.0
2956,Medicilândia,150445,PA,2011,23.0
2957,Mocajuba,150460,PA,2011,1.0
2958,Moju,150470,PA,2011,77.0
2959,Mojuí dos Campos,0,PA,2011,
2960,Monte Alegre,150480,PA,2011,283.0
2961,Muaná,150490,PA,2011,
2962,Município ignorado - PA,0,PA,2011,
2963,Mãe do Rio,150405,PA,2011,5.0
2964,Nova Esperança do Piriá,150495,PA,2011,4.0
2965,Nova Ipixuna,150497,PA,2011,94.0
2966,Nova Timboteua,150500,PA,2011,2.0
2967,Novo Progresso,150503,PA,2011,426.0
2968,Novo Repartimento,150506,PA,2011,302.0
2969,Oeiras do Pará,150520,PA,2011,2.0
2970,Oriximiná,150530,PA,2011,198.0
2971,Ourilândia do Norte,150543,PA,2011,184.0
2972,Ourém,150540,PA,2011,3.0
2973,Pacajá,150548,PA,2011,265.0
2974,Palestina do Pará,150549,PA,2011,25.0
2975,Paragominas,150550,PA,2011,412.0
2976,Parauapebas,150553,PA,2011,681.0
2977,Pau D'Arco,150555,PA,2011,44.0
2978,Peixe-Boi,0,PA,2011,31.0
2979,Piçarra,150563,PA,2011,26.0
2980,Placas,150565,PA,2011,34.0
2981,Ponta de Pedras,150570,PA,2011,15.0
2982,Portel,150580,PA,2011,35.0
2983,Porto de Moz,0,PA,2011,1.0
2984,Prainha,150600,PA,2011,30.0
2985,Primavera,150610,PA,2011,18.0
2986,Quatipuru,150611,PA,2011,
2987,Redenção,150613,PA,2011,212.0
2988,Rio Maria,150616,PA,2011,63.0
2989,Rondon do Pará,150618,PA,2011,115.0
2990,Rurópolis,150619,PA,2011,38.0
2991,Salinópolis,150620,PA,2011,242.0
2992,Salvaterra,150630,PA,2011,11.0
2993,Santa Bárbara do Pará,150635,PA,2011,67.0
2994,Santa Izabel do Pará,150650,PA,2011,66.0
2995,Santa Luzia do Pará,150655,PA,2011,17.0
2996,Santa Maria das Barreiras,150658,PA,2011,114.0
2997,Santa Maria do Pará,150660,PA,2011,25.0
2998,Santana do Araguaia,150670,PA,2011,26.0
2999,Santarém,150680,PA,2011,1283.0
3000,Santarém Novo,150690,PA,2011,101.0
3001,Santo Antônio do Tauá,150700,PA,2011,8.0
3002,Sapucaia,150775,PA,2011,7.0
3003,Senador José Porfírio,150780,PA,2011,1.0
3004,Soure,150790,PA,2011,171.0
3005,São Caetano de Odivelas,150710,PA,2011,6.0
3006,São Domingos do Araguaia,150715,PA,2011,114.0
3007,São Domingos do Capim,150720,PA,2011,20.0
3008,São Francisco do Pará,150740,PA,2011,5.0
3009,São Félix do Xingu,150730,PA,2011,436.0
3010,São Geraldo do Araguaia,150745,PA,2011,161.0
3011,São João da Ponta,150746,PA,2011,1.0
3012,São João de Pirabas,150747,PA,2011,15.0
3013,São João do Araguaia,150750,PA,2011,87.0
3014,São Miguel do Guamá,150760,PA,2011,31.0
3015,São Sebastião da Boa Vista,150770,PA,2011,5.0
3016,Tailândia,150795,PA,2011,204.0
3017,Terra Alta,150796,PA,2011,4.0
3018,Terra Santa,150797,PA,2011,22.0
3019,Tomé-Açu,150800,PA,2011,43.0
3020,Tracuateua,150803,PA,2011,60.0
3021,Trairão,150805,PA,2011,1.0
3022,Tucumã,150808,PA,2011,355.0
3023,Tucuruí,150810,PA,2011,479.0
3024,Ulianópolis,150812,PA,2011,466.0
3025,Uruará,150815,PA,2011,105.0
3026,Vigia,150820,PA,2011,13.0
3027,Viseu,150830,PA,2011,37.0
3028,Vitória do Xingu,150835,PA,2011,148.0
3029,Xinguara,150840,PA,2011,171.0
3030,Água Azul do Norte,150034,PA,2011,61.0
3031,Óbidos,150510,PA,2011,9.0
3032,Alta Floresta D'Oeste,110001,RO,2011,1.0
3033,Alto Alegre dos Parecis,110037,RO,2011,28.0
3034,Alto Paraíso,110040,RO,2011,56.0
3035,Alvorada D'Oeste,110034,RO,2011,275.0
3036,Ariquemes,110002,RO,2011,31.0
3037,Buritis,110045,RO,2011,93.0
3038,Cabixi,110003,RO,2011,14.0
3039,Cacaulândia,0,RO,2011,1.0
3040,Cacoal,110004,RO,2011,37.0
3041,Campo Novo de Rondônia,110070,RO,2011,61.0
3042,Candeias do Jamari,110080,RO,2011,6.0
3043,Castanheiras,110090,RO,2011,
3044,Cerejeiras,110005,RO,2011,163.0
3045,Chupinguaia,110092,RO,2011,12.0
3046,Colorado do Oeste,110006,RO,2011,129.0
3047,Corumbiara,110007,RO,2011,35.0
3048,Costa Marques,110008,RO,2011,146.0
3049,Cujubim,0,RO,2011,6.0
3050,Espigão D'Oeste,110009,RO,2011,61.0
3051,Governador Jorge Teixeira,110100,RO,2011,4.0
3052,Guajará-Mirim,110010,RO,2011,473.0
3053,Itapuã do Oeste,110110,RO,2011,47.0
3054,Jaru,110011,RO,2011,34.0
3055,Ji-Paraná,110012,RO,2011,54.0
3056,Machadinho D'Oeste,110013,RO,2011,14.0
3057,Ministro Andreazza,110120,RO,2011,2.0
3058,Mirante da Serra,0,RO,2011,15.0
3059,Monte Negro,0,RO,2011,78.0
3060,Município ignorado - RO,0,RO,2011,
3061,Nova Brasilândia D'Oeste,110014,RO,2011,283.0
3062,Nova Mamoré,110033,RO,2011,13.0
3063,Nova União,0,RO,2011,15.0
3064,Novo Horizonte do Oeste,0,RO,2011,119.0
3065,Ouro Preto do Oeste,110015,RO,2011,11.0
3066,Parecis,110145,RO,2011,
3067,Pimenta Bueno,110018,RO,2011,12.0
3068,Pimenteiras do Oeste,110146,RO,2011,4.0
3069,Porto Velho,110020,RO,2011,125.0
3070,Presidente Médici,110025,RO,2011,49.0
3071,Primavera de Rondônia,110147,RO,2011,3.0
3072,Rio Crespo,110026,RO,2011,10.0
3073,Rolim de Moura,110028,RO,2011,6.0
3074,Santa Luzia D'Oeste,110029,RO,2011,19.0
3075,Seringueiras,110150,RO,2011,47.0
3076,São Felipe D'Oeste,110148,RO,2011,20.0
3077,São Francisco do Guaporé,110149,RO,2011,47.0
3078,São Miguel do Guaporé,110032,RO,2011,28.0
3079,Teixeirópolis,110155,RO,2011,
3080,Theobroma,110160,RO,2011,2.0
3081,Urupá,110170,RO,2011,160.0
3082,Vale do Anari,110175,RO,2011,5.0
3083,Vale do Paraíso,110180,RO,2011,2.0
3084,Vilhena,110030,RO,2011,101.0
3085,Alto Alegre,140005,RR,2011,28.0
3086,Amajari,140002,RR,2011,31.0
3087,Boa Vista,140010,RR,2011,880.0
3088,Bonfim,140015,RR,2011,35.0
3089,Cantá,140017,RR,2011,42.0
3090,Caracaraí,140020,RR,2011,62.0
3091,Caroebe,140023,RR,2011,19.0
3092,Iracema,140028,RR,2011,26.0
3093,Mucajaí,140030,RR,2011,42.0
3094,Normandia,140040,RR,2011,17.0
3095,Pacaraima,140045,RR,2011,49.0
3096,Rorainópolis,140047,RR,2011,38.0
3097,São João da Baliza,140050,RR,2011,11.0
3098,São Luiz,140060,RR,2011,14.0
3099,Uiramutã,0,RR,2011,1.0
3100,Abreulândia,170025,TO,2011,7.0
3101,Aguiarnópolis,170030,TO,2011,81.0
3102,Aliança do Tocantins,170035,TO,2011,4.0
3103,Almas,170040,TO,2011,6.0
3104,Alvorada,170070,TO,2011,2.0
3105,Ananás,170100,TO,2011,9.0
3106,Angico,170105,TO,2011,
3107,Aparecida do Rio Negro,170110,TO,2011,17.0
3108,Aragominas,170130,TO,2011,23.0
3109,Araguacema,170190,TO,2011,1.0
3110,Araguanã,170215,TO,2011,64.0
3111,Araguatins,170220,TO,2011,60.0
3112,Araguaçu,170200,TO,2011,340.0
3113,Araguaína,170210,TO,2011,563.0
3114,Arapoema,170230,TO,2011,4.0
3115,Arraias,170240,TO,2011,7.0
3116,Augustinópolis,170255,TO,2011,48.0
3117,Aurora do Tocantins,170270,TO,2011,
3118,Axixá do Tocantins,170290,TO,2011,27.0
3119,Babaçulândia,170300,TO,2011,4.0
3120,Bandeirantes do Tocantins,170305,TO,2011,1.0
3121,Barra do Ouro,170307,TO,2011,7.0
3122,Barrolândia,170310,TO,2011,
3123,Bernardo Sayão,170320,TO,2011,3.0
3124,Bom Jesus do Tocantins,170330,TO,2011,
3125,Brasilândia do Tocantins,170360,TO,2011,12.0
3126,Brejinho de Nazaré,170370,TO,2011,1.0
3127,Buriti do Tocantins,170380,TO,2011,21.0
3128,Cachoeirinha,170382,TO,2011,89.0
3129,Campos Lindos,170384,TO,2011,50.0
3130,Cariri do Tocantins,170386,TO,2011,1.0
3131,Carmolândia,170388,TO,2011,3.0
3132,Carrasco Bonito,170389,TO,2011,6.0
3133,Caseara,170390,TO,2011,1.0
3134,Centenário,170410,TO,2011,20.0
3135,Chapada da Natividade,170510,TO,2011,4.0
3136,Chapada de Areia,170460,TO,2011,
3137,Colinas do Tocantins,170550,TO,2011,240.0
3138,Colméia,171670,TO,2011,6.0
3139,Combinado,170555,TO,2011,4.0
3140,Conceição do Tocantins,170560,TO,2011,9.0
3141,Couto Magalhães,170600,TO,2011,2.0
3142,Cristalândia,170610,TO,2011,4.0
3143,Crixás do Tocantins,170625,TO,2011,28.0
3144,Darcinópolis,170650,TO,2011,17.0
3145,Dianópolis,170700,TO,2011,35.0
3146,Divinópolis do Tocantins,170710,TO,2011,15.0
3147,Dois Irmãos do Tocantins,170720,TO,2011,7.0
3148,Dueré,170730,TO,2011,52.0
3149,Esperantina,170740,TO,2011,2.0
3150,Figueirópolis,170765,TO,2011,5.0
3151,Filadélfia,170770,TO,2011,48.0
3152,Formoso do Araguaia,170820,TO,2011,80.0
3153,Fortaleza do Tabocão,170825,TO,2011,10.0
3154,Fátima,170755,TO,2011,5.0
3155,Goianorte,170830,TO,2011,17.0
3156,Goiatins,170900,TO,2011,17.0
3157,Guaraí,170930,TO,2011,74.0
3158,Gurupi,170950,TO,2011,380.0
3159,Ipueiras,170980,TO,2011,25.0
3160,Itacajá,171050,TO,2011,54.0
3161,Itaguatins,171070,TO,2011,21.0
3162,Itapiratins,171090,TO,2011,11.0
3163,Itaporã do Tocantins,171110,TO,2011,5.0
3164,Jaú do Tocantins,0,TO,2011,5.0
3165,Juarina,171180,TO,2011,1.0
3166,Lagoa da Confusão,171190,TO,2011,3.0
3167,Lagoa do Tocantins,0,TO,2011,1.0
3168,Lajeado,171200,TO,2011,7.0
3169,Lavandeira,0,TO,2011,7.0
3170,Lizarda,171240,TO,2011,
3171,Luzinópolis,171245,TO,2011,9.0
3172,Marianópolis do Tocantins,171250,TO,2011,11.0
3173,Mateiros,171270,TO,2011,
3174,Maurilândia do Tocantins,171280,TO,2011,11.0
3175,Miracema do Tocantins,171320,TO,2011,29.0
3176,Miranorte,171330,TO,2011,130.0
3177,Monte Santo do Tocantins,171370,TO,2011,
3178,Monte do Carmo,171360,TO,2011,5.0
3179,Município ignorado - TO,0,TO,2011,
3180,Muricilândia,171395,TO,2011,
3181,Natividade,171420,TO,2011,5.0
3182,Nazaré,171430,TO,2011,
3183,Nova Olinda,171488,TO,2011,4.0
3184,Nova Rosalândia,171500,TO,2011,
3185,Novo Acordo,171510,TO,2011,13.0
3186,Novo Alegre,0,TO,2011,1.0
3187,Novo Jardim,171525,TO,2011,
3188,Oliveira de Fátima,171550,TO,2011,
3189,Palmas,172100,TO,2011,5019.0
3190,Palmeirante,171570,TO,2011,
3191,Palmeiras do Tocantins,0,TO,2011,1.0
3192,Palmeirópolis,171575,TO,2011,14.0
3193,Paranã,171620,TO,2011,119.0
3194,Paraíso do Tocantins,171610,TO,2011,280.0
3195,Pau D'Arco,171630,TO,2011,1.0
3196,Pedro Afonso,171650,TO,2011,6.0
3197,Peixe,171660,TO,2011,8.0
3198,Pequizeiro,171665,TO,2011,2.0
3199,Pindorama do Tocantins,171700,TO,2011,9.0
3200,Piraquê,171720,TO,2011,4.0
3201,Pium,171750,TO,2011,18.0
3202,Ponte Alta do Bom Jesus,171780,TO,2011,1.0
3203,Ponte Alta do Tocantins,171790,TO,2011,10.0
3204,Porto Alegre do Tocantins,171800,TO,2011,3.0
3205,Porto Nacional,171820,TO,2011,114.0
3206,Praia Norte,171830,TO,2011,12.0
3207,Presidente Kennedy,171840,TO,2011,29.0
3208,Pugmil,171845,TO,2011,6.0
3209,Recursolândia,171850,TO,2011,
3210,Riachinho,171855,TO,2011,17.0
3211,Rio Sono,171875,TO,2011,
3212,Rio da Conceição,171865,TO,2011,
3213,Rio dos Bois,171870,TO,2011,15.0
3214,Sampaio,171880,TO,2011,23.0
3215,Sandolândia,171884,TO,2011,
3216,Santa Fé do Araguaia,171886,TO,2011,16.0
3217,Santa Maria do Tocantins,171888,TO,2011,1.0
3218,Santa Rita do Tocantins,171889,TO,2011,1.0
3219,Santa Rosa do Tocantins,171890,TO,2011,29.0
3220,Santa Tereza do Tocantins,171900,TO,2011,40.0
3221,Santa Terezinha do Tocantins,172000,TO,2011,7.0
3222,Silvanópolis,172065,TO,2011,145.0
3223,Sucupira,172085,TO,2011,2.0
3224,São Bento do Tocantins,172010,TO,2011,16.0
3225,São Félix do Tocantins,172015,TO,2011,
3226,São Miguel do Tocantins,172020,TO,2011,4.0
3227,São Salvador do Tocantins,172025,TO,2011,3.0
3228,São Sebastião do Tocantins,172030,TO,2011,4.0
3229,São Valério,0,TO,2011,
3230,Sítio Novo do Tocantins,172080,TO,2011,63.0
3231,Taguatinga,0,TO,2011,23.0
3232,Taipas do Tocantins,172093,TO,2011,1.0
3233,Talismã,172097,TO,2011,
3234,Tocantinópolis,172120,TO,2011,304.0
3235,Tocantínia,172110,TO,2011,37.0
3236,Tupirama,172125,TO,2011,1.0
3237,Tupiratins,172130,TO,2011,2.0
3238,Wanderlândia,172208,TO,2011,
3239,Xambioá,172210,TO,2011,7.0
3240,Acrelândia,120001,AC,2012,2.0
3241,Assis Brasil,0,AC,2012,46.0
3242,Brasiléia,120010,AC,2012,174.0
3243,Bujari,120013,AC,2012,9.0
3244,Capixaba,120017,AC,2012,9.0
3245,Cruzeiro do Sul,120020,AC,2012,12.0
3246,Epitaciolândia,120025,AC,2012,76.0
3247,Feijó,0,AC,2012,6.0
3248,Jordão,0,AC,2012,1.0
3249,Manoel Urbano,0,AC,2012,
3250,Marechal Thaumaturgo,0,AC,2012,1.0
3251,Mâncio Lima,120033,AC,2012,1.0
3252,Plácido de Castro,120038,AC,2012,155.0
3253,Porto Acre,120080,AC,2012,3.0
3254,Porto Walter,0,AC,2012,
3255,Rio Branco,120040,AC,2012,1738.0
3256,Rodrigues Alves,0,AC,2012,1.0
3257,Santa Rosa do Purus,0,AC,2012,
3258,Sena Madureira,120050,AC,2012,1.0
3259,Senador Guiomard,120045,AC,2012,8.0
3260,Tarauacá,120060,AC,2012,3.0
3261,Xapuri,120070,AC,2012,10.0
3262,Amapá,0,AP,2012,
3263,Calçoene,160020,AP,2012,131.0
3264,Cutias,0,AP,2012,
3265,Ferreira Gomes,160023,AP,2012,24.0
3266,Itaubal,160025,AP,2012,
3267,Laranjal do Jari,0,AP,2012,
3268,Macapá,160030,AP,2012,965.0
3269,Mazagão,160040,AP,2012,35.0
3270,Município ignorado - AP,0,AP,2012,1.0
3271,Oiapoque,160050,AP,2012,128.0
3272,Pedra Branca do Amapari,0,AP,2012,12.0
3273,Porto Grande,160053,AP,2012,48.0
3274,Pracuúba,0,AP,2012,
3275,Santana,160060,AP,2012,93.0
3276,Serra do Navio,160005,AP,2012,98.0
3277,Tartarugalzinho,0,AP,2012,5.0
3278,Vitória do Jari,0,AP,2012,
3279,Alvarães,130002,AM,2012,1.0
3280,Amaturá,0,AM,2012,
3281,Anamã,130008,AM,2012,
3282,Anori,130010,AM,2012,4.0
3283,Apuí,130014,AM,2012,
3284,Atalaia do Norte,130020,AM,2012,1.0
3285,Autazes,130030,AM,2012,
3286,Barcelos,130040,AM,2012,24.0
3287,Barreirinha,130050,AM,2012,
3288,Benjamin Constant,130060,AM,2012,5.0
3289,Beruri,0,AM,2012,
3290,Boa Vista do Ramos,0,AM,2012,
3291,Boca do Acre,130070,AM,2012,11.0
3292,Borba,130080,AM,2012,30.0
3293,Caapiranga,130083,AM,2012,
3294,Canutama,0,AM,2012,
3295,Carauari,0,AM,2012,
3296,Careiro,130110,AM,2012,16.0
3297,Careiro da Várzea,130115,AM,2012,3.0
3298,Coari,130120,AM,2012,28.0
3299,Codajás,130130,AM,2012,15.0
3300,Eirunepé,130140,AM,2012,
3301,Envira,0,AM,2012,
3302,Fonte Boa,130160,AM,2012,
3303,Guajará,0,AM,2012,
3304,Humaitá,130170,AM,2012,60.0
3305,Ipixuna,0,AM,2012,
3306,Iranduba,130185,AM,2012,
3307,Itacoatiara,130190,AM,2012,9.0
3308,Itamarati,0,AM,2012,1.0
3309,Itapiranga,0,AM,2012,
3310,Japurá,0,AM,2012,2.0
3311,Juruá,130220,AM,2012,
3312,Jutaí,0,AM,2012,
3313,Lábrea,130240,AM,2012,16.0
3314,Manacapuru,130250,AM,2012,99.0
3315,Manaquiri,130255,AM,2012,
3316,Manaus,130260,AM,2012,3786.0
3317,Manicoré,0,AM,2012,28.0
3318,Maraã,0,AM,2012,1.0
3319,Maués,130290,AM,2012,3.0
3320,Município ignorado - AM,0,AM,2012,
3321,Nhamundá,130300,AM,2012,
3322,Nova Olinda do Norte,0,AM,2012,
3323,Novo Airão,130320,AM,2012,1.0
3324,Novo Aripuanã,130330,AM,2012,20.0
3325,Parintins,130340,AM,2012,1.0
3326,Pauini,0,AM,2012,
3327,Presidente Figueiredo,130353,AM,2012,6.0
3328,Rio Preto da Eva,130356,AM,2012,
3329,Santa Isabel do Rio Negro,0,AM,2012,
3330,Santo Antônio do Içá,0,AM,2012,
3331,Silves,0,AM,2012,
3332,São Gabriel da Cachoeira,130380,AM,2012,714.0
3333,São Paulo de Olivença,0,AM,2012,2.0
3334,São Sebastião do Uatumã,0,AM,2012,
3335,Tabatinga,130406,AM,2012,414.0
3336,Tapauá,0,AM,2012,
3337,Tefé,130420,AM,2012,47.0
3338,Uarini,130426,AM,2012,
3339,Urucará,0,AM,2012,
3340,Urucurituba,130440,AM,2012,
3341,Afonso Cunha,210010,MA,2012,2.0
3342,Alcântara,0,MA,2012,
3343,Aldeias Altas,210030,MA,2012,14.0
3344,Altamira do Maranhão,210040,MA,2012,
3345,Alto Alegre do Maranhão,0,MA,2012,1.0
3346,Alto Alegre do Pindaré,210047,MA,2012,8.0
3347,Alto Parnaíba,210050,MA,2012,81.0
3348,Amapá do Maranhão,210055,MA,2012,2.0
3349,Amarante do Maranhão,210060,MA,2012,3.0
3350,Anajatuba,210070,MA,2012,
3351,Anapurus,0,MA,2012,13.0
3352,Apicum-Açu,210083,MA,2012,28.0
3353,Araguanã,0,MA,2012,9.0
3354,Araioses,210090,MA,2012,71.0
3355,Arame,210095,MA,2012,19.0
3356,Arari,210100,MA,2012,1.0
3357,Axixá,210110,MA,2012,
3358,Açailândia,210005,MA,2012,9.0
3359,Bacabal,210120,MA,2012,88.0
3360,Bacabeira,210125,MA,2012,10.0
3361,Bacuri,210130,MA,2012,1.0
3362,Bacurituba,0,MA,2012,
3363,Balsas,210140,MA,2012,47.0
3364,Barra do Corda,210160,MA,2012,135.0
3365,Barreirinhas,210170,MA,2012,5.0
3366,Barão de Grajaú,210150,MA,2012,37.0
3367,Bela Vista do Maranhão,0,MA,2012,2.0
3368,Belágua,210173,MA,2012,1.0
3369,Benedito Leite,0,MA,2012,
3370,Bequimão,210190,MA,2012,26.0
3371,Bernardo do Mearim,210193,MA,2012,2.0
3372,Boa Vista do Gurupi,210197,MA,2012,3.0
3373,Bom Jardim,210200,MA,2012,102.0
3374,Bom Jesus das Selvas,210203,MA,2012,5.0
3375,Bom Lugar,0,MA,2012,1.0
3376,Brejo,210210,MA,2012,65.0
3377,Brejo de Areia,0,MA,2012,
3378,Buriti,210220,MA,2012,
3379,Buriti Bravo,210230,MA,2012,12.0
3380,Buriticupu,210232,MA,2012,1.0
3381,Buritirana,210235,MA,2012,2.0
3382,Cachoeira Grande,210237,MA,2012,1.0
3383,Cajapió,210240,MA,2012,
3384,Cajari,210250,MA,2012,
3385,Campestre do Maranhão,210255,MA,2012,3.0
3386,Cantanhede,210270,MA,2012,4.0
3387,Capinzal do Norte,210275,MA,2012,16.0
3388,Carolina,210280,MA,2012,21.0
3389,Carutapera,0,MA,2012,69.0
3390,Caxias,210300,MA,2012,249.0
3391,Cedral,210310,MA,2012,
3392,Central do Maranhão,210312,MA,2012,
3393,Centro Novo do Maranhão,0,MA,2012,17.0
3394,Centro do Guilherme,210315,MA,2012,
3395,Chapadinha,210320,MA,2012,59.0
3396,Cidelândia,210325,MA,2012,8.0
3397,Codó,210330,MA,2012,10.0
3398,Coelho Neto,210340,MA,2012,44.0
3399,Colinas,210350,MA,2012,13.0
3400,Conceição do Lago-Açu,0,MA,2012,
3401,Coroatá,210360,MA,2012,20.0
3402,Cururupu,210370,MA,2012,8.0
3403,Cândido Mendes,210260,MA,2012,10.0
3404,Davinópolis,210375,MA,2012,18.0
3405,Dom Pedro,210380,MA,2012,63.0
3406,Duque Bacelar,210390,MA,2012,9.0
3407,Esperantinópolis,210400,MA,2012,5.0
3408,Estreito,210405,MA,2012,61.0
3409,Feira Nova do Maranhão,210407,MA,2012,47.0
3410,Fernando Falcão,210408,MA,2012,
3411,Formosa da Serra Negra,210409,MA,2012,4.0
3412,Fortaleza dos Nogueiras,210410,MA,2012,2.0
3413,Fortuna,0,MA,2012,22.0
3414,Godofredo Viana,0,MA,2012,3.0
3415,Gonçalves Dias,210440,MA,2012,20.0
3416,Governador Archer,210450,MA,2012,62.0
3417,Governador Edison Lobão,210455,MA,2012,5.0
3418,Governador Eugênio Barros,210460,MA,2012,30.0
3419,Governador Luiz Rocha,210462,MA,2012,1.0
3420,Governador Newton Bello,210465,MA,2012,6.0
3421,Governador Nunes Freire,210467,MA,2012,4.0
3422,Grajaú,210480,MA,2012,21.0
3423,Graça Aranha,210470,MA,2012,12.0
3424,Guimarães,210490,MA,2012,
3425,Humberto de Campos,210500,MA,2012,29.0
3426,Icatu,0,MA,2012,1.0
3427,Igarapé Grande,210520,MA,2012,1.0
3428,Igarapé do Meio,0,MA,2012,
3429,Imperatriz,210530,MA,2012,250.0
3430,Itaipava do Grajaú,210535,MA,2012,
3431,Itapecuru Mirim,210540,MA,2012,22.0
3432,Itinga do Maranhão,210542,MA,2012,1.0
3433,Jatobá,210545,MA,2012,
3434,Jenipapo dos Vieiras,210547,MA,2012,11.0
3435,Joselândia,210560,MA,2012,22.0
3436,João Lisboa,210550,MA,2012,19.0
3437,Junco do Maranhão,210565,MA,2012,10.0
3438,Lago Verde,210590,MA,2012,3.0
3439,Lago da Pedra,210570,MA,2012,
3440,Lago do Junco,210580,MA,2012,2.0
3441,Lago dos Rodrigues,0,MA,2012,1.0
