,Lat,Long,Municipio,Estado,AreaKm2,Ano,Desmatado,Incremento,Floresta,Nuvem,NaoObservado,NaoFloresta,Hidrografia,PercDesmatado
44,-9.61778,-48.15994,Tocantínia,TO,2619,2008,0.0,0.0,0.0,0.0,0.3,2600.5,18.8,0.0
45,-10.0886,-62.27984,Theobroma,RO,2217,2008,1734.3,7.3,482.3,0.0,0.0,0.0,0.4,0.7822733423545332
46,-15.906270000000001,-53.44494,Tesouro,MT,3944,2008,0.0,0.0,0.0,0.0,5.1,3938.9,1.1,0.0
47,-1.90481,-56.474180000000004,Terra Santa,PA,1900,2008,332.6,5.8,738.9,49.2,1.8,388.1,389.4,0.17505263157894738
48,-10.493269999999999,-54.989180000000005,Terra Nova do Norte,MT,2551,2008,2103.2,20.9,443.2,0.0,0.0,4.6,0.0,0.8244609956879654
49,-0.9934700000000001,-47.8485,Terra Alta,PA,209,2008,170.1,1.4,38.1,0.0,0.8,0.0,0.0,0.8138755980861244
50,-10.9319,-62.2591,Teixeirópolis,RO,464,2008,441.3,0.5,22.7,0.0,0.0,0.0,0.0,0.9510775862068965
51,-4.41301,-65.57764,Tefé,AM,24186,2008,620.7,10.1,22033.7,634.2,3.8,168.9,724.7,0.025663607045398166
52,-8.308010000000001,-45.887,Tasso Fragoso,MA,4426,2008,0.0,0.0,27.1,0.0,0.0,4398.9,0.0,0.0
53,1.31335,-50.929429999999996,Tartarugalzinho,AP,6718,2008,292.6,13.9,2398.9,596.8,14.3,3226.1,189.3,0.0435546293539744
54,-8.26015,-71.43408000000001,Tarauacá,AC,21156,2008,1394.3,38.2,19330.7,414.0,2.2,1.2,13.6,0.06590565324257894
55,-12.58197,-56.49045,Tapurah,MT,4491,2008,1932.3,10.5,1868.0,0.0,0.0,680.6,10.1,0.4302605210420842
56,-5.93398,-65.97188,Tapauá,AM,90962,2008,304.8,3.5,84286.6,2706.2,1.9,2161.1,1501.4,0.0033508498054132495
57,-14.4327,-58.38021,Tangará da Serra,MT,11333,2008,2171.7,4.1,647.6,0.0,0.0,8512.8,0.9,0.19162622430071471
58,-12.6709,-49.06021,Talismã,TO,2162,2008,0.0,0.0,0.0,0.0,2161.2,2158.4,0.0,0.0
59,-12.15468,-46.97995,Taipas do Tocantins,TO,1123,2008,0.0,0.0,0.0,0.0,1123.1,1123.5,0.0,0.0
60,-2.9033599999999997,-48.78385,Tailândia,PA,4451,2008,2099.3,73.1,2348.1,1.0,2.6,0.0,0.0,0.47164682093911486
