Lat,Long,Municipio,Estado,AreaKm2,Desmatado2008,Incremento20072008,Floresta2008,NaoFloresta2008,Hidrografia2008,Desmatado2009,Incremento20082009,Floresta2009,NaoFloresta2009,Hidrografia2009,Desmatado2010,Incremento20092010,Floresta2010,NaoFloresta2010,Hidrografia2010,Desmatado2011,Incremento20102011,Floresta2011,NaoFloresta2011,Hidrografia2011,Desmatado2012,Incremento20112012,Floresta2012,NaoFloresta2012,Hidrografia2012,Desmatado2013,Incremento20122013,Floresta2013,NaoFloresta2013,Hidrografia2013,Desmatado2014,Incremento20132014,Floresta2014,NaoFloresta2014,Hidrografia2014,Desmatado2015,Incremento20142015,Floresta2015,NaoFloresta2015,Hidrografia2015,Desmatado2016,Incremento20152016,Floresta2016,NaoFloresta2016,Hidrografia2016,Desmatado2017,Incremento20162017,Floresta2017,NaoFloresta2017,Hidrografia2017,Desmatado2018,Incremento20172018,Floresta2018,NaoFloresta2018,Hidrografia2018,Desmatado2019,Incremento20182019,Floresta2019,NaoFloresta2019,Hidrografia2019,PercDesmatado2008,PercDesmatado2009,PercDesmatado2010,PercDesmatado2011,PercDesmatado2012,PercDesmatado2013,PercDesmatado2014,PercDesmatado2015,PercDesmatado2016,PercDesmatado2017,PercDesmatado2018,PercDesmatado2019
-12.123510000000001,-60.112109999999994,Vilhena,RO,11584,1715.3,60.7,8177.5,1685.8,1.5,1721.4,6.1,8060.9,1685.8,1.5,1730.2,8.8,8162.7,1685.8,1.5,1738.2,8.0,8154.7,1685.8,1.5,1747.2,9.0,8140.2,1685.8,1.5,1755.0,7.8,8137.9,1685.8,1.5,1762.4,7.4,8130.5,1685.8,1.5,1778.2,15.8,8118.5,1685.8,1.5,1791.9,13.8,8104.8,1685.8,1.5,1807.0,15.1,8089.7,1685.8,1.5,1824.9,17.8,8069.8,1685.8,1.5,1850.4,25.5,8046.3,1685.8,1.5,0.14807493093922652,0.14860151933701657,0.14936118784530386,0.1500517955801105,0.15082872928176796,0.1515020718232044,0.15214088397790057,0.15350483425414366,0.1546875,0.1559910220994475,0.15753625690607737,0.1597375690607735
-10.01731,-51.43727,Vila Rica,MT,7443,4581.7,78.5,2628.2,186.8,9.9,4589.3,7.6,2657.0,186.8,9.9,4595.7,6.5,2635.1,186.8,9.9,4608.0,12.3,2638.3,186.8,9.9,4619.4,11.4,2626.9,186.8,9.9,4627.3,7.9,2619.0,186.8,9.9,4632.1,4.9,2497.1,186.8,9.9,4638.5,6.3,2607.8,186.8,9.9,4644.3,5.8,2602.0,186.8,9.9,4650.4,6.1,2595.9,186.8,9.9,4653.5,3.1,2592.8,186.8,9.9,4659.3,5.8,2587.0,186.8,9.9,0.6155716780867929,0.6165927717318286,0.6174526400644901,0.619105199516324,0.6206368399838774,0.6216982399570066,0.6223431412065028,0.6232030095391643,0.6239822652156389,0.6248018272202068,0.6252183259438399,0.6259975816203144
-5.03923,-48.09734,Vila Nova dos Martírios,MA,1196,962.7,2.2,90.9,131.8,9.2,964.7,2.0,85.2,131.8,9.2,965.6,1.0,88.1,131.8,9.2,966.7,1.0,87.0,131.8,9.2,969.1,2.4,83.6,131.8,9.2,969.5,0.5,84.2,131.8,9.2,971.4,1.9,82.2,131.8,9.2,971.7,0.3,83.3,131.8,9.2,971.9,0.2,83.1,131.8,9.2,973.0,1.1,82.0,131.8,9.2,973.7,0.7,81.2,131.8,9.2,974.3,0.6,80.7,131.8,9.2,0.8049331103678931,0.8066053511705686,0.8073578595317726,0.8082775919732442,0.8102842809364549,0.81061872909699,0.8122073578595318,0.8124581939799331,0.8126254180602006,0.8135451505016722,0.8141304347826087,0.8146321070234114
-15.13556,-60.01729,Vila Bela da Santíssima Trindade,MT,13521,4516.3,36.5,2205.5,6590.5,72.9,4540.8,24.6,2276.5,6590.5,72.9,4567.0,26.2,2262.3,6590.5,72.9,4584.8,17.8,2242.7,6590.5,72.9,4596.1,11.3,2244.6,6590.5,72.9,4605.9,9.9,2228.4,6590.5,72.9,4618.8,12.9,2219.9,6590.5,72.9,4626.4,7.6,2228.3,6590.5,72.9,4640.6,14.2,2206.4,6590.5,72.9,4657.9,17.3,2124.2,6590.5,72.9,4668.6,10.7,2189.0,6590.5,72.9,4677.4,8.8,2180.2,6590.5,72.9,0.334021152281636,0.3358331484357666,0.33777087493528585,0.3390873456105318,0.33992308261223286,0.34064788107388505,0.3416019525183049,0.34216404112121884,0.34321425930034766,0.3444937504622439,0.3452851120479255,0.3459359514828785
-0.9177700000000001,-48.118109999999994,Vigia,PA,536,216.0,1.5,141.0,16.4,161.4,216.0,0.1,101.1,16.4,161.4,216.3,0.3,112.7,16.4,161.4,216.6,0.3,106.0,16.4,161.4,216.8,0.3,62.3,16.4,161.4,217.5,0.6,133.4,16.4,161.4,217.5,0.0,46.5,16.4,161.4,218.8,1.4,107.4,16.4,161.4,219.1,0.2,120.9,16.4,161.4,219.2,0.2,139.0,16.4,161.4,219.3,0.1,138.9,16.4,161.4,219.5,0.2,138.7,16.4,161.4,0.40298507462686567,0.40298507462686567,0.403544776119403,0.4041044776119403,0.4044776119402985,0.40578358208955223,0.40578358208955223,0.4082089552238806,0.4087686567164179,0.408955223880597,0.40914179104477616,0.40951492537313433
-3.1301200000000002,-45.18793,Viana,MA,1176,502.0,6.5,96.2,382.3,195.1,502.9,0.9,95.4,382.3,195.1,503.2,0.3,80.5,382.3,195.1,503.7,0.5,94.5,382.3,195.1,503.9,0.3,87.4,382.3,195.1,505.8,1.8,92.7,382.3,195.1,506.0,0.3,92.3,382.3,195.1,506.0,0.0,71.3,382.3,195.1,506.1,0.1,80.9,382.3,195.1,506.4,0.3,92.2,382.3,195.1,506.4,0.0,67.9,382.3,195.1,506.7,0.4,91.9,382.3,195.1,0.4268707482993197,0.42763605442176866,0.427891156462585,0.42831632653061225,0.4284863945578231,0.4301020408163265,0.4302721088435374,0.4302721088435374,0.4303571428571429,0.4306122448979592,0.4306122448979592,0.4308673469387755
-12.48409,-55.323840000000004,Vera,MT,2952,1921.3,6.1,1011.3,17.8,0.1,1924.6,3.3,1008.1,17.8,0.1,1925.7,1.1,1007.0,17.8,0.1,1927.3,1.7,1005.3,17.8,0.1,1930.3,3.0,1002.3,17.8,0.1,1931.9,1.5,1000.8,17.8,0.1,1942.3,10.4,990.4,17.8,0.1,1949.5,7.2,984.6,17.8,0.1,1951.6,2.1,982.5,17.8,0.1,1955.7,4.1,978.4,17.8,0.1,1962.8,7.1,971.3,17.8,0.1,1965.0,2.2,969.1,17.8,0.1,0.6508468834688347,0.6519647696476965,0.6523373983739837,0.652879403794038,0.6538956639566396,0.6544376693766938,0.657960704607046,0.6603997289972899,0.6611111111111111,0.6625,0.6649051490514905,0.665650406504065
-15.55785,-56.34461999999999,Várzea Grande,MT,939,0.0,0.0,0.0,937.7,0.0,0.0,0.0,0.0,937.7,0.0,0.0,0.0,0.0,937.7,0.0,0.0,0.0,0.0,937.7,0.0,0.0,0.0,0.0,937.7,0.0,0.0,0.0,0.0,937.7,0.0,0.0,0.0,0.0,937.7,0.0,0.0,0.0,1.3,937.7,0.0,0.0,0.0,1.3,937.7,0.0,0.0,0.0,1.3,937.7,0.0,0.0,0.0,1.3,937.7,0.0,0.0,0.0,1.3,937.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-10.36243,-62.072269999999996,Vale do Paraíso,RO,974,867.6,0.8,102.2,3.5,0.7,868.2,0.6,101.6,3.5,0.7,868.2,0.1,101.6,3.5,0.7,868.5,0.2,100.0,3.5,0.7,869.1,0.7,100.7,3.5,0.7,869.3,0.2,100.5,3.5,0.7,870.9,1.5,98.9,3.5,0.7,872.1,1.3,97.7,3.5,0.7,876.1,4.0,93.7,3.5,0.7,881.1,5.1,88.7,3.5,0.7,884.2,3.1,85.6,3.5,0.7,886.2,1.9,83.6,3.5,0.7,0.8907597535934292,0.8913757700205339,0.8913757700205339,0.8916837782340863,0.892299794661191,0.8925051334702259,0.8941478439425051,0.8953798767967146,0.8994866529774127,0.9046201232032854,0.9078028747433265,0.9098562628336756
-9.69033,-61.7712,Vale do Anari,RO,3166,1180.8,12.6,1954.9,11.3,19.0,1191.6,10.7,1944.1,11.3,19.0,1195.3,3.7,1940.4,11.3,19.0,1202.6,7.3,1925.5,11.3,19.0,1214.8,12.3,1920.9,11.3,19.0,1223.5,8.6,1912.2,11.3,19.0,1234.4,11.0,1901.3,11.3,19.0,1248.9,14.5,1886.8,11.3,19.0,1268.7,19.7,1867.0,11.3,19.0,1279.2,10.5,1856.5,11.3,19.0,1288.2,9.0,1847.5,11.3,19.0,1297.4,9.2,1838.3,11.3,19.0,0.372962728995578,0.37637397346809853,0.3775426405559065,0.3798483891345546,0.3837018319646241,0.3864497789008212,0.3898926089703096,0.3944725205306381,0.400726468730259,0.4040429564118762,0.40688566013897665,0.40979153506001265
-15.02325,-58.956559999999996,Vale de São Domingos,MT,1913,601.8,0.9,499.9,811.1,0.0,602.2,0.4,499.5,811.1,0.0,603.0,0.8,498.7,811.1,0.0,603.0,0.0,498.7,811.1,0.0,603.4,0.3,498.3,811.1,0.0,604.5,1.2,497.2,811.1,0.0,604.7,0.1,497.0,811.1,0.0,605.5,0.8,496.4,811.1,0.0,605.6,0.1,496.3,811.1,0.0,605.8,0.2,496.1,811.1,0.0,606.2,0.4,495.7,811.1,0.0,606.4,0.2,489.7,811.1,0.0,0.31458442237323575,0.3147935180345008,0.31521170935703086,0.31521170935703086,0.31542080501829584,0.3159958180867747,0.31610036591740726,0.31651855723993727,0.31657083115525353,0.31667537898588605,0.3168844746471511,0.3169890224777836
-11.11448,-62.45596,Urupá,RO,841,685.8,2.0,57.5,97.7,0.0,687.4,1.7,55.9,97.7,0.0,687.6,0.2,55.7,97.7,0.0,688.9,1.3,53.2,97.7,0.0,689.7,0.8,53.6,97.7,0.0,690.3,0.6,52.9,97.7,0.0,691.1,0.8,52.2,97.7,0.0,692.1,1.0,51.2,97.7,0.0,693.2,1.1,50.1,97.7,0.0,694.1,0.9,49.2,97.7,0.0,695.0,0.8,48.3,97.7,0.0,695.4,0.4,47.9,97.7,0.0,0.8154577883472056,0.8173602853745541,0.8175980975029726,0.8191438763376931,0.8200951248513675,0.820808561236623,0.8217598097502973,0.8229488703923901,0.8242568370986921,0.8253269916765755,0.8263971462544589,0.826872770511296
-2.8349,-57.83095,Urucurituba,AM,2915,93.6,0.6,129.7,1689.6,1000.4,93.6,0.0,34.0,1689.6,1000.4,94.6,1.0,129.9,1689.6,1000.4,95.2,0.6,126.2,1689.6,1000.4,95.2,0.0,62.4,1689.6,1000.4,96.0,0.8,89.0,1689.6,1000.4,96.8,0.8,124.4,1689.6,1000.4,97.0,0.2,128.0,1689.6,1000.4,97.1,0.1,111.1,1689.6,1000.4,97.2,0.1,127.8,1689.6,1000.4,97.2,0.0,127.7,1689.6,1000.4,97.6,0.4,127.4,1689.6,1000.4,0.032109777015437393,0.032109777015437393,0.03245283018867924,0.03265866209262436,0.03265866209262436,0.03293310463121784,0.03320754716981132,0.033276157804459694,0.03331046312178387,0.03334476843910806,0.03334476843910806,0.033481989708404804
-1.24938,-58.78714,Urucará,AM,28012,332.2,2.1,25340.2,423.0,646.4,333.8,1.6,26129.7,423.0,646.4,338.1,4.3,23045.3,423.0,646.4,339.8,1.8,24634.6,423.0,646.4,340.2,0.4,19692.6,423.0,646.4,342.5,2.3,20384.4,423.0,646.4,344.0,1.5,21242.2,423.0,646.4,344.3,0.4,24400.7,423.0,646.4,344.7,0.4,21904.6,423.0,646.4,345.4,0.7,18097.3,423.0,646.4,346.0,0.5,16984.6,423.0,646.4,347.2,1.3,26383.3,423.0,646.4,0.011859203198629159,0.011916321576467229,0.012069827216907041,0.01213051549335999,0.012144795087819505,0.01222690275596173,0.012280451235184921,0.01229116093102956,0.012305440525489075,0.01233042981579323,0.012351849207482507,0.01239468799086106
-3.5763300000000005,-53.741009999999996,Uruará,PA,10794,2876.4,91.5,6236.7,0.0,0.2,2976.0,99.7,7339.3,0.0,0.2,3045.5,69.5,7606.5,0.0,0.2,3084.2,38.7,7445.6,0.0,0.2,3136.7,52.5,7250.7,0.0,0.2,3183.5,46.8,7168.9,0.0,0.2,3198.2,14.7,4505.2,0.0,0.2,3251.4,53.2,6430.1,0.0,0.2,3315.1,63.7,5060.7,0.0,0.2,3403.8,88.7,7389.1,0.0,0.2,3488.2,84.4,7265.0,0.0,0.2,3642.6,154.4,7151.2,0.0,0.2,0.26648137854363535,0.2757087270705948,0.2821474893459329,0.28573281452658883,0.2905966277561608,0.2949323698350936,0.29629423753937373,0.30122290161200665,0.30712432833055403,0.31534185658699276,0.3231610153789142,0.3374652584769316
-11.535960000000001,-54.3507,União do Sul,MT,4583,1016.8,38.5,3541.4,22.7,0.0,1019.9,3.1,3538.3,22.7,0.0,1028.7,8.9,3529.5,22.7,0.0,1039.6,10.9,3518.6,22.7,0.0,1055.6,16.0,3502.5,22.7,0.0,1068.4,12.8,3489.8,22.7,0.0,1085.3,16.9,3472.8,22.7,0.0,1123.8,38.5,3436.5,22.7,0.0,1147.9,24.1,3412.4,22.7,0.0,1193.9,46.0,3366.4,22.7,0.0,1222.9,29.1,3337.4,22.7,0.0,1285.5,62.6,3274.8,22.7,0.0,0.22186340824787257,0.22253982107789658,0.22445996072441632,0.22683831551385553,0.2303294785075278,0.23312240890246566,0.23680994981453196,0.24521056076805584,0.25046912502727475,0.2605062186340825,0.26683395156011347,0.2804931267728562
-3.8018699999999996,-47.54701,Ulianópolis,PA,5122,3351.5,137.4,1759.7,0.0,0.0,3395.7,44.2,1537.1,0.0,0.0,3415.0,19.3,1689.3,0.0,0.0,3438.0,23.0,1652.0,0.0,0.0,3469.5,31.5,1606.2,0.0,0.0,3480.6,11.1,1115.0,0.0,0.0,3483.5,2.9,546.1,0.0,0.0,3505.9,22.5,1322.2,0.0,0.0,3524.1,18.2,1551.4,0.0,0.0,3539.8,15.6,1581.8,0.0,0.0,3546.4,6.6,0.0,0.0,0.0,3564.7,18.3,1557.3,0.0,0.0,0.6543342444357673,0.6629636860601327,0.6667317454119485,0.671222178836392,0.6773721202655213,0.6795392424834049,0.6801054275673565,0.6844787192502929,0.6880320187426786,0.691097227645451,0.6923857868020304,0.6959586099180007
