Municipio,CodIbge,Estado,Ano,Internações - Dengue
Dom Pedro,210380,MA,2008,9.0
Duque Bacelar,210390,MA,2008,13.0
Esperantinópolis,210400,MA,2008,5.0
Estreito,210405,MA,2008,84.0
Feira Nova do Maranhão,210407,MA,2008,3.0
Fernando Falcão,210408,MA,2008,0.0
Formosa da Serra Negra,210409,MA,2008,3.0
Fortaleza dos Nogueiras,210410,MA,2008,30.0
Fortuna,210420,MA,2008,11.0
Godofredo Viana,210430,MA,2008,1.0
Gonçalves Dias,210440,MA,2008,6.0
Governador Archer,210450,MA,2008,13.0
Governador Edison Lobão,210455,MA,2008,10.0
Governador Eugênio Barros,210460,MA,2008,7.0
Governador Luiz Rocha,210462,MA,2008,3.0
Governador Newton Bello,210465,MA,2008,0.0
Governador Nunes Freire,210467,MA,2008,24.0
Graça Aranha,210470,MA,2008,45.0
Grajaú,210480,MA,2008,12.0
Guimarães,210490,MA,2008,0.0
Humberto de Campos,210500,MA,2008,0.0
Icatu,210510,MA,2008,2.0
Igarapé do Meio,210515,MA,2008,0.0
Igarapé Grande,210520,MA,2008,2.0
Imperatriz,210530,MA,2008,179.0
Itaipava do Grajaú,210535,MA,2008,0.0
Itapecuru Mirim,210540,MA,2008,3.0
Itinga do Maranhão,210542,MA,2008,4.0
Jatobá,210545,MA,2008,0.0
Jenipapo dos Vieiras,210547,MA,2008,0.0
João Lisboa,210550,MA,2008,31.0
Joselândia,210560,MA,2008,2.0
Junco do Maranhão,210565,MA,2008,2.0
Lago da Pedra,210570,MA,2008,21.0
Lago do Junco,210580,MA,2008,22.0
Lago dos Rodrigues,210594,MA,2008,2.0
Lago Verde,210590,MA,2008,21.0
Lagoa do Mato,210592,MA,2008,1.0
Lagoa Grande do Maranhão,210596,MA,2008,0.0
Lajeado Novo,210598,MA,2008,5.0
Lima Campos,210600,MA,2008,0.0
Loreto,210610,MA,2008,0.0
Luís Domingues,210620,MA,2008,0.0
Magalhães de Almeida,210630,MA,2008,22.0
Maracaçumé,210632,MA,2008,8.0
Marajá do Sena,210635,MA,2008,0.0
Maranhãozinho,210637,MA,2008,1.0
Mata Roma,210640,MA,2008,1.0
Matinha,210650,MA,2008,0.0
Matões,210660,MA,2008,83.0
Matões do Norte,210663,MA,2008,0.0
Milagres do Maranhão,210667,MA,2008,1.0
Mirador,210670,MA,2008,60.0
Miranda do Norte,210675,MA,2008,15.0
Mirinzal,210680,MA,2008,0.0
Monção,210690,MA,2008,4.0
Montes Altos,210700,MA,2008,10.0
Morros,210710,MA,2008,2.0
Nina Rodrigues,210720,MA,2008,0.0
Nova Colinas,210725,MA,2008,0.0
Nova Iorque,210730,MA,2008,0.0
Nova Olinda do Maranhão,210735,MA,2008,0.0
Olho d'Água das Cunhãs,210740,MA,2008,2.0
Olinda Nova do Maranhão,210745,MA,2008,0.0
Paço do Lumiar,210750,MA,2008,4.0
Palmeirândia,210760,MA,2008,1.0
Paraibano,210770,MA,2008,22.0
Parnarama,210780,MA,2008,0.0
Passagem Franca,210790,MA,2008,66.0
Pastos Bons,210800,MA,2008,8.0
Paulino Neves,210805,MA,2008,1.0
Paulo Ramos,210810,MA,2008,8.0
Pedreiras,210820,MA,2008,2.0
Pedro do Rosário,210825,MA,2008,0.0
Penalva,210830,MA,2008,0.0
Peri Mirim,210840,MA,2008,4.0
Peritoró,210845,MA,2008,1.0
Pindaré-Mirim,210850,MA,2008,7.0
Pinheiro,210860,MA,2008,6.0
Pio XII,210870,MA,2008,4.0
Pirapemas,210880,MA,2008,0.0
Poção de Pedras,210890,MA,2008,45.0
Porto Franco,210900,MA,2008,98.0
Porto Rico do Maranhão,210905,MA,2008,0.0
Presidente Dutra,210910,MA,2008,66.0
Presidente Juscelino,210920,MA,2008,0.0
Presidente Médici,210923,MA,2008,61.0
Presidente Sarney,210927,MA,2008,1.0
Presidente Vargas,210930,MA,2008,2.0
Primeira Cruz,210940,MA,2008,6.0
Raposa,210945,MA,2008,16.0
Riachão,210950,MA,2008,40.0
Ribamar Fiquene,210955,MA,2008,6.0
Rosário,210960,MA,2008,9.0
Sambaíba,210970,MA,2008,0.0
Santa Filomena do Maranhão,210975,MA,2008,35.0
Santa Helena,210980,MA,2008,34.0
Santa Inês,210990,MA,2008,10.0
Santa Luzia,211000,MA,2008,18.0
Santa Luzia do Paruá,211003,MA,2008,67.0
Santa Quitéria do Maranhão,211010,MA,2008,69.0
Santa Rita,211020,MA,2008,4.0
Santana do Maranhão,211023,MA,2008,4.0
Santo Amaro do Maranhão,211027,MA,2008,3.0
Santo Antônio dos Lopes,211030,MA,2008,79.0
São Benedito do Rio Preto,211040,MA,2008,0.0
São Bento,211050,MA,2008,0.0
São Bernardo,211060,MA,2008,20.0
São Domingos do Azeitão,211065,MA,2008,1.0
São Domingos do Maranhão,211070,MA,2008,34.0
São Félix de Balsas,211080,MA,2008,0.0
São Francisco do Brejão,211085,MA,2008,2.0
São Francisco do Maranhão,211090,MA,2008,40.0
São João Batista,211100,MA,2008,1.0
São João do Carú,211102,MA,2008,6.0
São João do Paraíso,211105,MA,2008,6.0
São João do Soter,211107,MA,2008,1.0
São João dos Patos,211110,MA,2008,33.0
São José de Ribamar,211120,MA,2008,23.0
São José dos Basílios,211125,MA,2008,0.0
São Luís,211130,MA,2008,126.0
São Luís Gonzaga do Maranhão,211140,MA,2008,72.0
São Mateus do Maranhão,211150,MA,2008,9.0
São Pedro da Água Branca,211153,MA,2008,32.0
São Pedro dos Crentes,211157,MA,2008,0.0
São Raimundo das Mangabeiras,211160,MA,2008,1.0
São Raimundo do Doca Bezerra,211163,MA,2008,0.0
São Roberto,211167,MA,2008,0.0
São Vicente Ferrer,211170,MA,2008,0.0
Satubinha,211172,MA,2008,0.0
Senador Alexandre Costa,211174,MA,2008,2.0
Senador La Rocque,211176,MA,2008,6.0
Serrano do Maranhão,211178,MA,2008,0.0
Sítio Novo,211180,MA,2008,1.0
Sucupira do Norte,211190,MA,2008,0.0
Sucupira do Riachão,211195,MA,2008,2.0
Tasso Fragoso,211200,MA,2008,2.0
Timbiras,211210,MA,2008,45.0
Timon,211220,MA,2008,52.0
Trizidela do Vale,211223,MA,2008,7.0
Tufilândia,211227,MA,2008,1.0
Tuntum,211230,MA,2008,8.0
Turiaçu,211240,MA,2008,8.0
Turilândia,211245,MA,2008,1.0
Tutóia,211250,MA,2008,30.0
Urbano Santos,211260,MA,2008,2.0
Vargem Grande,211270,MA,2008,6.0
Viana,211280,MA,2008,0.0
Vila Nova dos Martírios,211285,MA,2008,0.0
Vitória do Mearim,211290,MA,2008,0.0
Vitorino Freire,211300,MA,2008,41.0
Zé Doca,211400,MA,2008,1.0
Acorizal,510010,MT,2008,0.0
Alta Floresta,510025,MT,2008,15.0
Alto Araguaia,510030,MT,2008,5.0
Alto Boa Vista,510035,MT,2008,16.0
Alto Garças,510040,MT,2008,0.0
Alto Paraguai,510050,MT,2008,0.0
Alto Taquari,510060,MT,2008,0.0
Apiacás,510080,MT,2008,0.0
Araguaiana,510100,MT,2008,0.0
Araguainha,510120,MT,2008,0.0
Araputanga,510125,MT,2008,1.0
Arenápolis,510130,MT,2008,9.0
Aripuanã,510140,MT,2008,38.0
Barra do Bugres,510170,MT,2008,9.0
Barra do Garças,510180,MT,2008,2.0
Barão de Melgaço,510160,MT,2008,0.0
Bom Jesus do Araguaia,510185,MT,2008,2.0
Brasnorte,510190,MT,2008,10.0
Campinápolis,510260,MT,2008,9.0
Campo Novo do Parecis,510263,MT,2008,40.0
Campo Verde,510267,MT,2008,3.0
Campos de Júlio,510268,MT,2008,0.0
Canabrava do Norte,510269,MT,2008,0.0
Canarana,510270,MT,2008,1.0
Carlinda,510279,MT,2008,0.0
Castanheira,510285,MT,2008,1.0
Chapada dos Guimarães,510300,MT,2008,5.0
Cláudia,510305,MT,2008,0.0
Cocalinho,510310,MT,2008,0.0
Colniza,510325,MT,2008,0.0
Colíder,510320,MT,2008,8.0
Comodoro,510330,MT,2008,4.0
Confresa,510335,MT,2008,1.0
Conquista D'Oeste,510336,MT,2008,0.0
Cotriguaçu,510337,MT,2008,0.0
Cuiabá,510340,MT,2008,23.0
Curvelândia,510343,MT,2008,0.0
Cáceres,510250,MT,2008,4.0
Denise,510345,MT,2008,0.0
Diamantino,510350,MT,2008,2.0
Dom Aquino,510360,MT,2008,0.0
Feliz Natal,510370,MT,2008,0.0
Figueirópolis D'Oeste,510380,MT,2008,1.0
Gaúcha do Norte,510385,MT,2008,10.0
General Carneiro,510390,MT,2008,1.0
Glória D'Oeste,510395,MT,2008,0.0
Guarantã do Norte,510410,MT,2008,0.0
Guiratinga,0,MT,2008,
Indiavaí,510450,MT,2008,0.0
Ipiranga do Norte,510452,MT,2008,0.0
Itanhangá,510454,MT,2008,0.0
Itaúba,510455,MT,2008,39.0
Itiquira,510460,MT,2008,0.0
Jaciara,510480,MT,2008,1.0
Jangada,510490,MT,2008,0.0
Jauru,510500,MT,2008,23.0
Juara,510510,MT,2008,4.0
Juruena,510517,MT,2008,0.0
Juscimeira,510520,MT,2008,5.0
Juína,510515,MT,2008,28.0
Lambari D'Oeste,510523,MT,2008,0.0
Lucas do Rio Verde,510525,MT,2008,34.0
Luciara,510530,MT,2008,0.0
Marcelândia,510558,MT,2008,82.0
Matupá,510560,MT,2008,4.0
Mirassol d'Oeste,510562,MT,2008,0.0
Nobres,510590,MT,2008,3.0
Nortelândia,510600,MT,2008,1.0
Nossa Senhora do Livramento,510610,MT,2008,4.0
Nova Bandeirantes,510615,MT,2008,0.0
Nova Brasilândia,510620,MT,2008,0.0
Nova Canaã do Norte,510621,MT,2008,0.0
Nova Guarita,510880,MT,2008,1.0
Nova Lacerda,510618,MT,2008,1.0
Nova Marilândia,510885,MT,2008,0.0
Nova Maringá,510890,MT,2008,0.0
Nova Monte Verde,510895,MT,2008,0.0
Nova Mutum,510622,MT,2008,2.0
Nova Nazaré,510617,MT,2008,0.0
Nova Olímpia,510623,MT,2008,0.0
Nova Santa Helena,510619,MT,2008,0.0
Nova Ubiratã,510624,MT,2008,0.0
Nova Xavantina,510625,MT,2008,6.0
Novo Horizonte do Norte,510627,MT,2008,0.0
Novo Mundo,510626,MT,2008,0.0
Novo Santo Antônio,510631,MT,2008,0.0
Novo São Joaquim,510628,MT,2008,4.0
Paranatinga,510630,MT,2008,2.0
Paranaíta,510629,MT,2008,1.0
Pedra Preta,510637,MT,2008,0.0
Peixoto de Azevedo,510642,MT,2008,3.0
Planalto da Serra,510645,MT,2008,0.0
Poconé,510650,MT,2008,0.0
Pontal do Araguaia,510665,MT,2008,0.0
Ponte Branca,510670,MT,2008,0.0
Pontes e Lacerda,510675,MT,2008,90.0
Porto Alegre do Norte,510677,MT,2008,5.0
Porto Esperidião,510682,MT,2008,0.0
Porto Estrela,510685,MT,2008,0.0
Porto dos Gaúchos,510680,MT,2008,0.0
Poxoréo,510700,MT,2008,17.0
Primavera do Leste,510704,MT,2008,0.0
Querência,510706,MT,2008,0.0
Reserva do Cabaçal,510715,MT,2008,0.0
Ribeirão Cascalheira,510718,MT,2008,8.0
Ribeirãozinho,510719,MT,2008,0.0
Rondolândia,510757,MT,2008,0.0
Rondonópolis,510760,MT,2008,7.0
Rosário Oeste,510770,MT,2008,2.0
Salto do Céu,510775,MT,2008,0.0
Santa Carmem,510724,MT,2008,1.0
Santa Cruz do Xingu,510774,MT,2008,0.0
Santa Rita do Trivelato,510776,MT,2008,0.0
Santa Terezinha,510777,MT,2008,0.0
Santo Afonso,510726,MT,2008,3.0
Santo Antônio do Leste,510779,MT,2008,0.0
Santo Antônio do Leverger,510780,MT,2008,0.0
Sapezal,510787,MT,2008,0.0
Serra Nova Dourada,510788,MT,2008,1.0
Sinop,510790,MT,2008,21.0
Sorriso,510792,MT,2008,3.0
São Félix do Araguaia,510785,MT,2008,14.0
São José do Povo,510729,MT,2008,0.0
São José do Rio Claro,510730,MT,2008,0.0
São José do Xingu,510735,MT,2008,17.0
São José dos Quatro Marcos,510710,MT,2008,3.0
São Pedro da Cipa,510740,MT,2008,0.0
Tabaporã,510794,MT,2008,1.0
Tangará da Serra,510795,MT,2008,2.0
Tapurah,510800,MT,2008,1.0
Terra Nova do Norte,510805,MT,2008,21.0
Tesouro,510810,MT,2008,2.0
Torixoréu,510820,MT,2008,1.0
União do Sul,510830,MT,2008,0.0
Vale de São Domingos,510835,MT,2008,2.0
Vera,510850,MT,2008,0.0
Vila Bela da Santíssima Trindade,510550,MT,2008,32.0
Vila Rica,510860,MT,2008,0.0
Várzea Grande,510840,MT,2008,23.0
Água Boa,510020,MT,2008,0.0
Abaetetuba,150010,PA,2008,88.0
Abel Figueiredo,150013,PA,2008,12.0
Acará,150020,PA,2008,86.0
Afuá,150030,PA,2008,4.0
Alenquer,150040,PA,2008,36.0
Almeirim,150050,PA,2008,0.0
Altamira,150060,PA,2008,2.0
Anajás,150070,PA,2008,1.0
Ananindeua,150080,PA,2008,575.0
