Municipio,CodIbge,Estado,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Coari,130120,AM,12.0,15.0,22.0,10.0,0.0,3.0,1.0,0.0,5.0,4.0,1.0,1.0
Codajás,130130,AM,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
Eirunepé,130140,AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Envira,130150,AM,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Fonte Boa,130160,AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Guajará,130165,AM,0.0,0.0,1.0,0.0,0.0,0.0,16.0,39.0,4.0,1.0,1.0,58.0
Humaitá,130170,AM,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Ipixuna,130180,AM,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Iranduba,130185,AM,1.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0
Itacoatiara,130190,AM,7.0,0.0,1.0,11.0,3.0,6.0,39.0,16.0,0.0,0.0,1.0,0.0
Itamarati,130195,AM,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Itapiranga,130200,AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Japurá,130210,AM,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juruá,130220,AM,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jutaí,130230,AM,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lábrea,130240,AM,4.0,0.0,3.0,8.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0
Manacapuru,130250,AM,7.0,0.0,10.0,11.0,7.0,5.0,2.0,4.0,3.0,5.0,0.0,0.0
Manaus,130260,AM,804.0,185.0,550.0,1631.0,195.0,386.0,93.0,109.0,88.0,41.0,30.0,37.0
Manicoré,130270,AM,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Maraã,130280,AM,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maués,130290,AM,0.0,0.0,19.0,20.0,0.0,5.0,0.0,60.0,117.0,15.0,5.0,0.0
Nova Olinda do Norte,130310,AM,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novo Airão,130320,AM,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novo Aripuanã,130330,AM,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0
Parintins,130340,AM,7.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0
Pauini,130350,AM,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Presidente Figueiredo,130353,AM,0.0,2.0,5.0,18.0,3.0,5.0,1.0,3.0,4.0,0.0,0.0,1.0
Rio Preto da Eva,130356,AM,2.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Santa Isabel do Rio Negro,130360,AM,0.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santo Antônio do Içá,130370,AM,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Silves,130400,AM,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
São Gabriel da Cachoeira,130380,AM,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
São Paulo de Olivença,130390,AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Tabatinga,130406,AM,0.0,0.0,0.0,1.0,3.0,6.0,9.0,7.0,1.0,1.0,0.0,3.0
Tapauá,130410,AM,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,13.0,0.0,0.0
Tefé,130420,AM,0.0,0.0,7.0,23.0,2.0,27.0,20.0,21.0,6.0,8.0,5.0,6.0
Urucurituba,0,AM,,,,,,,,,,,,
Açailândia,210005,MA,65.0,46.0,47.0,47.0,6.0,18.0,16.0,69.0,8.0,14.0,3.0,10.0
Afonso Cunha,210010,MA,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,42.0,0.0,1.0,4.0
Água Doce do Maranhão,210015,MA,2.0,1.0,2.0,4.0,6.0,3.0,45.0,25.0,3.0,1.0,1.0,0.0
Alcântara,210020,MA,6.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,3.0
Aldeias Altas,210030,MA,23.0,161.0,22.0,7.0,0.0,27.0,56.0,145.0,276.0,208.0,77.0,24.0
Altamira do Maranhão,210040,MA,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Alto Alegre do Maranhão,210043,MA,2.0,2.0,2.0,1.0,5.0,3.0,2.0,1.0,14.0,1.0,0.0,5.0
Alto Alegre do Pindaré,210047,MA,5.0,2.0,138.0,210.0,72.0,144.0,92.0,108.0,17.0,17.0,13.0,21.0
Alto Parnaíba,210050,MA,1.0,0.0,2.0,2.0,34.0,4.0,0.0,1.0,11.0,0.0,7.0,5.0
Amapá do Maranhão,210055,MA,0.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Amarante do Maranhão,210060,MA,49.0,4.0,9.0,23.0,21.0,11.0,8.0,25.0,30.0,16.0,19.0,124.0
Anajatuba,210070,MA,0.0,0.0,25.0,42.0,30.0,2.0,1.0,0.0,6.0,2.0,0.0,0.0
Anapurus,210080,MA,4.0,9.0,35.0,32.0,9.0,28.0,4.0,3.0,5.0,3.0,10.0,31.0
Apicum-Açu,210083,MA,0.0,0.0,1.0,3.0,0.0,0.0,41.0,26.0,17.0,2.0,3.0,1.0
Araguanã,210087,MA,5.0,3.0,0.0,1.0,2.0,3.0,10.0,8.0,14.0,13.0,2.0,1.0
Araioses,210090,MA,87.0,6.0,4.0,26.0,66.0,0.0,21.0,90.0,4.0,14.0,1.0,7.0
Arame,210095,MA,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,21.0,1.0,3.0
Arari,210100,MA,1.0,10.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0
Axixá,210110,MA,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Bacabal,210120,MA,31.0,10.0,10.0,31.0,38.0,11.0,6.0,5.0,49.0,13.0,1.0,0.0
Bacabeira,210125,MA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Bacuri,210130,MA,0.0,0.0,20.0,53.0,33.0,45.0,40.0,10.0,13.0,29.0,3.0,0.0
Balsas,210140,MA,2.0,0.0,4.0,20.0,31.0,26.0,12.0,21.0,16.0,14.0,3.0,26.0
Barão de Grajaú,210150,MA,23.0,35.0,213.0,54.0,57.0,16.0,2.0,1.0,19.0,21.0,9.0,34.0
Barra do Corda,210160,MA,12.0,20.0,2.0,33.0,11.0,6.0,3.0,29.0,27.0,2.0,2.0,21.0
Barreirinhas,210170,MA,2.0,0.0,0.0,38.0,5.0,1.0,4.0,3.0,1.0,1.0,0.0,1.0
Bela Vista do Maranhão,210177,MA,0.0,0.0,2.0,2.0,1.0,0.0,1.0,16.0,26.0,25.0,5.0,17.0
Belágua,210173,MA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Benedito Leite,210180,MA,0.0,1.0,11.0,19.0,39.0,9.0,2.0,6.0,1.0,2.0,0.0,2.0
Bequimão,210190,MA,29.0,0.0,2.0,49.0,15.0,6.0,4.0,16.0,11.0,0.0,3.0,1.0
Bernardo do Mearim,210193,MA,0.0,1.0,3.0,1.0,3.0,4.0,12.0,2.0,2.0,2.0,2.0,0.0
