Lat,Long,Municipio,Estado,AreaKm2,Desmatado2008,Incremento20072008,Floresta2008,NaoFloresta2008,Hidrografia2008,Desmatado2009,Incremento20082009,Floresta2009,NaoFloresta2009,Hidrografia2009,Desmatado2010,Incremento20092010,Floresta2010,NaoFloresta2010,Hidrografia2010,Desmatado2011,Incremento20102011,Floresta2011,NaoFloresta2011,Hidrografia2011,Desmatado2012,Incremento20112012,Floresta2012,NaoFloresta2012,Hidrografia2012,Desmatado2013,Incremento20122013,Floresta2013,NaoFloresta2013,Hidrografia2013,Desmatado2014,Incremento20132014,Floresta2014,NaoFloresta2014,Hidrografia2014,Desmatado2015,Incremento20142015,Floresta2015,NaoFloresta2015,Hidrografia2015,Desmatado2016,Incremento20152016,Floresta2016,NaoFloresta2016,Hidrografia2016,Desmatado2017,Incremento20162017,Floresta2017,NaoFloresta2017,Hidrografia2017,Desmatado2018,Incremento20172018,Floresta2018,NaoFloresta2018,Hidrografia2018,Desmatado2019,Incremento20182019,Floresta2019,NaoFloresta2019,Hidrografia2019,PercDesmatado2008,PercDesmatado2009,PercDesmatado2010,PercDesmatado2011,PercDesmatado2012,PercDesmatado2013,PercDesmatado2014,PercDesmatado2015,PercDesmatado2016,PercDesmatado2017,PercDesmatado2018,PercDesmatado2019,CodIbge,Internacoes2008,Internacoes2009,Internacoes2010,Internacoes2011,Internacoes2012,Internacoes2013,Internacoes2014,Internacoes2015,Internacoes2016,Internacoes2017,Internacoes2018,Internacoes2019
-11.35975,-48.94098,Aliança do Tocantins,TO,1585,0.0,0.0,0.0,1585.9,0.0,0.0,0.0,0.0,1585.9,0.0,0.0,0.0,0.0,1585.9,0.0,0.0,0.0,0.0,1585.9,0.0,0.0,0.0,0.0,1585.9,0.0,0.0,0.0,0.0,1585.9,0.0,0.0,0.0,0.0,1585.9,0.0,0.0,0.0,0.0,1585.9,0.0,0.0,0.0,0.0,1585.9,0.0,0.0,0.0,0.0,1585.9,0.0,0.0,0.0,0.0,1585.9,0.0,0.0,0.0,0.0,1585.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170035,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47324,-47.30304,Almas,TO,4041,0.0,0.0,0.0,4041.0,0.0,0.0,0.0,0.0,4041.0,0.0,0.0,0.0,0.0,4041.0,0.0,0.0,0.0,0.0,4041.0,0.0,0.0,0.0,0.0,4041.0,0.0,0.0,0.0,0.0,4041.0,0.0,0.0,0.0,0.0,4041.0,0.0,0.0,0.0,0.0,4041.0,0.0,0.0,0.0,0.0,4041.0,0.0,0.0,0.0,0.0,4041.0,0.0,0.0,0.0,0.0,4041.0,0.0,0.0,0.0,0.0,4041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170040,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0
0.40528,-54.00657,Almeirim,PA,72964,1679.0,59.9,56406.2,2715.5,1030.6,1702.5,23.5,64541.0,2715.5,1030.6,1741.1,38.6,46713.2,2715.5,1030.6,1747.8,6.7,47943.3,2715.5,1030.6,1767.5,19.7,57960.2,2715.5,1030.6,1777.0,9.5,30273.7,2715.5,1030.6,1800.8,23.8,52261.9,2715.5,1030.6,1813.2,12.4,50089.9,2715.5,1030.6,1828.6,15.4,39576.0,2715.5,1030.6,1850.0,21.3,35378.7,2715.5,1030.6,1869.6,19.6,49191.6,2715.5,1030.6,1899.6,30.0,60061.8,2715.5,1030.6,0.023011348062058,0.02333342470259306,0.02386245271640809,0.023954278822432982,0.024224274984924073,0.02435447618003399,0.024680664437256732,0.024850611260347568,0.025061674250315226,0.02535496957403651,0.02562359519763171,0.026034756866399868,150050,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
-10.04165,-56.40435,Alta Floresta,MT,8986,4903.4,15.9,3786.1,258.7,36.1,4910.6,7.2,3778.9,258.7,36.1,4913.5,2.9,3776.1,258.7,36.1,4919.2,5.7,3770.3,258.7,36.1,4920.9,1.7,3768.7,258.7,36.1,4927.7,6.8,3761.9,258.7,36.1,4937.2,9.6,3752.3,258.7,36.1,4946.1,8.8,3745.1,258.7,36.1,4954.8,8.8,3736.4,258.7,36.1,4966.8,12.0,3724.4,258.7,36.1,4975.5,8.7,3715.7,258.7,36.1,4990.6,15.1,3700.6,258.7,36.1,0.5456710438459826,0.5464722902292455,0.5467950144669486,0.547429334520365,0.5476185176941909,0.5483752503894948,0.5494324504785221,0.5504228800356109,0.5513910527487202,0.5527264633874917,0.5536946361006011,0.5553750278210551,510025,15.0,4.0,11.0,2.0,6.0,63.0,13.0,22.0,11.0,17.0,13.0,9.0
-12.47301,-62.13723,Alta Floresta D'Oeste,RO,7137,2237.6,26.9,2993.7,1708.0,22.2,2242.7,5.1,3155.3,1708.0,22.2,2244.5,1.8,3151.8,1708.0,22.2,2251.3,6.8,3143.1,1708.0,22.2,2256.3,5.1,3145.7,1708.0,22.2,2262.9,6.5,3083.9,1708.0,22.2,2273.1,10.2,3128.8,1708.0,22.2,2278.1,5.0,3128.7,1708.0,22.2,2294.0,15.9,3109.4,1708.0,22.2,2313.9,19.9,3092.9,1708.0,22.2,2327.9,14.0,3078.9,1708.0,22.2,2360.4,32.4,3046.4,1708.0,22.2,0.3135210872915791,0.3142356732520667,0.31448788006165057,0.3154406613423007,0.316141235813367,0.31706599411517444,0.31849516603614964,0.3191957405072159,0.32142356732520666,0.3242118537200505,0.32617346223903604,0.3307271963009668,110001,65.0,212.0,64.0,15.0,31.0,130.0,40.0,88.0,58.0,22.0,5.0,76.0
-6.3166400000000005,-54.2628,Altamira,PA,159540,6138.8,341.0,144968.9,3760.6,1668.3,6529.9,391.2,138843.4,3760.6,1668.3,6726.0,196.1,146913.3,3760.6,1668.3,6964.3,238.3,145488.9,3760.6,1668.3,7194.2,229.9,145701.0,3760.6,1668.3,7490.2,296.0,138401.8,3760.6,1668.3,7784.1,293.9,142469.8,3760.6,1668.3,8092.6,308.6,142658.4,3760.6,1668.3,8502.1,409.5,143007.0,3760.6,1668.3,8726.9,224.8,145384.2,3760.6,1668.3,9161.9,435.0,135599.9,3760.6,1668.3,9737.3,575.4,144373.8,3760.6,1668.3,0.03847812460824872,0.04092954744891563,0.0421587062805566,0.0436523755797919,0.0450933935063307,0.0469487275918265,0.04879089883414818,0.050724583176632816,0.05329133759558732,0.054700388617274665,0.0574269775604864,0.06103359659019681,150060,2.0,154.0,414.0,524.0,447.0,369.0,254.0,215.0,91.0,47.0,11.0,3.0
-4.14425,-45.4663,Altamira do Maranhão,MA,542,542.5,0.0,0.0,0.0,0.0,542.5,0.0,0.0,0.0,0.0,542.5,0.0,0.0,0.0,0.0,542.5,0.0,0.0,0.0,0.0,542.5,0.0,0.0,0.0,0.0,542.5,0.0,0.0,0.0,0.0,542.5,0.0,0.0,0.0,0.0,542.5,0.0,0.0,0.0,0.0,542.5,0.0,0.0,0.0,0.0,542.5,0.0,0.0,0.0,0.0,542.5,0.0,0.0,0.0,0.0,542.5,0.0,0.0,0.0,0.0,1.0009225092250922,1.0009225092250922,1.0009225092250922,1.0009225092250922,1.0009225092250922,1.0009225092250922,1.0009225092250922,1.0009225092250922,1.0009225092250922,1.0009225092250922,1.0009225092250922,1.0009225092250922,210040,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3.10387,-62.61311,Alto Alegre,RR,25869,731.8,36.8,17145.2,2610.3,93.8,736.3,4.5,14741.2,2610.3,93.8,743.2,6.9,5229.9,2610.3,93.8,754.6,11.5,13746.1,2610.3,93.8,761.9,7.3,14999.1,2610.3,93.8,777.4,15.5,14731.3,2610.3,93.8,783.9,6.5,11526.0,2610.3,93.8,790.9,6.9,11391.5,2610.3,93.8,815.2,24.3,14859.2,2610.3,93.8,817.2,2.0,1170.0,2610.3,93.8,821.9,4.7,0.0,2610.3,93.8,847.8,25.9,19954.1,2610.3,93.8,0.028288685299006525,0.028462638679500562,0.028729367196258068,0.029170049093509606,0.029452240132977692,0.03005141288801268,0.030302678882059605,0.030573273029494762,0.03151262128416251,0.031589933897715416,0.031771618539564735,0.0327728168850748,140005,73.0,17.0,67.0,61.0,72.0,4.0,,4.0,1.0,,,4.0
-4.21028,-44.38837,Alto Alegre do Maranhão,MA,388,179.1,0.0,0.0,0.0,0.0,188.2,9.1,196.8,0.0,0.0,188.2,0.0,0.0,0.0,0.0,188.2,0.0,0.0,0.0,0.0,188.2,0.0,0.0,0.0,0.0,188.2,0.0,0.0,0.0,0.0,188.2,0.0,0.0,0.0,0.0,188.2,0.0,199.8,0.0,0.0,188.3,0.1,199.7,0.0,0.0,188.7,0.4,199.3,0.0,0.0,188.7,0.0,199.3,0.0,0.0,189.1,0.5,198.9,0.0,0.0,0.4615979381443298,0.4850515463917526,0.4850515463917526,0.4850515463917526,0.4850515463917526,0.4850515463917526,0.4850515463917526,0.4850515463917526,0.4853092783505155,0.486340206185567,0.486340206185567,0.4873711340206186,210043,2.0,2.0,2.0,1.0,5.0,3.0,2.0,1.0,14.0,1.0,0.0,5.0
-3.96927,-46.1101,Alto Alegre do Pindaré,MA,1951,1861.0,4.6,35.9,53.5,0.0,1862.7,1.7,23.7,53.5,0.0,1863.1,0.5,26.9,53.5,0.0,1863.1,0.0,33.8,53.5,0.0,1864.5,1.4,31.8,53.5,0.0,1864.6,0.0,25.2,53.5,0.0,1864.6,0.1,16.2,53.5,0.0,1864.9,0.2,21.2,53.5,0.0,1865.1,0.3,29.4,53.5,0.0,1865.3,0.2,31.4,53.5,0.0,1865.5,0.2,1.1,53.5,0.0,1865.9,0.4,31.6,53.5,0.0,0.9538698103536648,0.9547411583803178,0.9549461814454124,0.9549461814454124,0.9556637621732444,0.9557150179395182,0.9557150179395182,0.9558687852383394,0.9559712967708868,0.956073808303434,0.9561763198359816,0.9563813429010763,210047,5.0,2.0,138.0,210.0,72.0,144.0,92.0,108.0,17.0,17.0,13.0,21.0
