Localidade	"Internações por doenças gastrointestinais infecciosas
(Número de internações) (DATASUS)"	"Internações por febre amarela
(Número de internações) (DATASUS)"	"Internações por dengue
(Número de internações) (DATASUS)"	"Internações por leptospirose
(Número de internações) (DATASUS)"	"Internações por malária
(Número de internações) (DATASUS)"	"Internações por esquistossomose
(Número de internações) (DATASUS)"	"Taxa de incidência de internações por doenças associadas à falta de saneamento
(Internações por 10 mil habitantes) (DATASUS)"	"Internações por doenças associadas à falta de saneamento
(Número de internações) (DATASUS)"
Cametá (Município) (150210)	621	0	84	0	48	0	60,53	753
Capanema (Município) (150220)	395	0	61	0	0	0	70,56	456
Capitão Poço (Município) (150230)	1.419	0	17	0	2	0	275,41	1.438
Castanhal (Município) (150240)	205	0	42	4	0	0	14,02	251
Dom Eliseu (Município) (150293)	731	0	45	0	0	0	146,14	776
Igarapé-Miri (Município) (150330)	969	0	11	0	7	0	167,56	987
Ipixuna do Pará (Município) (150345)	587	0	4	0	2	0	114,99	593
Itaituba (Município) (150360)	735	0	52	2	112	0	92,03	901
Itupiranga (Município) (150370)	151	0	30	0	1	0	35,37	182
Jacundá (Município) (150380)	978	0	223	0	50	0	236,07	1.251
Juruti (Município) (150390)	80	0	18	0	0	0	19,80	98
Marabá (Município) (150420)	180	0	13	0	5	0	8,13	198
Marituba (Município) (150442)	215	0	47	2	2	0	23,47	266
Moju (Município) (150470)	200	0	10	1	0	0	29,06	211
Monte Alegre (Município) (150480)	375	0	61	3	4	0	79,38	443
Novo Repartimento (Município) (150506)	175	0	6	0	3	0	28,26	184
Óbidos (Município) (150510)	733	0	1	2	1	0	148,10	737
Oriximiná (Município) (150530)	248	0	79	3	0	0	50,79	330
Paragominas (Município) (150550)	98	0	9	0	1	0	10,69	108
Parauapebas (Município) (150553)	71	0	28	0	3	0	6,13	102
Portel (Município) (150580)	197	0	6	1	2	1	38,12	207
Redenção (Município) (150613)	225	0	58	0	4	0	37,07	287
Rondon do Pará (Município) (150618)	1.324	0	56	0	1	0	287,49	1.381
Santa Bárbara do Pará (Município) (150635)	29	0	4	0	0	0	18,32	33
Santa Izabel do Pará (Município) (150650)	1.316	0	64	2	0	0	223,19	1.382
Santana do Araguaia (Município) (150670)	396	0	63	0	0	0	76,60	459
Santarém (Município) (150680)	557	0	19	8	16	0	21,10	600
São Félix do Xingu (Município) (150730)	393	0	184	0	33	0	61,06	610
São Miguel do Guamá (Município) (150760)	237	0	15	0	0	0	47,45	252
Tailândia (Município) (150795)	130	0	12	0	1	0	16,73	143
Tomé-Açu (Município) (150800)	374	0	86	0	12	0	81,50	472
Tucuruí (Município) (150810)	55	0	22	0	7	0	8,35	84
Ulianópolis (Município) (150812)	686	0	51	0	0	0	156,88	737
Vigia (Município) (150820)	362	0	29	0	3	0	80,32	394
Viseu (Município) (150830)	885	0	101	0	0	0	171,28	986
Macapá (Município) (160030)	430	4	111	24	80	0	15,62	649
Santana (Município) (160060)	229	0	36	8	10	0	27,11	283
Araguaína (Município) (170210)	288	0	29	1	3	0	20,56	321
Gurupi (Município) (170950)	115	0	8	0	0	0	15,66	123
Paraíso do Tocantins (Município) (171610)	77	0	73	0	0	0	32,85	150
Porto Nacional (Município) (171820)	184	0	21	0	0	0	41,19	205
Palmas (Município) (172100)	281	1	78	0	2	0	14,95	362
Açailândia (Município) (210005)	342	0	7	0	3	0	33,08	352
Alcântara (Município) (210020)	33	0	1	0	0	0	15,74	34
Bacabal (Município) (210120)	698	0	38	0	0	0	72,73	736
Balsas (Município) (210140)	462	0	32	0	0	0	56,74	494
Barra do Corda (Município) (210160)	453	0	11	0	2	0	55,36	466
Barreirinhas (Município) (210170)	67	0	5	0	0	0	12,40	72
Buriticupu (Município) (210232)	545	0	27	0	1	0	85,04	573
Caxias (Município) (210300)	437	0	26	0	0	0	29,29	463
Chapadinha (Município) (210320)	256	0	11	0	1	0	35,65	268
Codó (Município) (210330)	174	0	1	1	0	0	14,78	176
Coroatá (Município) (210360)	149	0	17	0	1	0	26,66	167
Grajaú (Município) (210480)	478	0	10	0	0	0	75,65	488
Imperatriz (Município) (210530)	255	0	21	0	1	0	11,08	277
Itapecuru Mirim (Município) (210540)	84	0	4	0	0	0	13,77	88
Paço do Lumiar (Município) (210750)	172	0	14	0	1	0	16,95	187
Pinheiro (Município) (210860)	121	0	5	0	2	0	16,09	128
Raposa (Município) (210945)	214	0	2	0	0	0	77,91	216
Santa Inês (Município) (210990)	553	0	62	0	5	0	78,75	620
Santa Luzia (Município) (211000)	204	0	1	0	0	0	27,35	205
São José de Ribamar (Município) (211120)	206	0	11	1	0	0	13,00	218
São Luís (Município) (211130)	876	0	88	3	1	0	9,31	968
Timon (Município) (211220)	328	0	47	0	0	0	23,52	375
Tutóia (Município) (211250)	390	0	113	0	1	0	92,26	504
Vargem Grande (Município) (211270)	349	0	3	0	0	0	68,17	352
Viana (Município) (211280)	195	0	0	0	0	0	38,80	195
Zé Doca (Município) (211400)	35	0	10	0	1	0	9,32	46
Altos (Município) (220040)	193	0	164	0	0	0	91,00	357
Beneditinos (Município) (220160)	15	0	5	0	0	0	20,11	20
Coivaras (Município) (220273)	19	0	2	0	0	0	54,24	21
Curralinhos (Município) (220325)	0	0	0	0	0	0	0,00	0
Demerval Lobão (Município) (220330)	45	0	27	0	0	0	53,74	72
Floriano (Município) (220390)	520	0	60	0	0	0	99,73	580
José de Freitas (Município) (220550)	73	0	12	0	0	0	22,53	85
Lagoa Alegre (Município) (220555)	13	0	0	0	0	0	15,88	13
Lagoa do Piauí (Município) (220558)	9	0	1	0	0	0	25,51	10
Miguel Leão (Município) (220630)	10	0	0	0	0	0	80,91	10
Monsenhor Gil (Município) (220640)	8	0	3	0	0	0	10,64	11
Nazária (Município) (220672)	4	0	0	0	0	0	4,86	4
Parnaíba (Município) (220770)	894	0	135	0	0	0	69,65	1.029
Pau D'Arco do Piauí (Município) (220779)	2	0	0	0	0	0	5,18	2
Picos (Município) (220800)	1.749	0	29	0	0	0	235,56	1.778
Piripiri (Município) (220840)	16	0	4	0	2	0	3,54	22
Teresina (Município) (221100)	1.111	0	289	0	4	0	16,91	1.404
União (Município) (221110)	534	0	59	0	0	0	137,63	593
Acaraú (Município) (230020)	255	0	6	0	0	0	44,35	261
Acopiara (Município) (230030)	226	0	57	0	0	0	54,67	283
Aquiraz (Município) (230100)	15	0	35	1	0	0	6,85	51
Aracati (Município) (230110)	29	0	34	0	0	0	8,95	63
Barbalha (Município) (230190)	184	0	44	0	0	0	40,30	228
Beberibe (Município) (230220)	27	0	9	0	0	0	7,15	36
Boa Viagem (Município) (230240)	167	0	26	0	0	0	36,53	193
Camocim (Município) (230260)	186	0	5	0	0	0	31,38	191
Canindé (Município) (230280)	227	0	41	0	0	0	35,63	268
Cascavel (Município) (230350)	37	0	13	0	0	0	7,41	50
Caucaia (Município) (230370)	423	0	132	4	0	0	16,63	559
Chorozinho (Município) (230395)	7	0	6	0	0	0	6,86	13
Crateús (Município) (230410)	121	0	25	0	0	0	19,97	146
Crato (Município) (230420)	498	0	255	0	0	0	60,74	753
Eusébio (Município) (230428)	16	0	4	0	0	0	4,17	20
Fortaleza (Município) (230440)	3.690	0	1.437	24	2	2	20,62	5.155
Granja (Município) (230470)	83	0	40	0	0	0	23,42	123
Guaiúba (Município) (230495)	9	0	4	0	0	0	5,26	13
Horizonte (Município) (230523)	25	0	3	0	0	0	4,79	28
Icó (Município) (230540)	104	0	38	0	0	0	21,55	142
Iguatu (Município) (230550)	312	0	77	1	0	0	39,74	390
Itaitinga (Município) (230625)	4	0	0	0	0	0	1,09	4
Itapajé (Município) (230630)	85	0	28	0	0	0	23,00	113
Itapipoca (Município) (230640)	236	0	157	0	0	0	32,94	393
Juazeiro do Norte (Município) (230730)	264	0	87	0	1	1	13,81	353
Limoeiro do Norte (Município) (230760)	234	0	31	0	1	0	47,28	266
Maracanaú (Município) (230765)	42	0	34	1	0	0	3,61	77
Maranguape (Município) (230770)	46	0	19	1	0	0	5,63	66
Morada Nova (Município) (230870)	42	0	2	0	0	0	7,13	44
Pacajus (Município) (230960)	13	0	24	1	0	0	5,89	38
Pacatuba (Município) (230970)	21	0	5	1	0	0	3,58	27
Pindoretama (Município) (231085)	6	0	7	0	0	0	6,75	13
Quixadá (Município) (231130)	60	0	24	0	0	0	10,21	84
Quixeramobim (Município) (231140)	454	0	58	0	0	0	69,37	512
Russas (Município) (231180)	705	0	47	5	0	0	105,54	757
São Gonçalo do Amarante (Município) (231240)	26	0	6	0	0	0	7,09	32
Sobral (Município) (231290)	426	0	16	1	0	0	22,94	443
Tauá (Município) (231330)	350	0	98	0	0	0	79,56	448
Tianguá (Município) (231340)	45	0	0	1	0	0	6,52	46
Trairi (Município) (231350)	31	0	6	0	0	0	7,05	37
Viçosa do Ceará (Município) (231410)	92	0	0	1	0	0	16,49	93
Açu (Município) (240020)	86	0	18	0	0	0	19,25	104
Caicó (Município) (240200)	381	0	18	1	0	0	62,92	400
Ceará-Mirim (Município) (240260)	19	0	9	1	0	0	4,20	29
Parnamirim (Município) (240325)	25	0	11	2	0	0	1,77	38
Extremoz (Município) (240360)	9	0	3	0	0	0	4,74	12
Macaíba (Município) (240710)	16	0	7	0	3	0	3,63	26
Monte Alegre (Município) (240780)	4	0	3	0	0	0	3,34	7
Mossoró (Município) (240800)	68	0	31	0	0	0	3,71	99
Natal (Município) (240810)	182	0	167	6	5	1	4,42	361
Nísia Floresta (Município) (240820)	13	0	2	0	0	1	6,53	16
São Gonçalo do Amarante (Município) (241200)	245	0	34	0	0	1	30,98	280
São José de Mipibu (Município) (241220)	34	0	5	0	0	0	9,63	39
Vera Cruz (Município) (241480)	2	0	3	0	0	0	4,52	5
Alhandra (Município) (250060)	29	0	1	0	0	0	16,37	30
Bayeux (Município) (250180)	184	0	25	0	0	2	20,99	211
Caaporã (Município) (250300)	180	0	20	0	0	0	96,84	200
Cabedelo (Município) (250320)	74	0	18	0	0	0	15,28	92
Cajazeiras (Município) (250370)	148	0	10	0	0	0	26,72	158
Campina Grande (Município) (250400)	786	0	84	0	0	0	22,31	870
Conde (Município) (250460)	56	0	10	1	0	0	30,24	67
Cruz do Espírito Santo (Município) (250490)	11	0	0	0	0	0	6,74	11
Guarabira (Município) (250630)	47	0	31	0	0	0	13,93	78
João Pessoa (Município) (250750)	1.307	0	253	4	2	1	21,11	1.567
Lucena (Município) (250860)	8	0	0	0	0	0	6,65	8
Mamanguape (Município) (250890)	25	0	2	0	0	0	6,35	27
Patos (Município) (251080)	134	0	29	0	0	0	15,98	163
Pedras de Fogo (Município) (251120)	41	0	0	0	0	2	15,65	43
Pitimbu (Município) (251190)	38	0	3	0	0	0	23,44	41
Rio Tinto (Município) (251290)	12	0	0	0	0	0	5,12	12
Santa Rita (Município) (251370)	176	0	30	0	0	6	17,38	212
Sapé (Município) (251530)	59	0	7	0	0	0	13,05	66
Sousa (Município) (251620)	8	0	6	0	0	0	2,11	14
Abreu e Lima (Município) (260005)	43	0	16	7	0	0	6,93	66
Araçoiaba (Município) (260105)	9	0	3	0	0	0	6,45	12
Araripina (Município) (260110)	609	0	98	0	0	0	90,33	707
Arcoverde (Município) (260120)	111	0	32	0	0	0	20,46	143
Belo Jardim (Município) (260170)	58	0	13	0	0	0	9,73	71
Bezerros (Município) (260190)	9	0	2	0	0	0	1,87	11
Brejo da Madre de Deus (Município) (260260)	38	0	2	0	0	0	8,65	40
Buíque (Município) (260280)	415	0	97	0	0	0	96,05	512
Cabo de Santo Agostinho (Município) (260290)	104	0	33	9	0	4	7,93	150
Camaragibe (Município) (260345)	42	0	19	4	0	0	4,43	65
Carpina (Município) (260400)	48	0	47	0	0	4	12,94	99
Caruaru (Município) (260410)	195	0	30	2	0	0	7,00	227
Escada (Município) (260520)	141	0	4	3	0	2	23,28	150
Garanhuns (Município) (260600)	158	0	16	0	0	1	13,34	175
Goiana (Município) (260620)	88	0	31	0	0	0	15,68	119
Gravatá (Município) (260640)	28	0	9	0	0	1	4,88	38
Igarassu (Município) (260680)	33	0	14	4	0	2	5,05	53
Ipojuca (Município) (260720)	35	0	6	1	0	3	5,37	45
Ilha de Itamaracá (Município) (260760)	3	0	3	1	0	1	3,51	8
Itapissuma (Município) (260775)	7	0	3	1	0	0	4,52	11
Jaboatão dos Guararapes (Município) (260790)	541	0	112	12	1	3	10,22	669
Limoeiro (Município) (260890)	75	0	26	0	0	2	18,61	103
Moreno (Município) (260940)	40	1	14	2	0	1	10,03	58
Olinda (Município) (260960)	181	0	79	16	0	1	7,30	277
Ouricuri (Município) (260990)	627	0	177	0	0	0	122,73	804
Palmares (Município) (261000)	174	1	16	0	0	0	31,79	191
Paudalho (Município) (261060)	75	2	13	0	0	0	17,21	90
Paulista (Município) (261070)	99	1	47	9	0	2	5,16	158
Pesqueira (Município) (261090)	409	0	248	0	0	0	103,43	657
Petrolina (Município) (261110)	204	0	19	1	0	0	7,34	224
Recife (Município) (261160)	925	3	217	42	5	4	7,69	1.196
Salgueiro (Município) (261220)	583	0	20	0	0	1	105,33	604
Santa Cruz do Capibaribe (Município) (261250)	53	0	1	0	0	0	5,88	54
São Bento do Una (Município) (261300)	64	0	3	0	0	0	12,31	67
São Lourenço da Mata (Município) (261370)	40	0	11	1	0	1	5,06	53
Serra Talhada (Município) (261390)	766	0	134	0	0	0	111,82	900
Surubim (Município) (261450)	48	0	8	0	0	0	9,37	56
Timbaúba (Município) (261530)	47	1	8	1	0	0	10,68	57
Vitória de Santo Antão (Município) (261640)	634	0	203	5	0	5	65,20	847
Arapiraca (Município) (270030)	989	0	273	0	1	0	57,90	1.263
Barra de Santo Antônio (Município) (270050)	50	0	1	0	0	0	34,78	51
Barra de São Miguel (Município) (270060)	21	0	3	1	0	0	32,24	25
Campo Alegre (Município) (270140)	48	0	3	0	0	0	9,75	51
Coqueiro Seco (Município) (270220)	21	0	0	0	0	0	37,59	21
Coruripe (Município) (270230)	125	0	34	0	0	0	29,87	159
Delmiro Gouveia (Município) (270240)	116	0	17	0	3	0	27,83	136
Maceió (Município) (270430)	1.472	0	105	17	0	2	16,74	1.596
Marechal Deodoro (Município) (270470)	73	0	17	0	0	0	18,95	90
Messias (Município) (270520)	13	0	1	0	0	0	8,59	14
Palmeira dos Índios (Município) (270630)	223	0	64	0	0	1	40,71	288
Paripueira (Município) (270644)	16	0	2	0	0	0	15,20	18
Penedo (Município) (270670)	185	0	76	0	0	0	42,86	261
Pilar (Município) (270690)	296	0	97	0	0	0	116,88	393
Rio Largo (Município) (270770)	167	0	36	0	0	1	29,59	204
Santa Luzia do Norte (Município) (270790)	23	0	0	0	0	0	33,01	23
São Miguel dos Campos (Município) (270860)	185	0	1	0	0	0	33,03	186
Satuba (Município) (270890)	36	0	1	0	0	0	24,63	37
União dos Palmares (Município) (270930)	128	0	16	0	0	1	23,04	145
Aracaju (Município) (280030)	254	0	161	1	0	4	7,15	420
Barra dos Coqueiros (Município) (280060)	9	0	1	1	0	0	4,22	11
Estância (Município) (280210)	22	0	5	0	0	2	4,45	29
Itabaiana (Município) (280290)	39	0	46	0	0	0	9,60	85
Lagarto (Município) (280350)	57	0	27	1	0	2	9,01	87
Nossa Senhora do Socorro (Município) (280480)	62	0	42	5	0	0	6,60	109
São Cristóvão (Município) (280670)	15	0	15	2	0	1	4,07	33
Tobias Barreto (Município) (280740)	48	0	4	0	0	0	10,66	52
Alagoinhas (Município) (290070)	108	0	5	0	0	1	7,95	114
Araci (Município) (290210)	142	0	14	0	0	0	29,81	156
Barra (Município) (290270)	410	0	11	0	0	0	83,97	421
Barreiras (Município) (290320)	863	0	30	0	0	0	63,30	893
Bom Jesus da Lapa (Município) (290390)	25	0	8	0	0	0	5,10	33
Brumado (Município) (290460)	214	0	39	0	0	0	38,94	253
Caetité (Município) (290520)	162	0	12	1	0	0	36,63	175
Camaçari (Município) (290570)	48	0	9	1	0	1	2,31	59
Campo Formoso (Município) (290600)	330	0	45	0	0	0	55,72	375
Candeias (Município) (290650)	16	0	7	0	0	0	2,73	23
Casa Nova (Município) (290720)	453	0	17	0	0	0	70,86	470
Catu (Município) (290750)	46	0	21	0	0	0	12,95	67
Conceição do Coité (Município) (290840)	713	0	236	0	0	0	150,56	949
Cruz das Almas (Município) (290980)	63	0	12	0	0	0	12,61	75
Dias d'Ávila (Município) (291005)	23	0	40	0	0	0	9,05	63
Euclides da Cunha (Município) (291070)	161	0	20	0	0	0	31,78	181
Eunápolis (Município) (291072)	287	0	73	0	0	0	35,08	360
Feira de Santana (Município) (291080)	246	0	108	4	0	0	6,30	358
Guanambi (Município) (291170)	24	0	139	0	0	0	20,39	163
Ilhéus (Município) (291360)	492	0	293	3	0	0	42,07	788
Ipirá (Município) (291400)	75	0	21	0	0	0	16,27	96
Irecê (Município) (291460)	40	0	5	0	0	0	6,66	45
Itaberaba (Município) (291470)	181	0	20	0	0	0	32,40	201
Itabuna (Município) (291480)	729	0	138	2	0	0	42,21	869
Itamaraju (Município) (291560)	57	0	20	0	0	2	12,53	79
Itaparica (Município) (291610)	49	0	2	0	0	0	24,29	51
Itapetinga (Município) (291640)	380	0	119	0	0	0	71,38	499
Jacobina (Município) (291750)	573	0	359	0	0	2	117,37	934
Jaguaquara (Município) (291760)	390	0	55	0	0	0	86,18	445
Jequié (Município) (291800)	909	0	387	2	0	2	85,32	1.300
Juazeiro (Município) (291840)	227	0	16	0	0	0	12,06	243
Lauro de Freitas (Município) (291920)	27	0	15	2	0	0	2,57	44
Luís Eduardo Magalhães (Município) (291955)	9	0	5	0	0	0	2,11	14
Madre de Deus (Município) (291992)	8	0	9	0	0	0	9,35	17
Mata de São João (Município) (292100)	30	0	7	0	0	0	8,91	37
Paulo Afonso (Município) (292400)	143	0	8	0	0	0	13,70	151
Pojuca (Município) (292520)	2	0	2	1	0	0	1,47	5
Porto Seguro (Município) (292530)	21	0	15	2	0	0	2,89	38
Ribeira do Pombal (Município) (292660)	48	0	18	1	0	0	13,99	67
Salvador (Município) (292740)	737	0	254	61	2	2	3,90	1.056
Santo Amaro (Município) (292860)	21	0	5	0	0	0	4,48	26
Santo Antônio de Jesus (Município) (292870)	366	0	30	0	0	0	42,55	396
Santo Estêvão (Município) (292880)	84	0	2	0	0	0	17,59	86
São Francisco do Conde (Município) (292920)	2	0	0	0	0	0	0,58	2
São Sebastião do Passé (Município) (292950)	9	0	9	0	0	0	4,24	18
Senhor do Bonfim (Município) (293010)	240	0	53	0	0	0	38,84	293
Serrinha (Município) (293050)	462	0	298	0	0	0	98,43	760
Simões Filho (Município) (293070)	67	0	32	7	3	0	8,98	109
Teixeira de Freitas (Município) (293135)	165	0	48	0	0	0	14,90	213
Tucano (Município) (293190)	258	0	46	0	0	0	57,65	304
Valença (Município) (293290)	302	0	40	2	0	0	38,09	344
Vera Cruz (Município) (293320)	42	0	1	0	0	0	11,10	43
Vitória da Conquista (Município) (293330)	868	0	67	0	0	1	29,63	936
Alfenas (Município) (310160)	10	0	0	0	0	0	1,34	10
Araguari (Município) (310350)	95	0	4	0	2	0	9,10	101
Araxá (Município) (310400)	41	0	27	1	0	0	7,20	69
Baldim (Município) (310500)	1	0	0	0	0	0	1,27	1
Barão de Cocais (Município) (310540)	11	0	1	1	0	0	4,45	13
Barbacena (Município) (310560)	13	0	2	0	0	0	1,17	15
Belo Horizonte (Município) (310620)	891	0	62	14	3	9	4,09	979
Belo Vale (Município) (310640)	14	0	0	0	0	0	18,54	14
Betim (Município) (310670)	79	0	11	8	0	1	2,55	99
Bom Despacho (Município) (310740)	19	0	4	0	2	0	5,38	25
Bonfim (Município) (310810)	2	0	0	0	0	0	2,94	2
Brumadinho (Município) (310900)	15	0	0	0	0	0	4,28	15
Caeté (Município) (311000)	14	0	3	0	0	0	4,10	17
Campo Belo (Município) (311120)	0	0	0	0	0	0	0,00	0
Capim Branco (Município) (311250)	4	0	0	0	0	0	4,43	4
Caratinga (Município) (311340)	51	0	0	0	0	0	5,91	51
Cataguases (Município) (311530)	38	0	1	0	0	0	5,52	39
Confins (Município) (311787)	1	0	0	0	0	0	1,65	1
Congonhas (Município) (311800)	31	0	2	0	0	0	6,65	33
Conselheiro Lafaiete (Município) (311830)	412	0	1	0	0	0	34,83	413
Contagem (Município) (311860)	136	0	13	4	1	2	2,54	156
Coronel Fabriciano (Município) (311940)	44	0	35	1	1	0	7,74	81
Curvelo (Município) (312090)	40	0	1	0	0	0	5,47	41
Divinópolis (Município) (312230)	24	0	1	0	0	0	1,15	25
Esmeraldas (Município) (312410)	12	0	4	0	0	0	2,57	16
Florestal (Município) (312600)	1	0	0	0	0	0	1,48	1
Formiga (Município) (312610)	100	0	0	0	0	0	15,28	100
Fortuna de Minas (Município) (312640)	0	0	0	0	0	0	0,00	0
Frutal (Município) (312710)	33	0	4	0	1	0	6,97	38
Funilândia (Município) (312720)	1	0	0	0	0	0	2,54	1
Governador Valadares (Município) (312770)	225	0	46	2	0	0	10,26	273
Guaxupé (Município) (312870)	37	0	0	0	0	0	7,43	37
Ibirité (Município) (312980)	31	0	0	0	0	1	1,96	32
Igarapé (Município) (313010)	8	0	0	0	0	0	2,20	8
Inhaúma (Município) (313100)	0	0	0	0	0	0	0,00	0
Ipatinga (Município) (313130)	165	0	71	1	0	0	9,73	237
Itabira (Município) (313170)	36	0	3	0	0	1	3,59	40
Itabirito (Município) (313190)	21	0	1	0	0	1	4,94	23
Itaguara (Município) (313220)	16	0	1	0	0	0	13,56	17
Itajubá (Município) (313240)	17	0	0	1	0	0	1,96	18
Itatiaiuçu (Município) (313370)	5	0	0	0	0	0	4,93	5
Itaúna (Município) (313380)	69	0	1	0	0	0	8,07	70
Ituiutaba (Município) (313420)	187	0	6	0	0	0	19,62	193
Jaboticatubas (Município) (313460)	3	0	2	0	0	0	2,83	5
Janaúba (Município) (313510)	13	0	0	0	0	0	1,92	13
Januária (Município) (313520)	8	0	3	0	0	0	1,67	11
João Monlevade (Município) (313620)	11	0	0	0	0	0	1,47	11
Nova União (Município) (313660)	2	0	0	0	0	0	3,59	2
Juatuba (Município) (313665)	3	0	2	0	0	0	2,17	5
Juiz de Fora (Município) (313670)	313	0	6	1	0	0	6,09	320
Lagoa da Prata (Município) (313720)	26	0	2	0	0	0	5,95	28
Lagoa Santa (Município) (313760)	5	0	1	0	0	0	1,10	6
Lavras (Município) (313820)	44	0	0	0	0	0	4,67	44
Leopoldina (Município) (313840)	26	0	4	1	0	0	6,04	31
Manhuaçu (Município) (313940)	70	0	1	0	0	0	8,72	71
Mariana (Município) (314000)	40	0	0	0	0	0	7,23	40
Mário Campos (Município) (314015)	0	0	0	0	0	0	0,00	0
Mateus Leme (Município) (314070)	1	0	2	0	0	0	1,06	3
Matozinhos (Município) (314110)	23	0	3	0	0	0	7,51	26
Moeda (Município) (314230)	5	0	0	0	0	0	10,59	5
Montes Claros (Município) (314330)	66	0	22	1	0	0	2,40	89
Muriaé (Município) (314390)	254	0	18	1	0	0	26,75	273
Nova Lima (Município) (314480)	17	0	0	0	0	0	2,04	17
Nova Serrana (Município) (314520)	14	0	14	0	0	0	3,54	28
Ouro Preto (Município) (314610)	45	0	0	1	0	0	6,49	46
Paracatu (Município) (314700)	26	0	2	0	0	1	3,37	29
Pará de Minas (Município) (314710)	21	0	4	0	0	0	2,91	25
Passos (Município) (314790)	76	0	2	0	0	0	7,24	78
Patos de Minas (Município) (314800)	51	0	5	1	0	0	4,04	57
Patrocínio (Município) (314810)	46	0	2	0	0	0	5,72	48
Pedro Leopoldo (Município) (314930)	6	0	3	0	0	0	1,51	9
Pirapora (Município) (315120)	32	0	7	0	0	0	7,24	39
Poços de Caldas (Município) (315180)	25	0	1	0	0	0	1,68	26
Ponte Nova (Município) (315210)	20	0	10	0	0	0	5,20	30
Pouso Alegre (Município) (315250)	26	0	1	1	0	0	2,09	28
Prudente de Morais (Município) (315360)	2	0	0	0	0	0	2,05	2
Raposos (Município) (315390)	2	0	0	0	0	0	1,29	2
Ribeirão das Neves (Município) (315460)	99	0	19	4	0	0	4,03	122
Rio Acima (Município) (315480)	0	0	0	0	0	0	0,00	0
Rio Manso (Município) (315530)	1	0	0	0	0	0	1,86	1
Sabará (Município) (315670)	38	0	1	0	0	0	3,05	39
Santa Bárbara (Município) (315720)	3	0	0	0	0	0	1,06	3
Santa Luzia (Município) (315780)	77	0	5	2	0	1	4,13	85
São Francisco (Município) (316110)	27	0	0	0	0	0	4,98	27
São João del Rei (Município) (316250)	72	0	1	1	0	0	8,67	74
São Joaquim de Bicas (Município) (316292)	2	0	3	0	0	0	1,88	5
São José da Lapa (Município) (316295)	2	0	0	0	0	0	0,97	2
São José da Varginha (Município) (316310)	1	0	0	0	0	0	2,30	1
São Sebastião do Paraíso (Município) (316470)	11	0	1	0	0	0	1,82	12
Sarzedo (Município) (316553)	4	0	1	0	0	0	1,84	5
