Localidade	"Internações por doenças gastrointestinais infecciosas
(Número de internações) (DATASUS)"	"Internações por febre amarela
(Número de internações) (DATASUS)"	"Internações por dengue
(Número de internações) (DATASUS)"	"Internações por leptospirose
(Número de internações) (DATASUS)"	"Internações por malária
(Número de internações) (DATASUS)"	"Internações por esquistossomose
(Número de internações) (DATASUS)"	"Taxa de incidência de internações por doenças associadas à falta de saneamento
(Internações por 10 mil habitantes) (DATASUS)"	"Internações por doenças associadas à falta de saneamento
(Número de internações) (DATASUS)"
Ariquemes (Município) (110002)	49	0	20	0	21	0	9,70	90
Cacoal (Município) (110004)	280	0	14	2	5	0	37,94	301
Jaru (Município) (110011)	100	0	18	0	21	0	26,85	139
Ji-Paraná (Município) (110012)	331	0	142	0	25	0	42,17	498
Porto Velho (Município) (110020)	308	0	50	2	246	0	13,69	606
Rolim de Moura (Município) (110028)	635	0	143	0	2	0	152,52	780
Vilhena (Município) (110030)	219	0	73	0	7	0	37,56	299
Cruzeiro do Sul (Município) (120020)	1.163	0	1	0	216	0	172,89	1.380
Rio Branco (Município) (120040)	196	0	45	27	23	0	8,35	291
Careiro da Várzea (Município) (130115)	0	0	0	0	2	0	0,80	2
Coari (Município) (130120)	145	0	2	1	3	0	19,53	151
Humaitá (Município) (130170)	65	0	1	0	6	0	15,67	72
Iranduba (Município) (130185)	95	0	0	0	1	0	22,89	96
Itacoatiara (Município) (130190)	206	0	3	0	1	0	23,58	210
Manacapuru (Município) (130250)	161	0	7	0	0	0	19,31	168
Manaus (Município) (130260)	2.278	0	203	21	228	0	14,66	2.730
Manicoré (Município) (130270)	53	0	1	0	0	0	11,16	54
Maués (Município) (130290)	66	0	0	0	2	0	12,57	68
Novo Airão (Município) (130320)	35	0	0	0	2	0	23,89	37
Parintins (Município) (130340)	138	0	0	1	0	0	13,39	139
Presidente Figueiredo (Município) (130353)	66	0	3	0	8	0	26,87	77
Rio Preto da Eva (Município) (130356)	10	0	0	0	0	0	3,71	10
Tabatinga (Município) (130406)	8	0	4	0	8	0	3,67	20
Tefé (Município) (130420)	132	0	3	0	6	0	23,11	141
Boa Vista (Município) (140010)	326	0	89	0	141	0	18,72	556
Abaetetuba (Município) (150010)	1.707	0	239	2	10	0	135,58	1.958
Acará (Município) (150020)	324	0	11	0	3	0	62,84	338
Alenquer (Município) (150040)	864	0	1	0	6	0	163,20	871
Altamira (Município) (150060)	1.816	0	456	0	32	0	225,13	2.304
Ananindeua (Município) (150080)	3.167	0	461	2	4	0	75,11	3.634
Barcarena (Município) (150130)	402	0	90	0	3	0	46,97	495
Belém (Município) (150140)	5.042	0	206	20	18	0	37,48	5.286
Benevides (Município) (150150)	222	0	12	0	0	0	43,27	234
Bragança (Município) (150170)	1.208	0	164	2	0	0	118,28	1.374
Breu Branco (Município) (150178)	147	0	4	0	8	0	28,64	159
Breves (Município) (150180)	302	0	21	5	10	0	35,66	338
