Localidade	"Internações por doenças gastrointestinais infecciosas
(Número de internações) (DATASUS)"	"Internações por febre amarela
(Número de internações) (DATASUS)"	"Internações por dengue
(Número de internações) (DATASUS)"	"Internações por leptospirose
(Número de internações) (DATASUS)"	"Internações por malária
(Número de internações) (DATASUS)"	"Internações por esquistossomose
(Número de internações) (DATASUS)"	"Taxa de incidência de internações por doenças associadas à falta de saneamento
(Internações por 10 mil habitantes) (DATASUS)"	"Internações por doenças associadas à falta de saneamento
(Número de internações) (DATASUS)"
Ariquemes (Município) (110002)	66	0	25	0	25	0	12,67	116
Cacoal (Município) (110004)	176	0	21	0	5	1	25,71	203
Jaru (Município) (110011)	51	0	43	0	42	0	26,21	136
Ji-Paraná (Município) (110012)	339	0	193	1	39	0	48,74	572
Porto Velho (Município) (110020)	387	0	82	5	253	0	16,68	727
Rolim de Moura (Município) (110028)	450	0	57	1	9	0	101,57	517
Vilhena (Município) (110030)	189	0	48	0	5	0	31,05	242
Cruzeiro do Sul (Município) (120020)	827	0	13	0	248	0	137,42	1.088
Rio Branco (Município) (120040)	179	0	198	19	15	0	12,01	411
Careiro da Várzea (Município) (130115)	1	0	1	0	0	0	0,82	2
Coari (Município) (130120)	67	1	10	0	6	0	10,96	84
Humaitá (Município) (130170)	52	0	0	0	10	0	13,75	62
Iranduba (Município) (130185)	90	0	3	0	0	0	22,48	93
Itacoatiara (Município) (130190)	178	0	11	0	3	0	21,83	192
Manacapuru (Município) (130250)	122	0	14	0	2	1	16,15	139
Manaus (Município) (130260)	2.331	2	1.851	32	361	1	24,98	4.578
Manicoré (Município) (130270)	33	0	0	0	1	0	7,13	34
Maués (Município) (130290)	89	0	20	0	2	0	20,88	111
Novo Airão (Município) (130320)	10	0	1	0	0	0	7,28	11
Parintins (Município) (130340)	207	0	0	0	1	0	20,20	208
Presidente Figueiredo (Município) (130353)	70	0	19	0	7	0	34,38	96
Rio Preto da Eva (Município) (130356)	38	0	9	0	4	0	19,36	51
Tabatinga (Município) (130406)	7	0	2	2	13	0	4,50	24
Tefé (Município) (130420)	146	0	23	0	9	0	29,07	178
Boa Vista (Município) (140010)	454	0	95	0	161	0	24,42	710
Abaetetuba (Município) (150010)	1.523	0	202	1	9	0	121,51	1.735
Acará (Município) (150020)	257	0	10	0	0	0	49,74	267
Alenquer (Município) (150040)	587	0	8	0	15	0	115,09	610
Altamira (Município) (150060)	1.607	0	529	0	63	0	218,29	2.199
Ananindeua (Município) (150080)	4.000	0	759	8	11	0	99,96	4.778
Barcarena (Município) (150130)	298	0	55	0	5	0	34,87	358
Belém (Município) (150140)	4.916	0	315	40	38	1	37,87	5.310
Benevides (Município) (150150)	215	0	28	1	0	0	46,14	244
Bragança (Município) (150170)	1.225	0	279	7	0	0	131,71	1.511
Breu Branco (Município) (150178)	114	0	11	0	7	0	24,43	132
Breves (Município) (150180)	326	0	31	3	16	0	40,07	376
Cametá (Município) (150210)	770	0	173	2	476	0	115,83	1.421
