Localidade	"Internações por doenças gastrointestinais infecciosas
(Número de internações) (DATASUS)"	"Internações por febre amarela
(Número de internações) (DATASUS)"	"Internações por dengue
(Número de internações) (DATASUS)"	"Internações por leptospirose
(Número de internações) (DATASUS)"	"Internações por malária
(Número de internações) (DATASUS)"	"Internações por esquistossomose
(Número de internações) (DATASUS)"	"Taxa de incidência de internações por doenças associadas à falta de saneamento
(Internações por 10 mil habitantes) (DATASUS)"	"Internações por doenças associadas à falta de saneamento
(Número de internações) (DATASUS)"
Ariquemes (Município) (110002)	134	0	81	3	29	0	23,32	247
Cacoal (Município) (110004)	80	0	28	0	2	3	12,86	113
Jaru (Município) (110011)	32	0	27	1	10	0	12,54	70
Ji-Paraná (Município) (110012)	230	0	308	0	9	0	41,58	547
Porto Velho (Município) (110020)	274	0	56	18	110	0	8,96	458
Rolim de Moura (Município) (110028)	395	0	97	1	3	2	87,89	498
Vilhena (Município) (110030)	150	0	26	2	2	0	19,20	180
Cruzeiro do Sul (Município) (120020)	71	0	17	5	183	0	33,63	276
Rio Branco (Município) (120040)	62	0	8	14	3	0	2,31	87
Careiro da Várzea (Município) (130115)	4	0	0	0	0	0	1,40	4
Coari (Município) (130120)	110	0	7	0	3	0	14,30	120
Humaitá (Município) (130170)	39	0	0	2	17	0	11,08	58
Iranduba (Município) (130185)	105	0	2	0	1	0	23,12	108
Itacoatiara (Município) (130190)	82	0	0	0	0	0	8,32	82
Manacapuru (Município) (130250)	72	0	3	3	1	1	8,39	80
Manaus (Município) (130260)	2.036	0	92	25	136	0	10,93	2.289
Manicoré (Município) (130270)	109	0	0	0	2	0	20,60	111
Maués (Município) (130290)	93	0	120	1	2	0	35,35	216
Novo Airão (Município) (130320)	6	0	0	1	0	0	3,86	7
Parintins (Município) (130340)	65	0	0	4	1	0	6,21	70
Presidente Figueiredo (Município) (130353)	24	0	4	0	10	0	11,27	38
Rio Preto da Eva (Município) (130356)	31	0	0	0	2	0	10,55	33
Tabatinga (Município) (130406)	12	0	1	0	5	0	2,89	18
Tefé (Município) (130420)	93	0	6	0	7	0	17,03	106
Boa Vista (Município) (140010)	330	0	26	0	153	0	15,59	509
Abaetetuba (Município) (150010)	670	0	95	4	0	0	50,61	769
Acará (Município) (150020)	174	0	1	0	0	0	32,36	175
Alenquer (Município) (150040)	5	0	2	0	0	0	1,27	7
Altamira (Município) (150060)	467	0	92	0	0	0	50,85	559
Ananindeua (Município) (150080)	1.418	0	26	3	0	0	28,33	1.447
Barcarena (Município) (150130)	257	0	21	1	0	0	23,54	279
Belém (Município) (150140)	4.428	0	16	24	1	1	30,91	4.470
Benevides (Município) (150150)	35	0	2	0	0	0	6,18	37
Bragança (Município) (150170)	879	0	186	6	0	0	87,16	1.071
Breu Branco (Município) (150178)	57	0	11	1	1	0	11,16	70
Breves (Município) (150180)	217	0	37	16	12	0	28,46	282
Cametá (Município) (150210)	701	0	17	0	0	0	54,18	718
Capanema (Município) (150220)	188	0	45	0	0	0	34,90	233
Capitão Poço (Município) (150230)	941	0	17	0	0	0	181,55	958
Castanhal (Município) (150240)	347	0	17	1	0	0	18,95	365
Dom Eliseu (Município) (150293)	605	0	290	0	0	0	156,33	895
Igarapé-Miri (Município) (150330)	811	0	7	0	0	0	134,82	818
Ipixuna do Pará (Município) (150345)	453	0	5	0	0	0	75,79	458
Itaituba (Município) (150360)	609	0	8	0	10	0	63,66	627
Itupiranga (Município) (150370)	85	0	35	0	0	0	23,16	120
Jacundá (Município) (150380)	248	0	9	0	0	0	45,26	257
Juruti (Município) (150390)	9	0	3	0	0	0	2,17	12
Marabá (Município) (150420)	62	0	12	0	0	0	2,77	74
Marituba (Município) (150442)	151	0	9	4	0	0	13,07	164
Moju (Município) (150470)	1.180	0	2	0	0	0	150,33	1.182
Monte Alegre (Município) (150480)	197	0	47	0	1	0	43,45	245
Novo Repartimento (Município) (150506)	261	0	10	0	3	0	37,87	274
Óbidos (Município) (150510)	564	0	23	4	0	0	116,81	591
Oriximiná (Município) (150530)	217	0	118	21	0	0	50,81	356
Paragominas (Município) (150550)	148	0	6	3	0	0	14,46	157
Parauapebas (Município) (150553)	95	0	13	0	4	0	5,71	112
Portel (Município) (150580)	222	0	10	1	5	0	40,12	238
Redenção (Município) (150613)	244	0	6	0	4	0	31,11	254
Rondon do Pará (Município) (150618)	1.175	0	140	0	0	0	260,60	1.315
Santa Bárbara do Pará (Município) (150635)	3	0	0	0	0	0	1,49	3
Santa Izabel do Pará (Município) (150650)	19	0	2	0	0	0	3,10	21
Santana do Araguaia (Município) (150670)	580	0	63	0	0	0	93,28	643
