Localidade	"Internações por doenças gastrointestinais infecciosas
(Número de internações) (DATASUS)"	"Internações por febre amarela
(Número de internações) (DATASUS)"	"Internações por dengue
(Número de internações) (DATASUS)"	"Internações por leptospirose
(Número de internações) (DATASUS)"	"Internações por malária
(Número de internações) (DATASUS)"	"Internações por esquistossomose
(Número de internações) (DATASUS)"	"Taxa de incidência de internações por doenças associadas à falta de saneamento
(Internações por 10 mil habitantes) (DATASUS)"	"Internações por doenças associadas à falta de saneamento
(Número de internações) (DATASUS)"
Ariquemes (Município) (110002)	110	0	53	0	11	0	16,67	174
Cacoal (Município) (110004)	77	0	18	0	4	0	11,35	99
Jaru (Município) (110011)	26	0	29	0	12	0	12,02	67
Ji-Paraná (Município) (110012)	219	0	249	2	6	0	36,50	476
Porto Velho (Município) (110020)	236	0	52	11	86	1	7,68	386
Rolim de Moura (Município) (110028)	446	0	67	0	4	0	91,92	517
Vilhena (Município) (110030)	170	0	55	2	10	0	25,82	237
Cruzeiro do Sul (Município) (120020)	226	0	249	0	230	0	86,48	705
Rio Branco (Município) (120040)	69	0	14	47	13	0	3,86	143
Careiro da Várzea (Município) (130115)	4	0	0	0	0	0	1,43	4
Coari (Município) (130120)	138	0	0	0	18	0	18,78	156
Humaitá (Município) (130170)	40	0	1	0	6	0	9,16	47
Iranduba (Município) (130185)	104	0	2	0	6	0	24,36	112
Itacoatiara (Município) (130190)	79	0	16	0	2	0	9,99	97
Manacapuru (Município) (130250)	148	0	4	0	4	0	16,56	156
Manaus (Município) (130260)	1.646	1	113	41	200	0	9,72	2.001
Manicoré (Município) (130270)	78	0	1	0	1	0	15,08	80
Maués (Município) (130290)	61	0	60	0	2	0	20,51	123
Novo Airão (Município) (130320)	3	0	0	0	0	0	1,70	3
Parintins (Município) (130340)	112	0	5	2	1	0	10,76	120
Presidente Figueiredo (Município) (130353)	25	0	3	0	3	0	9,45	31
Rio Preto da Eva (Município) (130356)	39	0	0	0	2	0	13,43	41
Tabatinga (Município) (130406)	37	0	8	0	13	0	9,50	58
Tefé (Município) (130420)	113	0	21	2	20	0	24,98	156
Boa Vista (Município) (140010)	227	0	65	0	122	0	12,91	414
Abaetetuba (Município) (150010)	1.106	0	55	0	0	0	77,18	1.161
Acará (Município) (150020)	109	0	4	0	0	0	20,90	113
Alenquer (Município) (150040)	334	0	27	1	0	0	66,23	362
Altamira (Município) (150060)	518	0	222	0	0	0	68,28	740
Ananindeua (Município) (150080)	1.162	0	40	5	0	0	23,88	1.207
Barcarena (Município) (150130)	212	0	21	1	0	0	20,21	234
Belém (Município) (150140)	3.147	0	55	31	1	1	22,47	3.235
Benevides (Município) (150150)	55	0	3	0	0	0	9,89	58
Bragança (Município) (150170)	913	0	51	6	2	0	79,98	972
Breu Branco (Município) (150178)	111	0	17	0	0	0	20,91	128
Breves (Município) (150180)	288	1	41	8	5	1	35,02	344
Cametá (Município) (150210)	543	0	11	0	0	0	42,33	554
Capanema (Município) (150220)	333	0	15	0	0	0	52,45	348
Capitão Poço (Município) (150230)	912	0	15	0	1	0	176,11	928
Castanhal (Município) (150240)	322	0	28	4	0	0	18,65	354
Dom Eliseu (Município) (150293)	573	0	72	0	0	0	114,37	645
Igarapé-Miri (Município) (150330)	804	0	1	0	0	0	133,40	805
Ipixuna do Pará (Município) (150345)	408	0	9	0	0	0	71,21	417
Itaituba (Município) (150360)	729	0	24	0	19	0	78,42	772
Itupiranga (Município) (150370)	83	0	10	0	0	0	17,96	93
Jacundá (Município) (150380)	400	0	24	0	0	0	75,71	424
Juruti (Município) (150390)	9	0	0	0	0	0	1,67	9
Marabá (Município) (150420)	50	0	20	0	0	0	2,67	70
Marituba (Município) (150442)	198	0	14	4	2	0	17,74	218
Moju (Município) (150470)	1.097	0	12	0	1	0	143,44	1.110
Monte Alegre (Município) (150480)	303	0	41	1	0	0	61,27	345
Novo Repartimento (Município) (150506)	250	0	7	0	0	0	36,28	257
