Localidade	"Internações por doenças gastrointestinais infecciosas
(Número de internações) (DATASUS)"	"Internações por febre amarela
(Número de internações) (DATASUS)"	"Internações por dengue
(Número de internações) (DATASUS)"	"Internações por leptospirose
(Número de internações) (DATASUS)"	"Internações por malária
(Número de internações) (DATASUS)"	"Internações por esquistossomose
(Número de internações) (DATASUS)"	"Taxa de incidência de internações por doenças associadas à falta de saneamento
(Internações por 10 mil habitantes) (DATASUS)"	"Internações por doenças associadas à falta de saneamento
(Número de internações) (DATASUS)"
Ariquemes (Município) (110002)	169	0	14	3	21	0	19,19	207
Cacoal (Município) (110004)	174	0	14	5	13	0	24,13	206
Jaru (Município) (110011)	127	0	6	0	4	0	26,46	137
Ji-Paraná (Município) (110012)	94	0	24	1	10	0	10,00	129
Porto Velho (Município) (110020)	252	0	21	13	153	0	8,29	439
Rolim de Moura (Município) (110028)	192	0	22	0	0	0	38,87	214
Vilhena (Município) (110030)	146	0	13	0	10	0	16,92	169
Cruzeiro do Sul (Município) (120020)	66	0	144	6	59	0	31,12	275
Rio Branco (Município) (120040)	37	0	26	14	14	0	2,23	91
Careiro da Várzea (Município) (130115)	5	0	0	0	0	0	1,65	5
Coari (Município) (130120)	94	0	1	4	3	0	11,99	102
Humaitá (Município) (130170)	23	0	1	0	10	0	6,17	34
Iranduba (Município) (130185)	60	0	2	0	4	0	13,67	66
Itacoatiara (Município) (130190)	83	0	0	0	6	0	8,78	89
Manacapuru (Município) (130250)	96	0	0	0	5	0	10,37	101
Manaus (Município) (130260)	1.475	0	38	24	79	1	7,41	1.617
Manicoré (Município) (130270)	24	0	1	0	0	0	4,48	25
Maués (Município) (130290)	110	0	0	0	3	0	17,68	113
Novo Airão (Município) (130320)	47	0	0	0	0	0	24,16	47
Parintins (Município) (130340)	51	0	0	2	0	0	4,64	53
Presidente Figueiredo (Município) (130353)	38	0	1	0	5	0	12,13	44
Rio Preto da Eva (Município) (130356)	12	0	1	0	2	0	4,50	15
Tabatinga (Município) (130406)	7	0	5	0	1	0	1,97	13
Tefé (Município) (130420)	87	0	9	1	5	0	17,04	102
Boa Vista (Município) (140010)	313	0	96	2	292	0	17,61	703
Abaetetuba (Município) (150010)	660	0	7	5	2	0	42,74	674
Acará (Município) (150020)	140	0	2	0	0	0	25,54	142
Alenquer (Município) (150040)	698	0	3	1	6	0	124,67	708
Altamira (Município) (150060)	210	0	4	0	4	0	19,02	218
Ananindeua (Município) (150080)	2.032	0	13	9	0	0	38,71	2.054
Barcarena (Município) (150130)	86	0	1	1	1	0	7,14	89
Belém (Município) (150140)	2.646	0	27	55	4	1	18,31	2.733
Benevides (Município) (150150)	42	0	2	2	0	0	7,33	46
Bragança (Município) (150170)	371	0	68	8	0	0	35,01	447
Breu Branco (Município) (150178)	27	0	3	0	1	0	4,69	31
Breves (Município) (150180)	254	0	3	30	10	0	28,92	297
