Localidade	"Internações por doenças gastrointestinais infecciosas
(Número de internações) (DATASUS)"	"Internações por febre amarela
(Número de internações) (DATASUS)"	"Internações por dengue
(Número de internações) (DATASUS)"	"Internações por leptospirose
(Número de internações) (DATASUS)"	"Internações por malária
(Número de internações) (DATASUS)"	"Internações por esquistossomose
(Número de internações) (DATASUS)"	"Taxa de incidência de internações por doenças associadas à falta de saneamento
(Internações por 10 mil habitantes) (DATASUS)"	"Internações por doenças associadas à falta de saneamento
(Número de internações) (DATASUS)"
Ariquemes (Município) (110002)	104	0	5	0	15	0	11,68	124
Cacoal (Município) (110004)	133	0	8	9	5	1	18,39	156
Jaru (Município) (110011)	75	0	3	0	2	0	15,40	80
Ji-Paraná (Município) (110012)	116	0	51	2	13	1	14,31	183
Porto Velho (Município) (110020)	256	0	20	12	119	0	7,83	407
Rolim de Moura (Município) (110028)	183	0	7	0	3	0	35,28	193
Vilhena (Município) (110030)	192	0	7	0	15	0	21,96	214
Cruzeiro do Sul (Município) (120020)	41	0	17	5	92	0	17,68	155
Rio Branco (Município) (120040)	34	0	16	19	14	0	2,07	83
Careiro da Várzea (Município) (130115)	3	0	1	0	1	0	1,69	5
Coari (Município) (130120)	110	0	1	1	5	0	13,88	117
Humaitá (Município) (130170)	33	0	0	0	9	0	7,78	42
Iranduba (Município) (130185)	49	0	1	2	13	0	13,66	65
Itacoatiara (Município) (130190)	77	0	1	1	2	0	8,10	81
Manacapuru (Município) (130250)	150	0	0	0	9	2	16,73	161
Manaus (Município) (130260)	1.450	1	32	22	99	0	7,48	1.604
Manicoré (Município) (130270)	24	0	0	0	1	0	4,55	25
Maués (Município) (130290)	92	0	5	0	3	0	15,93	100
Novo Airão (Município) (130320)	31	0	0	0	2	0	17,39	33
Parintins (Município) (130340)	73	0	0	4	0	0	6,80	77
Presidente Figueiredo (Município) (130353)	25	0	0	0	5	0	8,49	30
Rio Preto da Eva (Município) (130356)	15	0	0	0	5	0	6,14	20
Tabatinga (Município) (130406)	4	0	0	2	4	0	1,55	10
Tefé (Município) (130420)	70	0	5	0	4	0	13,13	79
Boa Vista (Município) (140010)	320	0	13	2	261	0	15,88	596
Abaetetuba (Município) (150010)	550	0	9	9	0	0	36,34	568
Acará (Município) (150020)	120	0	2	0	1	0	22,16	123
Alenquer (Município) (150040)	475	0	6	0	2	0	85,52	483
Altamira (Município) (150060)	195	0	13	0	5	0	18,82	213
Ananindeua (Município) (150080)	1.810	0	14	11	2	0	34,95	1.837
Barcarena (Município) (150130)	113	0	6	0	2	0	9,89	121
Belém (Município) (150140)	2.898	1	19	51	9	0	20,04	2.978
Benevides (Município) (150150)	56	0	4	1	0	0	9,89	61
Bragança (Município) (150170)	454	0	39	16	0	1	40,34	510
Breu Branco (Município) (150178)	34	0	0	0	2	0	5,56	36
Breves (Município) (150180)	241	0	3	13	10	0	26,20	267
Cametá (Município) (150210)	510	0	1	1	40	0	40,47	552
Capanema (Município) (150220)	87	0	5	2	0	0	13,70	94
Capitão Poço (Município) (150230)	388	0	13	0	0	0	74,01	401
Castanhal (Município) (150240)	180	1	20	2	0	0	10,24	203
Dom Eliseu (Município) (150293)	280	0	5	0	0	0	48,34	285
Igarapé-Miri (Município) (150330)	749	0	2	1	0	1	120,76	753
Ipixuna do Pará (Município) (150345)	246	0	1	0	0	0	39,55	247
Itaituba (Município) (150360)	274	0	2	0	7	0	27,99	283
Itupiranga (Município) (150370)	16	0	8	0	1	0	4,70	25
Jacundá (Município) (150380)	215	0	8	0	0	0	38,15	223
Juruti (Município) (150390)	8	0	0	0	0	0	1,41	8
Marabá (Município) (150420)	90	0	0	0	0	0	3,27	90
Marituba (Município) (150442)	245	0	28	10	1	0	21,96	284
Moju (Município) (150470)	125	0	9	0	2	0	16,79	136
Monte Alegre (Município) (150480)	78	0	1	0	0	0	13,64	79
Novo Repartimento (Município) (150506)	190	0	19	0	4	0	28,55	213
Óbidos (Município) (150510)	533	0	1	0	2	0	103,15	536
Oriximiná (Município) (150530)	155	0	5	1	12	0	23,97	173
Paragominas (Município) (150550)	52	0	5	0	0	0	5,10	57
Parauapebas (Município) (150553)	149	0	11	1	3	0	8,08	164
Portel (Município) (150580)	62	0	0	0	2	0	10,47	64
Redenção (Município) (150613)	100	0	25	0	0	0	14,88	125
Rondon do Pará (Município) (150618)	845	0	12	0	0	0	165,12	857
Santa Bárbara do Pará (Município) (150635)	10	0	0	0	0	0	4,83	10
Santa Izabel do Pará (Município) (150650)	63	0	4	4	1	0	10,32	72
Santana do Araguaia (Município) (150670)	132	0	4	0	0	0	19,10	136
Santarém (Município) (150680)	118	0	1	1	13	0	4,39	133
São Félix do Xingu (Município) (150730)	200	0	9	0	0	0	16,75	209
São Miguel do Guamá (Município) (150760)	49	0	1	1	0	0	8,74	51
Tailândia (Município) (150795)	70	0	4	0	4	0	7,52	78
Tomé-Açu (Município) (150800)	288	0	3	0	0	0	46,30	291
Tucuruí (Município) (150810)	15	0	0	0	3	0	1,61	18
Ulianópolis (Município) (150812)	452	0	14	0	0	0	80,86	466
Vigia (Município) (150820)	197	0	3	5	0	0	38,54	205
Viseu (Município) (150830)	667	0	55	0	0	1	118,43	723
Macapá (Município) (160030)	193	0	18	19	85	0	6,38	315
Santana (Município) (160060)	102	0	5	14	11	0	11,04	132
Araguaína (Município) (170210)	140	0	6	3	3	0	8,56	152
Gurupi (Município) (170950)	35	0	0	1	2	0	4,43	38
Paraíso do Tocantins (Município) (171610)	22	0	4	0	0	0	5,14	26
Porto Nacional (Município) (171820)	115	0	35	0	1	0	28,65	151
Palmas (Município) (172100)	153	0	20	1	1	0	6,00	175
Açailândia (Município) (210005)	241	0	3	0	0	0	21,83	244
Alcântara (Município) (210020)	35	0	1	0	0	0	16,30	36
Bacabal (Município) (210120)	201	0	1	0	4	0	19,69	206
Balsas (Município) (210140)	131	0	3	0	2	1	14,60	137
Barra do Corda (Município) (210160)	139	0	2	0	1	0	16,17	142
Barreirinhas (Município) (210170)	44	0	0	0	0	0	7,12	44
Buriticupu (Município) (210232)	670	0	13	0	1	0	95,37	684
Caxias (Município) (210300)	181	0	0	0	0	0	11,02	181
Chapadinha (Município) (210320)	153	0	0	0	0	0	19,33	153
Codó (Município) (210330)	163	0	2	0	0	0	13,46	165
Coroatá (Município) (210360)	12	0	1	0	0	0	2,00	13
Grajaú (Município) (210480)	408	0	3	0	2	0	59,96	413
Imperatriz (Município) (210530)	292	0	7	0	4	0	11,74	303
Itapecuru Mirim (Município) (210540)	136	0	0	0	1	0	20,24	137
Paço do Lumiar (Município) (210750)	62	0	0	0	1	0	5,22	63
Pinheiro (Município) (210860)	171	0	7	0	0	0	21,45	178
Raposa (Município) (210945)	51	0	0	0	0	0	16,81	51
Santa Inês (Município) (210990)	312	0	1	0	0	0	35,33	313
Santa Luzia (Município) (211000)	258	0	0	0	0	0	35,62	258
São José de Ribamar (Município) (211120)	114	0	2	0	2	0	6,69	118
São Luís (Município) (211130)	382	0	6	3	3	2	3,62	396
Timon (Município) (211220)	168	0	3	0	1	0	10,24	172
Tutóia (Município) (211250)	331	0	2	0	0	0	57,11	333
Vargem Grande (Município) (211270)	256	0	1	0	0	0	46,02	257
Viana (Município) (211280)	138	0	0	1	0	0	26,61	139
Zé Doca (Município) (211400)	201	0	4	1	4	0	40,80	210
Altos (Município) (220040)	176	0	2	0	0	0	44,02	178
Beneditinos (Município) (220160)	26	0	0	0	0	0	24,85	26
Coivaras (Município) (220273)	14	0	0	0	0	0	34,94	14
Curralinhos (Município) (220325)	0	0	0	0	0	0	0,00	0
