Localidade	"Internações por doenças gastrointestinais infecciosas
(Número de internações) (DATASUS)"	"Internações por febre amarela
(Número de internações) (DATASUS)"	"Internações por dengue
(Número de internações) (DATASUS)"	"Internações por leptospirose
(Número de internações) (DATASUS)"	"Internações por malária
(Número de internações) (DATASUS)"	"Internações por esquistossomose
(Número de internações) (DATASUS)"	"Taxa de incidência de internações por doenças associadas à falta de saneamento
(Internações por 10 mil habitantes) (DATASUS)"	"Internações por doenças associadas à falta de saneamento
(Número de internações) (DATASUS)"
Ariquemes (Município) (110002)	118	0	77	2	20	0	21,10	217
Cacoal (Município) (110004)	118	0	28	9	3	0	18,25	158
Jaru (Município) (110011)	27	0	29	1	20	0	13,83	77
Ji-Paraná (Município) (110012)	317	0	303	1	6	0	48,51	627
Porto Velho (Município) (110020)	254	0	65	23	183	1	10,65	526
Rolim de Moura (Município) (110028)	476	0	71	2	9	1	100,17	559
Vilhena (Município) (110030)	267	0	27	0	9	0	33,74	303
Cruzeiro do Sul (Município) (120020)	768	0	540	3	208	0	187,64	1.519
Rio Branco (Município) (120040)	88	0	17	37	5	0	4,04	147
Careiro da Várzea (Município) (130115)	4	0	0	0	1	0	1,83	5
Coari (Município) (130120)	157	0	1	1	13	0	20,92	172
Humaitá (Município) (130170)	24	0	0	1	4	0	5,77	29
Iranduba (Município) (130185)	77	0	0	0	4	0	17,90	81
Itacoatiara (Município) (130190)	117	0	39	0	0	0	16,30	156
Manacapuru (Município) (130250)	151	0	2	0	2	0	16,67	155
Manaus (Município) (130260)	1.688	1	98	34	128	0	9,65	1.949
Manicoré (Município) (130270)	49	0	0	0	0	0	9,39	49
Maués (Município) (130290)	56	0	0	0	1	0	9,69	57
Novo Airão (Município) (130320)	15	0	0	0	1	0	9,30	16
Parintins (Município) (130340)	187	0	0	0	1	0	17,03	188
Presidente Figueiredo (Município) (130353)	52	0	1	0	2	0	17,24	55
Rio Preto da Eva (Município) (130356)	38	0	0	0	0	0	12,76	38
Tabatinga (Município) (130406)	27	0	12	3	6	0	8,04	48
Tefé (Município) (130420)	106	0	21	0	16	0	22,82	143
Boa Vista (Município) (140010)	363	0	31	1	139	0	16,96	534
Abaetetuba (Município) (150010)	1.019	0	30	3	0	0	70,66	1.052
Acará (Município) (150020)	187	0	7	0	0	0	35,89	194
Alenquer (Município) (150040)	516	0	0	0	2	0	95,30	518
Altamira (Município) (150060)	1.518	0	259	0	6	0	167,00	1.783
Ananindeua (Município) (150080)	2.461	0	47	4	0	0	50,26	2.512
Barcarena (Município) (150130)	296	0	14	1	1	0	27,63	312
Belém (Município) (150140)	3.637	0	53	35	1	1	26,01	3.727
Benevides (Município) (150150)	48	0	2	1	0	0	8,89	51
Bragança (Município) (150170)	1.317	0	43	1	0	0	113,30	1.361
Breu Branco (Município) (150178)	100	0	3	0	0	0	17,27	103
Breves (Município) (150180)	295	0	6	13	1	0	32,36	315
Cametá (Município) (150210)	636	0	7	0	0	0	49,78	643
Capanema (Município) (150220)	441	0	14	0	0	0	69,01	455
Capitão Poço (Município) (150230)	1.125	0	5	0	0	0	214,76	1.130
Castanhal (Município) (150240)	443	0	25	0	1	0	25,09	469
Dom Eliseu (Município) (150293)	708	0	75	0	0	0	141,05	783
Igarapé-Miri (Município) (150330)	808	0	0	1	0	0	134,84	809
Ipixuna do Pará (Município) (150345)	524	0	12	0	0	0	94,68	536
Itaituba (Município) (150360)	868	0	50	0	19	0	95,22	937
Itupiranga (Município) (150370)	158	0	16	0	0	0	33,63	174
Jacundá (Município) (150380)	906	0	59	0	2	0	175,17	967
Juruti (Município) (150390)	24	0	0	0	0	0	4,55	24
Marabá (Município) (150420)	116	0	7	1	2	0	4,90	126
Marituba (Município) (150442)	294	0	15	2	0	0	25,85	311
Moju (Município) (150470)	569	0	1	0	0	0	74,91	570
Monte Alegre (Município) (150480)	295	0	8	0	1	0	54,06	304
Novo Repartimento (Município) (150506)	297	0	8	1	0	0	44,18	306
Óbidos (Município) (150510)	509	0	0	0	1	0	101,36	510
Oriximiná (Município) (150530)	172	0	62	11	4	0	36,65	249
Paragominas (Município) (150550)	123	0	2	0	0	0	11,86	125
Parauapebas (Município) (150553)	72	0	8	0	1	1	4,47	82
Portel (Município) (150580)	159	0	12	1	1	0	30,24	173
Redenção (Município) (150613)	264	0	15	1	7	0	35,91	287
Rondon do Pará (Município) (150618)	1.524	0	12	0	0	0	310,45	1.536
Santa Bárbara do Pará (Município) (150635)	15	0	0	0	0	0	7,81	15
Santa Izabel do Pará (Município) (150650)	1.112	0	10	0	0	0	171,95	1.122
Santana do Araguaia (Município) (150670)	535	0	7	0	0	0	83,31	542
Santarém (Município) (150680)	341	0	9	18	19	0	13,32	387
São Félix do Xingu (Município) (150730)	262	0	78	0	7	0	31,08	347
São Miguel do Guamá (Município) (150760)	161	0	8	0	0	0	30,62	169
Tailândia (Município) (150795)	52	0	9	0	0	0	6,50	61
Tomé-Açu (Município) (150800)	299	0	33	0	0	0	55,52	332
Tucuruí (Município) (150810)	33	0	2	0	0	0	3,32	35
Ulianópolis (Município) (150812)	579	0	6	0	0	0	112,60	585
Vigia (Município) (150820)	407	0	8	0	0	0	81,98	415
Viseu (Município) (150830)	829	0	25	2	0	0	145,84	856
Macapá (Município) (160030)	243	0	22	18	30	1	7,03	314
Santana (Município) (160060)	125	0	20	5	10	0	14,47	160
Araguaína (Município) (170210)	241	0	7	1	4	0	15,13	253
Gurupi (Município) (170950)	60	0	2	0	0	0	7,49	62
Paraíso do Tocantins (Município) (171610)	55	0	23	0	0	0	16,11	78
