Localidade	"Internações por doenças gastrointestinais infecciosas
(Número de internações) (DATASUS)"	"Internações por febre amarela
(Número de internações) (DATASUS)"	"Internações por dengue
(Número de internações) (DATASUS)"	"Internações por leptospirose
(Número de internações) (DATASUS)"	"Internações por malária
(Número de internações) (DATASUS)"	"Internações por esquistossomose
(Número de internações) (DATASUS)"	"Taxa de incidência de internações por doenças associadas à falta de saneamento
(Internações por 10 mil habitantes) (DATASUS)"	"Internações por doenças associadas à falta de saneamento
(Número de internações) (DATASUS)"
Ariquemes (Município) (110002)	80	0	47	0	24	0	14,91	151
Cacoal (Município) (110004)	185	0	54	0	7	0	28,65	246
Jaru (Município) (110011)	56	0	92	0	17	0	29,68	165
Ji-Paraná (Município) (110012)	307	0	552	0	16	0	68,35	875
Porto Velho (Município) (110020)	270	0	86	12	203	0	11,77	571
Rolim de Moura (Município) (110028)	343	0	190	0	2	0	96,65	535
Vilhena (Município) (110030)	115	0	48	0	10	0	19,72	173
Cruzeiro do Sul (Município) (120020)	1.061	0	2	1	198	0	157,01	1.262
Rio Branco (Município) (120040)	84	0	31	19	16	0	4,20	150
Careiro da Várzea (Município) (130115)	4	0	1	0	0	0	1,87	5
Coari (Município) (130120)	211	0	3	0	17	0	28,40	231
Humaitá (Município) (130170)	42	0	0	0	4	0	9,36	46
Iranduba (Município) (130185)	104	0	1	0	5	0	24,72	110
Itacoatiara (Município) (130190)	169	0	6	0	3	0	18,88	178
Manacapuru (Município) (130250)	215	0	5	2	2	0	24,40	224
Manaus (Município) (130260)	1.654	0	405	27	127	1	11,17	2.214
Manicoré (Município) (130270)	104	0	0	0	3	0	20,85	107
Maués (Município) (130290)	61	0	5	1	2	0	11,97	69
Novo Airão (Município) (130320)	12	0	0	0	3	0	8,97	15
Parintins (Município) (130340)	132	0	0	3	6	0	12,91	141
Presidente Figueiredo (Município) (130353)	35	0	5	0	4	0	14,20	44
Rio Preto da Eva (Município) (130356)	21	0	1	0	2	0	8,28	24
Tabatinga (Município) (130406)	20	0	6	0	4	0	5,14	30
Tefé (Município) (130420)	82	0	27	2	14	0	19,88	125
Boa Vista (Município) (140010)	279	0	28	0	205	0	16,57	512
Abaetetuba (Município) (150010)	1.161	0	138	3	2	0	88,55	1.304
Acará (Município) (150020)	174	0	4	1	0	0	33,13	179
Alenquer (Município) (150040)	631	0	1	0	3	0	117,52	635
Altamira (Município) (150060)	1.680	0	376	1	11	0	196,75	2.068
Ananindeua (Município) (150080)	2.643	0	180	8	2	1	57,37	2.834
Barcarena (Município) (150130)	294	0	46	0	2	0	31,10	342
Belém (Município) (150140)	3.686	0	83	25	5	0	26,64	3.799
Benevides (Município) (150150)	113	0	4	1	0	0	21,03	118
Bragança (Município) (150170)	1.114	0	101	1	0	0	102,46	1.216
Breu Branco (Município) (150178)	136	0	3	0	2	0	24,30	141
Breves (Município) (150180)	420	0	17	2	11	0	46,66	450
Cametá (Município) (150210)	718	0	35	1	4	0	59,50	758
Capanema (Município) (150220)	529	0	18	0	1	0	83,67	548
Capitão Poço (Município) (150230)	1.198	0	12	0	0	0	230,31	1.210
Castanhal (Município) (150240)	404	0	23	3	1	0	23,43	431
Dom Eliseu (Município) (150293)	765	0	74	0	1	0	153,84	840
Igarapé-Miri (Município) (150330)	638	0	6	0	2	0	108,31	646
Ipixuna do Pará (Município) (150345)	515	0	7	1	0	0	95,77	523
Itaituba (Município) (150360)	633	0	36	1	67	0	74,93	737
Itupiranga (Município) (150370)	188	0	39	0	1	0	44,09	228
Jacundá (Município) (150380)	876	0	111	0	13	0	183,90	1.000
Juruti (Município) (150390)	16	0	19	0	0	0	6,80	35
Marabá (Município) (150420)	102	0	8	0	1	0	4,41	111
Marituba (Município) (150442)	191	0	12	2	0	0	17,43	205
Moju (Município) (150470)	334	0	5	1	0	0	45,47	340
Monte Alegre (Município) (150480)	291	0	29	0	3	0	57,53	323
Novo Repartimento (Município) (150506)	232	0	9	0	0	0	35,62	241
Óbidos (Município) (150510)	636	0	16	0	1	0	130,15	653
Oriximiná (Município) (150530)	203	0	49	5	2	0	38,76	259
Paragominas (Município) (150550)	98	0	4	1	0	0	9,93	103
Parauapebas (Município) (150553)	58	0	11	0	1	1	4,02	71
Portel (Município) (150580)	167	0	10	0	2	0	31,91	179
Redenção (Município) (150613)	372	0	23	0	3	0	50,37	398
Rondon do Pará (Município) (150618)	1.486	0	28	0	1	0	309,44	1.515
Santa Bárbara do Pará (Município) (150635)	15	0	1	0	1	0	9,07	17
Santa Izabel do Pará (Município) (150650)	1.067	0	32	1	2	0	172,26	1.102
Santana do Araguaia (Município) (150670)	519	0	47	0	1	0	89,96	567
Santarém (Município) (150680)	347	0	37	19	31	0	15,05	434
São Félix do Xingu (Município) (150730)	447	0	80	0	7	0	49,93	534
São Miguel do Guamá (Município) (150760)	184	0	5	0	0	0	34,73	189
Tailândia (Município) (150795)	111	0	4	0	0	0	12,70	115
Tomé-Açu (Município) (150800)	272	0	35	0	1	0	52,10	308
Tucuruí (Município) (150810)	29	0	3	0	3	0	3,38	35
Ulianópolis (Município) (150812)	632	0	15	0	1	0	129,67	648
Vigia (Município) (150820)	414	0	12	0	8	0	86,70	434
Viseu (Município) (150830)	783	0	100	0	0	0	151,40	883
Macapá (Município) (160030)	365	1	52	17	59	0	11,30	494
Santana (Município) (160060)	148	0	13	6	12	0	16,44	179
Araguaína (Município) (170210)	293	0	10	1	0	0	18,53	304
Gurupi (Município) (170950)	111	0	4	0	0	0	14,06	115
Paraíso do Tocantins (Município) (171610)	59	0	12	0	0	0	14,88	71
Porto Nacional (Município) (171820)	145	0	14	0	0	0	30,87	159
