Localidade	"Internações por doenças gastrointestinais infecciosas
(Número de internações) (DATASUS)"	"Internações por febre amarela
(Número de internações) (DATASUS)"	"Internações por dengue
(Número de internações) (DATASUS)"	"Internações por leptospirose
(Número de internações) (DATASUS)"	"Internações por malária
(Número de internações) (DATASUS)"	"Internações por esquistossomose
(Número de internações) (DATASUS)"	"Taxa de incidência de internações por doenças associadas à falta de saneamento
(Internações por 10 mil habitantes) (DATASUS)"	"Internações por doenças associadas à falta de saneamento
(Número de internações) (DATASUS)"
Ariquemes (Município) (110002)	117	0	45	0	35	0	18,35	197
Cacoal (Município) (110004)	100	0	10	0	0	1	12,54	111
Jaru (Município) (110011)	30	0	20	0	3	0	9,49	53
Ji-Paraná (Município) (110012)	102	0	58	2	11	0	13,04	173
Porto Velho (Município) (110020)	207	0	21	11	125	0	7,01	364
Rolim de Moura (Município) (110028)	195	0	21	1	1	0	38,20	218
Vilhena (Município) (110030)	129	0	11	2	4	0	15,27	146
Cruzeiro do Sul (Município) (120020)	31	0	14	11	177	0	28,20	233
Rio Branco (Município) (120040)	33	0	8	11	8	0	1,56	60
Careiro da Várzea (Município) (130115)	5	0	0	0	1	0	2,06	6
Coari (Município) (130120)	74	0	4	0	3	0	9,56	81
Humaitá (Município) (130170)	49	0	0	0	16	0	12,18	65
Iranduba (Município) (130185)	64	0	1	0	8	0	15,40	73
Itacoatiara (Município) (130190)	119	0	0	0	4	0	12,32	123
Manacapuru (Município) (130250)	156	0	5	1	4	1	17,31	167
Manaus (Município) (130260)	1.518	0	43	35	155	0	8,22	1.751
Manicoré (Município) (130270)	47	0	0	1	0	0	8,77	48
Maués (Município) (130290)	107	0	16	0	0	0	19,77	123
Novo Airão (Município) (130320)	18	0	0	0	1	0	10,22	19
Parintins (Município) (130340)	79	0	1	0	0	0	7,03	80
Presidente Figueiredo (Município) (130353)	44	0	0	0	12	0	16,20	56
Rio Preto da Eva (Município) (130356)	14	0	0	0	4	0	5,62	18
Tabatinga (Município) (130406)	3	0	1	0	2	0	0,94	6
Tefé (Município) (130420)	87	0	11	3	6	0	17,25	107
Boa Vista (Município) (140010)	214	0	41	0	218	0	14,25	473
Abaetetuba (Município) (150010)	544	0	38	3	4	0	38,40	589
Acará (Município) (150020)	179	0	4	0	3	0	34,38	186
Alenquer (Município) (150040)	92	1	0	0	2	0	17,20	95
Altamira (Município) (150060)	325	0	50	0	0	0	33,65	375
Ananindeua (Município) (150080)	1.962	0	7	5	0	0	38,25	1.974
Barcarena (Município) (150130)	125	0	4	0	0	0	10,64	129
Belém (Município) (150140)	3.187	0	8	52	5	0	22,39	3.252
Benevides (Município) (150150)	29	0	1	1	0	0	5,08	31
Bragança (Município) (150170)	554	0	189	3	0	0	60,07	746
Breu Branco (Município) (150178)	50	0	1	0	2	0	8,26	53
Breves (Município) (150180)	261	0	0	6	4	0	27,13	271
Cametá (Município) (150210)	536	0	3	1	23	0	41,98	563
Capanema (Município) (150220)	135	0	2	2	0	0	20,70	139
Capitão Poço (Município) (150230)	373	0	9	0	0	0	72,30	382
Castanhal (Município) (150240)	223	0	18	0	2	0	12,45	243
Dom Eliseu (Município) (150293)	304	0	64	0	1	0	63,54	369
Igarapé-Miri (Município) (150330)	769	0	2	0	0	0	126,41	771
Ipixuna do Pará (Município) (150345)	307	0	2	0	1	0	49,81	310
Itaituba (Município) (150360)	367	0	5	0	8	0	38,57	380
Itupiranga (Município) (150370)	38	0	19	0	0	0	11,00	57
Jacundá (Município) (150380)	107	0	73	0	1	0	31,46	181
Juruti (Município) (150390)	6	0	0	0	0	0	1,07	6
Marabá (Município) (150420)	49	0	6	0	0	0	2,03	55
Marituba (Município) (150442)	214	0	16	16	0	0	19,24	246
Moju (Município) (150470)	430	0	3	0	0	0	54,24	433
Monte Alegre (Município) (150480)	113	1	2	0	2	0	20,90	118
Novo Repartimento (Município) (150506)	156	0	24	0	1	0	24,53	181
Óbidos (Município) (150510)	515	0	5	1	1	0	102,90	522
Oriximiná (Município) (150530)	170	1	18	7	1	0	27,72	197
Paragominas (Município) (150550)	114	0	6	1	0	0	11,00	121
Parauapebas (Município) (150553)	150	0	23	0	4	0	8,75	177
Portel (Município) (150580)	77	0	2	1	2	0	13,59	82
Redenção (Município) (150613)	112	0	38	0	0	0	18,19	150
Rondon do Pará (Município) (150618)	904	0	20	0	0	0	181,44	924
Santa Bárbara do Pará (Município) (150635)	7	0	0	0	0	0	3,42	7
Santa Izabel do Pará (Município) (150650)	86	0	0	0	0	0	12,49	86
Santana do Araguaia (Município) (150670)	222	0	10	0	0	0	32,79	232
Santarém (Município) (150680)	112	0	3	2	15	0	4,45	132
São Félix do Xingu (Município) (150730)	328	0	20	0	2	0	28,04	350
São Miguel do Guamá (Município) (150760)	74	0	2	0	0	0	13,25	76
Tailândia (Município) (150795)	40	0	2	1	0	0	4,16	43
Tomé-Açu (Município) (150800)	278	0	2	0	1	0	45,54	281
Tucuruí (Município) (150810)	16	0	0	0	2	0	1,63	18
Ulianópolis (Município) (150812)	328	0	1	0	0	0	57,19	329
Vigia (Município) (150820)	290	0	7	0	1	0	57,07	298
Viseu (Município) (150830)	711	0	30	0	0	0	124,05	741
Macapá (Município) (160030)	157	1	14	11	64	0	5,20	247
Santana (Município) (160060)	107	0	4	10	18	0	12,04	139
Araguaína (Município) (170210)	210	1	35	0	0	0	13,98	246
Gurupi (Município) (170950)	27	0	2	0	0	0	3,39	29
Paraíso do Tocantins (Município) (171610)	16	0	6	0	0	0	4,37	22
Porto Nacional (Município) (171820)	65	0	4	0	0	0	13,06	69
Palmas (Município) (172100)	166	0	20	1	1	0	6,56	188
Açailândia (Município) (210005)	209	0	14	0	1	0	20,12	224
Alcântara (Município) (210020)	51	0	1	0	0	0	23,99	52
Bacabal (Município) (210120)	490	0	14	0	0	0	48,76	504
Balsas (Município) (210140)	161	0	14	0	1	0	18,57	176
Barra do Corda (Município) (210160)	111	0	2	0	0	0	12,97	113
Barreirinhas (Município) (210170)	25	0	1	0	0	0	4,16	26
Buriticupu (Município) (210232)	841	0	0	0	0	0	116,84	841
Caxias (Município) (210300)	277	0	4	0	0	0	17,28	281
Chapadinha (Município) (210320)	188	0	1	0	0	0	23,93	189
Codó (Município) (210330)	171	0	3	0	0	0	14,40	174
Coroatá (Município) (210360)	10	0	0	0	0	0	1,55	10
Grajaú (Município) (210480)	287	0	8	0	0	0	42,61	295
Imperatriz (Município) (210530)	300	0	12	0	1	0	12,30	313
Itapecuru Mirim (Município) (210540)	161	0	59	0	0	0	32,48	220
Paço do Lumiar (Município) (210750)	52	0	0	0	0	0	4,25	52
Pinheiro (Município) (210860)	170	0	18	0	0	0	22,82	188
Raposa (Município) (210945)	73	0	0	0	0	0	23,65	73
Santa Inês (Município) (210990)	289	0	6	1	2	0	33,86	298
Santa Luzia (Município) (211000)	204	0	3	0	0	0	28,92	207
São José de Ribamar (Município) (211120)	111	0	6	0	0	0	6,63	117
São Luís (Município) (211130)	391	0	14	4	0	3	3,77	412
Timon (Município) (211220)	199	0	131	0	3	0	19,87	333
Tutóia (Município) (211250)	353	0	8	0	0	0	61,60	361
Vargem Grande (Município) (211270)	260	0	8	0	0	0	47,42	268
Viana (Município) (211280)	259	0	0	0	0	0	50,06	259
Zé Doca (Município) (211400)	124	0	5	0	2	0	25,64	131
Altos (Município) (220040)	252	0	9	0	0	0	65,47	261
Beneditinos (Município) (220160)	17	0	0	0	0	0	16,94	17
Coivaras (Município) (220273)	10	0	1	0	0	0	27,83	11
Curralinhos (Município) (220325)	0	0	0	0	0	0	0,00	0
Demerval Lobão (Município) (220330)	9	0	2	0	0	0	8,09	11
Floriano (Município) (220390)	305	0	23	0	0	0	55,62	328
José de Freitas (Município) (220550)	123	0	1	0	0	0	32,17	124
Lagoa Alegre (Município) (220555)	6	0	0	0	0	0	7,15	6
Lagoa do Piauí (Município) (220558)	3	0	0	0	0	0	7,51	3
Miguel Leão (Município) (220630)	0	0	0	0	0	0	0,00	0
Monsenhor Gil (Município) (220640)	0	0	1	0	0	0	0,96	1
Nazária (Município) (220672)	6	0	0	0	0	0	7,12	6
Parnaíba (Município) (220770)	654	0	39	0	0	0	46,03	693
Pau D'Arco do Piauí (Município) (220779)	10	0	0	0	0	0	25,16	10
Picos (Município) (220800)	253	0	0	0	0	0	32,89	253
Piripiri (Município) (220840)	13	0	2	0	0	0	2,39	15
Teresina (Município) (221100)	688	0	125	1	2	0	9,60	816
União (Município) (221110)	157	0	4	0	0	0	36,79	161
Acaraú (Município) (230020)	207	0	1	0	0	0	33,44	208
