"Município";"2008/Abr";"2009/Jan";"2009/Fev";"2009/Mai";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Out";"2010/Nov";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Dez";"2014/Ago";"2014/Nov";"2016/Jan";"2017/Dez";"2019/Jan";"2019/Abr";"Total"
"120010 Brasiléia";...;-;-;-;-;-;-;-;-;-;...;-;...;...;...;...;-;-;-;100,00;0,33
"120020 Cruzeiro do Sul";...;-;-;...;-;-;...;...;...;-;-;-;-;-;7,69;0,68;14,29;50,00;-;-;0,39
"120040 Rio Branco";14,29;1,15;1,72;7,69;1,56;2,60;5,45;3,57;9,09;2,94;1,69;1,96;2,78;16,67;...;-;-;-;8,33;-;1,57
"120050 Sena Madureira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;...;...;11,11;-;0,25
"120045 Senador Guiomard";-;-;-;-;-;-;-;33,33;-;-;5,88;-;-;-;-;...;-;...;-;...;0,63
"Total";8,00;0,92;1,34;3,13;1,10;1,28;2,08;1,96;3,45;2,00;1,52;0,85;1,08;4,55;5,26;0,64;5,56;14,29;4,44;6,25;0,62
