"Município";"2008/Jun";"2008/Jul";"2008/Set";"2008/Out";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Ago";"2010/Jul";"2010/Set";"2011/Jan";"2012/Fev";"2012/Mai";"2012/Nov";"2013/Ago";"2014/Jan";"2014/Mar";"2014/Jun";"2014/Jul";"Total"
"140010 Boa Vista";1,45;0,88;-;-;-;1,35;1,18;2,50;3,85;2,04;3,57;7,14;-;16,67;20,00;12,50;-;50,00;50,00;50,00;0,77
"140015 Bonfim";-;-;-;33,33;50,00;-;-;-;...;-;-;...;-;...;...;...;...;...;...;...;2,50
"140017 Cantá";-;-;-;-;...;-;-;-;...;-;...;-;100,00;...;-;...;100,00;...;...;...;3,64
"140020 Caracaraí";-;-;20,00;...;-;-;-;-;...;-;-;-;-;-;...;-;...;...;-;...;0,39
"140047 Rorainópolis";...;...;50,00;-;-;-;-;-;-;...;...;...;-;...;...;...;...;...;-;...;0,66
"Total";0,98;0,67;1,92;1,56;1,56;0,87;0,83;1,35;1,33;1,39;2,04;3,13;3,23;2,50;9,09;8,33;14,29;12,50;16,67;33,33;0,55
