"Município";"2008/Fev";"2008/Mar";"2009/Dez";"2010/Jan";"2010/Ago";"2010/Dez";"2011/Jan";"2011/Fev";"2013/Mai";"Total"
"130070 Boca do Acre";-;-;-;1;-;-;-;-;-;1
"130170 Humaitá";-;-;1;-;-;-;-;-;-;1
"130260 Manaus";1;1;-;-;1;1;1;1;-;6
"130420 Tefé";-;-;-;-;-;-;-;-;2;2
"Total";1;1;1;1;1;1;1;1;2;10
