"Município";"2008/Abr";"2009/Jan";"2009/Fev";"2009/Mai";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Out";"2010/Nov";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Dez";"2014/Ago";"2014/Nov";"2016/Jan";"2017/Dez";"2019/Jan";"2019/Abr";"Total"
"120010 Brasiléia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"120020 Cruzeiro do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;-;4
"120040 Rio Branco";2;1;2;1;1;2;3;1;1;1;1;1;1;1;-;-;-;-;1;-;20
"120050 Sena Madureira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"120045 Senador Guiomard";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;2
"Total";2;1;2;1;1;2;3;2;1;1;2;1;1;1;1;1;1;1;2;1;28
