"Município";"2007/Dez";"2008/Jan";"2008/Mai";"2008/Ago";"2008/Set";"2010/Fev";"2010/Jul";"2010/Ago";"2010/Dez";"2011/Jan";"2011/Abr";"2011/Jun";"2011/Nov";"2012/Jul";"2012/Ago";"2012/Set";"2013/Abr";"2014/Jan";"2015/Jan";"2015/Fev";"2016/Mar";"2016/Ago";"2017/Mar";"Total"
"160030 Macapá";-;16,67;9,09;10,00;10,00;14,29;-;-;12,50;-;11,11;-;-;-;-;5,26;-;50,00;14,29;33,33;-;50,00;16,67;1,98
"160060 Santana";33,33;-;-;-;-;...;16,67;16,67;-;33,33;-;50,00;100,00;33,33;25,00;-;25,00;-;...;-;20,00;-;-;5,35
"Total";25,00;12,50;7,69;7,69;7,69;10,00;3,45;2,86;5,88;4,88;5,26;7,69;12,50;7,69;10,34;3,57;6,25;33,33;10,00;4,17;11,11;25,00;7,14;1,90
