"Município";"2008/Jul";"2010/Jan";"2014/Abr";"2014/Nov";"2016/Fev";"2018/Mai";"2019/Jun";"Total"
"150080 Ananindeua";1633,94;-;-;-;-;-;-;1633,94
"150450 Melgaço";-;-;-;-;-;28305,60;-;28305,60
"150530 Oriximiná";-;677,05;-;-;-;-;-;677,05
"150613 Redenção";-;-;750,49;672,10;678,45;-;-;2101,04
"150619 Rurópolis";-;-;-;-;-;-;773,05;773,05
"Total";1633,94;677,05;750,49;672,10;678,45;28305,60;773,05;33490,68
