"Município";"2012/Abr";"2013/Dez";"2018/Fev";"Total"
"510250 Cáceres";-;2870,77;-;2870,77
"510735 São José do Xingu";-;-;663,11;663,11
"510800 Tapurah";4576,21;-;-;4576,21
"Total";4576,21;2870,77;663,11;8110,09
