 Morbidade Hospitalar do SUS - por local de residência - Acre
Valor total por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2007/Jan";"2007/Jun";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"120034 Manoel Urbano";-;-;-;-;2195,22;585,16;2007,26;10845,65;21747,99;22813,48;14365,32;16101,63;17874,58;31549,03;39828,95;20936,39;14020,13;17028,74;12502,95;17510,33;24150,44;41673,98;24108,96;41637,79;17877,23;20268,84;28731,62;12871,36;26141,39;16301,36;10714,56;11201,48;16580,47;34088,83;45535,50;32395,93;28834,46;24253,64;25331,08;27102,84;51449,61;32461,63;16394,39;24755,21;18795,47;24619,84;27567,66;27327,46;24558,66;29363,46;36857,76;29767,82;24603,06;20831,33;16702,44;28744,96;18189,80;23608,49;28831,16;25617,90;19646,26;25701,85;23578,81;31057,05;23856,57;18828,59;39005,91;22589,89;26625,06;27171,61;32511,11;36007,27;30659,00;31898,07;22944,96;38227,82;18106,08;13520,61;33114,92;18271,59;30677,23;21353,64;22550,12;22268,90;38380,28;30491,94;27272,99;17514,64;24043,04;29765,49;28761,37;39227,79;26682,92;30802,25;37173,58;31171,90;24180,24;35860,16;22462,75;26205,99;24179,91;21594,96;23784,10;41222,28;21568,28;39384,80;22852,35;21977,85;13529,18;112444,23;32346,46;19253,36;28004,91;24903,58;22356,89;26038,96;18125,00;25833,86;21647,33;23495,50;35582,24;29570,80;50757,28;36376,39;36590,20;16108,51;32532,81;49549,78;18726,50;20721,10;32647,37;31196,28;14711,64;28604,19;19624,24;19900,11;33271,93;17834,16;18718,22;18383,57;13970,81;17434,17;54405,14;33405,05;26768,28;26957,58;39968,33;23737,96;39939,95;21261,23;22453,81;80585,90;23949,47;22484,31;21596,20;9160,34;35847,19;18391,26;24459,07;67174,26;15732,67;24992,16;24354,39;22582,94;-;4260496,51
"120035 Marechal Thaumaturgo";-;-;-;-;403,09;-;847,77;10117,64;6838,97;9917,93;8688,52;13338,95;10365,04;5793,48;12129,72;17524,66;6565,25;13027,99;11587,60;11427,03;19778,33;13963,75;21963,90;17826,75;19669,36;12756,90;10680,33;9832,76;17580,35;14888,30;15745,43;20052,70;17152,52;22377,58;24977,20;32760,45;18792,54;17604,07;27338,20;21298,18;12956,25;16912,00;16413,31;13992,72;17695,66;22749,39;28032,29;22467,04;22866,63;11972,69;23461,30;29388,88;18362,83;19505,26;20805,06;19912,45;17831,96;15819,59;17014,21;19886,16;25879,69;16638,16;16909,62;25856,54;16735,28;50476,84;16932,06;18799,29;17728,80;18448,18;21703,49;21103,85;23884,01;19674,01;16813,17;15289,48;16939,69;42446,12;15886,16;22834,44;17362,82;19733,13;19482,47;26491,66;28994,16;15701,07;17785,91;17578,46;31959,64;13135,65;29413,14;16883,30;13084,16;18624,34;18194,74;24214,98;20866,22;15871,29;17614,84;19441,83;21658,08;11323,61;14946,96;28597,92;23222,66;23354,12;17917,47;17023,79;25813,28;25837,77;26029,22;20109,72;13289,75;14978,00;11667,93;24248,75;10140,52;17106,86;13907,89;22951,49;17810,54;16241,83;19313,99;17981,85;18400,59;18292,16;16964,16;18590,58;15049,51;18881,75;19167,93;16463,31;65793,84;23557,55;21166,12;23067,18;24068,43;15247,15;10749,98;15713,61;11835,58;24193,37;32208,69;54328,61;97163,74;48578,66;51569,55;29471,85;29469,98;31678,77;24554,17;31056,35;30898,01;32198,98;18328,19;13960,80;51728,14;128003,04;159898,29;46101,33;33039,05;23898,99;17249,14;9408,08;-;3574540,82
"120038 Plácido de Castro";-;-;-;-;-;6182,13;24522,76;23365,43;39872,99;46638,40;53943,10;58117,35;62574,05;54449,13;81172,76;38292,93;45344,62;37197,47;42702,20;42425,97;34933,62;84790,67;57822,88;33421,42;35241,67;38033,37;59022,13;23022,80;65948,85;49938,46;31487,65;46415,69;29965,40;69642,39;57068,57;51874,32;40050,05;67481,71;53700,38;52318,97;50430,51;70171,79;54088,55;53325,99;68115,55;59552,96;91540,59;61995,27;56242,51;45331,23;54069,15;33366,19;51142,91;81147,67;62366,27;48673,48;39790,88;54362,65;54726,12;47604,54;44904,79;50677,71;55994,77;41238,63;58581,41;47911,37;46455,24;32377,95;55180,17;50548,04;54757,20;35306,72;40625,40;39130,30;47879,84;45185,47;40900,46;42322,31;35638,52;44858,40;37778,66;70042,28;61546,73;176233,22;54422,04;83207,70;63967,16;80187,43;58182,89;55174,99;48699,69;57096,24;47154,34;53986,42;41268,83;55585,59;57423,75;60440,28;74504,95;59959,07;43567,11;37062,86;31947,36;33756,19;44170,39;41493,85;59700,47;60737,24;56405,36;63851,17;92100,68;72522,44;60356,69;53954,07;35793,84;104878,04;48598,53;52633,79;72832,32;44626,13;35676,14;102624,19;85015,66;116655,36;105608,44;44143,58;46812,56;44046,47;31572,37;68035,67;47963,95;50251,94;44547,61;33787,01;57917,82;59133,30;143708,17;34751,80;49959,47;42536,87;58367,70;49513,56;48308,09;37041,38;77099,76;40248,63;55942,25;36239,62;45064,25;58301,69;46221,37;57689,58;44561,03;46352,24;49003,63;45766,02;56905,10;45259,20;30761,62;71596,35;58424,41;46013,20;29382,87;14014,89;-;8488179,41
"120080 Porto Acre";-;-;-;-;691,89;1396,97;15338,57;22653,85;42876,71;45503,99;47065,48;45498,72;36077,50;39290,90;38623,71;34021,26;40959,84;25091,09;42043,93;45917,31;41890,83;44534,28;50515,45;52199,30;35058,51;49197,44;35110,11;22437,97;49610,66;42399,47;28384,80;31940,67;16228,01;34566,37;31258,91;30959,28;29563,53;38006,22;47519,75;19822,26;28668,86;25514,08;35164,74;22518,24;23391,57;34461,97;45738,55;36330,38;31143,72;26444,36;61651,51;43007,55;35576,63;29508,01;32629,94;45989,26;53240,73;47828,52;27861,65;48567,98;39633,49;47556,47;63320,88;37227,31;56897,98;51251,69;28086,98;39459,46;46449,93;34658,41;63426,63;145327,63;34173,56;34547,63;54819,21;55852,47;41824,54;38416,46;26405,50;25602,61;23595,53;49747,83;63272,38;61333,30;33229,17;33191,36;20750,26;38497,02;54970,93;29211,67;28811,65;18559,13;36951,53;23108,91;26127,97;47648,94;31013,84;60861,11;72127,02;28864,21;50381,89;52697,04;39000,18;52067,61;62906,18;70498,59;47978,71;43584,50;68711,73;62559,59;63797,39;32859,25;47743,91;64463,07;29837,63;28237,58;41143,09;40960,85;77392,79;64453,72;91798,78;63813,31;45646,30;72637,52;48707,16;59536,99;40713,61;129331,67;62026,19;38691,09;34517,91;24994,35;63551,37;51628,61;76703,02;60090,21;97341,93;43608,49;52767,09;79721,62;37766,29;43964,92;59394,30;81016,30;54415,36;82753,71;50608,07;43560,33;61999,75;43646,64;41892,57;29323,30;46630,49;30170,98;19847,18;43820,65;30906,21;36180,91;33577,63;45563,56;52673,79;54469,86;21268,55;15059,87;-;7075920,13
"120039 Porto Walter";-;-;-;-;-;1089,09;1304,59;7481,10;7757,32;6103,03;7037,46;11777,63;5709,60;12180,96;5596,70;7909,24;12371,80;6619,04;12371,82;4347,21;8207,94;17333,52;14321,18;17203,73;15577,74;21571,35;10639,74;7472,09;10913,23;14216,80;13220,51;12643,23;10307,75;15321,99;10033,94;17427,08;17406,89;18672,83;10088,78;11086,59;12340,91;11407,18;15903,88;14282,47;11255,61;12171,76;8439,15;11618,06;10573,47;8404,67;11034,02;15124,57;12714,94;15306,76;15922,47;11228,00;11209,68;14365,43;18667,47;21096,35;16112,81;18323,77;23068,48;29750,89;18556,23;21739,87;29799,64;18649,74;24251,61;17438,91;25031,32;15437,02;16170,35;44482,37;14809,80;30431,75;29285,68;24407,54;33291,44;19205,75;15274,53;17088,91;14557,84;23410,28;19623,09;21284,79;22481,77;26484,27;15188,87;18451,59;15047,82;25942,76;12956,48;17215,46;17690,76;19588,33;17529,63;17245,14;17429,82;18274,68;19732,94;17547,01;16410,54;12864,42;20533,76;10811,82;7305,27;19663,40;19098,08;19198,40;17573,85;18582,22;19921,47;17312,35;13359,70;19709,53;26211,12;23827,71;18526,60;17101,03;18382,80;24476,12;26187,15;19630,51;24887,20;45374,66;20065,99;31697,29;32737,08;57582,51;49063,60;38257,13;19650,01;37251,83;19616,35;37103,66;25785,83;17736,36;7981,32;16013,25;10864,25;16460,69;17279,17;11680,09;12052,84;14352,51;14332,98;23898,65;16844,10;16394,33;12609,70;24966,11;37888,20;15641,12;6836,87;12130,99;7192,97;26813,38;14271,51;21272,04;15986,49;28008,07;17128,75;5930,69;-;2815010,51
"120040 Rio Branco";-;1099,17;6927,80;9072,38;62633,75;240081,03;621661,91;1112162,34;1097792,22;1205973,00;1204012,88;1346994,80;1304387,53;1225367,32;1168810,48;1117896,43;1282094,95;1318359,16;1363998,91;1229653,16;1296718,26;1613630,26;1394113,64;1613407,27;1329972,69;1241370,12;1127636,66;1129438,78;1508119,66;1469236,67;1549751,54;1639624,61;1472748,46;1534999,02;1413788,91;1607813,37;1414931,94;1361700,30;1402554,44;1682526,91;1505954,49;1456889,24;1544427,01;1722021,45;1656669,98;1669501,67;1805104,37;2065488,61;1656045,38;1773273,74;2041847,30;1799720,93;1789643,98;1615887,93;1741116,48;1733882,33;1581227,16;1963941,46;1703891,04;1601206,14;1540004,94;1694259,52;1689068,06;1867174,11;1913985,34;1563413,94;1475394,51;1557746,59;1477145,07;1489342,44;1630819,37;1789011,67;1523465,18;1600854,99;1668279,20;1716773,49;1730136,24;1490930,48;1489624,04;1549799,32;1731842,13;1801548,43;1727286,68;1775426,25;1656791,95;1730312,59;1853307,18;1500242,70;1625796,35;1915580,95;1551043,41;1901457,70;1765756,76;1915577,58;1859989,46;1923262,39;2128014,44;1891853,69;1930891,08;1947211,44;2231864,41;2004400,62;1935367,09;1991266,09;1942285,69;2119849,40;2085212,40;2091991,29;2090696,76;2185005,85;2297406,87;2106312,74;1867867,84;2160926,12;1913512,57;1862931,28;2060775,54;2356868,27;1613316,01;2115508,40;2188220,01;2279082,77;2187529,16;1934701,00;2164210,03;1855568,12;1509124,46;1888851,91;1675628,72;1877254,99;1700890,24;2244159,82;1918597,93;1855734,03;1778031,62;1734884,18;2001423,33;1687357,14;1517018,16;1520388,38;1276913,64;1563990,37;1815630,74;2105025,88;1848099,86;2284187,26;1866595,91;1705855,93;1871955,25;1994250,57;1874551,03;2063900,21;1823607,09;1843276,15;1725530,37;1886485,23;2349460,08;2094707,15;2302045,27;2103895,40;2042110,12;1642642,14;1273792,70;551360,02;40491,20;271243605,89
"120042 Rodrigues Alves";-;-;-;-;403,09;1500,63;6695,03;17069,83;28231,71;38133,87;31256,92;33323,56;27380,14;32593,37;62100,17;30025,67;36361,73;30364,57;24082,28;21201,92;29882,07;26592,18;31534,64;24157,16;28664,11;26056,77;25522,82;12669,81;25134,79;36755,71;28784,01;43126,48;25594,71;34943,24;43290,23;47128,20;33505,47;23815,32;27014,85;37821,75;35844,52;24097,04;28648,24;29208,17;36874,96;38895,55;27469,90;42260,16;35720,11;44579,26;41324,82;33064,66;38111,81;50991,36;40600,86;34431,55;31065,36;26177,02;27433,53;41958,61;41639,86;43179,23;45371,27;46608,64;37911,48;39100,16;26563,97;141391,11;61694,06;34504,11;30174,05;37210,73;33997,22;49710,27;59896,57;50429,79;59916,52;56211,20;51537,36;52204,69;41250,61;46219,66;45777,68;41266,88;43466,44;27950,66;30453,68;52745,96;46781,04;46139,59;41140,14;24106,96;31281,81;38821,86;284666,34;42632,73;39280,38;36015,73;25261,52;35617,14;37454,04;40071,10;31603,22;44691,60;31872,53;39829,09;32000,56;33578,95;31640,36;33547,59;32546,32;32860,48;27557,41;38214,88;33121,22;32398,46;31748,09;29435,00;39866,24;37524,62;37771,67;35871,23;22464,30;24129,85;22430,53;29613,00;37906,20;26442,38;30189,35;39696,13;28210,18;35376,19;37882,00;31413,32;40803,16;36580,98;40957,20;8914,00;17499,08;20602,47;36930,51;27648,43;22631,05;31520,58;39947,27;33759,34;33952,69;59049,19;49419,49;39648,02;41688,88;44854,56;29552,55;40321,39;29833,47;40090,42;19072,29;55465,66;83478,03;24198,80;31441,84;38308,38;29296,46;23385,90;-;5963415,58
"120043 Santa Rosa do Purus";-;-;-;-;-;-;1724,23;2941,15;1919,18;3784,43;2951,97;1943,51;420,09;1425,58;4378,47;3063,74;3768,80;2790,11;3285,22;7118,50;3548,94;8146,44;8496,04;8145,00;6977,31;8536,16;11736,79;5425,30;13148,66;12417,32;7402,72;3388,42;8506,83;10032,45;21183,93;20238,61;9483,97;10005,26;7638,96;15234,73;31122,96;7014,12;12776,12;10869,23;8932,27;8906,79;18822,90;21164,45;18582,24;7825,54;12618,29;11500,37;13176,26;27921,95;16469,02;13474,47;16976,81;10501,16;16016,94;21684,08;7837,91;11844,48;17937,07;9081,02;22934,73;15946,74;11958,37;6111,77;8884,61;11156,42;13732,07;13450,27;7267,71;30652,78;5544,69;9623,76;16659,19;8275,99;5605,99;7387,11;1769,04;4200,61;10548,57;5141,21;16088,61;17043,69;18046,86;11649,98;9352,04;2757,78;8182,27;4203,55;3551,47;4653,56;5825,97;3284,96;4949,18;6489,18;7206,03;15683,06;10511,06;6379,36;11224,35;14535,21;5988,35;13934,50;10134,23;28712,23;5080,05;32109,16;9816,16;15792,05;21150,29;12868,94;17392,73;9741,75;6349,04;11567,43;845,70;5756,21;22807,59;1957,21;9567,55;3827,20;7859,50;6566,82;34691,12;10733,36;1533,75;14121,52;23748,73;12240,48;5343,37;7809,27;6933,27;8218,38;9107,15;9211,56;13988,99;16493,15;1005,49;3363,45;5830,14;12916,23;34700,59;17982,55;31711,30;9931,60;15506,42;17323,49;5318,70;5273,06;6205,20;19860,67;12690,17;3661,30;5441,19;33324,76;2482,69;10667,49;14804,33;13240,61;3014,04;3110,65;-;1716099,98
"120050 Sena Madureira";-;-;-;-;2060,42;10043,61;19477,49;70414,62;77022,12;108072,90;123353,85;101766,83;108762,35;91767,40;102507,93;96185,26;94924,96;89241,60;88975,10;101321,71;121967,44;172500,10;123412,06;126893,58;117616,73;97642,74;92883,04;56718,14;136015,54;119424,53;134548,34;110973,75;79073,30;146424,44;185658,41;117434,80;119698,23;113270,89;122778,08;120998,52;150347,93;120626,87;134836,05;154367,51;106112,07;154938,82;125755,04;140584,86;141192,40;147085,45;143786,04;162230,41;150882,39;142121,38;147899,14;165020,23;109204,26;141760,21;153361,52;151343,15;162316,57;129757,38;145322,62;172417,43;124713,78;172229,09;108125,40;165997,68;138960,55;158322,64;192409,94;154408,77;153503,64;163013,75;130615,31;117797,89;158133,05;155087,02;146503,47;169300,77;135578,87;192661,98;147374,28;143548,16;224750,67;143606,56;144291,21;148009,55;160587,75;141356,85;149033,79;120238,83;138566,80;115888,91;181502,27;157691,03;147620,31;119756,42;158752,49;109506,69;120700,61;132324,03;105486,58;146264,37;119720,62;136448,50;146356,97;143236,34;167427,49;144195,57;135411,18;140360,34;126859,17;140876,87;243473,06;139472,84;159820,44;124590,76;123779,65;141347,34;147382,31;130769,82;172592,21;150272,85;146947,33;242929,12;120140,68;152995,38;103610,97;189676,65;121250,45;128370,69;148789,25;140759,81;129276,03;208710,73;135440,79;128604,44;156103,55;144417,98;123052,25;127387,15;126558,59;117565,77;125634,32;156721,93;108198,18;111395,36;278834,65;109980,26;178481,97;169294,52;191322,49;97753,06;79280,57;75377,69;97056,61;116140,23;144397,87;139202,46;184654,94;120002,93;95302,88;65471,10;359,99;21521168,25
"120045 Senador Guiomard";-;-;-;-;2821,66;6889,38;18574,19;26239,23;40791,74;43398,70;67874,03;53816,05;34442,98;39379,55;50737,04;47489,77;67283,86;52001,94;47526,98;60669,18;48711,86;58062,81;43764,12;79778,54;46057,27;47009,54;46321,21;39127,49;37592,10;64434,82;62313,74;45741,64;39082,38;61049,94;45886,90;54659,90;47973,05;59271,31;60614,31;45867,07;40268,23;35886,63;37881,13;46670,93;56410,99;74578,25;112034,50;74024,95;70759,36;57732,54;59038,06;66144,18;45681,11;62043,74;54339,06;58919,50;77499,55;47433,55;55373,50;66326,38;69875,10;65714,47;59346,37;58507,17;57085,31;44903,01;80135,08;54132,40;40888,19;71156,11;67804,97;38431,76;59553,33;34168,21;55728,96;41751,22;51375,28;36892,28;43349,50;51002,43;45597,26;59764,63;73951,87;75879,85;66183,57;62784,14;76630,76;79976,30;99577,89;89659,80;55554,65;42891,03;38618,73;65949,16;114285,27;83054,11;69508,57;56336,31;75224,51;91523,43;85353,94;63693,66;62779,27;58161,05;111675,52;43194,29;49702,16;72955,07;93174,62;75352,74;59155,55;39655,59;50577,32;79906,22;60037,28;80516,38;75691,60;90461,99;76594,94;41529,35;123430,29;97393,89;77367,11;61929,33;61233,71;52016,68;32889,96;50685,56;52887,49;65984,76;66619,02;120052,16;70561,36;72027,42;93706,89;64456,07;87013,50;72216,40;52810,58;60173,07;42426,09;112760,76;90465,12;50728,55;74048,09;54110,32;59270,22;68765,91;68884,13;67760,07;61843,18;60669,17;56677,79;97735,45;42647,14;40421,96;103010,57;112052,25;70745,34;50464,01;67099,94;54048,74;44347,52;30796,22;-;9784457,74
"120060 Tarauacá";-;-;-;295,36;3721,84;6093,75;14663,45;67525,86;68328,52;66052,66;70976,64;78663,31;67107,64;92119,47;79871,71;121550,25;97899,57;121175,24;109945,24;87775,60;114967,66;92147,37;68759,84;95379,32;213392,11;89200,52;90255,13;37489,73;80701,03;89533,17;120898,53;87648,82;68376,15;91315,20;81236,23;93258,32;87888,93;74836,40;75660,50;92794,10;90630,10;87336,45;80415,37;78284,18;82669,35;80154,99;93659,53;101679,50;84304,24;74020,19;87632,85;76665,53;84531,41;69088,77;97422,39;71502,29;66202,53;117722,86;98936,52;126215,30;90952,08;97739,20;159343,53;106913,87;136234,26;182821,32;81738,01;91918,16;116896,28;118198,99;130440,99;92585,72;104457,98;110723,77;103405,96;142912,52;105571,61;107507,49;96388,95;145428,22;88337,41;116918,38;152384,03;160096,56;151985,35;138156,21;143778,13;129307,41;120661,97;139924,17;129439,95;146118,13;88286,19;85858,70;94469,17;111195,67;165016,85;140355,81;118074,47;110882,38;128229,26;112280,20;104890,18;106424,80;90382,66;95922,63;71605,10;82604,29;90458,39;129288,02;116165,66;88966,07;67332,10;83496,85;82989,25;88591,80;129489,97;91160,37;113192,01;96432,29;118209,54;121987,93;146940,84;109732,23;113324,57;110986,22;121337,48;123869,01;87261,49;136039,74;135653,00;152496,94;127127,93;141034,05;106654,69;103476,14;102858,75;84670,27;109898,32;104887,47;83637,08;106987,75;96659,14;113339,58;151957,52;99093,54;108801,53;98326,75;91854,22;86456,01;81202,67;100875,93;209898,11;113470,58;75844,97;66834,34;137828,97;156174,94;117480,60;126478,83;131927,89;158855,21;217268,82;90127,45;28269,00;16780005,31
"120070 Xapuri";-;-;2906,40;-;970,94;1550,59;7809,15;45821,01;40100,30;48717,02;34497,11;54575,84;40749,73;47589,72;40781,09;49329,09;41198,81;29902,79;42794,67;47087,95;47559,82;43379,55;37618,25;42875,60;50003,37;40598,38;36413,07;16792,18;51715,79;55284,48;39212,91;46298,43;42912,71;51162,21;49898,61;78644,49;42373,84;60928,51;45671,18;38942,16;39784,89;46433,42;51796,22;49588,64;44236,27;52933,84;73186,25;66813,99;46742,79;55541,27;51639,81;71180,18;33023,67;49607,88;57237,93;47515,39;44997,06;32056,72;39927,95;59333,57;51771,17;75585,16;50928,34;62197,14;48104,21;49751,51;84643,36;81891,22;72087,33;59681,75;72405,98;69364,32;108683,93;55955,84;56092,84;50157,31;82213,98;50125,84;62543,46;56285,78;47754,57;61076,22;60989,09;61188,03;49173,08;62151,93;76126,38;50523,11;92719,18;53142,44;77045,35;75817,02;30219,63;24130,57;43810,04;63875,81;54261,11;51742,72;70083,03;37788,16;39043,79;42412,67;30112,56;53066,97;36255,69;39183,91;50192,83;52734,19;54983,89;68969,52;58278,24;42443,07;29889,62;34083,45;53870,59;78866,72;50678,34;93910,59;112786,22;55327,87;127740,49;61350,43;79205,59;59689,52;65485,77;61235,81;48389,46;40876,14;50777,04;56687,89;89270,51;66381,94;53414,96;81900,99;60949,18;60446,77;39753,32;40074,21;38283,00;51747,04;36798,10;44145,24;45570,73;41161,44;45612,69;128302,29;48485,04;40213,59;71354,05;78305,43;58806,96;61919,69;89847,92;71274,77;58678,55;51812,97;62167,78;122404,83;104964,31;54333,87;53469,69;51795,77;51751,05;36048,92;-;8772309,90
"Total";184,65;1099,17;10470,07;14001,71;98212,26;322381,80;885999,35;1819790,42;1884186,32;2159940,22;2222726,15;2383553,51;2343743,89;2224049,49;2200181,81;2166587,59;2331684,60;2347409,02;2362380,36;2199021,50;2273057,63;2865885,28;2462188,44;2804880,52;2533326,84;2238550,88;2087988,03;1706628,30;2638256,34;2657266,64;2634701,84;2688534,80;2390966,58;2814340,07;2651680,82;2850498,58;2497181,58;2482388,67;2596159,90;2766197,68;2739266,31;2600937,61;2705559,15;2878558,95;2699545,36;2835514,70;3130239,43;3530857,36;2913602,11;3022083,51;3263413,25;3128320,82;2993556,46;2893878,40;2921577,35;2888133,46;2657088,79;3222899,86;2918619,43;2914168,08;2829194,55;3043609,94;3015651,00;3282750,71;3620360,03;3000689,77;2708554,53;2931449,35;2686246,76;2792229,60;3079690,11;3300619,86;2765837,66;2912234,79;2917058,93;3005300,47;3147386,22;2760857,14;2797049,07;2907769,64;2993545,21;3180914,65;3106240,86;3363633,92;3308820,50;3185969,08;3227132,89;2820684,41;3114561,76;3244488,64;2900706,42;3195790,00;2877266,43;3055854,14;3375761,37;3217637,34;3421272,21;3155762,21;3215017,51;3197096,22;3427225,71;3094108,20;3082711,21;3229975,34;3159481,86;3342624,30;3255821,79;3546141,76;3417423,35;3659678,53;3624444,71;3223301,46;2996940,63;3274003,92;3229926,55;3183111,03;3259808,01;3574742,69;2882798,14;3245379,59;3694679,64;3584267,71;3558071,94;3426488,24;3410479,39;3283921,58;2687783,31;3204131,22;2906532,57;3276033,00;3100259,83;3497478,15;3198850,52;3221887,12;3067471,52;2979111,33;3413822,97;2642353,67;2483658,56;2791786,57;2234782,99;2715148,31;3073881,82;3336046,47;3300917,45;3806794,62;3083566,71;3088564,34;3576848,11;3159170,49;3170013,41;3498263,64;3253271,76;3200241,33;2708518,66;2819120,47;3872832,52;3979373,35;3977791,72;3558194,20;3442085,44;3130401,73;2349542,92;1288817,77;83816,63;466985524,08
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
