"Município";"2009/Jan";"2009/Fev";"2009/Mar";"2010/Jan";"2010/Dez";"2014/Fev";"2016/Ago";"2018/Ago";"2020/Fev";"2020/Dez";"Total"
"120017 Capixaba";...;...;...;...;100,00;...;...;...;...;...;100,00
"120020 Cruzeiro do Sul";...;...;...;...;...;...;100,00;100,00;5,88;-;2,73
"120040 Rio Branco";25,00;20,00;50,00;25,00;-;100,00;...;...;...;33,33;10,91
"Total";25,00;20,00;50,00;25,00;20,00;100,00;100,00;100,00;5,00;20,00;5,13
