"Município";"2009/Jan";"2010/Jan";"2010/Set";"2011/Jul";"2011/Out";"2011/Nov";"2013/Jun";"2014/Mai";"2015/Mai";"2018/Jul";"2019/Jul";"Total"
"160027 Laranjal do Jari";...;...;...;...;...;...;...;33,33;...;...;...;7,14
"160030 Macapá";20,00;100,00;66,67;100,00;-;50,00;100,00;...;100,00;100,00;100,00;7,87
"160080 Vitória do Jari";...;...;...;...;100,00;...;...;...;...;...;...;100,00
"Total";20,00;50,00;50,00;100,00;33,33;50,00;100,00;33,33;100,00;100,00;100,00;6,82
