"Município";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Set";"2008/Out";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Nov";"2009/Dez";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Ago";"2013/Set";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Jun";"2014/Ago";"2014/Out";"2014/Dez";"2015/Fev";"2015/Ago";"2015/Out";"2015/Nov";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Jun";"2016/Ago";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Out";"2018/Jan";"2018/Mar";"2018/Set";"2019/Fev";"2019/Mar";"2019/Jun";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jul";"2020/Dez";"2021/Jan";"Total"
"130185 Iranduba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17
"130190 Itacoatiara";-;-;-;253,68;-;507,36;507,36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;313,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1581,57
"130230 Jutaí";-;-;-;-;-;-;253,68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;253,68
"130240 Lábrea";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;578,34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17;-;-;-;-;289,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;921,46;-;2078,14
"130250 Manacapuru";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17;-;-;-;-;-;-;-;289,17;-;-;-;289,17;-;-;291,17;-;-;289,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1447,85
"130260 Manaus";5968,80;7170,48;5424,32;10540,20;10854,56;3549,88;273,68;1050,72;253,68;1806,28;616,29;11104,54;2200,19;3241,13;1671,25;867,51;2782,39;602,54;979,51;305,17;737,93;314,60;616,29;1788,97;289,17;1378,82;16513,67;5992,32;2375,31;1043,63;610,34;4647,34;6414,40;19691,15;47779,95;15741,59;4906,71;3453,41;289,17;-;329,17;339,51;289,17;-;511,70;578,34;289,17;-;905,46;959,61;1572,00;1180,88;3023,96;602,34;297,17;329,17;-;289,17;289,17;289,17;289,17;289,17;-;313,37;297,17;289,17;588,41;-;737,73;425,29;327,12;-;-;-;-;-;-;3464,58;327,12;-;351,12;289,17;-;-;289,17;-;-;-;-;891,51;2798,39;289,17;-;321,17;343,12;-;230844,17
"130290 Maués";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;327,12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;297,17;-;-;-;-;-;297,17;329,17;-;-;305,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1555,80
"130340 Parintins";-;-;-;-;-;253,68;-;-;-;-;-;306,21;289,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;849,06
"130350 Pauini";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17
"130353 Presidente Figueiredo";-;-;-;-;-;-;-;-;-;-;289,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;345,17;-;-;289,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;878,14;-;-;-;-;-;1801,65
"130356 Rio Preto da Eva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17
"130380 São Gabriel da Cachoeira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;94,54;44,22;-;-;-;-;-;-;138,76
"130406 Tabatinga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;345,17;-;-;-;-;-;-;-;-;378,34;-;-;-;-;-;-;-;-;-;-;-;345,17;-;-;-;-;-;-;-;-;-;-;-;-;-;676,34;297,17;305,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;337,17;-;-;329,17;337,17;-;-;-;-;-;-;966,16;4317,03
"130420 Tefé";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17;-;289,17;-;-;-;-;-;-;-;-;-;289,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;297,17;297,17;-;745,13;-;-;-;297,17;602,73;-;-;-;-;-;-;-;-;-;-;-;-;3396,05
"130440 Urucurituba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17
"Total";5968,80;7170,48;5424,32;10793,88;11108,24;4564,60;1034,72;1050,72;253,68;1806,28;905,46;11410,75;2489,36;3241,13;1671,25;867,51;2782,39;602,54;979,51;305,17;737,93;603,77;616,29;1788,97;289,17;1667,99;16858,84;6608,61;2375,31;1621,97;899,51;4992,51;7305,91;19980,32;48936,63;16119,93;5197,88;3742,58;289,17;289,17;329,17;339,51;578,34;578,34;511,70;867,51;289,17;345,17;905,46;1248,78;1572,00;1470,05;3023,96;602,34;297,17;329,17;289,17;289,17;289,17;578,34;289,17;965,51;297,17;618,54;297,17;289,17;588,41;297,17;737,73;425,29;327,12;289,17;289,17;586,34;618,34;297,17;297,17;3769,75;1072,25;652,93;351,12;289,17;297,17;602,73;626,34;321,17;3153,65;4274,91;2124,56;1272,90;3965,70;578,34;289,17;321,17;1553,75;966,16;264079,69
