"Município";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2009/Fev";"2009/Mar";"2010/Mar";"2010/Mai";"2010/Jun";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Mai";"2012/Ago";"2012/Nov";"2012/Dez";"2013/Fev";"2013/Jul";"2013/Out";"2013/Nov";"2013/Dez";"2014/Fev";"2014/Abr";"2014/Jun";"2014/Jul";"2015/Jan";"2015/Abr";"2015/Jul";"2015/Ago";"2015/Nov";"2016/Jan";"2016/Fev";"2017/Mar";"2018/Jan";"2018/Dez";"2019/Ago";"2019/Dez";"2020/Fev";"2020/Mai";"2020/Jun";"2021/Fev";"Total"
"150440 Marapanim";...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00
"150442 Marituba";...;-;...;...;...;...;...;...;-;...;-;...;-;...;...;25,00;-;-;-;-;...;-;...;-;...;-;-;...;-;...;...;...;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;6,25
"150445 Medicilândia";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;25,00
"150503 Novo Progresso";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;33,33
"150530 Oriximiná";...;-;-;-;-;-;...;-;...;...;...;...;...;...;...;...;33,33;-;-;...;...;...;...;...;...;...;...;...;...;-;-;33,33;-;...;-;...;100,00;...;...;...;...;...;...;-;-;-;-;...;...;...;...;...;...;...;...;...;2,65
"150543 Ourilândia do Norte";...;...;...;-;...;...;...;...;...;...;...;...;100,00;-;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;14,29
"150548 Pacajá";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;33,33
"150550 Paragominas";...;...;...;...;-;-;...;...;-;-;...;...;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;7,69
"150553 Parauapebas";...;-;-;-;-;-;...;100,00;...;-;...;...;...;...;...;-;...;-;-;...;...;...;...;...;...;-;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;-;...;...;...;...;...;...;6,52
"150600 Prainha";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;50,00
"150613 Redenção";16,67;12,50;3,85;9,09;-;14,29;...;-;-;-;-;-;-;...;...;-;-;...;...;...;...;...;...;...;...;-;...;...;...;...;...;...;100,00;-;...;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;...;...;...;6,03
"150616 Rio Maria";...;...;50,00;...;-;-;...;...;...;-;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;9,09
"150619 Rurópolis";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;-;...;...;25,00
"150650 Santa Izabel do Pará";...;...;...;...;...;...;...;...;...;...;50,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;50,00
"150670 Santana do Araguaia";...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;...;...;-;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;12,50
"150680 Santarém";...;...;-;16,67;-;-;-;-;...;...;-;...;...;-;...;-;-;33,33;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;...;...;-;...;...;...;...;...;...;...;...;...;...;4,17
"150715 São Domingos do Araguaia";...;-;...;...;...;...;...;...;...;...;...;...;...;...;...;-;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;14,29
"150760 São Miguel do Guamá";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00
"150808 Tucumã";100,00;-;...;...;...;...;...;...;100,00;50,00;...;...;...;...;-;-;...;-;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;25,00
"150815 Uruará";...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;-;...;...;-;...;...;...;...;...;...;...;-;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;-;...;...;...;...;...;...;...;...;-;...;...;...;3,45
"150840 Xinguara";...;-;25,00;14,29;-;-;-;...;...;...;...;-;...;...;-;-;-;-;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;...;-;-;...;...;10,53
"Total";25,00;5,88;5,49;5,41;1,92;6,25;7,69;18,18;5,71;7,41;15,38;7,69;8,33;4,17;3,70;6,52;6,00;6,67;4,35;25,00;40,00;16,67;20,00;30,00;14,29;14,29;5,56;22,22;40,00;12,50;9,09;30,00;50,00;33,33;25,00;33,33;33,33;12,50;16,67;33,33;20,00;20,00;75,00;25,00;25,00;10,00;5,00;50,00;50,00;33,33;33,33;50,00;9,09;11,11;50,00;25,00;6,45
