 Morbidade Hospitalar do SUS - por local de residência - Amazonas
Valor total por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2007/Jan";"2007/Fev";"2007/Abr";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"130063 Beruri";-;-;-;-;-;-;-;1058,30;9681,32;12279,42;12460,82;13401,13;11932,52;4639,49;13646,55;16494,67;14168,73;11925,26;5206,74;3177,26;3937,23;11458,38;10343,10;12094,12;11125,95;9253,96;9784,19;9776,69;9160,62;15840,73;10141,45;13888,92;7691,15;9605,88;13581,07;2021,40;2148,13;9812,10;13143,80;9128,53;12499,03;13383,53;10959,67;26709,48;13022,82;16201,89;13307,02;19844,49;13770,61;10018,76;13156,46;14835,02;13035,71;11736,35;13959,08;10730,44;6188,62;8610,83;3543,42;43465,45;17012,78;50606,50;25753,42;32793,38;27541,31;24357,24;21442,40;18027,88;16132,70;20529,72;20075,88;22616,76;26183,64;28763,05;28496,47;48468,42;25842,14;25982,69;17115,55;3029,85;8075,74;33962,58;23757,18;33419,86;20360,02;32780,57;25936,78;25227,27;30442,88;24159,97;26217,55;25751,24;10876,09;37883,95;41326,15;62781,77;25824,58;48402,48;53766,36;42231,59;49902,49;62637,68;36155,93;40133,99;37223,41;39274,29;37189,67;51849,29;28126,00;42472,25;34059,61;23868,49;41036,53;31900,46;48534,09;35528,88;44119,55;54674,95;63358,20;34834,98;28773,76;5263,24;25208,37;20861,78;25362,50;41559,28;13723,80;17423,59;16249,37;33966,57;28729,55;19852,64;27376,57;13329,30;37341,60;18170,44;31628,13;35126,43;27009,50;7870,86;60623,40;27169,84;46246,29;32439,67;31956,41;34135,14;38825,94;53470,40;47189,46;44583,60;13092,25;25392,14;21303,82;33274,11;39226,79;37832,24;26311,56;20690,28;14712,50;29551,77;69765,14;48824,76;34489,96;15293,73;20312,68;23206,89;2740,65;3951314,12
"130068 Boa Vista do Ramos";-;-;-;-;189,35;-;590,72;6675,47;26628,11;25640,24;13262,32;20245,98;23162,53;15715,32;15459,08;17350,73;15100,27;16921,22;17491,34;9044,61;15196,79;28144,96;19343,64;15582,78;9832,89;8480,58;12141,89;16728,54;19478,62;17365,78;10867,72;17446,27;14957,05;17061,20;18522,61;17531,33;21392,44;17874,20;24247,76;25609,94;15802,22;24810,24;15729,90;34622,81;14880,54;14013,08;14223,19;13832,94;19001,73;20588,31;11141,92;17215,75;13424,28;10796,88;19767,02;28052,39;16421,62;27513,57;10988,89;24772,27;11832,74;9061,11;33272,99;30418,02;20340,63;19913,82;17567,27;4195,26;8475,99;6860,04;5616,51;14557,67;14978,72;22622,65;11331,65;21390,52;36614,58;15634,01;14270,30;16587,82;3635,63;1869,47;4889,21;7471,63;6854,62;6061,52;7868,96;2751,60;2765,45;3427,13;3596,22;1953,20;2443,76;1932,81;1088,11;6636,24;9029,47;4475,70;2412,63;2800,64;43966,78;3803,00;6003,57;8618,62;13381,44;11821,83;9971,13;15283,69;31760,22;3193,19;15334,89;15341,95;16509,14;16560,87;13038,87;16151,01;7081,93;7206,02;6814,29;25821,26;27343,99;33126,65;25882,35;18451,05;14399,51;25557,65;24101,05;20042,34;21647,07;42232,73;22200,88;62083,46;43505,92;41911,87;22290,16;18586,98;23014,82;27559,73;42282,67;29395,40;27159,67;23783,02;27188,63;24351,77;46582,74;44881,96;19820,93;28724,17;35296,37;28990,22;27744,81;27169,98;75278,19;40619,25;73702,61;33749,60;32032,82;38612,38;26369,80;40298,76;46191,29;49817,93;47677,16;94376,75;66203,79;88869,66;45270,69;3392435,06
"130070 Boca do Acre";-;-;-;-;-;608,20;515,18;9123,49;62346,93;55027,00;67390,51;88690,80;64384,58;74669,24;68160,12;66729,62;58949,91;60668,74;128414,08;48867,60;27023,15;20348,26;19732,11;32126,29;43475,71;53194,14;70438,90;35222,94;67197,90;73032,03;71408,16;46201,47;49926,62;47458,27;52382,78;48505,23;57517,23;72843,01;64033,02;26397,03;54173,06;137151,10;56537,32;81768,95;89787,91;68750,06;88133,91;82917,27;67111,74;110817,95;87748,47;48654,62;85211,21;90277,36;75772,53;86851,16;74533,72;94241,04;99979,46;95536,95;126967,61;118081,16;83205,91;100348,89;89013,57;106848,80;97807,86;80728,81;82698,65;104649,56;78490,33;91012,95;126468,70;144414,82;59374,69;91490,69;83292,00;93913,04;105888,75;48677,87;100298,75;91433,87;105815,17;117218,99;122533,23;109131,98;84472,93;71888,39;92049,20;129739,96;86970,37;85068,53;85303,37;87648,59;83003,26;94837,84;162626,90;95768,07;136339,23;96729,36;80291,73;95949,82;83746,08;79220,09;59664,73;67513,25;85706,64;87544,84;94589,66;229934,80;87853,19;99265,21;137125,22;76499,43;52206,59;103366,90;95075,55;65773,50;87322,92;97624,52;96317,79;91312,21;85831,11;104901,88;77082,18;102013,67;79117,18;112580,25;99348,92;103121,59;75034,81;95268,89;82187,56;127698,61;130197,69;111954,70;113942,00;67849,92;92268,14;116144,56;101745,13;98328,69;106538,35;101626,58;138676,07;120597,96;109743,23;96730,77;134366,10;114493,99;117060,82;107252,04;105491,06;126743,77;91692,94;95918,20;71920,08;99326,84;90980,85;160569,11;100150,65;136274,74;113107,78;149215,23;82880,99;63323,24;43303,35;14169725,58
"130080 Borba";-;-;-;-;-;-;-;459,09;6205,27;30317,22;46649,83;55713,53;50253,23;61059,06;75853,44;78517,37;74744,98;62361,16;29939,30;10874,95;20818,30;27162,46;59644,90;65853,54;48254,09;8022,64;56308,48;50496,02;46256,73;50342,11;46706,04;55282,81;14826,85;7839,66;7462,55;37418,42;7392,41;47648,32;10827,81;18133,85;62881,86;74504,99;64440,27;49500,33;44122,19;54351,98;52357,35;65621,67;50959,30;60440,23;27783,39;65632,36;66183,68;72013,34;67482,80;57922,98;45987,29;55185,69;48047,31;76214,45;58193,83;25484,56;69774,34;81461,45;64161,62;58683,37;60517,26;66943,40;50187,46;59627,25;54589,78;63847,24;57167,14;60305,72;49793,42;48773,13;46370,41;54142,43;64135,31;67763,22;48876,05;55618,61;65954,22;67132,29;51289,63;47633,75;56469,90;63296,52;55019,46;81111,60;78342,10;68295,24;65894,34;61769,00;49092,01;68589,60;83845,12;98511,29;108861,58;99381,92;59703,60;113165,86;85125,74;55005,05;71289,85;90182,42;67838,03;74963,07;101228,42;71490,48;69475,55;98543,68;83687,18;85480,88;81569,22;70140,38;32570,44;34780,19;14793,02;13572,09;34360,17;89434,90;96628,59;104338,87;142716,29;168121,41;112698,92;99475,17;84062,08;83390,44;86774,68;119371,45;105315,00;91242,28;99366,31;83393,97;105484,07;94934,24;173371,22;89708,39;76687,29;105938,70;86442,96;145496,76;100926,79;129296,08;112281,69;112544,53;132552,09;65917,45;96025,51;84234,78;88514,52;97444,71;118363,35;116968,80;72620,72;138129,06;108397,34;126130,32;65574,46;177524,28;124290,20;131606,73;233912,62;132866,63;100269,54;11487937,96
"130083 Caapiranga";-;-;-;-;-;-;-;1909,35;7675,11;12297,33;6438,62;8750,01;8741,43;9752,02;13402,00;18203,88;13856,74;10012,73;10918,01;7191,61;7832,89;16045,54;11759,96;14463,44;12684,06;13995,10;7326,06;8719,68;7799,02;17801,01;6964,94;5678,86;7277,14;5991,45;7605,53;8731,18;16976,62;8694,77;70886,64;9835,22;14357,24;14602,39;10229,58;7570,08;15563,70;3163,79;8722,19;12064,96;10964,50;11333,44;12509,82;14425,99;12328,71;8366,32;16708,69;12898,00;6150,00;9452,84;5805,48;24093,48;12293,42;6233,86;9312,96;6892,74;9180,17;5099,70;5226,47;11402,15;9006,87;9064,19;12004,05;19112,17;16993,76;14412,07;9769,19;14859,20;16836,50;15598,37;9393,37;14553,19;5393,63;6613,04;15416,02;8660,27;7564,86;7833,12;12586,72;6026,26;9243,31;15892,29;21897,24;17613,72;4931,41;14930,36;9999,62;16241,68;18311,22;16748,84;17333,38;13560,02;17554,80;33943,29;18717,60;12686,68;4979,91;21942,29;16569,68;12706,44;22910,97;19712,78;14284,04;26170,80;15261,23;13737,99;16335,60;14895,05;5276,54;7821,36;8749,16;3702,07;16425,54;19188,25;15953,18;14423,10;4335,74;13010,36;16808,21;19740,39;14193,71;20737,28;11540,32;17206,89;13109,21;22722,25;22186,26;12068,62;19395,51;16645,62;33749,00;13868,72;18644,86;27964,60;15759,58;20442,39;22920,28;19467,95;24075,81;20682,57;14198,55;8153,70;20789,66;12338,31;16040,77;21719,64;29445,09;38282,70;21635,59;17375,84;32398,53;60595,97;45994,90;33146,49;27730,67;40796,39;43985,71;71060,27;15528,48;2488012,30
"130090 Canutama";-;-;-;-;-;-;-;1100,64;14426,49;1037,06;2582,37;19172,55;14303,06;15898,27;19065,65;16357,95;11375,04;3022,70;13897,73;1796,94;11869,92;10799,31;12459,60;15399,26;1580,88;2377,26;18426,62;17018,68;19212,35;13769,93;17116,45;14509,06;11953,97;15085,85;17128,63;12924,39;7129,14;17559,13;14941,85;18362,85;15745,86;36089,65;545,73;1432,53;15809,18;1114,55;549,52;-;-;-;1743,66;12411,19;3135,33;1575,34;14417,91;11659,98;7710,18;-;-;3277,39;5863,25;452,53;9204,12;3063,23;1091,46;4248,67;8380,05;7717,07;8973,08;3443,39;1570,65;5455,99;2477,45;416,39;-;579,65;4797,72;13812,05;-;-;-;306,57;14389,23;-;3034,50;14224,93;3448,84;16327,69;17529,34;13984,99;60758,63;1689,51;10973,35;14922,33;14162,58;16173,75;18575,84;13754,28;12710,43;10991,00;13339,24;12102,40;14232,95;22360,61;15922,69;5986,59;29097,61;31313,79;18733,36;21101,87;16962,91;25537,83;16021,64;14763,86;16858,33;7606,43;8155,18;9121,76;20218,41;20125,78;17780,90;33159,94;15314,85;31455,94;40848,15;23203,93;22516,39;12221,74;16238,95;21767,84;16081,64;19974,84;17524,90;22966,23;23005,52;17990,36;18482,59;21328,99;16118,97;20284,12;12767,65;13780,60;18204,74;19402,90;19344,97;20491,49;22444,98;36745,57;31371,61;18985,26;16301,68;52907,28;25345,49;20907,47;18696,51;13358,64;9792,86;15500,43;13700,42;27057,72;22832,11;14291,38;26340,54;14878,92;12919,39;12031,72;199,33;2168815,81
"130100 Carauari";-;-;-;-;-;-;416,54;1967,44;29794,28;36697,14;30239,06;45678,47;27480,70;35858,34;37584,06;42644,23;49313,86;50744,58;30896,73;36160,10;33506,61;44632,99;27776,28;41288,93;43416,59;42156,89;41342,59;42862,32;44314,19;40626,29;39844,99;41026,64;46414,87;40308,09;42549,49;62430,25;55851,28;48277,65;34929,99;41032,68;41887,60;42023,42;68879,59;41468,00;36169,05;68115,54;10072,19;15480,47;12864,87;9563,26;23897,96;33718,86;99926,25;8068,62;40579,40;91450,69;10463,73;11023,00;33263,40;660,07;16419,12;20840,69;58374,84;32801,89;20218,59;24751,68;19789,20;49514,61;38711,13;52445,36;49160,31;38776,47;39455,74;36912,18;35785,82;3230,85;31507,67;33200,97;41565,12;14683,75;35024,22;27423,43;3911,91;9590,06;9706,76;40395,83;51330,06;37273,84;42889,31;22147,93;47742,74;31248,64;33031,03;38757,29;31032,99;59737,47;129906,55;66055,62;29906,08;49790,53;34374,38;36927,30;53636,90;32312,56;22509,14;44917,88;61783,98;35471,19;45238,86;52256,63;33505,43;41896,71;33042,21;33532,31;30508,63;29896,55;14679,19;59865,49;40853,76;25121,39;24233,00;34915,05;59825,30;92454,99;49348,73;34042,06;43989,04;59448,12;36301,61;52665,96;45866,15;44708,05;61277,11;61225,17;41374,54;53421,95;51355,06;194998,88;42326,37;29180,42;43637,80;42682,12;55639,43;43630,30;80262,92;73835,51;45285,45;64540,97;89579,64;124089,00;103389,51;64618,40;73267,78;113173,47;100088,31;68078,38;51481,48;61714,21;85927,13;99636,17;146071,09;149936,67;130703,30;119858,45;86853,85;30823,01;1246,43;7490028,22
"130110 Careiro";-;-;-;-;-;-;-;20055,99;14170,20;14450,65;20126,21;46425,32;31936,47;31715,85;28088,19;46246,84;41257,03;33919,34;27867,83;15241,21;24492,52;34357,77;48025,94;28803,67;22054,58;22551,59;23872,61;28651,27;16774,87;22296,62;9436,83;20470,32;15855,93;28680,05;24811,33;48885,04;11170,95;19199,96;23964,87;8683,65;14213,21;4474,54;6527,20;6222,59;6310,41;42038,33;25723,41;28593,88;16894,52;37674,63;22281,12;25231,89;20204,31;10545,65;17954,47;15309,44;21457,61;37401,53;10077,86;12287,95;18357,84;17722,12;12031,22;11901,07;7190,15;30532,54;12503,55;6844,34;9857,35;26119,84;17647,83;17164,04;12967,90;15477,36;12028,06;27494,92;9317,35;16756,08;19245,63;17389,26;42437,19;40777,28;25361,00;38948,18;71138,72;65365,50;81574,45;107843,65;48823,46;91225,88;141425,77;98639,70;78346,66;60092,74;86261,26;96693,91;138525,59;219273,55;192567,72;187392,00;147029,04;109872,95;129124,01;92385,65;136522,21;107794,71;100180,01;96667,33;96451,74;87159,34;94885,14;76074,28;138375,21;138575,19;147889,09;76972,71;100773,79;72021,15;99071,61;91287,42;105379,89;100696,28;69675,03;69493,61;88759,05;73169,17;95204,44;74678,08;77836,15;61834,42;106291,64;103081,85;98175,06;78641,65;78232,28;74766,58;225805,56;134644,60;80700,47;58369,16;78875,22;64718,21;100993,75;132692,63;91230,27;145593,40;69474,24;87331,15;97588,81;161024,39;201478,84;122571,94;104801,79;129806,60;94244,79;54822,11;47250,48;100116,23;101846,19;104164,44;113413,49;114608,93;105546,03;109024,56;60851,86;156948,60;38225,77;10251020,98
"130115 Careiro da Várzea";-;-;-;-;-;-;-;563,94;2987,28;2223,23;3103,85;4614,26;7040,27;2111,60;5448,44;5443,96;5492,74;1952,29;12612,57;2030,09;7934,35;10609,58;3323,98;2691,48;2770,43;3459,59;2358,22;3520,12;4052,75;3757,22;1301,44;8390,75;3900,36;5165,73;1785,24;6690,47;8451,15;2351,40;4037,75;3161,11;5283,48;3174,74;3867,00;2407,11;10552,54;3054,59;3669,48;5603,16;6741,87;2839,60;3409,15;2759,65;2281,89;2433,11;4091,36;5460,05;8107,96;-;2088,41;1218,51;3391,32;9822,24;595,48;2939,32;2261,82;6926,45;16047,57;2509,78;3124,25;6631,79;11968,67;1076,35;11669,72;5596,24;2388,15;7116,90;6455,33;4536,48;4753,36;13271,94;3219,36;3790,72;3376,14;6560,97;3633,53;5124,01;2236,70;8517,29;11415,99;4953,38;20898,90;5643,48;8380,84;6435,43;29268,77;15255,05;10628,19;14789,47;8298,12;11750,71;14033,02;55371,78;25588,84;19429,83;43439,72;16093,30;8371,82;20960,90;33275,38;15281,02;26888,29;19086,66;21266,95;10085,10;17414,68;24331,40;14276,62;10819,10;67819,74;44790,57;13061,92;15557,95;21721,50;7044,04;21760,57;15955,41;48999,93;17258,64;13734,38;11933,83;16994,12;40281,27;16318,01;11892,16;19018,29;20899,46;13067,42;30292,44;28689,06;17575,65;20097,92;40616,00;27453,59;27706,19;20340,50;16800,86;28644,97;28595,89;21165,85;28501,91;20028,11;22225,98;30777,57;41131,52;28699,26;29508,56;8065,40;30754,65;30982,76;18737,55;31698,04;20785,45;33985,13;19219,42;29429,37;55782,49;5061,53;2159118,75
"130120 Coari";403,09;47,27;-;-;-;-;-;1247,24;97023,84;97604,14;134175,44;136301,49;127044,43;136910,42;155727,46;162358,69;153773,47;173460,94;193376,50;146479,10;160237,93;150673,84;116788,66;158008,86;166728,66;131388,04;70830,72;127944,10;116434,65;122397,01;118527,47;123689,28;145005,26;148100,23;119581,96;135532,40;167698,44;126332,95;143309,55;128133,92;111646,70;153768,12;156791,75;166794,18;155451,15;187795,73;155134,86;187817,22;116583,75;24897,40;1776,14;73743,76;72192,86;101903,03;82315,90;76645,80;60291,16;132778,52;69826,39;97828,23;100075,96;40388,97;86430,09;178998,21;136503,63;96867,44;150171,74;131058,77;196386,98;141336,47;126124,49;159589,62;159814,90;156893,47;112402,76;137995,75;147808,74;153134,06;239191,56;208974,12;169536,80;164434,95;185815,58;182912,03;177165,66;132031,30;177105,68;148703,48;179799,16;206713,53;186316,83;204456,54;159976,12;163507,88;163174,79;193085,98;210070,35;200753,99;256168,10;178711,82;183649,70;202010,07;218423,36;195583,79;205524,37;150827,18;126190,83;223926,33;207595,16;199525,09;194180,09;213700,20;169367,01;181443,83;154674,24;142313,38;173384,77;165785,64;103839,62;142756,73;132140,71;178700,16;198862,79;180806,29;178174,14;158572,62;191576,25;203128,04;160502,08;236695,11;205332,85;183423,40;224224,53;208078,43;216515,78;210640,12;241848,39;202480,03;234138,40;239126,53;207700,35;221966,38;212377,66;220479,19;209873,71;209344,15;232299,45;237513,63;257629,19;256364,16;243041,26;219537,06;214776,22;218968,74;231306,40;256890,24;207641,04;307979,85;193773,67;203727,22;310435,80;246923,66;288006,69;340558,61;270593,92;275778,91;107256,39;27022259,99
"130130 Codajás";-;-;-;-;-;-;-;11640,73;46095,43;52359,82;33617,76;58856,54;43774,31;46992,94;32676,82;53592,44;47810,16;45991,09;42747,41;34050,16;45330,71;50915,86;49202,41;51340,87;43126,41;41257,00;49711,16;32077,45;41683,06;40459,33;34410,59;42714,12;38581,13;46174,06;32128,83;58509,54;38284,82;65280,90;52669,81;45377,35;84459,63;47819,98;12172,43;34543,76;60467,68;29536,99;36395,57;43287,58;43636,48;27139,40;33147,56;37091,92;31601,93;37912,28;37129,19;34755,43;39364,59;46646,68;35801,48;33936,10;45634,99;56174,72;8236,63;35517,37;33284,02;18685,54;42464,33;34139,20;29687,33;32476,17;34754,76;23525,32;1527,22;7452,63;6591,25;22112,06;3044,90;31236,80;31277,89;34228,37;34167,38;20638,46;20110,54;29422,00;31387,97;2221,70;2350,28;33684,51;5224,91;8731,65;10462,56;11635,44;16541,44;18679,33;25116,34;35926,31;29146,80;31327,98;35538,44;37691,07;60475,57;33147,13;44969,02;39220,54;57376,41;49925,19;42610,48;33364,39;42209,00;42159,18;77894,73;51311,85;51051,72;96356,29;32434,17;49618,78;82004,42;52999,82;46011,12;51879,20;71335,28;111649,95;84504,26;57360,40;89824,30;45770,55;43747,10;23281,08;32803,54;50371,80;33858,46;45967,77;39320,68;37111,05;63579,58;87991,04;61383,34;28555,17;48856,66;46082,73;45623,85;46374,06;40640,32;14869,02;74403,10;44934,43;59695,39;51590,49;48553,08;67833,59;66084,24;43331,34;59713,09;43562,70;92372,25;66335,00;32360,29;40357,73;83754,11;49949,35;128000,85;77476,99;57681,96;65351,83;74867,52;14219,26;3048,25;6841702,13
"130140 Eirunepé";-;-;-;-;-;-;2729,02;10814,56;28190,45;14556,13;36944,11;68569,26;49738,52;62061,85;63299,44;48714,31;60914,58;59273,86;55990,83;53551,88;45103,60;59910,71;59762,20;37720,41;53610,88;65529,16;55161,62;44762,39;48914,34;60021,76;56378,95;63468,46;46047,38;57210,49;59488,06;60236,32;50753,12;43933,65;58472,67;47827,96;41572,92;48899,05;39710,15;46252,56;51219,67;45993,85;59969,68;46912,61;50133,09;57705,74;56544,91;60312,41;59255,97;35838,40;37119,25;30763,13;16983,46;840,85;6977,58;1499,78;1972,40;1137,48;1777,61;2414,15;955,55;32774,07;31072,33;59758,25;41407,79;70618,16;55719,27;62926,27;71745,25;74736,67;69485,70;64131,76;49557,04;47759,95;57807,83;62233,58;66684,68;70522,33;54578,88;65300,47;68932,02;81275,56;70805,29;64292,11;61761,96;64883,45;90070,32;35102,72;39090,70;27771,47;4356,16;44985,69;39676,36;42572,31;15574,68;74019,54;60692,48;27733,75;17547,70;33036,37;50550,55;39281,13;33066,99;55262,25;34057,61;7795,80;9643,94;28418,23;28591,27;14522,20;26870,90;30133,88;9857,97;7500,90;41048,07;80451,89;70270,22;50777,57;62102,58;47423,17;65851,79;29537,04;71083,66;57698,31;31641,22;46059,04;78463,69;62404,32;69380,69;45335,30;30823,78;42386,38;37252,82;24153,65;44536,17;48138,45;22867,63;67696,43;52359,14;80772,42;78657,36;81864,96;76369,14;64697,85;78069,42;78917,90;91137,51;160710,78;73762,25;88469,98;65629,57;76671,93;26848,99;39034,97;17512,61;58566,96;24730,67;17804,28;17011,62;17960,89;36168,96;38557,03;12610,24;7623261,02
"130150 Envira";-;-;-;-;-;-;-;872,94;25871,22;18713,50;28441,07;29628,87;21241,15;28903,24;27592,38;30615,59;25285,50;28487,83;1731,35;14923,56;19912,57;27717,38;20551,88;28165,36;4043,91;8413,34;28149,61;19262,31;12786,36;15901,88;4261,43;1408,27;2145,47;23359,42;11163,41;21376,85;28655,64;25432,17;26420,77;23562,23;31218,93;14314,57;5186,50;10125,34;3002,38;32486,52;9262,97;7359,88;15811,26;16380,62;8990,21;24079,11;22215,77;1462,65;2150,99;16757,88;12008,20;7533,94;1820,82;2248,82;21149,98;27462,22;22931,34;23852,18;22673,86;16982,38;17211,19;9328,63;22650,84;5416,96;31441,59;4473,21;4644,45;5920,32;3854,50;5118,84;8429,31;10434,92;2400,66;8760,37;5624,73;4202,39;9362,62;4429,81;16423,02;20456,69;3462,63;19309,82;14084,22;23589,36;27583,91;27397,07;22873,89;12145,06;26544,94;12062,87;21534,52;8453,47;18131,23;8438,81;2583,67;5427,27;30077,20;22994,91;10321,33;16929,54;4228,42;23581,47;40555,32;37386,77;41233,61;50651,45;30501,24;39389,64;36479,95;36171,05;28610,78;37365,71;32429,45;29867,84;38375,60;56363,12;26456,94;20272,66;42457,97;31536,54;33461,26;27606,71;43896,78;26615,23;32311,64;41392,11;58853,57;2979,63;19313,27;27660,27;5852,75;17127,47;58666,86;32643,12;32227,53;20386,75;34586,97;48288,48;51872,70;49915,60;62028,96;47664,67;34488,68;36485,60;65644,19;27668,47;40359,52;21137,24;39803,57;32283,41;21369,38;35577,67;23133,33;34104,32;49295,63;52347,05;49871,16;38839,43;27969,04;17689,90;25571,80;3681905,80
"130160 Fonte Boa";-;-;-;-;-;-;-;-;-;59222,19;60311,68;53598,12;50962,13;102998,07;51931,30;48612,79;50881,80;53702,87;51806,45;55544,00;67346,95;51960,23;60949,38;60966,56;47294,43;57875,00;60128,23;57034,68;56940,09;55330,15;51237,62;55175,49;56867,88;51783,93;46439,75;47622,10;53711,37;62156,76;54615,28;52285,98;48974,04;52204,31;53406,79;46521,39;52836,53;52925,44;65603,16;58372,00;62212,20;14531,58;56330,87;48547,13;62238,07;42442,76;45883,30;34529,74;58869,58;342,30;35664,86;202,70;-;453,51;14660,90;-;1881,32;1567,33;-;525,86;7985,18;54445,08;60993,98;59501,52;9418,65;4781,70;5320,28;7576,15;4632,28;4040,68;9516,50;11757,28;4849,01;2853,07;9254,16;5745,14;1557,18;1972,64;2876,66;2970,52;-;14447,08;33143,47;34985,44;35105,03;34249,79;40441,62;25823,85;33765,90;31060,23;37246,40;23403,67;44903,16;64028,17;47598,30;49045,27;79286,07;49203,21;63392,40;60299,78;42864,09;46168,56;63557,72;53966,84;87884,56;158324,00;40231,69;50592,31;56206,54;68279,75;39977,58;73752,51;67306,24;76556,21;50075,57;60128,63;59376,25;52396,87;45117,68;85245,12;46962,75;47781,69;81552,60;9133,29;12169,56;14249,16;1943,16;52147,03;9448,53;12676,15;13010,40;9099,08;9765,43;34235,43;47454,47;58386,97;60329,36;122636,05;67430,12;57557,74;42872,56;141701,30;49052,01;62761,77;50801,44;76499,37;61977,17;56535,21;40752,29;66141,01;91269,66;83480,14;82812,71;82336,08;69833,68;98153,57;79640,88;65531,20;184,30;7080811,47
"130165 Guajará";-;-;-;-;-;-;-;7840,46;12095,29;27197,01;25064,43;30668,12;22050,92;31633,04;30218,82;42232,72;38262,53;27399,51;19317,74;31038,22;35749,88;31290,47;31553,28;36630,34;36284,69;39834,34;40306,49;36854,75;31717,34;21715,55;31851,46;25372,08;31967,64;30817,30;31637,17;51497,07;31027,20;49088,96;37840,45;47522,17;30181,50;40803,59;36089,76;39085,59;34198,58;39064,72;32414,12;44408,00;35185,41;25643,33;31986,20;34065,41;34752,42;41901,01;39622,30;29996,63;28587,66;34971,91;30749,52;46200,87;34006,19;40106,33;47277,73;39074,47;30173,39;49722,55;34280,37;44188,76;37718,29;33713,05;33757,66;44030,11;27945,51;32041,43;35209,71;34970,92;29981,34;46855,29;49035,53;37416,75;26388,93;46084,55;30253,70;37068,23;41935,08;41997,12;34861,41;50948,36;34728,99;40556,47;36920,43;39189,63;23815,79;43629,67;31492,60;41924,32;34941,59;36897,87;32664,11;33089,07;24798,04;21099,04;31065,09;25039,99;27981,17;30377,91;27422,60;25214,34;52025,56;36470,65;27435,51;25160,98;26718,51;20361,91;30617,54;42792,80;19527,13;28386,03;26638,14;22806,24;22489,59;22189,35;28154,19;28162,34;29263,01;22008,15;19849,58;21887,69;24437,69;33626,62;28922,92;22558,74;24572,89;38487,58;38182,46;31323,95;22333,26;24948,30;35612,76;7310,99;12423,67;19612,63;35527,56;21193,13;30974,36;44335,09;30521,27;37625,15;36904,13;31528,37;30440,12;43636,50;43367,22;35927,15;36917,80;24182,48;21371,30;33952,96;85059,35;130290,24;62799,50;27505,14;47624,04;40488,99;38713,76;28244,47;16779,59;5412586,48
