"Município";"2009/Jan";"2012/Mai";"2012/Jul";"2012/Ago";"2012/Set";"2013/Mar";"2015/Abr";"2017/Jun";"Total"
"160030 Macapá";352,64;174,45;315,39;174,45;269,74;174,45;-;1237,63;2698,75
"160040 Mazagão";-;-;-;-;-;-;267,85;-;267,85
"Total";352,64;174,45;315,39;174,45;269,74;174,45;267,85;1237,63;2966,60
