"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"510020 Água Boa";8;10;38;36;55;14;2;1;-;1;2;2;169
"510025 Alta Floresta";10;5;12;13;17;12;4;4;7;22;18;9;133
"510030 Alto Araguaia";29;57;119;142;68;37;7;1;1;2;1;2;466
"510035 Alto Boa Vista";10;-;1;-;-;3;-;-;-;-;1;-;15
"510040 Alto Garças";-;-;1;4;17;6;-;-;-;2;-;-;30
"510050 Alto Paraguai";-;-;-;-;-;-;-;-;-;-;-;1;1
"510060 Alto Taquari";5;16;30;29;28;15;16;8;7;3;1;-;158
"510100 Araguaiana";1;2;5;14;13;7;2;1;1;2;7;6;61
"510120 Araguainha";-;2;24;6;1;-;-;-;-;-;-;-;33
"510125 Araputanga";1;3;2;2;-;2;-;1;-;1;1;4;17
"510130 Arenápolis";2;-;-;1;3;2;1;-;-;-;-;4;13
"510140 Aripuanã";2;-;7;9;10;4;6;2;-;-;2;15;57
"510160 Barão de Melgaço";-;-;-;1;-;1;-;-;-;-;1;-;3
"510170 Barra do Bugres";1;2;1;5;-;5;-;1;2;5;13;18;53
"510180 Barra do Garças";28;21;17;32;25;11;9;2;7;6;2;2;162
"510185 Bom Jesus do Araguaia";37;8;23;5;27;4;-;-;-;1;4;6;115
"510190 Brasnorte";1;1;1;-;-;-;1;-;-;-;-;-;4
"510250 Cáceres";2;1;5;6;4;6;4;5;4;1;9;31;78
"510260 Campinápolis";-;-;1;3;2;5;5;-;-;4;2;20;42
"510263 Campo Novo do Parecis";2;-;1;3;4;6;1;-;-;-;-;10;27
"510267 Campo Verde";5;10;12;16;38;11;5;2;1;-;-;4;104
"510268 Campos de Júlio";-;1;5;2;-;1;-;-;-;2;9;24;44
"510269 Canabrava do Norte";50;21;11;4;3;-;-;-;-;-;-;5;94
"510270 Canarana";28;26;42;35;64;21;5;3;1;2;3;3;233
"510279 Carlinda";-;-;1;1;-;-;-;1;-;-;1;1;5
"510300 Chapada dos Guimarães";-;7;-;-;5;1;-;-;-;-;-;-;13
"510305 Cláudia";5;3;11;17;21;29;14;4;7;2;-;-;113
"510310 Cocalinho";42;52;108;120;18;1;1;-;-;1;-;2;345
"510320 Colíder";4;8;3;7;5;13;4;10;4;4;6;1;69
"510325 Colniza";6;7;12;8;16;5;5;10;15;45;181;181;491
"510330 Comodoro";1;-;7;9;5;1;1;-;-;3;20;101;148
"510335 Confresa";203;185;109;42;53;15;3;2;1;6;13;24;656
"510336 Conquista D'Oeste";-;-;-;-;-;-;1;-;-;-;-;-;1
"510337 Cotriguaçu";-;-;-;-;-;-;-;-;-;1;20;18;39
"510340 Cuiabá";64;42;56;93;95;46;29;18;8;22;21;24;518
"510343 Curvelândia";-;1;-;-;-;-;-;-;-;-;-;-;1
"510350 Diamantino";2;3;18;19;18;18;5;1;1;-;2;2;89
"510360 Dom Aquino";-;-;-;1;1;2;-;-;1;-;-;2;7
"510370 Feliz Natal";6;5;1;1;3;-;1;-;1;-;-;1;19
"510385 Gaúcha do Norte";-;1;3;3;5;1;2;1;-;-;-;-;16
"510390 General Carneiro";8;1;4;1;1;9;2;1;-;-;-;-;27
"510395 Glória D'Oeste";-;-;-;-;-;-;-;-;2;1;-;-;3
"510410 Guarantã do Norte";2;9;14;49;143;98;23;6;-;1;9;2;356
"510420 Guiratinga";-;2;5;9;4;1;-;1;-;-;-;-;22
"510450 Indiavaí";-;-;-;-;-;-;-;-;-;1;-;-;1
"510452 Ipiranga do Norte";-;-;-;1;1;-;2;4;3;5;10;46;72
"510454 Itanhangá";-;-;3;4;1;-;-;-;-;-;1;-;9
"510455 Itaúba";2;2;-;-;-;-;3;4;4;2;-;-;17
"510460 Itiquira";2;5;6;86;56;3;7;2;2;-;6;19;194
"510480 Jaciara";-;2;2;5;2;9;1;1;5;1;2;1;31
"510490 Jangada";1;-;1;-;-;-;-;-;-;-;1;-;3
"510510 Juara";3;-;3;4;2;3;-;2;2;3;7;26;55
"510515 Juína";3;1;-;5;5;-;1;-;-;-;1;6;22
"510520 Juscimeira";-;-;-;-;1;-;-;-;-;-;-;1;2
"510523 Lambari D'Oeste";-;1;-;-;-;-;-;-;-;-;3;1;5
"510525 Lucas do Rio Verde";5;13;16;33;52;57;16;9;8;12;17;15;253
"510558 Marcelândia";-;-;-;1;1;1;-;1;-;2;-;-;6
"510560 Matupá";5;4;11;16;9;3;2;2;2;3;2;2;61
"510562 Mirassol d'Oeste";2;-;10;6;5;-;2;1;-;1;1;-;28
"510590 Nobres";-;-;1;8;4;1;-;-;-;-;-;-;14
"510600 Nortelândia";-;-;2;4;4;9;1;1;-;1;4;2;28
"510610 Nossa Senhora do Livramento";-;-;-;-;2;-;-;-;-;1;1;-;4
"510615 Nova Bandeirantes";-;1;-;-;-;-;-;-;-;-;-;-;1
"510620 Nova Brasilândia";1;1;1;-;-;-;-;-;-;-;-;-;3
"510621 Nova Canaã do Norte";4;3;2;46;15;5;4;1;3;-;2;2;87
"510618 Nova Lacerda";-;-;-;-;-;-;-;-;-;1;-;-;1
"510890 Nova Maringá";-;2;-;1;1;1;3;-;1;-;18;5;32
"510895 Nova Monte Verde";-;1;-;-;-;-;-;-;-;-;1;4;6
"510622 Nova Mutum";3;2;3;5;2;1;8;3;1;-;1;5;34
"510617 Nova Nazaré";1;-;2;2;-;-;-;-;-;-;-;-;5
"510623 Nova Olímpia";4;7;13;12;5;12;-;1;-;-;-;-;54
"510619 Nova Santa Helena";4;-;1;-;4;-;-;-;-;-;-;-;9
