"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"510010 Acorizal";-;9;12;11;1;1;-;-;-;-;2;4;40
"510020 Água Boa";2;1;15;45;32;12;3;-;-;2;3;4;119
"510025 Alta Floresta";3;-;3;3;5;3;9;13;16;27;107;63;252
"510030 Alto Araguaia";-;-;4;7;2;2;-;-;-;1;1;18;35
"510035 Alto Boa Vista";12;1;8;4;3;1;3;4;-;-;4;1;41
"510040 Alto Garças";-;-;-;1;-;-;6;5;1;7;65;11;96
"510050 Alto Paraguai";1;2;5;14;11;3;1;-;-;-;1;1;39
"510100 Araguaiana";-;-;1;-;1;-;-;-;-;-;3;15;20
"510125 Araputanga";-;5;15;25;22;12;9;3;4;17;76;217;405
"510130 Arenápolis";2;9;11;60;66;12;5;-;-;2;1;2;170
"510140 Aripuanã";4;17;12;9;4;7;45;165;191;423;404;215;1496
"510160 Barão de Melgaço";-;4;3;7;4;1;-;-;-;-;2;1;22
"510170 Barra do Bugres";3;7;49;70;54;17;22;13;10;3;10;17;275
"510180 Barra do Garças";30;66;232;265;270;82;29;14;9;61;413;1142;2613
"510185 Bom Jesus do Araguaia";-;-;-;-;-;-;-;-;-;-;-;1;1
"510190 Brasnorte";14;5;2;7;1;-;-;-;-;1;2;3;35
"510250 Cáceres";28;120;442;310;178;13;12;12;57;261;1068;380;2881
"510260 Campinápolis";1;2;3;3;13;3;-;-;1;-;-;5;31
"510263 Campo Novo do Parecis";13;14;20;32;81;41;30;55;126;73;59;36;580
"510267 Campo Verde";-;-;4;14;3;7;4;1;-;8;56;79;176
"510268 Campos de Júlio";-;1;-;3;4;-;1;4;1;-;2;10;26
"510270 Canarana";35;61;86;58;55;7;4;2;-;1;9;8;326
"510279 Carlinda";1;-;-;-;1;1;1;3;3;-;2;3;15
"510285 Castanheira";-;1;15;1;5;2;-;-;-;-;6;9;39
"510300 Chapada dos Guimarães";-;1;4;35;25;2;6;1;1;1;6;11;93
"510305 Cláudia";1;1;27;9;3;1;2;-;-;1;18;20;83
"510310 Cocalinho";-;-;-;-;-;-;-;-;-;-;-;1;1
"510320 Colíder";4;2;4;1;5;3;4;39;139;185;1270;606;2262
"510325 Colniza";-;-;4;2;1;-;-;-;-;4;37;189;237
"510330 Comodoro";5;18;19;16;33;15;1;-;-;-;6;23;136
"510335 Confresa";79;49;16;6;14;3;-;1;1;-;1;1;171
"510336 Conquista D'Oeste";-;2;41;14;15;2;-;-;-;3;28;15;120
"510337 Cotriguaçu";1;-;1;-;-;-;-;-;-;-;-;2;4
"510340 Cuiabá";71;194;636;4832;3319;883;406;157;65;103;414;899;11979
"510343 Curvelândia";-;10;2;3;13;12;-;-;-;-;1;7;48
"510345 Denise";-;-;-;4;4;4;1;-;2;2;60;24;101
"510350 Diamantino";5;5;50;131;242;89;28;19;5;6;29;14;623
"510360 Dom Aquino";-;-;2;1;1;-;-;-;-;-;-;2;6
"510370 Feliz Natal";-;-;1;-;4;1;-;1;-;1;19;13;40
"510380 Figueirópolis D'Oeste";-;-;-;2;1;6;11;31;27;15;21;14;128
"510385 Gaúcha do Norte";-;-;1;2;7;-;-;-;-;12;43;23;88
"510390 General Carneiro";2;1;13;9;2;1;-;-;-;1;10;11;50
"510395 Glória D'Oeste";-;-;-;1;2;-;-;1;1;3;6;10;24
"510410 Guarantã do Norte";-;11;9;2;3;2;-;-;-;3;16;104;150
"510420 Guiratinga";-;1;7;1;8;7;3;2;-;-;1;3;33
"510450 Indiavaí";3;1;2;-;-;-;2;-;4;37;123;22;194
"510452 Ipiranga do Norte";-;-;1;-;1;-;-;2;-;-;2;16;22
"510454 Itanhangá";16;26;37;66;66;15;4;2;-;4;6;6;248
"510455 Itaúba";-;-;2;3;1;6;49;23;9;29;13;69;204
"510460 Itiquira";-;1;-;1;-;-;1;-;-;-;-;3;6
"510480 Jaciara";-;1;30;44;93;46;21;7;7;34;65;60;408
"510490 Jangada";1;2;-;52;7;1;-;-;-;-;-;1;64
"510500 Jauru";1;1;2;17;1;5;2;4;33;39;36;87;228
"510510 Juara";2;-;4;3;4;3;1;1;1;-;3;17;39
"510515 Juína";32;31;64;47;56;16;13;3;3;26;48;161;500
"510517 Juruena";15;32;27;20;-;-;-;-;-;3;35;106;238
"510520 Juscimeira";-;1;1;4;13;28;23;25;14;10;16;31;166
"510523 Lambari D'Oeste";-;-;6;8;4;8;6;4;1;1;4;5;47
"510525 Lucas do Rio Verde";10;33;71;66;94;23;12;5;4;10;70;123;521
"510530 Luciara";-;-;-;-;-;-;-;-;-;-;1;1;2
"510558 Marcelândia";2;-;2;-;3;5;2;-;2;2;7;15;40
"510560 Matupá";7;16;2;4;6;2;9;10;3;15;71;51;196
"510562 Mirassol d'Oeste";-;1;4;2;6;3;3;4;7;14;65;72;181
"510590 Nobres";1;6;43;49;36;4;10;5;4;8;53;30;249
"510600 Nortelândia";1;3;21;63;145;17;2;1;-;1;1;-;255
"510610 Nossa Senhora do Livramento";2;5;6;44;20;16;3;1;3;8;49;111;268
"510615 Nova Bandeirantes";-;-;1;2;-;-;-;-;-;-;1;12;16
"510620 Nova Brasilândia";1;-;-;3;3;3;1;2;1;2;94;124;234
"510621 Nova Canaã do Norte";-;3;-;2;-;-;-;-;-;2;42;38;87
"510880 Nova Guarita";-;-;-;1;1;2;-;-;-;-;2;3;9
"510618 Nova Lacerda";-;1;-;1;9;7;7;1;-;1;4;5;36
"510885 Nova Marilândia";1;1;5;6;4;6;-;2;-;3;-;-;28
"510890 Nova Maringá";-;-;11;22;4;2;1;-;-;-;1;2;43
"510895 Nova Monte Verde";-;1;-;-;-;-;-;-;-;-;-;3;4
"510622 Nova Mutum";15;34;114;251;264;69;5;1;2;1;8;9;773
"510617 Nova Nazaré";-;1;1;-;-;-;-;-;-;-;-;2;4
"510623 Nova Olímpia";22;22;71;145;83;16;3;-;-;8;10;10;390
"510619 Nova Santa Helena";-;-;-;-;-;-;-;-;-;3;11;8;22
"510624 Nova Ubiratã";-;-;-;2;6;6;11;10;12;25;137;215;424
"510625 Nova Xavantina";6;14;66;58;43;4;5;-;-;-;4;8;208
