"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"510010 Acorizal";-;-;2;-;2;-;1;-;-;-;-;-;5
"510020 Água Boa";2;3;8;1;-;-;-;-;-;-;1;-;15
"510025 Alta Floresta";23;15;5;-;2;3;-;3;-;1;4;3;59
"510030 Alto Araguaia";-;2;-;-;-;-;-;-;-;-;-;-;2
"510050 Alto Paraguai";21;5;6;-;-;-;-;-;1;1;-;1;35
"510060 Alto Taquari";-;1;-;1;-;-;-;-;-;-;-;-;2
"510080 Apiacás";-;-;-;-;1;-;-;-;-;-;-;-;1
"510100 Araguaiana";3;9;6;1;-;-;-;-;-;-;-;-;19
"510120 Araguainha";-;-;2;-;-;-;-;-;-;-;-;-;2
"510125 Araputanga";21;3;2;1;-;-;-;-;-;1;-;2;30
"510130 Arenápolis";2;2;3;3;-;-;-;-;-;-;-;-;10
"510140 Aripuanã";24;12;8;-;-;2;-;5;6;19;91;21;188
"510160 Barão de Melgaço";-;1;6;9;-;-;-;-;-;-;-;-;16
"510170 Barra do Bugres";15;4;6;1;2;-;-;1;-;-;-;-;29
"510180 Barra do Garças";62;28;37;21;10;6;1;7;6;25;28;21;252
"510185 Bom Jesus do Araguaia";-;-;-;-;-;-;-;-;-;-;1;-;1
"510190 Brasnorte";6;8;1;1;-;-;-;-;-;-;-;-;16
"510250 Cáceres";1;2;1;2;-;-;-;1;-;2;1;-;10
"510260 Campinápolis";2;1;-;-;-;-;-;-;-;-;-;-;3
"510263 Campo Novo do Parecis";2;8;1;2;4;-;-;-;-;-;-;1;18
"510267 Campo Verde";18;3;6;4;3;-;-;1;-;5;5;-;45
"510268 Campos de Júlio";-;-;1;3;1;1;-;1;-;-;-;-;7
"510270 Canarana";11;7;5;-;3;-;-;-;-;1;-;1;28
"510279 Carlinda";-;1;-;-;-;-;-;-;-;-;-;-;1
"510285 Castanheira";1;3;1;-;-;1;1;-;-;-;-;-;7
"510300 Chapada dos Guimarães";11;9;6;6;-;-;-;-;1;-;-;1;34
"510305 Cláudia";1;8;1;9;21;8;4;-;3;1;-;-;56
"510320 Colíder";9;5;14;3;1;4;14;13;3;14;1;3;84
"510325 Colniza";30;8;1;-;1;3;6;-;1;6;2;-;58
"510330 Comodoro";5;4;4;4;10;2;-;2;6;6;8;1;52
"510335 Confresa";14;6;2;11;12;-;-;-;-;-;-;1;46
"510336 Conquista D'Oeste";1;4;-;2;-;-;-;-;-;-;-;-;7
"510337 Cotriguaçu";-;-;-;-;-;-;-;-;-;-;1;-;1
"510340 Cuiabá";185;196;221;150;48;30;20;16;17;27;18;29;957
"510345 Denise";1;-;-;-;-;-;-;-;-;-;-;-;1
"510350 Diamantino";12;-;8;2;1;2;-;1;2;6;-;3;37
"510360 Dom Aquino";1;-;-;-;-;-;-;-;-;-;-;-;1
"510370 Feliz Natal";-;1;-;-;-;-;-;-;-;1;-;-;2
"510385 Gaúcha do Norte";-;-;-;5;-;-;-;-;-;-;-;-;5
"510390 General Carneiro";33;14;7;-;-;-;-;-;-;-;-;8;62
"510395 Glória D'Oeste";-;-;-;-;-;-;-;-;-;-;1;-;1
