"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"510010 Acorizal";-;1;-;1;-;-;-;-;-;1;-;-;3
"510020 Água Boa";1;1;1;-;2;-;-;-;-;-;-;-;5
"510025 Alta Floresta";115;64;50;24;2;-;-;-;-;-;-;20;275
"510030 Alto Araguaia";-;-;4;2;2;2;-;-;-;-;-;-;10
"510035 Alto Boa Vista";7;34;-;-;5;2;-;42;59;61;106;32;348
"510040 Alto Garças";-;1;4;2;2;-;-;-;-;-;-;1;10
"510050 Alto Paraguai";-;-;1;-;-;-;-;-;-;-;-;-;1
"510080 Apiacás";-;-;-;-;-;-;-;1;-;-;-;-;1
"510100 Araguaiana";1;15;19;12;-;2;-;-;-;-;1;1;51
"510125 Araputanga";2;-;-;1;-;-;-;-;-;-;-;1;4
"510130 Arenápolis";-;1;5;5;1;-;1;-;-;-;-;-;13
"510140 Aripuanã";45;30;20;23;5;3;1;-;-;1;-;6;134
"510160 Barão de Melgaço";-;-;-;-;-;1;2;-;1;-;-;1;5
"510170 Barra do Bugres";7;12;5;5;-;-;-;-;-;-;-;1;30
"510180 Barra do Garças";217;232;177;138;35;5;-;-;-;-;6;31;841
"510185 Bom Jesus do Araguaia";-;2;1;-;-;-;-;-;-;-;-;-;3
"510190 Brasnorte";-;-;4;2;4;6;1;2;8;18;26;46;117
"510250 Cáceres";18;-;-;1;-;-;-;1;-;-;-;1;21
"510260 Campinápolis";-;1;-;-;1;-;-;1;-;-;-;-;3
"510263 Campo Novo do Parecis";5;25;31;10;4;2;-;-;-;3;6;13;99
"510267 Campo Verde";1;1;7;3;1;-;-;-;-;-;1;-;14
"510268 Campos de Júlio";2;9;1;1;1;-;-;-;-;-;1;-;15
"510270 Canarana";-;2;1;5;2;-;-;-;-;2;-;1;13
"510279 Carlinda";43;15;11;8;1;-;-;-;-;-;-;4;82
"510285 Castanheira";-;-;-;-;-;-;-;-;-;1;-;-;1
"510300 Chapada dos Guimarães";1;3;2;-;-;-;-;1;-;-;-;-;7
"510305 Cláudia";13;6;8;3;-;2;-;1;1;-;1;3;38
