"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"510010 Acorizal";16;8;6;1;2;2;-;-;-;-;1;5;41
"510020 Água Boa";19;19;12;7;-;-;-;-;1;1;1;2;62
"510025 Alta Floresta";67;26;18;6;2;1;4;-;1;1;3;29;158
"510030 Alto Araguaia";107;78;35;16;4;1;-;-;-;-;-;6;247
"510035 Alto Boa Vista";2;12;-;3;-;-;-;-;-;-;-;-;17
"510040 Alto Garças";11;20;6;3;1;1;-;-;-;-;2;-;44
"510050 Alto Paraguai";11;2;5;11;15;11;6;10;61;37;36;39;244
"510060 Alto Taquari";21;17;12;14;3;3;-;1;-;-;-;-;71
"510080 Apiacás";1;1;-;1;-;-;-;-;-;-;-;1;4
"510100 Araguaiana";30;21;15;15;1;1;9;3;2;-;1;2;100
"510120 Araguainha";1;-;2;-;-;-;-;-;-;-;-;-;3
"510125 Araputanga";219;85;69;14;10;5;9;4;2;2;1;21;441
"510130 Arenápolis";4;5;7;6;4;3;-;-;2;-;9;8;48
"510140 Aripuanã";171;67;32;17;7;7;2;5;20;10;6;58;402
"510170 Barra do Bugres";45;34;15;9;5;-;1;-;-;-;-;14;123
"510180 Barra do Garças";1148;592;513;191;97;42;23;13;17;31;31;92;2790
"510185 Bom Jesus do Araguaia";3;7;9;3;1;-;-;-;-;-;-;1;24
"510190 Brasnorte";5;7;2;4;-;1;-;-;-;-;1;1;21
"510250 Cáceres";740;238;142;7;2;2;1;1;-;1;3;30;1167
"510260 Campinápolis";30;20;17;4;6;-;-;-;-;1;2;4;84
"510263 Campo Novo do Parecis";69;47;67;55;20;2;3;3;1;5;5;7;284
"510267 Campo Verde";126;46;54;22;12;8;1;1;1;4;6;38;319
"510268 Campos de Júlio";19;18;6;6;3;4;3;4;-;-;-;2;65
"510269 Canabrava do Norte";-;-;1;-;1;-;-;-;-;-;-;-;2
"510270 Canarana";24;29;40;8;10;14;3;2;1;2;10;4;147
"510279 Carlinda";24;5;7;1;-;-;-;-;-;1;3;4;45
"510285 Castanheira";56;66;20;27;11;3;-;-;-;1;-;8;192
"510300 Chapada dos Guimarães";1;3;4;6;5;-;-;-;1;3;3;2;28
"510305 Cláudia";58;10;12;5;3;3;-;3;-;-;1;5;100
"510310 Cocalinho";4;1;1;-;-;-;-;-;-;-;-;-;6
"510320 Colíder";85;27;20;7;6;1;12;3;9;2;5;35;212
"510325 Colniza";379;123;7;-;1;2;1;-;-;1;15;67;596
"510330 Comodoro";25;16;25;39;15;24;16;5;2;3;5;7;182
"510335 Confresa";7;10;5;9;3;-;1;-;-;-;-;2;37
"510336 Conquista D'Oeste";7;7;4;-;1;-;-;-;-;-;2;3;24
"510337 Cotriguaçu";28;48;19;22;12;7;-;-;-;-;-;2;138
"510340 Cuiabá";1387;987;736;278;152;112;120;113;61;49;107;317;4419
"510343 Curvelândia";41;14;8;2;-;-;-;-;-;-;-;3;68
"510345 Denise";11;3;2;-;-;-;-;-;-;-;-;2;18
"510350 Diamantino";55;67;76;57;16;8;-;2;7;7;16;27;338
"510360 Dom Aquino";25;24;2;1;-;1;-;-;-;2;-;1;56
"510370 Feliz Natal";41;20;15;28;5;1;1;-;-;1;1;9;122
"510380 Figueirópolis D'Oeste";35;9;5;1;-;-;-;-;-;1;1;5;57
"510385 Gaúcha do Norte";8;1;-;2;-;-;-;-;-;1;-;7;19
"510390 General Carneiro";22;6;9;5;4;-;-;-;-;5;32;66;149
"510395 Glória D'Oeste";-;1;-;-;-;-;-;-;-;-;-;2;3
"510410 Guarantã do Norte";233;147;81;22;4;1;1;3;-;2;36;43;573
"510420 Guiratinga";31;13;28;5;2;1;-;-;-;-;1;3;84
"510450 Indiavaí";6;11;9;2;-;1;1;-;2;-;8;20;60
"510452 Ipiranga do Norte";27;9;8;3;2;4;-;-;-;-;-;6;59
"510454 Itanhangá";24;16;6;7;2;-;1;-;-;3;-;2;61
"510455 Itaúba";132;55;21;13;2;-;-;-;-;2;-;8;233
"510460 Itiquira";42;62;64;43;7;1;-;-;-;-;-;1;220
"510480 Jaciara";131;129;61;33;8;2;2;-;1;1;1;32;401
"510490 Jangada";1;4;6;3;2;-;-;-;-;1;3;3;23
"510500 Jauru";147;30;14;7;5;10;10;3;2;2;9;71;310
"510510 Juara";175;143;88;53;25;8;1;1;-;3;21;29;547
"510515 Juína";525;276;75;32;10;4;2;-;5;6;22;96;1053
"510517 Juruena";158;70;39;15;10;7;-;-;-;-;8;11;318
"510520 Juscimeira";94;21;14;6;1;1;4;-;1;-;-;8;150
"510523 Lambari D'Oeste";16;8;4;1;1;-;-;-;-;-;-;2;32
"510525 Lucas do Rio Verde";156;70;22;19;14;2;1;-;-;1;-;35;320
"510530 Luciara";-;-;1;1;-;-;-;-;-;-;-;-;2
