"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"510010 Acorizal";3;3;15;3;-;-;-;-;1;-;-;-;25
"510020 Água Boa";-;1;3;-;7;-;-;-;-;-;1;-;12
"510025 Alta Floresta";81;56;69;60;41;36;11;15;11;8;24;31;443
"510030 Alto Araguaia";1;3;2;8;3;-;-;-;-;-;-;-;17
"510035 Alto Boa Vista";1;-;-;-;-;-;-;-;-;-;-;-;1
"510040 Alto Garças";-;2;3;-;-;-;-;-;-;-;-;-;5
"510050 Alto Paraguai";-;1;-;-;1;-;-;-;-;-;-;1;3
"510060 Alto Taquari";1;-;-;-;-;1;-;-;-;1;-;-;3
"510100 Araguaiana";-;1;4;2;1;-;-;-;-;-;-;-;8
"510120 Araguainha";-;2;1;-;-;1;-;-;-;-;-;-;4
"510125 Araputanga";-;1;12;7;3;3;1;3;-;1;2;-;33
"510130 Arenápolis";6;4;3;1;1;-;-;-;-;-;-;-;15
"510140 Aripuanã";19;10;3;-;-;3;1;3;4;6;11;15;75
"510170 Barra do Bugres";5;2;-;2;-;1;-;-;-;-;-;1;11
"510180 Barra do Garças";4;10;6;-;1;1;-;-;-;-;-;-;22
"510190 Brasnorte";8;2;2;-;-;-;1;-;1;1;1;1;17
"510250 Cáceres";22;24;9;8;5;3;2;3;-;-;-;1;77
"510260 Campinápolis";-;-;2;-;-;-;-;-;-;-;-;-;2
"510263 Campo Novo do Parecis";2;4;9;1;2;2;2;1;1;1;-;-;25
"510267 Campo Verde";6;8;3;-;1;6;6;7;4;1;3;1;46
"510268 Campos de Júlio";4;3;2;-;-;-;-;-;-;-;-;-;9
"510269 Canabrava do Norte";-;-;-;-;2;-;-;-;-;-;-;-;2
"510270 Canarana";4;7;6;1;-;-;-;2;-;-;-;1;21
"510279 Carlinda";2;2;-;2;-;1;-;-;-;-;7;1;15
"510285 Castanheira";3;2;2;-;1;1;1;-;-;-;-;-;10
"510300 Chapada dos Guimarães";-;1;-;-;-;-;-;-;-;-;-;1;2
"510305 Cláudia";-;-;-;2;2;2;-;-;2;3;-;-;11
"510310 Cocalinho";-;-;4;24;26;7;-;1;1;1;-;-;64
"510320 Colíder";12;8;15;2;2;-;2;2;1;1;1;-;46
"510325 Colniza";14;20;11;26;8;6;1;3;9;26;36;25;185
"510330 Comodoro";3;14;7;4;-;1;1;-;-;-;-;3;33
"510335 Confresa";4;4;-;-;-;-;1;-;-;-;-;-;9
"510337 Cotriguaçu";5;1;1;-;-;3;-;1;1;2;2;2;18
"510340 Cuiabá";383;658;856;577;422;225;136;100;94;99;94;137;3781
"510350 Diamantino";7;2;-;-;-;-;-;1;-;-;-;1;11
"510360 Dom Aquino";-;1;-;-;1;2;-;-;-;-;-;-;4
"510370 Feliz Natal";-;-;2;1;1;-;-;-;-;1;-;2;7
