 Morbidade Hospitalar do SUS - por local de residência - Maranhão
Valor total por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2000/Mai";"2000/Set";"2000/Out";"2005/Fev";"2007/Jan";"2007/Fev";"2007/Abr";"2007/Mai";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"210315 Centro do Guilherme";-;-;-;-;-;-;-;-;-;-;1854,03;1011,35;1201,20;13300,44;8669,21;4875,82;6075,90;12805,32;4910,81;11315,15;15046,26;21715,02;29877,47;21396,62;19073,03;13750,87;22147,23;6189,85;6254,00;8178,86;11614,51;8276,39;33129,25;24151,43;12962,49;19339,78;22759,80;12408,23;9315,71;12988,53;18235,14;6831,63;19942,99;16581,54;17287,85;18419,54;21027,49;23469,59;13736,66;8703,32;17821,39;7559,44;15822,41;11571,74;8733,23;24120,28;14124,50;20709,76;21152,78;18992,78;18872,54;19262,89;19905,27;10086,06;22460,63;18106,32;17646,98;22240,95;23456,85;20169,29;20952,33;20317,01;28853,09;13373,19;33322,72;42499,55;19418,94;15513,73;13848,26;18617,49;19977,90;19287,48;46233,06;26838,18;17836,92;23411,31;14687,37;34569,37;29339,90;45074,31;24907,11;28987,06;33847,64;14773,50;23938,47;35522,87;34468,40;22331,26;21917,94;7986,67;21406,02;16764,35;91432,17;13570,12;10245,35;11646,89;25453,77;24877,13;11405,08;19297,42;17851,62;19410,46;12163,53;23976,88;44553,48;25943,06;18643,07;28882,70;13257,20;29675,79;15309,73;18894,59;15054,11;15434,78;31106,79;18648,36;9126,60;40545,80;34389,23;15088,08;48028,81;16738,77;16446,62;34885,52;16861,13;18684,05;24098,93;58099,23;31223,23;34108,97;39201,99;24001,64;45173,18;21873,84;32636,14;36953,59;30961,87;38648,19;39583,32;31253,72;27656,21;19985,55;30665,09;33447,13;34169,88;34645,86;28902,70;21952,13;34354,14;22550,47;40701,42;8346,58;44438,05;30158,37;44886,82;30882,69;21205,23;23937,49;84032,05;37291,77;50473,50;15321,21;3719820,67
"210317 Centro Novo do Maranhão";-;-;-;-;-;-;-;-;-;411,09;-;-;7888,30;30724,33;57345,84;37877,98;12741,14;29771,15;15062,78;41860,99;25298,11;37217,38;23477,91;39633,33;20982,68;51349,34;15594,89;20331,54;27682,93;78486,55;18789,21;25545,12;47342,83;37782,51;43104,87;26357,08;21432,31;25010,19;21305,85;19055,77;33654,22;26226,51;40673,39;27331,47;42116,99;38505,76;18799,28;36491,46;34136,15;26463,39;17946,45;30076,46;21133,92;25104,02;23415,23;29552,73;26838,52;31403,36;33861,43;33726,09;29968,56;24252,85;35553,70;45213,59;36781,27;26097,93;36980,69;25802,37;30217,99;45304,71;65822,88;31079,13;23831,18;35242,64;32048,64;22100,95;44641,75;24110,32;30493,93;29153,31;31565,16;22043,89;30514,47;41666,23;37021,54;30190,81;33363,97;26110,66;52926,37;41664,09;18130,74;27437,11;46421,18;69703,14;48609,15;35818,12;36678,36;76263,63;52921,19;75523,34;35619,83;25976,53;29048,13;39072,68;22394,29;24148,31;37837,29;51303,36;60936,07;38655,65;43328,12;29282,05;21492,00;61806,38;53217,84;63747,99;37131,46;55251,56;32653,30;42229,46;32734,01;23942,30;35070,73;66746,44;39557,37;33032,66;67844,31;29454,63;41533,46;34999,04;48147,76;51552,70;57123,15;42104,80;48792,85;45469,09;53552,23;40825,96;62435,10;49249,74;29302,74;40616,04;46812,76;57961,42;33565,04;63066,59;48981,77;42596,54;49464,03;25732,58;92359,00;41115,90;63237,85;52768,23;46312,45;43882,44;37843,24;35590,83;42364,95;52699,71;39380,02;41361,59;30615,78;59898,44;62983,25;49277,25;64844,42;41496,35;88839,40;57195,18;28666,97;16569,27;6202895,03
"210320 Chapadinha";-;-;-;-;-;-;-;-;-;-;1066,72;23540,58;67008,31;95131,84;213760,42;232990,83;264525,73;207736,11;187659,62;191514,82;238376,91;253125,91;197945,24;224354,11;176458,07;235753,48;189985,10;202234,64;289970,87;251813,62;289429,95;258963,85;284443,86;256408,97;249009,32;261501,59;230814,40;192349,62;278064,88;243803,35;297166,42;317992,94;254141,54;251760,52;288948,75;247089,10;253442,61;282576,03;263148,68;214428,94;267421,80;349786,64;300120,93;232485,37;280545,24;259313,23;226878,03;227066,24;211188,40;221409,60;228623,65;191042,67;203193,37;167862,75;217834,25;216947,46;223069,20;204814,39;228681,90;274516,81;224071,20;240494,58;176463,45;215264,31;220276,15;189828,17;222218,58;228712,07;301797,86;226366,70;230511,65;262111,88;250211,98;235538,77;231336,85;228537,60;272107,24;418063,97;308141,57;254070,73;155957,19;154401,73;185851,23;162616,84;183136,64;240926,97;224767,86;243401,60;220683,09;264006,87;261428,72;214580,98;240848,87;199648,56;245389,85;250409,39;310750,58;233443,98;282482,27;223525,88;370778,12;226465,25;319102,42;264842,23;321142,02;281112,93;257324,54;302625,49;320507,93;224041,59;227842,29;171089,20;227692,16;225956,73;202055,49;236618,85;266584,04;283770,84;277021,29;287711,03;314317,35;301571,84;220402,50;424525,86;359093,22;244470,16;297087,41;297646,95;311218,03;313722,07;314140,31;280294,18;286568,03;396450,92;302203,22;298310,36;276680,36;274797,77;379841,68;323685,61;302518,52;343600,39;298945,87;325272,41;369383,19;350773,68;334390,16;290990,60;382531,08;306626,54;327197,18;201264,88;382686,00;369942,82;332893,53;352718,58;391377,04;270614,84;285827,71;287932,34;179199,24;114512,34;41440135,80
"210325 Cidelândia";-;-;-;-;-;-;-;-;-;-;1551,09;1485,40;2145,49;5262,38;6556,75;18045,36;31220,91;26118,18;18813,21;24369,38;22983,24;24939,21;25406,17;26831,87;29786,52;24164,22;22867,58;12877,96;14873,01;31030,32;23095,18;25745,35;24090,92;32629,79;60491,27;39402,87;40809,23;18530,72;29642,31;19461,25;31186,19;45963,97;55682,43;57525,50;40773,30;29359,89;36706,48;43484,31;46403,40;42814,73;43353,98;35233,98;49161,98;44361,84;72901,40;38055,09;46641,63;29896,94;26026,59;45393,83;43988,96;66171,92;39298,15;54389,85;18286,47;50525,57;75909,71;57076,53;32404,46;41778,25;73757,48;68111,61;39718,09;38665,55;56638,94;38887,70;76672,73;59125,51;53477,84;58775,14;53790,01;60352,43;69929,99;58481,21;45775,00;84956,68;57368,79;76573,82;72438,98;75448,38;72570,60;62553,39;68961,05;59657,81;75922,92;42556,41;49610,55;55993,20;49809,56;38573,99;74271,26;61360,57;95934,53;70550,65;52003,49;68823,77;152985,01;61673,28;54066,08;67782,57;65629,28;55454,04;73443,25;55653,39;58552,17;59144,75;24322,22;35460,12;24976,93;101456,75;46507,17;39199,52;56689,73;65908,33;58426,25;51525,32;77001,03;80850,19;31711,91;104330,98;95837,21;54939,20;54534,01;44871,40;56493,16;71218,49;81883,83;74147,38;65075,81;54260,13;44696,17;69789,84;64981,98;62999,57;41941,14;35964,77;49454,96;53979,91;71341,48;58015,15;76118,43;70821,18;62953,69;83061,12;92078,19;61327,63;43782,46;58912,71;61531,15;51903,97;57442,80;74275,02;53644,95;61332,94;66358,20;65572,46;40423,62;51480,06;41576,65;61371,55;43993,67;8459,26;8241681,67
"210330 Codó";-;-;-;-;-;-;-;-;-;1573,90;541,59;7376,58;19899,74;36532,99;236182,37;268556,79;278943,89;290881,00;372742,47;380599,57;278637,27;283972,68;328508,45;264336,11;249690,52;243187,87;311428,35;252880,59;334566,04;347188,75;322655,95;306657,99;308347,54;390449,48;300975,76;288633,13;355779,38;307056,32;454163,61;289223,50;346252,04;337416,52;342637,75;334500,11;385338,54;389631,34;328287,17;293830,24;314694,33;291091,99;337239,16;417006,63;353530,12;376467,90;406405,42;364751,45;393644,37;355866,86;413142,30;354897,19;367823,51;290725,48;405688,93;332506,69;416846,20;385778,73;509675,34;418197,47;470123,74;373793,68;405275,53;419183,89;321486,75;264756,37;326125,16;309011,73;356552,16;354852,05;351946,28;352264,02;393547,09;372815,02;394756,66;377558,93;356813,64;334991,05;299945,23;266087,66;340728,58;381503,99;408798,23;335150,78;358352,22;339442,36;340471,75;306053,13;309491,32;384360,69;341299,01;257593,63;410569,16;306335,87;366743,01;353983,73;361342,80;442489,02;363256,88;384225,49;320303,10;352201,16;267805,42;317843,35;344868,30;370776,66;348782,73;368309,36;372037,76;435140,14;455584,91;439408,89;399688,29;263337,15;354807,05;366116,55;340962,76;332872,20;378799,65;407527,04;472930,22;437550,92;383895,62;614930,51;408183,36;423619,74;527700,65;320875,13;479473,14;473422,20;511844,11;448714,79;505186,72;484298,22;431218,65;548391,15;488003,93;404092,63;488512,66;492048,92;555960,23;471672,03;507331,93;519162,35;613902,36;418633,45;499166,28;474770,62;409549,54;476282,73;483839,04;451189,78;494995,67;360819,52;469379,33;588862,89;578927,99;451326,97;558052,29;560256,35;523992,44;366576,50;344327,49;188250,43;60519416,20
"210340 Coelho Neto";-;-;-;-;-;-;-;-;-;530,63;10745,60;3539,78;50840,38;77988,05;197957,93;149491,57;123720,26;136166,30;155752,45;138341,72;139357,85;161744,17;162410,18;166139,31;92753,34;102946,64;142282,31;124741,13;160648,18;162914,23;220999,44;191940,36;159976,74;165365,69;169848,19;183342,71;192038,26;169169,39;158641,54;169374,05;210636,81;180619,50;230640,54;200404,80;186571,05;201083,59;194564,86;181047,90;189140,59;212855,36;168869,04;176869,73;198601,45;199933,56;190784,89;251785,68;214711,16;196918,05;207996,37;195082,49;171453,53;171943,53;192761,13;186985,32;216688,21;189655,62;258174,74;200549,43;228394,63;215280,27;207260,36;163089,09;286685,36;181488,93;128520,99;135410,49;178890,63;244252,54;151848,22;219202,81;196242,08;234697,46;215621,21;175373,25;190232,74;210456,23;181780,20;201332,07;192750,12;141590,57;243093,65;173225,62;155639,54;192738,53;175856,00;168060,65;170915,98;139355,58;203311,57;157629,88;157984,55;221059,58;154620,07;154053,90;214339,65;132187,55;171072,19;175989,66;132536,39;110646,66;111988,89;84161,14;118830,13;111681,35;164653,98;154314,33;180025,00;196339,79;128833,73;116173,64;85845,27;97427,56;91431,18;82257,55;115364,50;135554,89;105458,20;118350,75;165830,22;124363,05;111935,35;101069,13;106289,59;133676,14;151010,83;81204,08;111006,81;161206,10;142067,08;147896,15;161117,08;128530,90;117671,44;148107,57;124216,70;122148,44;120451,76;118479,64;115542,51;105676,16;109931,38;139787,33;118144,47;139597,05;168348,44;158952,15;159723,31;115065,55;199734,17;122381,17;132318,07;112816,18;141995,38;370701,63;208513,94;145326,40;133576,81;159342,41;128214,54;108607,57;92901,13;105367,92;25773290,37
"210350 Colinas";-;-;-;-;-;-;-;-;-;-;-;1596,68;9666,61;28058,83;146543,64;130256,11;148487,86;108262,10;86554,83;148648,60;100687,25;132493,38;174702,28;117990,17;99547,09;109653,46;168023,97;134757,33;154878,51;113420,34;165691,13;157735,33;97227,85;110825,22;134133,31;148080,58;138992,43;124106,55;153902,40;122991,96;175966,88;113272,94;137208,44;142131,11;109927,02;109116,46;130424,53;122390,65;107240,55;98302,31;95812,18;102523,32;140471,32;115578,77;83021,61;94621,38;141220,58;153234,01;120540,60;127431,43;142836,16;143042,37;128016,57;125207,71;132762,00;132857,73;159143,13;203723,62;148228,88;181786,26;193072,37;142563,11;143631,29;169620,31;119493,28;142812,60;154101,09;122467,79;114822,39;193453,54;147185,13;205439,84;140383,54;152111,92;181618,69;117503,41;117503,97;150430,84;134259,52;120014,57;168585,25;197640,75;172439,77;171273,33;206731,31;174557,96;206846,51;127277,09;109193,45;175038,71;207490,14;188441,32;190979,17;159757,55;180413,88;189191,17;183233,88;207510,50;171609,52;187752,57;179587,67;165405,37;188861,32;231618,50;157984,91;209322,30;175086,20;176147,32;185689,47;140193,90;205833,88;111111,86;149447,80;149457,21;165635,46;121363,54;174259,05;96888,35;89384,23;128688,66;116373,05;151087,34;194124,74;130616,46;170688,91;173186,83;144084,46;169590,83;180337,53;262897,98;269527,34;250621,22;186828,75;146785,03;149960,46;144115,26;166413,02;204807,65;198264,30;244028,51;239674,86;216937,32;209343,56;206354,63;220953,09;225855,35;216809,66;209355,97;199264,53;184371,55;166818,11;99347,97;189745,39;208286,26;329949,63;224061,54;182473,97;190354,01;167562,85;201879,07;191272,59;148526,80;25209914,73
"210355 Conceição do Lago-Açu";-;-;-;-;-;-;-;-;-;-;150,58;973,88;1342,77;3283,84;11525,32;14280,05;21440,31;8501,67;17634,43;16899,90;16879,78;12036,77;16620,17;14512,10;10824,34;20383,69;24166,64;16301,68;25064,79;38832,84;21692,51;26117,69;15043,85;34207,67;19563,58;29994,31;25154,98;22877,89;21429,46;31412,18;17069,50;18887,93;29860,80;15805,74;25811,49;28884,43;36244,18;23559,53;31202,08;22969,75;21889,86;16833,36;9772,39;21717,48;25626,15;13964,12;21969,46;15406,30;33292,64;17852,92;21716,27;21892,87;23099,42;15042,12;16369,71;13928,38;11738,21;17938,00;17043,17;19816,58;20971,25;38105,36;22483,78;14686,43;20612,10;20212,74;18393,34;15251,03;14384,77;13813,37;7804,45;24585,68;18489,14;17715,97;38155,03;19295,83;44577,87;29508,27;22567,56;13763,03;30434,71;19060,94;34415,25;36526,67;39712,95;15918,53;13365,91;30501,32;12992,82;30849,05;36554,70;37486,07;23926,36;22669,44;8749,50;30264,45;20106,70;24123,80;24692,45;18492,85;36319,33;43380,88;25784,32;33470,58;39762,97;30592,67;33197,01;26022,03;33713,56;48599,10;38324,04;28875,46;25473,91;41393,73;34837,62;52691,61;25918,68;54169,07;64648,44;47495,47;37532,00;45154,65;31607,99;29609,27;58213,91;34086,55;41585,41;46658,21;43505,60;57852,94;57552,70;65411,41;64650,56;47238,27;54755,53;37994,20;50608,99;59310,46;60593,05;44113,83;89319,88;54234,27;67784,27;71958,51;61478,15;82092,96;88476,92;52659,06;39684,24;41308,28;80700,84;50631,83;52875,31;68459,70;38400,27;67515,53;49990,80;56835,78;55244,98;59914,08;27264,15;7206,33;5109318,13
"210360 Coroatá";-;-;-;-;-;-;-;-;-;536,92;14531,80;21022,37;23511,67;153023,81;202738,89;142292,79;174545,71;171447,83;139934,61;176684,56;192741,05;116662,28;189310,64;198920,73;183052,32;179773,90;177694,15;186411,62;204703,36;190251,33;183001,42;163130,13;160613,15;165508,25;172329,55;228206,41;160491,34;145534,71;156762,20;154263,47;173276,46;139317,61;213485,33;167332,45;163019,38;78988,32;163967,85;165428,43;147714,32;75540,02;165915,37;157366,87;170938,59;161952,69;188808,39;161174,42;182277,69;135775,46;167353,93;179507,42;186096,32;251011,76;203000,58;185730,24;241514,38;174709,81;226096,22;197515,15;187145,01;115288,92;178749,84;203728,30;140294,37;143900,78;158681,88;144610,81;207012,41;179742,36;188677,98;178469,08;224428,29;242731,37;328166,25;355477,79;316729,43;239871,32;336973,60;304520,67;252122,44;311873,53;302521,05;320992,15;369066,48;317991,80;382704,46;325966,97;303067,45;325350,99;284772,90;350440,69;341931,43;304293,98;432689,40;284037,81;295361,53;340967,45;357774,26;417702,01;265307,72;272462,43;280889,62;258098,37;336760,02;361703,69;343013,08;295573,85;286139,60;336821,18;405813,57;371859,12;304583,27;286168,48;336270,46;278813,53;391548,90;413425,92;350462,77;295023,86;244443,09;293939,62;258694,46;317496,22;400805,93;341981,96;308215,24;274070,55;391045,21;286923,85;320345,85;313929,71;314918,45;325149,68;390713,38;298036,22;285623,75;244798,72;374416,60;313407,65;351344,55;282896,13;278900,26;328661,23;374941,10;414139,06;365190,30;290799,07;310039,39;335479,37;298315,44;327626,81;342241,02;264203,22;307896,69;317723,56;271957,20;347835,76;246682,62;353283,85;390227,29;443744,57;263093,14;109270,38;40937465,26
"210370 Cururupu";-;-;-;-;-;-;-;-;-;-;482,94;407,28;18267,14;24096,59;66713,56;64640,53;79498,37;103274,60;101668,56;119108,01;138403,93;106189,18;117681,80;95388,82;74908,85;62747,23;70228,29;46522,67;99375,92;62379,41;112003,91;96288,73;91978,00;117466,63;99523,19;101464,06;76169,10;83231,53;112593,39;120519,72;99335,35;132537,28;77839,16;84206,10;137974,43;101189,24;100456,11;108470,07;94787,82;105787,41;90275,62;81038,53;101509,39;85757,32;95230,93;95223,16;140618,02;95440,43;109785,54;103715,97;89685,22;92033,24;69372,76;84364,51;80101,38;83839,29;118771,13;107339,33;91634,98;118544,24;84860,36;71668,84;80564,02;115749,63;108118,98;85795,57;125438,24;79489,56;95014,96;74596,81;108003,43;86626,77;97058,88;109150,23;101554,82;77380,56;88922,70;78563,21;80454,10;91455,55;90159,87;95453,02;79030,32;129561,27;115224,88;101020,59;108025,78;106442,17;99786,84;151674,71;105110,07;118936,52;114943,54;118971,58;97810,03;98919,50;138811,72;145227,27;117756,92;115151,64;243872,38;129200,68;118354,63;141338,96;168520,39;155976,97;135469,74;133880,70;80373,79;115656,82;117518,94;126783,70;81751,09;83321,47;147741,05;96975,28;81772,44;62390,93;87236,82;103814,25;86920,00;64099,93;130584,51;70097,16;47670,15;38672,92;128315,78;172504,19;127985,89;123197,80;125818,90;99196,73;46995,54;120437,25;112125,33;127413,81;155838,96;117314,55;84860,94;90093,36;92885,72;84642,24;145398,42;129458,50;140882,43;128932,69;153863,77;169543,31;148645,17;124498,03;119963,96;85240,49;111933,60;142606,54;171354,47;129433,97;121995,30;124290,28;95773,93;116123,85;93322,87;56060,86;16697516,49
"210375 Davinópolis";-;-;-;-;-;-;-;-;-;-;3274,59;12828,94;6906,17;14254,77;19011,95;13433,05;19551,68;22608,34;19847,34;24166,48;21792,20;25647,24;22100,82;14056,56;20991,33;16557,09;16235,95;22347,42;32544,77;31235,72;15815,50;20954,42;22314,21;16397,65;43580,32;31123,60;24927,42;14606,23;37979,31;24143,63;46990,33;19467,47;23219,70;25172,94;15191,60;22953,97;35853,98;29691,56;44630,58;41020,22;28498,57;34146,97;22755,83;24314,39;29580,52;38555,41;14578,03;18417,88;22453,88;43534,77;31496,87;49190,45;55395,63;43848,55;36664,50;34794,04;35536,80;44688,78;32672,98;44577,89;38304,69;31578,23;27091,93;32671,46;29078,13;58274,13;55303,92;60247,00;44672,64;52842,50;50541,30;70354,89;34698,22;40831,97;55429,01;66608,14;65479,49;53881,51;72919,30;46032,45;94863,52;71563,36;69235,53;69315,99;61267,91;95879,56;45512,85;31716,57;50807,96;44356,88;53965,83;66522,59;51998,52;66428,48;67531,43;49935,97;33415,40;65574,44;64801,46;48863,24;39241,65;38949,93;32508,16;68368,15;35591,86;58119,43;56845,53;36685,58;41550,55;26730,43;33267,55;37977,84;38462,38;23651,36;41732,91;63260,01;34952,99;50198,81;76924,82;39732,90;38888,88;37910,43;36102,14;42006,88;72670,18;38929,72;61047,35;62402,78;35918,99;47821,79;53210,46;56661,61;66812,39;46229,94;30904,26;30157,81;48832,98;64676,72;52960,51;34717,29;99015,08;59159,05;76284,23;28563,50;59603,37;43746,45;63928,83;49591,52;66771,93;34649,10;30216,84;94036,34;32193,08;52690,22;98133,14;89375,20;49890,52;73326,24;29702,88;45266,38;30488,71;10966,12;6862742,87
"210380 Dom Pedro";-;-;-;-;-;-;-;-;-;642,33;993,72;-;3836,69;13602,30;38963,59;28034,03;47462,58;56259,66;48733,77;41387,53;46057,04;52875,14;41117,20;87075,42;67333,12;67130,45;71632,62;65137,66;66507,30;104543,77;51992,49;53052,58;65755,67;50473,79;70744,81;48652,15;53784,28;68119,83;80392,41;55389,86;74512,80;70809,31;54934,99;73763,73;55289,77;63726,86;67495,29;69893,60;63113,32;55296,67;49511,62;61296,58;60558,27;59017,72;60226,48;79105,14;53189,35;31582,69;67300,24;59721,36;85748,53;69241,88;54082,56;61323,06;73440,48;70407,51;88816,68;77147,10;98698,84;55145,41;77454,22;48333,27;37973,22;60825,28;108629,58;76357,28;89302,49;104527,89;78513,80;116753,80;65173,55;73665,62;70220,78;95112,64;103530,17;84110,44;102530,31;73266,08;92118,10;92825,36;61605,86;53850,80;94476,41;56158,39;85967,26;48880,69;51368,35;34067,46;55651,15;72342,55;70432,20;82082,30;75480,63;55932,80;75654,18;73624,99;78139,40;78099,59;101670,95;63697,41;105084,17;72830,68;89061,47;103494,71;90656,79;89801,11;112457,42;86449,35;75096,93;69719,08;59809,98;70429,92;81451,06;82811,54;107496,54;162595,40;113803,86;105460,17;113048,40;138464,68;89332,51;123852,03;78159,41;58660,88;96187,79;90217,31;97957,18;92997,83;96284,71;114368,34;74565,67;94176,50;96389,15;83488,44;93517,96;82060,77;81016,24;77903,51;88183,10;95488,76;97122,29;81302,54;107191,08;69484,67;63536,80;63407,02;77187,42;59103,77;126463,15;99538,29;137919,46;74246,41;118910,21;135867,10;129993,48;129818,01;167344,36;120864,55;166886,04;76761,32;58848,22;63773,81;12492890,23
"210390 Duque Bacelar";-;-;-;-;-;-;-;-;-;-;547,30;290,20;7415,88;18036,26;24551,23;27297,05;26456,69;18264,34;18079,22;19432,24;21475,61;24466,37;25122,56;18968,76;26942,12;19040,07;29929,84;21080,60;9150,64;32190,81;23337,47;28948,55;23549,78;19712,07;9554,68;11975,22;14481,31;14109,62;16857,42;23835,70;15769,39;17072,00;15743,28;17147,81;15864,66;10183,77;16597,68;25528,55;28423,62;15971,95;28507,97;38582,90;53713,90;24791,10;45881,02;44448,00;26991,68;25846,06;36238,79;44958,79;47054,09;32345,08;35643,41;29065,63;38480,46;33175,18;36507,92;22081,49;26850,24;35347,57;40135,99;25117,60;30073,72;27570,53;41794,91;42938,74;43739,11;45308,53;42760,77;53139,63;38067,03;33351,57;31944,57;41012,44;37495,24;45350,24;40103,13;83514,02;40590,07;45990,93;38375,28;44036,19;47107,98;43930,86;37380,90;30743,52;53149,45;43954,73;34033,76;49144,43;46113,42;35414,34;40318,54;31376,23;34721,09;37946,29;48593,83;30721,97;29660,03;29580,46;27593,77;42149,94;50883,85;39239,67;50045,35;40233,67;40731,78;43304,25;41157,54;51795,60;42300,56;43957,02;35003,96;26718,11;45595,91;41506,68;57055,62;47070,24;50032,58;36337,91;40510,87;79159,08;34410,88;69691,26;74260,96;39483,85;56267,07;38656,90;79832,50;63535,54;47287,55;50712,51;61920,00;59205,13;54407,76;45298,72;35412,42;16460,29;19563,30;15828,99;21266,94;19964,11;26452,95;15716,48;15393,82;32226,82;15624,64;35833,84;15196,65;26967,34;29473,21;17617,93;17202,39;35690,58;56104,12;30586,44;19352,17;22954,80;39371,64;13331,61;10989,04;14055,88;5442208,66
"210400 Esperantinópolis";-;-;-;-;-;-;-;-;-;1003,71;-;30369,14;44020,65;35372,29;35053,84;39769,60;41369,93;38970,23;39485,31;45603,68;50849,51;42905,56;50481,84;38985,78;44836,50;97444,85;55759,44;59752,83;50366,02;37097,53;56130,65;44225,87;43863,21;37171,63;55456,57;51512,42;77298,88;51685,91;37450,38;53484,63;56246,18;35537,07;46436,68;51629,45;54667,57;35666,11;48849,46;59689,52;70497,72;54133,55;41910,48;55643,59;59132,34;66100,72;70393,42;76273,63;45794,21;48574,57;53410,03;78533,59;82138,47;46481,01;72025,09;82189,36;77068,29;60019,84;49994,65;53846,13;68870,19;82090,01;78395,80;53405,07;54630,21;48465,49;68682,86;64788,76;71422,91;70904,28;69179,36;50813,65;53789,68;69319,13;47464,95;52582,26;68732,19;60643,13;67044,63;64796,10;74577,97;69036,55;81177,34;65507,47;68538,79;70775,98;66320,80;74389,66;52916,60;43540,18;54128,88;61715,89;65762,57;72795,67;57029,25;84818,58;78632,57;82019,62;85179,35;85962,08;69540,89;53212,56;70980,98;95622,85;84900,60;64088,75;69345,62;62375,26;65937,76;62462,38;76800,29;54240,21;61740,31;41951,81;75562,20;90276,05;96535,32;163603,00;107701,71;86677,10;70439,09;98425,59;63987,61;80518,53;91438,39;69287,43;62896,31;84830,79;119863,85;101457,72;74747,41;88634,41;81522,89;67518,65;81183,75;110877,28;81177,16;96310,44;107303,93;139497,47;90573,50;78849,49;104629,94;93609,56;94829,79;105742,67;114249,29;130634,72;129937,34;128191,18;109061,23;98737,52;84914,20;111443,13;177557,83;187179,57;122975,22;106600,47;72649,01;88510,48;98967,48;119887,52;90886,90;4032,24;11551632,21
