 Morbidade Hospitalar do SUS - por local de residência - Maranhão
Óbitos por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"210060 Amarante do Maranhão";-;-;-;2;1;1;1;2;2;1;1;1;-;1;-;3;-;2;2;-;-;2;6;-;-;2;-;-;2;2;1;2;7;3;1;3;1;3;3;3;4;5;5;1;8;3;4;4;4;4;7;1;3;-;3;3;3;3;8;4;2;2;4;2;2;1;3;4;6;-;2;2;1;2;1;3;4;-;4;1;5;8;3;6;5;4;5;4;2;3;7;6;4;6;4;4;3;4;4;7;4;7;8;7;2;2;4;-;2;4;5;5;3;3;1;5;4;4;5;4;7;6;8;5;5;7;6;13;2;6;4;5;4;6;6;2;8;6;7;5;4;6;6;9;5;7;8;2;8;8;6;4;4;3;8;8;9;7;5;5;6;8;3;-;614
"210070 Anajatuba";-;-;-;-;1;-;-;-;-;-;-;1;1;-;1;-;-;-;1;-;-;-;-;-;-;-;1;4;-;1;-;1;2;1;-;-;-;1;-;-;-;-;-;2;-;2;1;2;4;1;1;1;5;-;1;-;2;-;-;1;-;3;-;2;3;4;1;-;-;-;4;2;5;2;2;-;-;4;2;1;1;-;1;1;2;2;-;2;1;1;2;3;-;1;3;1;2;4;3;-;2;8;2;1;1;6;3;3;3;2;1;3;4;3;-;-;3;2;2;4;-;3;1;1;2;3;5;-;2;2;2;3;2;-;2;2;2;2;5;-;3;4;1;2;1;-;2;3;1;-;3;4;4;3;1;6;3;2;3;2;4;1;1;1;251
"210080 Anapurus";-;-;-;3;-;-;-;1;2;-;1;1;-;1;1;-;-;1;1;1;2;-;-;-;-;1;3;-;-;3;1;2;-;1;1;-;1;2;2;2;3;-;-;-;2;-;-;-;1;-;-;2;1;-;-;-;-;-;-;-;2;-;-;-;1;3;2;-;-;1;1;1;1;-;3;1;-;-;-;1;-;2;-;3;1;-;2;-;1;-;2;-;-;2;2;3;2;-;2;-;-;1;1;1;5;2;1;2;-;-;1;-;1;1;1;1;1;4;1;2;2;-;2;-;-;2;-;1;2;-;-;1;1;-;-;2;1;1;2;-;-;2;1;-;1;-;1;-;-;-;2;2;-;1;6;3;1;1;3;-;-;1;-;2;152
"210083 Apicum-Açu";-;-;-;-;-;-;-;-;-;1;1;1;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;2;-;-;-;1;2;2;-;1;-;1;1;1;-;1;2;-;1;-;3;-;-;2;1;1;2;2;2;1;1;-;2;-;1;-;3;1;2;1;-;-;3;1;-;1;2;2;1;2;1;2;1;1;-;3;2;1;5;2;-;1;-;-;-;-;1;1;1;-;-;1;3;2;2;-;2;2;2;2;2;1;3;3;2;1;3;1;1;1;1;1;4;1;1;3;2;-;1;2;1;-;2;-;-;1;3;1;1;-;2;1;3;4;-;1;1;5;-;2;4;3;1;4;-;1;1;-;4;2;2;4;3;-;1;1;2;1;192
"210087 Araguanã";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;2;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;2;-;-;1;-;-;1;-;-;1;1;-;1;-;1;-;-;-;-;-;-;-;-;1;1;1;-;-;1;-;-;1;1;1;-;-;-;1;1;1;1;-;1;3;1;4;1;-;1;-;-;-;1;1;4;-;2;2;-;-;1;3;1;2;3;1;-;1;-;1;1;2;1;1;-;2;-;1;-;2;2;2;1;1;4;2;2;-;-;92
"210090 Araioses";-;-;-;-;-;1;2;2;1;-;3;-;-;-;3;3;2;4;1;4;3;7;3;2;4;4;2;2;1;1;3;5;2;1;2;2;2;1;2;-;3;1;7;2;2;3;1;3;2;1;1;-;-;4;1;4;1;2;1;3;2;1;1;-;2;2;2;3;1;2;2;2;2;3;2;-;-;2;3;2;2;4;1;-;-;1;2;3;2;3;2;4;2;4;1;3;1;-;1;1;2;4;4;2;2;1;3;1;3;3;1;1;2;2;5;3;2;1;3;1;2;1;6;2;3;-;5;5;6;8;7;1;1;1;3;1;1;2;5;-;1;2;2;5;4;2;5;2;6;3;2;3;5;4;4;6;6;5;3;4;5;1;3;-;377
"210095 Arame";-;-;-;1;-;1;-;-;1;-;2;-;-;-;-;1;-;-;2;1;-;3;1;-;2;-;2;1;4;-;-;1;1;-;-;4;-;-;-;1;1;1;1;-;2;1;2;1;2;3;2;-;1;-;-;1;-;1;2;3;2;2;-;2;1;2;-;1;3;3;4;-;1;1;-;3;3;-;4;1;3;1;2;1;4;-;-;3;1;2;1;1;3;-;4;-;3;2;2;-;3;-;3;1;-;2;2;4;2;-;2;2;5;2;2;5;2;3;6;4;2;2;4;5;2;5;4;3;6;3;2;4;2;7;5;2;3;5;4;4;2;5;3;2;4;6;1;3;3;1;3;6;1;1;3;8;9;2;2;5;3;3;2;1;322
"210100 Arari";-;-;-;-;-;-;-;1;-;-;1;1;5;-;-;1;4;3;-;-;1;1;2;2;1;-;-;1;-;-;3;-;1;3;-;-;2;1;2;2;-;2;-;-;-;1;1;3;3;2;-;2;2;1;-;2;1;2;2;2;5;1;1;1;2;5;-;-;2;4;1;1;1;2;1;1;3;1;1;4;3;4;3;-;3;1;4;3;1;1;2;2;3;2;2;1;1;1;1;5;4;5;3;-;1;1;3;-;4;2;3;2;1;3;1;-;3;2;4;3;7;2;3;6;1;1;6;2;1;3;4;2;4;3;2;6;3;8;5;5;3;3;2;2;-;1;3;3;7;2;3;4;6;5;1;4;4;5;8;6;8;1;4;-;348
"210110 Axixá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;2;-;-;1;-;-;-;-;1;-;-;-;1;1;-;1;-;1;-;-;2;-;-;-;1;-;1;3;1;-;-;1;1;-;-;1;-;3;1;-;-;1;1;-;1;1;2;1;1;1;-;3;2;-;-;1;-;-;2;-;4;1;-;1;1;2;1;2;3;4;1;1;2;3;-;2;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;1;1;2;-;2;3;2;2;1;2;2;-;1;1;3;2;2;1;2;1;1;-;3;2;1;2;-;5;-;1;-;2;2;-;4;-;3;2;1;2;-;2;2;1;3;2;1;1;-;148
"210120 Bacabal";-;-;-;1;2;4;13;14;10;20;17;12;15;8;13;6;7;11;9;4;8;13;5;9;3;6;2;6;4;8;7;8;8;6;8;2;8;6;7;7;4;6;4;10;5;3;7;2;12;15;6;4;4;3;11;3;6;8;5;5;5;6;5;9;10;6;9;9;7;11;11;9;13;18;14;12;12;18;18;13;23;16;14;17;15;18;17;16;19;18;15;13;17;18;19;14;15;8;19;11;12;19;14;15;10;17;12;10;16;12;12;6;7;12;7;9;18;30;22;19;15;18;17;10;10;20;13;18;19;23;22;16;14;14;13;14;24;20;20;24;18;25;20;9;7;13;17;20;21;21;29;23;28;15;53;51;28;33;24;18;20;26;9;8;2116
"210125 Bacabeira";-;-;-;-;-;-;1;-;-;-;2;1;1;-;-;2;1;-;1;-;-;-;2;-;2;1;2;-;1;1;1;1;1;2;1;1;-;-;-;5;1;1;3;1;1;1;-;-;1;2;1;-;2;2;1;-;-;2;3;3;2;-;3;1;4;-;2;2;2;1;1;2;2;-;-;-;4;2;5;-;1;1;1;1;1;1;2;2;1;1;2;3;3;3;1;2;-;2;-;-;1;3;3;1;5;-;1;2;3;2;-;-;2;1;3;3;-;-;3;3;3;2;1;-;1;5;2;-;-;6;1;1;2;3;1;1;-;1;1;-;2;2;1;4;2;3;3;2;3;3;1;4;5;3;7;1;4;3;9;4;2;4;1;-;256
"210130 Bacuri";-;-;-;-;-;-;2;-;-;-;1;-;-;1;-;1;-;-;2;-;-;-;2;-;2;-;1;-;-;-;2;1;2;1;2;2;1;2;4;2;3;-;1;1;1;2;-;-;-;1;3;3;1;2;3;3;2;1;2;1;-;1;-;3;-;1;2;2;1;3;3;2;-;2;2;-;-;-;2;1;2;2;-;3;1;4;2;1;2;4;1;2;4;2;-;3;3;2;1;5;-;-;2;2;-;1;3;1;1;2;2;2;-;2;1;2;8;3;1;-;3;3;-;1;4;1;1;1;4;2;5;4;-;3;1;3;4;1;3;1;3;2;4;4;3;1;3;1;4;-;2;-;5;2;5;3;2;1;4;1;2;3;-;-;263
"210135 Bacurituba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;2;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2;1;1;-;-;-;-;-;2;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;32
"210140 Balsas";-;2;2;-;1;3;-;5;7;4;4;2;3;1;8;3;7;10;4;9;5;10;8;9;7;3;4;5;7;9;10;5;5;2;8;5;5;3;6;4;5;7;2;6;3;5;6;4;4;7;7;8;8;4;10;5;8;11;5;5;2;10;4;12;7;6;7;11;2;12;7;9;2;3;5;11;7;7;11;10;11;6;12;17;5;7;1;4;6;12;9;12;10;8;9;8;5;15;9;9;8;11;12;11;10;10;3;11;12;6;12;11;8;7;9;8;13;18;17;19;18;8;18;10;10;14;24;18;14;23;22;13;26;15;23;11;12;18;19;16;17;11;15;18;25;13;21;21;20;21;12;20;18;12;13;32;38;27;21;16;14;11;12;-;1611
"210150 Barão de Grajaú";-;-;-;-;-;1;-;-;-;1;-;-;2;1;-;3;1;-;3;2;2;2;2;2;-;-;4;1;1;2;1;1;-;1;-;-;1;2;1;1;1;-;-;1;2;1;1;-;2;-;3;2;1;1;-;1;2;2;1;1;5;1;2;1;1;4;7;2;2;3;2;-;2;2;4;3;3;3;1;-;3;3;3;-;3;3;3;2;1;-;-;-;1;2;1;3;3;4;1;3;1;2;1;2;1;4;1;4;4;1;5;2;2;-;1;1;5;3;2;4;2;2;1;2;-;2;1;-;-;1;2;2;-;1;3;1;1;3;2;4;1;-;3;1;5;2;3;4;1;1;4;1;2;1;4;3;4;3;-;1;-;2;1;1;271
"210160 Barra do Corda";-;-;-;3;3;4;8;6;10;1;1;7;5;3;7;6;10;9;5;4;4;7;5;2;3;6;3;5;6;3;4;7;10;5;10;5;6;4;6;10;3;2;3;12;10;3;7;8;12;6;11;11;9;8;9;13;9;8;6;8;3;10;3;8;8;6;15;9;8;12;15;18;9;14;11;8;8;6;6;10;18;10;16;14;13;11;12;12;14;9;15;4;11;18;9;8;16;12;7;3;10;9;3;8;12;3;8;8;9;4;7;11;7;6;9;3;6;10;5;4;5;7;10;6;5;8;9;4;10;13;10;12;5;5;7;7;7;6;6;4;8;5;4;4;2;3;5;7;6;9;3;5;5;7;19;16;21;12;8;12;5;5;4;1;1244
"210170 Barreirinhas";-;-;-;-;1;2;2;1;2;1;2;3;1;1;-;1;2;2;3;-;1;1;-;2;-;1;3;1;2;2;4;2;2;2;1;3;5;5;3;8;3;3;2;2;6;1;3;3;1;6;-;3;2;3;5;-;7;2;7;6;5;3;5;3;6;5;5;2;6;6;9;6;13;8;5;5;6;8;7;8;8;7;7;7;6;9;11;8;7;11;12;7;6;14;9;13;14;14;6;10;7;10;7;9;13;11;8;8;5;12;8;9;5;5;8;15;8;13;5;9;13;10;9;8;10;10;7;8;14;12;14;10;8;9;11;7;3;11;13;12;10;11;11;10;14;12;10;10;12;8;6;7;9;8;29;11;8;5;9;12;10;9;4;2;1055
"210177 Bela Vista do Maranhão";-;-;-;-;-;-;-;1;-;2;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;1;-;-;1;2;-;-;2;-;1;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;1;2;-;1;-;-;-;1;1;2;1;2;-;3;1;-;-;-;2;-;1;2;2;-;-;-;1;1;1;-;2;1;2;1;1;-;1;-;-;1;2;-;-;-;-;1;1;3;-;-;2;-;1;1;-;-;2;2;4;4;-;1;3;2;3;-;4;3;1;1;1;1;1;2;-;3;1;1;-;3;2;1;1;2;1;1;1;3;-;4;4;2;1;-;2;1;3;-;-;136
"210173 Belágua";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;1;1;1;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;1;-;-;-;1;-;1;-;-;-;-;1;-;-;-;1;-;2;-;-;1;1;-;2;-;1;-;-;1;-;-;-;-;3;1;-;1;1;1;-;1;-;-;1;1;1;-;-;1;-;-;-;1;-;-;3;2;-;1;-;-;-;-;1;1;1;-;-;-;-;-;-;1;-;-;-;-;-;1;2;1;1;-;-;1;-;-;-;56
"210180 Benedito Leite";-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;1;1;-;-;-;1;-;1;-;2;-;1;-;-;1;1;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;1;1;1;-;-;-;1;-;-;-;-;1;-;-;2;1;1;1;-;-;-;-;-;-;-;1;-;-;1;1;1;-;-;-;-;1;-;-;-;-;-;1;2;1;-;-;-;1;1;1;-;1;-;1;-;-;2;1;1;-;-;1;-;-;58
"210190 Bequimão";-;-;-;-;-;-;1;2;-;-;-;1;1;6;2;1;-;1;2;1;2;2;2;-;4;3;1;1;3;1;-;1;2;2;1;-;2;1;-;2;2;-;-;-;4;2;1;3;-;4;-;2;-;1;2;2;3;1;3;-;3;-;2;1;1;2;2;2;3;-;2;-;-;3;1;1;3;2;-;2;4;2;-;-;1;1;1;3;1;2;1;2;-;-;2;-;2;1;-;-;5;4;2;1;4;3;2;4;1;1;3;2;3;2;2;2;4;3;6;3;3;1;5;-;2;4;-;1;1;3;5;5;6;5;6;2;3;2;4;5;6;1;4;2;4;1;1;3;2;-;1;4;2;3;7;4;4;4;3;2;2;2;2;2;317
"210193 Bernardo do Mearim";-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;1;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;1;-;-;1;-;2;-;1;-;-;1;-;-;4;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;1;-;-;1;1;2;-;-;1;-;1;-;1;1;-;2;1;1;-;-;-;-;-;-;-;-;-;2;-;1;-;1;-;-;-;1;-;-;1;-;2;1;1;1;-;-;-;-;1;-;1;-;-;-;-;-;1;1;1;-;1;1;2;1;1;-;-;2;1;1;-;1;-;-;-;1;-;1;-;1;-;1;-;2;-;2;1;-;1;-;1;-;-;76
