"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"120001 Acrelândia";-;1;-;1;-;-;-;-;-;-;-;-;2
"120005 Assis Brasil";3;1;3;-;1;-;-;-;2;-;14;22;46
"120010 Brasiléia";1;-;5;4;-;-;-;-;5;28;63;68;174
"120013 Bujari";3;3;-;-;1;-;-;-;-;-;1;1;9
"120017 Capixaba";3;-;1;-;-;1;1;-;-;-;1;2;9
"120020 Cruzeiro do Sul";4;2;1;-;1;2;-;-;-;-;-;2;12
"120025 Epitaciolândia";-;4;13;1;-;-;1;1;6;4;28;18;76
"120030 Feijó";2;-;1;-;-;-;1;-;-;1;-;1;6
"120032 Jordão";-;-;-;-;1;-;-;-;-;-;-;-;1
"120033 Mâncio Lima";-;1;-;-;-;-;-;-;-;-;-;-;1
"120035 Marechal Thaumaturgo";-;1;-;-;-;-;-;-;-;-;-;-;1
"120038 Plácido de Castro";-;1;1;-;-;-;1;-;-;3;49;100;155
"120080 Porto Acre";1;-;-;-;-;-;-;-;-;-;-;2;3
"120040 Rio Branco";374;359;176;108;77;47;41;32;27;71;133;293;1738
"120042 Rodrigues Alves";-;-;-;-;-;1;-;-;-;-;-;-;1
"120050 Sena Madureira";-;-;-;1;-;-;-;-;-;-;-;-;1
"120045 Senador Guiomard";2;2;1;-;-;-;-;-;-;-;-;3;8
"120060 Tarauacá";1;-;-;1;1;-;-;-;-;-;-;-;3
"120070 Xapuri";1;-;-;2;2;1;-;2;-;-;-;2;10
"Total";395;375;202;118;84;52;45;35;40;107;289;514;2256
