"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"120001 Acrelândia";2;-;-;-;-;-;-;-;-;-;-;-;2
"120005 Assis Brasil";-;4;4;3;-;4;1;-;-;-;2;1;19
"120010 Brasiléia";6;4;5;9;5;4;4;1;1;4;1;7;51
"120013 Bujari";-;-;-;-;-;1;-;-;-;-;-;-;1
"120017 Capixaba";-;6;-;1;-;1;-;-;-;-;-;-;8
"120020 Cruzeiro do Sul";94;29;101;252;368;437;559;2175;7300;7588;5456;2964;27323
"120025 Epitaciolândia";-;-;-;-;-;-;-;-;-;-;-;1;1
"120030 Feijó";-;1;-;-;-;-;-;-;-;-;2;2;5
"120033 Mâncio Lima";1;3;3;1;-;1;1;5;2;7;15;6;45
"120034 Manoel Urbano";-;-;-;-;-;-;-;-;-;1;-;-;1
"120038 Plácido de Castro";2;-;1;-;-;-;-;-;-;-;-;1;4
"120039 Porto Walter";-;1;-;-;-;-;-;-;-;8;12;1;22
"120040 Rio Branco";106;103;114;99;56;24;24;30;24;43;34;79;736
"120042 Rodrigues Alves";-;-;-;2;-;-;-;1;5;7;22;14;51
"120043 Santa Rosa do Purus";-;-;-;-;-;-;-;1;-;-;-;-;1
"120050 Sena Madureira";11;-;1;-;-;-;-;2;-;1;-;3;18
"120045 Senador Guiomard";2;2;2;-;-;1;-;-;-;-;-;-;7
"120070 Xapuri";-;1;1;-;2;-;-;-;-;1;-;-;5
"Total";224;154;232;367;431;473;589;2215;7332;7660;5544;3079;28300
