 Morbidade Hospitalar do SUS - por local de residência - Tocantins
Valor total por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2006/Dez";"2007/Fev";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"170390 Caseara";-;-;-;-;-;-;-;27970,09;10449,93;8857,09;7988,37;5660,72;5274,48;15496,70;10503,25;8029,98;11854,28;13426,61;5023,58;19077,64;7616,95;9115,54;16101,23;11477,21;9649,17;8589,77;4455,92;10654,21;9530,87;9467,21;11014,54;19541,05;17238,43;21583,95;15253,76;13559,37;14806,47;12140,91;6842,92;3924,57;16988,60;23653,18;28485,43;18931,71;26530,61;17542,88;22519,05;22180,04;24383,94;7795,11;25263,92;20456,11;28235,84;13359,92;11542,34;38253,23;11996,52;16810,56;10781,37;14428,21;25744,85;15129,33;31078,30;9363,04;16561,20;12911,54;18312,50;19442,02;18870,45;14540,61;14038,84;20263,38;22717,49;13814,23;11319,90;12394,91;18063,67;20638,08;37954,76;9938,81;29962,57;59493,62;24307,87;27816,98;16130,23;18355,37;12538,58;11572,46;15259,08;20787,77;19915,15;10394,88;10256,16;33956,77;32163,00;11716,31;13536,99;30886,65;22241,75;18791,60;25700,13;6848,30;8499,39;13815,09;4175,54;19868,48;10127,77;12171,77;12058,74;16579,25;24561,79;55441,21;34220,26;48753,55;25505,56;16897,30;16499,18;27908,76;24395,79;13368,80;6306,65;5628,12;11942,29;14118,34;19679,12;19505,83;2605,29;4247,41;11043,23;8547,90;5178,37;24931,31;5183,00;17930,64;7438,51;16168,52;4275,71;6336,98;7005,56;2719,05;16661,62;35162,12;18087,46;54565,82;11111,06;20043,44;25706,48;14334,32;29552,67;47424,16;19230,31;13795,76;13187,70;26154,91;23976,29;21557,25;10858,94;7574,17;31172,77;12204,90;16560,38;5813,84;6049,11;-;-;-;-;2684471,01
"170410 Centenário";-;-;-;-;-;-;-;1767,25;-;7524,76;6596,33;6533,50;6512,19;5971,05;7061,27;5865,76;5729,80;5633,72;4964,77;10790,31;2342,86;9465,46;15693,14;6224,63;7097,38;4841,71;13324,59;36328,04;6879,79;5530,34;16146,35;4257,29;5962,65;5600,36;4814,58;9459,61;7431,19;9495,41;10460,69;9534,97;10479,27;4121,65;6378,95;11806,07;30154,98;10928,50;12480,33;11583,03;3300,76;4787,03;7235,72;10691,75;3862,78;6730,31;6149,79;25304,46;5664,83;10375,44;5931,57;4830,21;21314,78;4531,08;4916,33;4092,40;4963,13;8094,15;5078,52;5725,67;4974,20;2319,43;4856,36;12378,14;6507,80;11717,00;7387,16;15092,13;4393,35;12494,35;9364,07;9276,99;9654,12;10893,09;10731,56;40160,51;4249,59;5342,69;11372,10;4635,78;2678,21;4625,80;6211,01;2320,85;4698,05;2635,01;16397,57;3871,63;8079,38;9879,34;3517,94;8599,75;8450,04;8397,67;11752,88;2126,13;13316,35;16386,58;12829,02;4157,21;8504,47;23992,44;8365,71;3083,62;14674,00;4603,42;12796,36;27754,64;22428,94;9206,02;5275,68;39094,97;3383,92;20263,94;7248,12;805,81;2824,30;5385,70;15698,64;2231,84;4372,07;2170,43;606,42;698,32;1279,43;4552,42;26743,10;17725,53;2964,48;7870,89;820,62;4082,00;4137,30;1846,81;3368,77;7137,15;5838,64;18555,01;3065,29;9406,77;3580,91;9656,48;8611,03;8563,98;11614,68;18285,53;29791,63;9172,51;1982,77;15768,31;571,95;2818,78;26978,31;441,17;3500,35;-;4712,18;-;-;1387000,64
"170510 Chapada da Natividade";-;-;-;-;-;-;-;1319,02;1828,53;5978,55;5919,69;4817,12;10397,35;11837,77;3441,79;5644,17;12457,45;4364,70;6554,07;4784,01;6617,92;4390,88;5719,29;12662,40;5477,29;4858,24;10940,71;8350,41;6741,78;4028,69;3948,16;7984,68;7441,64;10649,13;4934,52;11547,80;3342,94;6548,84;5234,67;3085,08;2555,93;3159,96;6488,13;6369,16;5243,20;12143,24;8945,09;5939,08;13757,13;24926,93;11357,05;13701,95;12389,25;13061,76;6793,69;6538,59;10135,52;8811,79;21249,14;8614,33;5145,21;29313,12;13737,83;20086,21;5655,31;20257,51;8969,88;15380,72;14555,85;10346,98;9725,72;11799,97;16764,99;13960,00;7915,56;6962,96;22925,06;7854,06;12072,61;8399,24;9856,78;15550,55;30944,16;12031,73;18468,78;20002,56;9044,86;14240,23;13729,74;17740,72;24527,18;12332,02;41078,81;9040,72;5679,92;11284,44;10345,61;5219,04;7617,38;27559,93;61102,54;6503,78;6396,16;12735,71;3171,16;7336,44;3427,35;5580,21;2611,80;7226,95;4406,91;15387,53;5787,69;9068,03;3990,20;9541,56;2286,97;5938,31;4341,68;11445,61;15523,33;9649,49;9509,63;11418,30;18336,63;2856,70;8144,43;3066,75;4127,71;7539,63;4151,29;3824,86;4807,64;16613,15;17283,01;3650,25;6467,92;9090,91;20215,17;21010,75;13139,97;19405,84;8859,08;4670,06;12544,52;9044,22;9994,68;4377,94;8470,64;17709,28;23605,53;5952,88;8602,93;15142,26;10739,22;5846,33;17285,73;4578,02;7711,78;4251,43;3509,05;5782,69;248,35;443,40;-;-;-;1601644,13
"170460 Chapada de Areia";-;-;-;-;-;-;-;495,62;2548,04;269,80;503,06;2637,51;3820,29;1564,59;3655,41;1885,92;1954,45;1650,89;11154,98;15981,22;14701,50;3309,01;3560,76;3033,09;3372,59;1937,68;1728,56;5164,46;2154,48;2146,15;5095,77;2633,46;4188,20;1461,52;2013,26;1476,46;3974,24;5935,79;6682,67;4917,26;6181,00;7644,61;2645,86;3893,91;6952,79;10592,30;3848,20;2613,98;-;3949,34;4611,24;4186,09;2416,08;4803,57;4440,77;10388,91;6592,08;1786,10;3113,55;13080,73;9477,44;4758,95;6518,41;3911,33;22511,30;3781,04;1035,26;4979,16;2890,66;9397,87;3643,20;10174,48;29143,69;7919,19;4578,46;21692,83;20188,79;14788,20;7125,31;3521,50;4772,88;13216,99;6130,72;11836,26;15329,68;11440,54;9207,42;2273,52;6688,76;6973,46;2909,28;1669,85;12820,22;1935,01;5159,26;697,11;1786,27;3080,57;11553,94;650,03;4887,86;6558,56;2126,30;3323,34;3763,47;846,36;2042,37;524,60;1532,93;426,72;4421,08;5136,28;1430,56;-;2169,50;3628,90;886,69;1831,77;3395,89;1001,93;4932,19;5429,78;2792,37;3886,28;1687,06;6195,98;2652,39;1330,06;2510,13;2033,45;116768,52;4872,49;29795,30;50964,34;9709,74;16353,84;898,65;1700,11;7601,60;7911,22;19142,05;15347,44;2436,21;4633,66;3320,61;9563,63;5161,29;6145,61;8555,70;782,63;2372,12;3628,51;10556,83;3719,14;3956,46;4582,43;8546,43;2021,19;2638,93;5407,34;641,88;-;-;-;-;-;-;1006639,34
"170550 Colinas do Tocantins";-;-;-;-;1892,80;9209,64;13573,88;21326,31;94165,08;136393,14;132651,71;166442,04;125661,37;165952,82;144705,28;123821,33;129404,15;144100,15;151107,92;164670,14;151870,70;174741,58;162111,35;191157,72;209658,61;143782,68;240986,19;206132,49;149746,63;205369,26;239087,81;227744,77;166360,79;166578,99;135779,66;220307,53;186962,95;253272,66;200074,84;168375,03;183893,41;180387,98;208322,36;193760,53;164287,78;187646,68;154860,06;201731,70;157543,11;151495,94;146361,43;132036,33;211043,40;177365,76;178034,65;158360,27;219705,49;219353,02;181063,69;232927,73;191609,15;201268,84;194242,32;160921,57;132708,77;155570,23;153329,67;129667,38;173657,42;146026,74;193831,79;162479,32;150303,32;196683,09;147277,11;249818,41;141903,03;173603,94;174630,04;217370,05;169342,39;184894,67;179479,72;157254,76;184770,82;220437,34;174301,24;153947,85;188183,13;177959,93;148395,64;195957,35;179622,71;172097,43;139932,37;270993,27;190392,66;211600,88;181574,77;165198,38;181106,23;142203,83;127990,03;162415,57;176435,92;182723,28;166506,91;244128,27;216444,15;264684,16;236901,65;131704,60;191273,68;152085,14;189949,72;159447,63;182015,88;142893,99;123128,33;181971,39;176452,26;130047,79;181315,58;117005,58;142083,21;163173,68;119130,44;127390,31;128215,75;279030,67;172353,95;216234,53;162683,57;208011,44;172720,20;228677,74;207882,03;148821,79;130049,66;148793,62;145324,18;173147,54;141440,24;141499,63;179151,59;123481,37;148021,87;187015,59;143786,84;172473,18;328285,24;175025,32;259639,00;126313,16;174169,35;91819,80;114722,52;175350,98;131517,98;166909,96;310137,93;223312,56;78602,21;71869,98;58745,82;48276,19;37646,21;27302371,22
"171670 Colméia";-;-;-;-;-;-;-;19838,99;19015,15;26170,04;35297,95;37937,21;31867,16;39400,84;52068,11;29736,29;32245,76;22810,14;33200,57;31561,00;14417,98;51350,00;15170,49;26042,98;25716,06;23265,02;42478,64;26985,54;55382,12;18417,90;82912,82;46561,57;31181,39;66544,12;38412,36;35757,57;28388,95;44492,28;25195,15;26877,86;30208,78;39645,24;23756,65;50108,01;18968,35;28613,27;47383,03;42332,63;33312,60;45971,10;29163,79;22965,78;20204,17;50335,99;29597,98;34234,57;16400,56;18881,13;25679,44;31170,55;37272,82;44149,85;37649,78;39984,13;34250,60;15862,77;22268,88;32283,78;37258,02;19733,21;21753,35;27184,44;33460,72;27075,78;34030,15;28454,78;42624,82;45017,61;30768,39;29139,34;20847,43;20939,26;18005,31;42714,29;38248,12;60807,80;35553,83;41785,18;37100,59;40865,75;35788,80;33373,97;34964,30;46520,47;63370,99;62802,79;54477,85;74980,94;68284,88;60527,53;44809,93;48047,17;51779,58;67590,13;42128,95;138677,94;39396,52;65272,66;77058,10;62133,26;102458,41;23654,69;30430,09;30263,77;34654,93;19472,76;44139,93;40226,87;60577,20;57557,51;17803,01;36510,60;28932,95;27444,98;25707,32;20761,49;24916,33;17177,35;73899,38;26757,36;28093,80;25780,43;36667,02;33875,49;45814,04;45828,22;58114,16;27853,66;44812,58;30470,95;34454,22;21351,74;31052,70;33124,05;28259,76;43183,87;40090,92;77862,37;19075,39;75157,65;43403,28;51311,55;39528,80;42467,87;68177,11;31549,15;61335,00;34714,25;29596,89;73176,31;29089,49;4459,09;1612,45;-;-;5841,92;-;5985244,28
"170555 Combinado";-;-;-;-;-;-;1440,77;4001,62;4077,88;14431,59;18909,53;18281,35;4518,45;12796,66;13056,95;19817,37;8873,03;13447,77;3013,93;6285,91;13630,54;5162,84;5768,59;10154,08;16940,79;16434,13;7939,98;25452,01;18030,51;17861,90;13773,26;11503,80;11107,09;6764,07;9475,80;17714,30;14885,81;32440,66;12193,16;19921,91;13214,83;12127,63;8883,02;20934,63;18217,06;9397,45;16572,91;21588,26;24390,58;4020,65;7915,89;13979,42;8836,82;8375,09;11178,32;15747,78;14912,93;7599,54;18476,45;9389,98;5723,57;24995,71;8262,23;1680,93;6204,76;8154,99;7641,61;12798,99;10657,49;9191,18;122270,94;5904,91;14835,52;13371,53;8525,29;4735,97;17014,69;4265,29;32984,25;5235,44;12728,58;4647,80;8369,74;9784,39;19113,39;19568,07;3724,20;10042,64;27687,10;8557,81;18931,29;7165,86;784,02;4704,48;14942,55;2215,68;15633,61;12553,88;6379,84;28302,30;8103,83;8573,64;8573,39;3265,94;1374,89;3019,52;7837,10;3290,36;8902,33;16426,95;9685,52;11488,11;4033,10;10948,41;3838,14;4255,80;1790,51;29079,12;1815,53;3647,35;12911,60;11470,81;5134,94;13099,73;7810,17;5367,35;5176,75;1519,25;9905,25;2580,04;12819,03;9844,83;38210,50;1292,48;33284,47;5332,41;12374,72;8721,04;6504,74;8319,89;14780,88;17632,98;2810,78;31557,81;13345,70;30799,47;8713,99;5532,01;5498,87;8646,08;62031,49;20587,91;11859,33;9319,00;14442,97;6390,66;8610,21;3386,97;6602,83;31296,63;10831,36;9618,28;3400,46;-;-;204,50;-;1955690,51
"170560 Conceição do Tocantins";-;-;-;-;-;-;1026,67;8861,65;3429,35;4833,37;11091,87;19426,57;11377,27;28266,75;10477,64;5958,56;13001,32;9135,55;22890,83;11517,48;12905,58;6982,54;17100,46;13132,54;8554,86;9484,59;26452,58;9084,86;40711,46;8019,51;12771,81;19541,88;11141,77;9397,97;6444,55;11889,59;14238,14;12085,21;30819,78;9616,08;36598,70;14279,15;11564,64;6333,00;16023,55;26116,63;10637,09;7912,89;9451,72;9383,25;15323,25;32238,83;5457,86;9397,28;17636,17;20945,83;5870,35;9946,26;18394,42;12773,71;4766,18;16088,95;16124,23;6440,64;11520,76;12191,46;53309,54;18560,33;5070,31;10245,50;12214,95;44377,39;14364,96;18500,40;6685,61;4639,39;25592,56;11077,55;24709,98;9313,18;12628,58;15909,15;15974,23;17510,43;17653,55;11113,45;4759,62;16887,63;13126,14;12273,62;10641,85;13548,28;9370,74;10439,53;5079,59;7284,24;36748,57;11379,75;10215,87;15745,72;8223,68;6775,61;7150,20;7073,87;8004,05;5140,91;2733,31;10118,44;22415,51;25304,49;26147,51;17076,97;11805,22;10623,69;11592,15;9525,41;26469,67;10423,35;12844,08;19402,69;8543,49;7403,74;17717,19;15878,36;13046,21;4821,10;5119,21;4524,66;2002,25;7039,44;7256,38;10824,45;9108,28;9349,78;8975,78;1372,91;9348,58;4960,24;17079,96;20818,20;9849,86;24713,44;8149,38;8374,16;9178,17;11312,80;10450,32;15994,28;14314,88;20663,04;16855,65;37075,01;28227,07;4498,65;14154,05;6784,64;10380,31;9925,80;8179,34;15905,83;4513,25;8583,68;3459,70;582,42;-;-;1827,92;2090034,30
"170600 Couto Magalhães";-;-;-;-;451,39;660,51;1268,71;344,84;9598,93;12407,26;12371,61;9897,80;6510,95;8880,59;15279,85;10698,37;23580,61;19751,26;21056,91;6646,84;32101,08;17681,85;34102,42;42130,90;12261,68;23669,75;31809,55;8458,88;20056,49;17002,56;19125,66;6675,32;12531,36;18915,13;12730,77;16725,86;23976,82;15556,09;12185,98;22251,37;15730,33;14029,93;12498,39;10949,43;16038,91;13499,64;13260,08;10697,38;11224,72;20701,94;15393,51;18661,40;10518,47;27027,56;27410,84;16100,26;32008,43;9972,95;9352,14;13547,17;8206,09;16535,33;15945,27;18195,19;15704,31;11309,23;18234,65;22150,50;19735,92;13462,94;13881,84;14188,91;18077,57;14372,80;21852,54;14075,15;12104,56;15845,36;18820,58;9442,03;7551,99;9598,33;18727,96;10309,55;18864,12;14375,81;15151,38;39669,24;18577,06;22330,56;22871,95;16113,07;17692,92;27415,72;17967,26;11354,98;6647,85;8282,80;20360,81;11146,83;6821,52;30289,00;29318,12;28835,41;12049,68;23033,30;9550,99;15641,64;17000,73;15627,67;37879,72;50628,74;13669,03;13379,60;9199,00;19814,26;5402,22;16761,22;6378,25;4567,20;7310,31;8486,80;37688,28;13847,23;7482,17;10914,97;25632,58;15426,87;8819,40;34043,76;51971,59;56531,77;11831,96;27924,77;14495,98;14943,79;21465,80;9632,90;22319,80;43763,14;54067,96;35391,03;9066,73;23330,79;23385,89;11851,42;6618,49;15386,68;18291,94;26653,28;19010,95;15227,36;13548,08;18702,17;26529,01;24134,89;29229,36;26867,57;26167,35;25133,44;34720,23;6218,20;4238,91;5457,97;1469,00;5818,75;3268,97;2845297,98
"170610 Cristalândia";-;-;-;-;-;-;432,14;10510,49;18978,10;26893,95;14820,88;28920,13;24890,48;38901,24;23053,20;24625,25;21650,20;44621,67;26072,51;19036,97;20175,14;27117,08;23505,46;30209,47;60268,14;25787,59;23927,93;22351,82;47805,07;34957,20;29304,45;45956,32;24176,28;19931,54;32818,81;36226,12;42562,80;106685,30;17062,95;34312,97;35406,25;43535,94;30133,35;54901,49;40260,84;21592,11;29912,54;43282,35;24612,69;41643,82;24433,39;22303,19;28061,38;16180,18;37017,79;23085,46;27657,88;26455,43;40269,58;60228,68;39143,17;53797,95;31052,04;33426,47;45360,62;60882,60;17855,96;37893,97;55534,31;33224,44;52103,31;21232,30;25914,35;22780,11;25075,82;17579,17;27838,35;40885,16;15957,70;14450,55;24712,55;48944,38;25385,10;45820,69;26688,84;18763,49;20010,80;15393,27;34051,24;39911,43;22573,76;38353,35;26406,88;34201,07;49520,02;21044,16;42919,31;38099,96;58098,45;24179,22;15843,25;30402,42;18637,56;25487,09;12760,97;14708,68;12866,79;62405,89;24637,86;47795,75;22958,08;9986,26;26552,85;21644,89;41285,21;30318,00;19878,34;20755,39;37054,49;51556,67;28324,11;80969,64;44104,60;49502,07;33165,59;32477,41;7579,00;12282,49;27679,26;26957,62;16582,11;20166,24;14682,11;8635,64;15710,67;18629,47;21823,32;29484,42;16424,65;20432,54;13365,02;12863,07;30769,90;15878,98;22585,33;41118,85;125277,39;27789,01;23362,91;35572,79;18625,60;44050,40;119101,29;25175,42;146589,40;54461,03;33315,72;40203,98;58340,51;30027,12;19933,31;20363,37;12116,78;6186,96;3395,22;-;-;5080209,07
"170625 Crixás do Tocantins";-;-;-;-;-;-;235,00;-;239,77;937,56;1274,97;8783,13;4675,30;1086,36;6290,38;440,69;2546,28;2675,16;9469,69;4926,92;6086,28;1811,75;3418,58;2275,59;2284,07;3557,84;879,68;419,91;1333,36;-;229,92;2266,06;3359,43;1446,46;2641,47;4051,88;2177,59;3974,98;1800,62;11026,72;12831,23;11511,54;6510,68;6517,35;2430,31;6005,99;3418,18;1803,83;1658,34;2684,77;6600,55;632,94;7697,44;3980,49;3949,72;5015,85;3645,75;1892,58;516,60;1925,74;3420,79;-;1458,22;2939,77;3224,11;4844,44;2140,11;2632,81;5548,57;4375,21;3955,19;8677,67;3236,62;8149,17;15327,43;7020,80;11411,04;7395,94;10427,61;5705,14;1119,76;8558,97;5394,69;3256,50;3385,55;4455,89;7413,56;7471,54;2198,37;2161,78;11026,43;3317,31;2321,16;13328,18;5933,32;15178,79;3378,66;6797,41;5025,52;13540,50;3569,86;9930,45;23655,50;5184,02;3475,02;849,76;3726,55;5521,34;4351,34;3858,24;1547,77;3422,65;2854,32;5199,06;4303,25;6750,78;2143,68;1379,99;7764,42;3747,96;2023,78;3166,39;1409,43;15157,71;1939,96;1275,92;17434,15;695,46;1181,77;13130,81;1660,96;2048,55;1298,48;1172,10;3417,57;2527,88;3727,62;1051,44;596,31;19899,09;34854,64;1396,96;4368,48;6565,67;3658,18;4724,66;4188,26;1422,92;478,15;5295,13;9402,18;8694,27;28267,49;3444,68;6507,43;1219,73;3661,78;5603,10;10966,93;2406,58;237,27;3104,19;182,85;-;-;8195,19;-;783905,87
"170650 Darcinópolis";-;-;-;-;-;-;-;-;2002,97;19375,34;12174,71;23427,23;24236,28;31606,52;27765,21;23741,80;29317,65;30299,07;21796,70;25885,10;50969,54;22113,33;12743,09;14377,45;21765,68;36209,15;21216,12;23558,57;13309,68;27300,89;36154,39;37945,27;29965,43;20140,83;21447,86;39609,99;19879,56;38080,46;10265,93;20080,57;17358,32;15310,15;19648,03;41283,66;21327,92;11509,09;29133,27;41052,41;75749,86;16595,74;12954,02;32138,53;38599,40;11683,96;19381,38;22836,00;16120,67;16510,77;23553,83;18496,82;21218,60;18178,76;15064,61;46754,75;18782,90;27055,47;14927,47;38118,16;15534,47;37381,93;13973,25;24832,77;17870,25;39110,43;31692,67;43225,39;21274,59;24172,18;64736,55;29898,43;19604,30;37408,11;22574,26;29990,92;45856,42;17459,02;47067,50;24762,11;37094,99;52228,92;62410,71;26756,83;29819,94;18177,86;14074,23;15041,61;12764,87;24597,57;13570,83;18827,76;37498,86;35778,65;18604,22;33550,19;20320,28;21333,64;14238,06;16327,59;18731,57;27740,26;34235,71;26712,26;31490,74;28664,55;18731,79;15728,04;24495,38;13167,54;23498,26;21071,21;25173,64;50845,57;21076,25;31168,12;34186,79;46631,93;18823,37;12791,44;41022,51;18140,94;44132,92;15417,91;21990,75;44076,53;25374,16;28906,52;23997,90;22806,85;35156,60;44027,91;31756,50;32896,15;17026,51;33215,29;25209,04;31560,27;27479,65;38684,10;15321,88;27257,07;14621,83;35710,98;16698,55;35357,54;37217,19;16640,99;10767,84;47310,08;53492,48;88037,50;17153,39;16973,49;10783,86;1128,88;-;-;-;4193867,06
"170700 Dianópolis";-;-;-;-;-;-;2413,99;19605,41;58482,70;66550,46;83864,34;60223,20;79078,00;76085,84;84515,86;46360,30;67163,80;55446,31;66185,89;48420,33;63118,97;58357,54;62831,20;80832,10;65965,67;89058,49;74688,86;81179,41;88663,95;61281,22;58570,44;91708,05;93480,81;64690,21;60890,40;87386,11;121897,67;72356,17;100925,36;76813,08;87765,94;90213,86;97915,84;99608,90;86929,92;106092,76;86462,24;113394,07;109688,86;131246,59;92660,19;134631,24;125110,46;142618,55;170909,85;136064,94;106389,71;83551,47;81039,07;83040,98;127537,76;141230,61;103294,76;62073,84;88750,19;96203,56;93444,04;80461,69;48762,45;78456,04;73502,96;89612,17;61061,12;79541,14;72400,44;83833,37;96978,54;76544,92;78349,41;83285,76;90834,95;80907,01;64192,70;122056,16;66833,19;94118,26;130892,24;84421,02;85277,17;102957,54;98929,43;55126,26;120992,11;68302,10;75063,21;42827,68;63031,36;104612,26;44537,61;75158,91;46895,87;83117,37;32995,85;45490,00;40982,35;82968,00;86658,68;95173,70;80373,61;179086,65;85288,57;40957,18;80633,00;117925,52;71916,32;51503,52;75239,01;78061,05;81407,56;92478,21;55402,76;95385,78;73290,33;82515,59;54290,92;69345,46;79693,50;46238,80;49939,40;33741,70;48045,37;20433,17;28781,17;33797,31;75712,11;34603,89;48507,10;25322,79;76004,35;60793,04;45551,52;60071,45;39450,81;52227,26;79262,18;93033,33;99150,63;55042,16;99535,90;72250,74;61072,15;123290,89;44713,89;86151,47;105949,45;75830,28;63962,73;66005,88;251892,21;54687,36;31504,28;22978,24;10102,39;1281,26;3472,92;-;2902,17;12263193,63
"170710 Divinópolis do Tocantins";-;-;-;-;-;-;3517,87;22675,47;13461,32;13543,88;15106,63;15220,64;58536,63;23263,66;22772,44;17316,97;17277,83;15336,44;21235,66;12525,99;18170,77;18100,34;20205,52;35246,58;22299,02;14918,23;26281,08;28759,06;19856,99;24300,92;23599,58;36976,46;17268,42;24456,94;25142,16;39912,27;49758,42;24030,38;38206,49;30656,12;36728,83;29391,11;35339,90;29507,94;33036,75;24407,79;26397,34;60922,64;26223,25;34721,94;42141,90;17146,84;24677,22;32648,28;33062,66;31685,80;33076,65;29099,28;44781,98;34370,25;51584,76;58281,33;39480,73;36600,43;52428,86;33597,20;44005,09;33421,75;47733,79;20541,27;26670,99;31251,97;34230,14;40730,14;20686,90;39558,58;27138,78;19021,72;23107,17;29177,93;26881,75;42649,83;31235,53;25742,40;27968,16;40590,04;20926,39;32335,65;29712,79;42950,48;31873,40;29316,01;44993,13;20989,79;74297,24;78268,31;35054,71;20841,15;29816,87;34704,85;22052,82;22742,79;31184,01;59329,17;23623,92;40073,94;29638,86;24050,61;11799,66;12912,54;20493,84;19613,25;28036,44;15177,17;19060,46;18517,73;27080,32;23875,22;18623,62;11287,18;38789,70;22667,05;9927,05;6800,17;11860,33;25523,07;34168,47;9964,22;23308,11;9673,42;6445,15;26572,84;12904,36;17594,99;24112,21;5348,05;13902,73;15204,49;13597,67;24703,19;26423,78;17462,01;21993,38;14235,41;17684,31;30077,27;48506,44;37461,52;30277,36;144643,55;42431,93;36079,88;43193,27;50631,84;45527,09;26792,28;40574,71;29203,65;28860,14;26967,88;18749,67;14228,40;4648,87;1809,57;656,54;7830,32;7407,46;4546302,89
"170720 Dois Irmãos do Tocantins";-;-;-;-;-;-;-;8189,42;14696,79;28663,80;12677,02;11569,59;30676,95;8885,56;14797,03;9550,52;22394,50;15658,59;26238,53;13516,64;23732,90;18356,15;15803,84;24964,13;5828,34;8842,60;11481,78;15288,64;32624,56;19483,38;14535,03;22752,00;27301,79;14411,21;34393,71;18060,34;15518,08;22934,89;6987,71;13710,84;12607,43;15946,90;21525,53;26618,48;10019,29;12434,26;17377,78;33007,22;25007,89;38966,81;14061,02;10037,49;30946,92;15524,65;30312,67;27225,97;17855,91;15541,60;22645,68;44877,22;29026,09;18471,73;35020,99;27135,14;22398,07;39423,05;23857,81;15219,02;10547,37;10205,46;20931,44;37631,56;25846,96;33707,07;21526,94;11923,47;25553,49;20262,28;19163,06;28154,40;12752,38;19176,90;24250,24;7013,93;27131,31;19654,95;16689,75;18620,55;24137,50;45149,66;15673,61;14332,66;17066,96;25739,82;22202,90;16337,72;4867,75;6490,86;19704,77;9058,54;12172,00;14897,42;22542,37;26979,57;9340,82;19951,06;48223,78;52296,80;14702,49;22618,83;29527,84;18973,04;13338,61;27754,78;22121,76;24846,09;23186,49;42310,59;37515,14;16856,84;9476,30;24409,07;24161,53;8986,03;39736,50;7859,47;13391,35;6446,76;6327,57;16496,60;14917,97;6553,62;18835,13;2581,83;4468,53;15797,15;5297,23;4510,62;17066,06;13330,31;27894,88;52152,07;19450,03;30603,24;43825,77;15296,86;29993,20;16011,33;19362,80;11901,40;33269,88;17135,65;12064,77;32026,75;16409,34;11319,87;14461,48;8860,97;13515,15;12333,45;9344,09;14705,59;9148,36;-;1594,23;1113,95;-;3103726,80
