"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210005 Açailândia";-;-;2;-;-;-;2;-;-;-;-;-;4
"210010 Afonso Cunha";-;-;-;-;-;1;-;-;-;-;-;-;1
"210030 Aldeias Altas";-;-;7;10;2;-;-;-;-;-;-;-;19
"210043 Alto Alegre do Maranhão";-;-;-;-;-;-;-;1;-;-;-;-;1
"210047 Alto Alegre do Pindaré";-;-;-;5;1;-;1;-;-;-;4;2;13
"210050 Alto Parnaíba";-;-;11;3;2;6;2;2;-;-;-;-;26
"210060 Amarante do Maranhão";3;46;27;2;5;2;-;-;-;-;-;-;85
"210080 Anapurus";-;8;11;4;12;12;1;-;-;-;-;-;48
"210090 Araioses";20;11;10;-;1;1;1;1;1;-;-;-;46
"210095 Arame";-;1;3;1;2;-;1;-;-;-;-;-;8
"210120 Bacabal";5;8;24;4;3;1;-;1;-;-;-;-;46
"210125 Bacabeira";-;3;3;-;-;-;-;2;-;-;-;-;8
"210140 Balsas";13;389;307;222;150;29;9;1;1;1;2;1;1125
"210150 Barão de Grajaú";-;-;5;-;5;-;-;-;-;-;-;-;10
"210160 Barra do Corda";203;561;454;216;135;49;50;91;69;64;78;106;2076
"210180 Benedito Leite";2;-;-;-;-;1;-;-;-;-;-;-;3
"210190 Bequimão";1;6;23;21;17;10;1;1;1;-;-;-;81
"210200 Bom Jardim";6;7;2;4;1;1;-;-;-;-;-;-;21
"210207 Bom Lugar";-;-;3;-;-;-;-;-;-;-;-;-;3
"210210 Brejo";-;-;11;2;-;-;-;-;-;-;-;-;13
"210215 Brejo de Areia";-;-;-;1;1;1;-;-;-;-;-;-;3
"210220 Buriti";-;-;-;-;2;-;-;-;-;-;-;-;2
"210230 Buriti Bravo";-;-;-;-;-;-;-;-;1;-;-;-;1
"210235 Buritirana";-;-;3;-;-;1;-;-;-;-;-;-;4
"210255 Campestre do Maranhão";42;108;1;1;2;-;-;-;-;-;1;-;155
"210280 Carolina";-;7;7;4;2;1;1;1;1;-;-;-;24
"210300 Caxias";-;-;2;22;156;125;9;2;1;3;-;-;320
