 Morbidade Hospitalar do SUS - por local de residência - Amapá
Valor total por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"160053 Porto Grande";-;-;-;3651,29;7142,57;2848,34;6112,80;5961,17;18738,24;17346,32;19050,25;40058,19;25443,57;25440,15;32828,75;39887,90;27026,43;27320,14;41881,66;29962,44;25936,15;18523,46;64870,17;21849,96;17837,23;27484,38;20722,25;23881,90;54476,83;22127,46;36816,57;35905,67;19054,24;23137,56;22413,95;80618,11;26535,04;24525,64;41128,91;18332,85;26650,40;25415,42;28487,90;32508,49;39829,75;38485,93;31033,80;87547,72;40596,04;36043,48;24762,28;33994,95;32238,70;36192,16;23939,38;32283,74;29193,62;25671,64;38059,34;31694,92;31739,02;32574,13;30504,55;34949,51;44142,61;28594,85;24325,94;18240,53;23085,86;22240,85;41701,92;39731,70;25172,49;34783,62;38214,00;39355,94;28376,34;32967,58;38582,64;34294,76;55185,02;36873,58;37624,13;41006,44;43388,15;49954,03;53188,84;44070,95;40198,92;38891,80;38288,78;44669,48;43740,36;89385,58;52794,47;46378,44;43204,03;47008,16;66502,41;63916,46;25032,74;20111,87;29434,94;9791,41;20505,77;47203,43;30307,67;37689,84;23239,90;30332,35;40311,25;27762,12;19835,77;25516,88;18835,24;14830,26;29929,14;25795,40;41642,82;36085,94;20253,36;44293,15;23869,44;23987,98;26531,08;33399,97;25926,93;30686,83;24061,36;26800,94;29135,91;78321,01;29426,11;33388,00;27153,31;33037,09;26966,48;48435,14;20792,73;60829,87;35991,82;38366,16;31464,68;34974,19;29766,57;39976,57;30840,67;31988,76;36843,26;35459,08;60923,56;28213,96;36072,75;40310,57;32029,78;42964,44;27310,97;77043,22;36760,29;35173,34;45610,16;40612,49;32217,20;26494,46;7339,72;3729,16;5451326,33
"160055 Pracuúba";-;-;-;-;-;-;-;815,47;2884,83;1213,16;1206,43;2506,17;1463,36;2070,37;1453,05;4178,70;2031,21;2134,24;474,94;1621,28;-;1140,86;2216,53;1711,40;3870,09;8765,15;10486,33;2451,44;1926,39;2289,10;1513,94;776,85;1092,56;1343,61;952,60;914,59;1402,15;2249,38;-;2772,74;173,82;1033,77;1102,84;1382,01;1957,23;-;1188,88;-;1555,51;179,62;1160,10;966,35;2338,89;911,96;3077,10;-;546,28;494,47;5021,21;2013,92;461,40;560,48;2917,34;1340,43;3798,11;3184,26;900,46;1360,43;14064,45;8784,78;4903,27;1530,37;1999,28;1945,64;2676,79;3168,88;2269,50;2283,86;2253,28;1519,71;3077,61;4191,61;4335,26;2137,59;1669,49;1243,39;1340,94;3589,87;980,00;5190,83;9409,56;3060,35;11901,26;2498,19;4385,10;2518,56;2744,12;2715,01;3502,04;2511,66;3425,77;3738,10;2380,85;7035,09;2329,88;2581,55;696,08;3862,66;1368,84;-;5418,44;3184,04;2480,60;2332,09;1504,77;8076,36;1600,59;4431,63;7021,38;7524,72;5083,01;2539,77;4152,62;9660,59;2881,70;5141,71;3014,29;5840,90;3380,05;2978,84;1681,91;7382,49;4309,52;4827,10;4548,12;2337,75;5296,15;7879,83;5636,37;9593,14;7569,73;5427,46;12342,21;2386,58;6030,96;3325,46;5560,35;3652,13;3267,10;1750,17;4517,75;2931,26;6570,28;982,24;6491,57;3016,63;2555,14;28287,29;5524,40;4310,17;1830,47;13639,75;14589,16;7737,31;2368,88;1110,13;558891,92
"160060 Santana";-;-;580,19;3103,97;12939,58;22990,05;41597,91;223980,72;197603,58;221094,95;194032,64;203639,50;240686,75;264404,04;273491,50;313532,68;306098,57;302778,44;315248,75;283508,90;292090,20;262698,33;263153,72;300158,96;278196,28;288298,85;252459,08;447201,31;244323,76;289394,80;257675,76;236541,53;236229,16;214270,96;288247,86;299632,95;286130,01;271768,46;297194,45;279755,79;274356,03;243029,70;250489,96;247816,03;321633,02;253857,77;321415,37;309653,72;307842,71;257890,01;237409,02;276184,95;262046,56;298609,38;269560,81;272980,18;248213,36;318139,47;243063,64;264727,13;300487,08;232987,33;242314,85;358210,67;303000,51;265887,02;284524,71;219366,08;325127,54;242935,45;294167,66;461532,69;292472,11;326257,28;352242,01;327097,31;282579,17;454825,54;269121,33;354226,49;365540,70;258852,07;369794,99;314339,63;353701,81;291501,75;324117,91;303864,07;344312,81;351374,16;238354,12;220806,40;250798,06;233272,11;263841,30;285458,42;279443,11;274628,48;319877,10;362821,38;334432,81;287987,40;219699,80;228708,83;219242,62;268112,07;333631,04;408994,60;336344,45;408683,58;289011,62;330223,17;338361,34;267220,66;283875,58;324783,88;344093,45;224647,18;259609,63;301202,94;399432,13;371322,85;314088,52;356633,83;295721,08;309799,40;339451,00;352628,32;325817,20;302006,32;271070,49;306524,36;399306,92;431878,64;379077,67;356517,49;341207,75;394079,43;311098,99;327427,62;390938,70;481386,54;402680,94;606507,49;397194,82;419296,50;293395,76;339427,66;300418,40;297767,58;321539,76;277988,47;328126,34;353391,22;370623,20;247954,94;415299,63;439714,34;263808,94;398969,28;244447,03;321113,30;344360,46;218068,95;142436,19;38187,68;48230717,75
"160005 Serra do Navio";-;-;-;-;554,69;380,18;2158,50;3240,44;9605,70;5140,86;5309,16;3403,91;7989,89;2286,86;7628,39;5910,71;5004,05;4326,03;4850,98;10723,56;3438,36;4692,85;7340,45;29072,30;3549,37;3813,67;2391,72;3744,09;9339,50;4313,84;3894,50;6982,72;2472,00;4200,52;571,30;4294,03;1793,69;5237,33;2267,55;18097,74;2874,09;4620,89;2031,68;4798,75;2510,81;2802,44;4674,29;5431,34;555,92;4708,39;2837,89;2872,65;3016,72;7682,60;3640,06;4524,43;6210,52;3407,62;5187,09;4619,25;5401,36;3883,82;4080,51;2793,51;2778,34;6112,95;3474,52;3798,40;24038,67;2324,54;2870,98;3435,82;2693,00;4089,32;5151,37;6250,62;61897,40;19137,30;3439,20;3819,14;13960,12;3375,56;4359,60;3290,14;4145,30;5064,58;3582,59;4326,29;3593,15;3367,11;6434,77;2033,06;3539,63;4708,46;2639,04;13945,94;2627,02;13208,51;5087,21;3726,16;1334,64;3986,97;2798,02;2353,86;6166,22;5762,81;9402,24;1572,96;1763,12;7376,90;5504,40;2565,15;2957,02;2897,48;4863,49;5545,51;3701,92;1071,71;788,69;3915,46;2451,05;2788,60;3696,18;1740,62;3606,24;5040,35;37690,44;4840,86;4334,75;2229,88;5574,26;9887,09;4673,50;4224,14;12665,24;11567,94;11100,59;10881,30;6822,75;13220,56;3287,99;10047,36;3838,39;3756,37;6115,44;7335,42;8351,02;9187,54;3547,80;6155,84;5808,68;1740,24;7591,29;4810,71;3076,68;2527,48;8044,65;7583,09;9273,32;9767,90;2590,21;10521,72;6295,46;3931,23;3073,34;493,54;941631,50
"160070 Tartarugalzinho";-;-;-;-;2090,76;208,27;2201,42;3559,19;11743,73;7268,88;2609,07;7784,96;7442,48;6551,90;5826,09;3282,81;11408,05;15548,22;6048,99;26474,29;4420,05;7939,25;5805,65;5786,26;9642,01;9376,17;11146,72;5944,31;10071,91;7268,07;19852,39;9061,17;9366,60;9371,17;9131,31;6890,44;6841,30;18368,30;8777,52;3703,70;3114,76;5539,36;5615,02;4683,20;4279,08;7469,64;5373,97;4623,73;7978,45;9230,69;7171,99;10829,08;6985,63;18786,85;9527,66;3527,13;8451,84;14618,18;11786,42;8802,59;5779,36;12488,40;9394,59;8280,70;63861,75;12717,91;12510,39;6111,29;23933,20;17255,29;19164,37;9202,69;10177,81;7218,72;25169,28;27589,85;14029,55;21427,99;11192,18;9188,78;19326,07;15140,58;8537,84;8613,23;4855,74;12225,53;11681,06;10893,57;10967,63;7350,60;8018,16;6152,63;11865,00;21673,21;21237,76;10012,46;7677,49;19681,82;15953,01;9883,68;17133,73;12762,02;9257,80;6408,46;11797,80;6784,40;6506,62;10784,33;21805,99;15944,28;7248,33;10240,83;12036,41;14644,06;32616,19;23985,57;14975,09;23525,35;8812,44;6228,87;7481,24;10312,13;15095,78;16336,19;14608,76;12974,13;12760,36;10028,89;11547,21;23573,08;12971,62;17629,76;10476,11;9305,91;42436,77;18681,83;26002,75;11700,15;15189,44;14879,24;14518,81;17962,22;32383,48;15220,36;21671,62;74377,30;14859,35;18250,73;19342,05;15100,86;8308,97;6170,78;29252,89;8523,22;16862,40;25903,67;13862,13;20562,95;29360,96;22983,78;14425,44;20724,11;43847,34;20695,21;8200,58;4370,84;2150881,82
"160080 Vitória do Jari";-;-;-;-;406,85;298,02;1824,37;16198,56;23463,84;15354,02;21717,47;21848,32;22618,39;29371,85;10822,20;13299,74;22125,48;19967,47;30210,52;31406,50;22169,47;9287,17;20776,82;9607,33;21221,86;11261,71;14389,11;8031,61;8030,92;8815,84;10556,95;8749,97;14140,26;11145,70;19095,72;15671,71;16790,86;10880,22;31358,48;22705,71;17903,60;19129,89;10001,88;11349,00;17073,59;11188,39;16335,88;13978,86;15249,62;7060,13;11538,80;13316,88;9087,36;22154,18;11472,80;10829,21;14557,61;15035,78;18197,59;15306,65;18110,13;14685,86;20227,78;14902,21;17891,01;14561,00;12566,74;11396,32;18112,57;19798,26;16984,90;24525,15;17489,68;14554,34;16977,81;18163,21;25224,14;36767,61;18824,95;17919,84;19142,74;22405,49;13367,00;16906,85;18967,55;28752,80;16203,17;19081,14;20925,72;15993,92;13566,66;19053,18;15485,07;15172,43;16412,30;25674,01;22211,73;17799,07;20036,56;18089,86;19306,54;15344,38;18741,27;15441,01;11751,99;18935,28;19420,82;14472,84;17655,89;18569,10;17646,24;20491,58;14868,46;13099,87;11700,07;14058,91;13177,88;26921,38;31873,54;17464,77;25004,17;28885,86;25007,28;29182,19;23825,70;29656,70;27412,31;25346,55;29111,67;18706,46;18950,35;28040,21;28909,85;26882,99;26432,42;31514,17;35851,21;22020,37;21505,78;21297,81;18011,32;32726,52;30704,21;52150,76;42604,77;34906,78;20402,53;29814,76;27188,77;30139,86;24060,71;18881,91;39374,21;19733,44;17586,00;15080,98;40907,62;47727,15;20714,33;28705,98;25436,76;32896,33;28629,49;29001,49;26807,13;29477,82;3239476,98
"Total";1647,39;7754,72;10124,14;35302,14;102629,83;115162,95;225981,38;846749,27;1341970,19;1352226,64;1226800,15;1490957,42;1450614,72;1541659,31;1378202,02;1587822,23;1627586,95;1642568,65;1687871,92;1632689,99;1721233,19;1646584,70;1819443,06;1900080,01;1919393,91;1757538,33;1743530,79;2017257,81;1820355,24;1796155,19;1646235,00;1525099,89;1694372,66;1474073,12;1926641,42;1833046,05;1732074,26;1858345,32;1852366,47;1922620,13;1778333,81;1738377,94;1648161,94;1554757,25;1857116,62;1717578,35;2016291,90;2086757,91;2001292,19;1666548,97;1703088,50;1891804,30;1812333,29;1978380,61;1860427,31;1575050,94;1846047,96;1843492,25;1886261,34;1926745,64;2104020,96;1903189,14;2042368,88;2236016,25;2024523,02;2133026,56;1930328,79;1786804,86;2117848,42;1916470,91;2113485,08;2296170,83;2119070,81;2179643,84;2170770,81;1997214,26;2044443,05;2499938,12;1955621,03;1848102,50;2206039,32;1820400,01;2006773,99;2121566,68;2054386,96;2130032,95;1971594,95;1981790,87;2018467,83;2043169,82;1551873,57;1538551,45;1688022,54;1668778,03;1957223,70;1909128,07;1910984,58;2080821,70;2029645,79;2075933,59;2068250,33;1998398,84;1768406,64;1583283,51;1625476,46;1856485,32;1895413,70;2011818,42;2281755,08;2095298,65;2123066,04;1912652,17;1993194,58;1805508,69;1754564,94;1907832,21;1974497,56;1738144,86;2219240,70;1858875,62;2183223,68;2170876,53;2095893,84;2099857,11;2041940,82;1986267,33;2075306,34;1793583,63;2019413,39;2056558,00;1944113,42;2156907,58;2198041,86;2373540,01;2325649,08;2506828,69;2526877,72;2996478,59;2444713,40;2406949,63;2521775,73;2765221,14;2833683,88;2853100,60;2264029,39;2618503,45;2466578,43;2179049,43;2566205,60;2679426,29;2553011,12;2307798,51;2501367,07;2364951,50;2294779,12;1814173,15;2792217,90;2715455,77;2466942,16;2670368,94;2602370,24;2751007,50;2937261,82;2766372,60;1409885,02;623405,07;317679988,50
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
