"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"120001 Acrelândia";80;160;147;55;15;9;4;-;-;1;1;-;472
"120005 Assis Brasil";50;30;20;6;3;-;-;-;-;-;-;2;111
"120010 Brasiléia";37;21;11;1;-;-;-;-;-;-;-;4;74
"120013 Bujari";1;1;1;2;2;1;-;-;1;-;1;-;10
"120017 Capixaba";8;2;3;5;3;2;-;2;1;3;16;2;47
"120020 Cruzeiro do Sul";9;7;2;2;-;-;2;2;1;1;1;1;28
"120025 Epitaciolândia";30;20;3;2;-;-;2;-;-;-;1;4;62
"120030 Feijó";2;1;-;1;2;-;-;-;-;1;-;-;7
"120032 Jordão";-;-;1;-;-;-;-;-;-;-;-;-;1
"120033 Mâncio Lima";-;-;-;-;-;-;-;-;-;-;-;1;1
"120034 Manoel Urbano";-;-;1;-;-;-;-;-;-;-;-;-;1
"120038 Plácido de Castro";91;41;18;1;2;-;3;1;1;-;-;5;163
"120080 Porto Acre";5;7;1;-;2;1;-;1;-;-;2;2;21
"120040 Rio Branco";454;288;177;76;46;31;30;9;10;8;38;68;1235
"120043 Santa Rosa do Purus";-;1;-;-;-;-;-;-;-;-;1;-;2
"120050 Sena Madureira";7;2;16;-;-;6;5;2;5;10;24;-;77
"120045 Senador Guiomard";10;6;-;1;-;-;-;-;-;-;-;1;18
"120060 Tarauacá";3;2;-;-;-;2;-;-;-;-;-;-;7
"120070 Xapuri";12;10;11;3;13;26;19;-;3;-;3;17;117
"Total";799;599;412;155;88;78;65;17;22;24;88;107;2454
