"Município";"2016/Ago";"2016/Nov";"2017/Mai";"2018/Jan";"2018/Fev";"2018/Dez";"2019/Jan";"2020/Jun";"2020/Set";"Total"
"170130 Aragominas";-;-;-;-;-;1;-;-;-;1
"170210 Araguaína";-;-;1;-;-;-;1;-;-;2
"170550 Colinas do Tocantins";1;-;-;-;-;-;-;-;-;1
"170950 Gurupi";-;1;-;-;-;-;-;-;-;1
"172100 Palmas";-;-;-;1;1;-;-;1;1;4
"Total";1;1;1;1;1;1;1;1;1;9
