 Morbidade Hospitalar do SUS - por local de residência - Pará
Valor total por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2000/Fev";"2006/Fev";"2007/Jan";"2007/Fev";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"150200 Cachoeira do Arari";-;-;-;-;-;-;-;-;-;1265,41;5701,86;27663,46;39349,48;47532,63;56602,87;49196,75;54327,09;53526,13;32955,30;46940,46;45156,76;43403,91;40443,05;37384,75;36809,49;37122,54;65299,96;40298,85;38800,44;64218,61;38525,66;44611,24;52729,11;46694,38;59234,91;27663,67;48645,28;49457,20;54724,26;55320,00;63989,91;50176,91;54455,51;54936,57;74464,04;74634,43;63749,90;52841,94;44773,91;54582,52;48188,50;42325,86;95381,04;72145,64;54709,42;79667,17;71939,79;55019,31;68982,86;59336,33;74296,84;74344,57;68490,48;62467,24;70272,21;55635,73;51184,16;59025,95;78569,23;70937,99;47688,11;36966,06;59566,19;56378,17;64845,46;77504,08;56665,23;48303,58;69369,39;51470,71;49868,58;54926,26;47494,35;58744,07;33085,32;39405,36;52188,22;57691,75;49844,14;52837,61;47372,03;43244,50;72246,23;21326,11;38595,73;38018,31;31682,08;27122,42;37744,72;52685,49;58254,17;50533,61;50346,72;89812,27;63122,43;72888,79;60284,55;69192,79;103586,54;58373,68;83536,94;52716,85;67070,64;37441,02;86382,90;83265,64;168911,40;64476,07;39477,97;42878,74;49361,97;70154,27;117911,05;58743,74;59988,39;43447,61;70377,92;68448,54;51824,03;47526,13;75463,24;49138,05;70214,70;41804,54;51286,56;58734,88;48426,55;73502,67;46435,86;78270,68;93802,10;77776,98;74852,27;98052,09;53694,71;49269,75;42496,82;73641,62;53157,96;47672,76;67096,63;73372,64;64668,51;58787,98;54379,76;67347,64;74360,88;34700,13;81771,37;50262,08;46416,80;98959,04;50002,18;68417,57;82096,87;68383,63;70073,04;70935,48;62509,76;40399,75;9300985,63
"150195 Cachoeira do Piriá";-;-;-;-;-;-;-;-;-;12056,23;14172,98;34375,65;45404,73;40830,05;34720,65;43033,91;51814,84;26739,35;46389,26;27986,94;97120,60;40343,45;24658,24;32357,45;34456,10;35613,62;45959,32;23460,95;48974,66;39713,01;35959,70;38779,01;35846,87;25970,98;39125,14;50558,71;28387,20;35610,54;38433,30;78739,37;59062,75;67905,35;38042,54;30205,00;40061,39;53815,32;36983,40;35288,56;33847,66;31010,29;42355,94;27049,83;42671,84;68052,83;32981,87;41824,06;35992,74;56493,57;27690,46;26146,67;35628,67;36669,47;53445,94;25982,49;53226,82;41386,13;51410,65;34166,49;25041,77;30887,03;44963,96;36601,99;31638,14;27878,13;31317,70;35192,94;48317,31;45122,18;20203,78;52290,82;36812,27;44949,22;51140,35;36221,84;44970,18;39255,81;43202,42;34028,56;35378,44;32034,37;40491,05;38429,93;43982,50;51406,57;45942,56;45867,47;56788,57;42338,85;66834,07;42414,01;41451,05;44625,56;46368,27;53082,56;46342,42;34851,62;33147,36;46462,63;34301,02;33684,25;44850,25;58138,74;39314,88;37354,37;53155,52;57091,10;58801,87;41614,75;52606,87;71126,35;59799,09;30048,24;41967,93;35515,20;55693,71;61700,94;99883,12;73410,49;94296,97;53541,01;27289,06;48019,29;68787,19;64052,19;50610,56;54382,12;42826,06;30679,36;41191,34;51716,49;76755,00;69330,28;45262,91;51449,85;90739,74;104059,96;94774,07;43606,86;45724,06;56558,21;102767,31;96272,92;51554,67;80536,72;84305,83;76113,67;79590,75;71892,67;66823,46;52063,60;32263,05;89992,04;95022,56;92471,03;81799,43;97577,32;77972,26;79584,90;70666,05;21050,47;7861299,78
"150210 Cametá";-;-;-;-;-;-;-;554,69;1104,60;6179,48;41118,59;126691,12;237603,69;319451,89;306749,47;366205,95;321319,26;311281,94;296675,98;315581,02;387499,76;272807,74;285500,20;310997,18;299741,80;295574,46;343982,97;294259,01;260297,75;284670,89;251491,92;308859,63;338443,05;330003,53;308380,39;301783,40;306296,35;293397,46;315153,30;290894,22;350859,63;310344,92;333447,85;313282,49;300705,08;139248,43;294009,36;300232,80;333045,39;303977,29;390254,54;330558,56;311271,34;360485,11;310600,70;360879,75;357758,70;366217,95;274280,91;327011,52;250770,24;153219,07;281359,09;366826,28;397313,58;303735,15;382546,09;389474,07;353784,43;223228,23;345899,17;324903,78;286890,84;271576,90;433990,41;483752,92;462488,95;472161,07;319488,37;340082,03;361378,75;340212,21;339606,65;542101,16;307455,81;286788,30;380658,86;466527,38;382135,53;422249,63;438240,37;450255,55;411110,52;342888,22;390032,08;395063,67;453669,88;264037,43;355135,16;422644,53;373646,73;328414,91;350862,74;344237,39;360198,28;396317,57;346661,22;361220,50;403082,14;409323,69;391023,36;399199,34;423788,69;428378,30;367449,22;437376,28;466474,03;454555,92;392854,41;414084,88;532842,89;423540,92;445329,11;439070,54;388520,45;462670,02;467272,55;468466,02;485625,79;544912,90;485280,81;364240,42;431527,76;441066,59;433847,56;460579,17;538517,00;495693,57;462494,41;534363,00;546189,23;500151,40;485320,74;514500,70;536917,89;454010,18;426607,89;361927,89;440203,46;345516,62;468420,08;505881,22;559015,71;487334,56;414541,38;611739,60;455546,17;362482,65;334903,75;331008,43;377849,21;424886,52;545632,26;473623,73;463054,23;611360,41;466767,92;280776,59;156778,89;65612,64;59858280,40
"150215 Canaã dos Carajás";-;-;-;126,74;-;-;-;-;-;-;6111,54;47651,87;24259,46;39773,35;33555,20;44779,43;34652,00;34348,28;16538,01;32946,86;26026,31;12507,78;25834,71;18841,54;28639,07;18532,89;32367,96;48398,08;67485,74;57488,28;63510,42;59466,98;59969,92;48764,69;44315,84;136066,76;79213,16;44632,47;60861,58;84961,08;83695,59;71250,62;60597,97;40738,60;71038,95;39426,73;69272,41;51303,79;60739,75;30802,75;43230,13;47789,61;36538,00;65489,26;57184,96;47851,59;45266,39;56925,99;64111,19;34995,85;70672,69;37220,80;123637,05;67082,31;35549,42;42442,43;32710,69;51529,67;37336,50;77277,67;57736,34;64814,48;48685,48;43674,33;62951,08;65350,48;49900,68;62218,60;52127,06;92102,19;115451,86;113395,10;141531,67;99997,52;79827,56;74596,01;63914,34;121635,27;82798,68;121545,15;101746,25;100222,69;121706,46;61921,00;73535,95;90283,60;98369,85;74175,66;89605,92;133142,71;116437,00;109566,66;128505,40;95085,35;90621,58;115808,97;97643,31;82512,38;121004,84;117319,55;137263,86;123108,05;134066,43;118486,32;121285,91;137214,54;143418,14;127018,77;108808,40;111966,59;132935,83;121630,05;146462,14;145570,80;125103,90;135522,27;137886,31;116358,68;95103,57;88479,23;136583,46;103608,26;139015,17;146122,30;171773,09;177165,62;109990,10;118517,67;180732,03;174139,90;199587,28;168993,45;128479,59;165564,92;154808,82;147696,95;130128,33;115604,47;129765,77;105254,25;121778,36;173962,43;153574,86;167500,09;132163,56;162446,70;110718,84;164765,39;236744,09;140658,65;162651,58;310371,31;285675,65;224382,32;206423,57;155560,32;120057,71;114398,30;52311,45;30199,75;15257372,52
"150220 Capanema";-;-;-;-;-;-;-;-;1578,46;29330,19;133751,13;134590,93;241103,68;232444,01;269703,75;273929,22;287424,59;269634,50;260153,42;217992,12;260492,13;236723,25;224027,09;255372,61;307159,42;210963,51;275370,10;281433,01;269913,45;307785,56;279179,95;298511,67;282647,99;313592,82;342075,27;280578,05;228800,68;171368,33;221107,33;242494,98;299271,26;311116,62;300796,92;270204,72;280527,20;305398,60;283527,73;278101,94;267744,21;395239,26;347460,70;325839,41;332193,62;340433,28;375028,52;324739,02;223558,46;404008,61;327029,04;320144,14;326813,42;403744,20;316851,98;335952,12;321703,00;368695,04;341126,66;342268,42;302630,39;262419,57;267901,38;275614,17;335550,22;300739,24;332678,80;421585,53;420696,25;304835,15;306939,81;303381,45;343308,94;360395,95;315360,69;269148,45;339214,69;332471,70;261240,31;317831,77;346018,60;391724,20;324651,07;336245,19;271750,89;401632,12;341831,05;268180,75;348461,74;316019,11;412505,98;391272,32;391859,44;401914,58;385035,90;364573,14;438162,43;384077,13;372813,59;281365,25;325944,18;312458,53;374550,73;350259,01;312166,05;379997,70;323892,06;356900,44;361113,77;372169,45;274654,00;217147,28;406409,16;374511,27;406656,00;345299,57;378461,27;400398,67;400782,28;366316,89;402369,11;310891,64;362849,75;273531,94;480683,42;459430,53;383170,38;418878,41;553118,02;369064,92;388851,21;337841,01;316430,77;431474,02;418340,94;401299,26;406884,92;473205,25;421901,56;487904,00;332643,61;288919,60;492026,27;560864,84;357162,29;433824,02;411897,74;296278,11;450106,29;304326,24;400141,14;197315,42;390331,99;369243,37;396973,12;365990,65;337007,65;479926,10;368218,13;334660,66;300771,87;93524,82;53355153,54
"150230 Capitão Poço";-;-;-;-;-;-;-;366,55;1085,52;2616,83;26301,84;89007,94;203998,91;139607,66;195544,56;178895,17;232851,05;183134,31;162244,59;178022,44;185855,91;179387,36;186431,45;207398,50;214944,11;171120,78;210120,25;240401,70;231047,36;244661,81;272421,06;228570,16;211465,25;193081,80;240737,81;217808,19;193428,23;239878,74;226198,15;211726,40;192101,99;280372,97;227304,75;205349,08;209767,87;228638,39;173591,90;208402,55;258926,84;211456,97;274887,95;249634,80;233034,29;233221,74;231900,30;213852,43;217260,90;207279,53;257209,48;199620,49;198828,24;242922,25;322742,87;264995,90;278212,96;235161,70;245930,01;257161,51;283210,24;212945,71;228735,82;240637,64;238640,34;231365,18;245082,57;261953,98;296197,93;215909,02;214763,67;190015,43;200229,07;206100,31;212166,71;224532,02;237216,42;228738,28;250645,54;259348,71;273212,33;185701,48;221117,62;198099,23;352397,45;204575,30;234966,45;220350,40;254596,95;174319,64;193187,08;237702,96;224590,67;252987,46;191514,77;232018,57;190896,37;204020,46;232282,49;199276,44;202952,46;191666,31;262500,27;286016,47;267246,46;245677,54;256734,83;224334,61;227981,15;263579,63;248164,58;166556,41;298867,15;189539,91;252344,41;265221,14;317236,05;243548,72;287783,70;245585,12;260973,31;302523,20;248921,70;206311,72;321672,03;254627,80;306617,09;251633,40;197994,85;271871,04;205864,56;255089,16;261213,42;219723,47;246107,97;242941,98;290812,56;247250,43;233610,00;259356,27;235354,27;228781,37;260488,57;228542,59;301436,60;264432,25;246975,61;220056,81;300937,59;293588,42;274417,90;143687,46;193135,63;223922,58;304911,82;280530,75;231224,60;318817,22;240455,49;222868,12;217606,30;174508,42;37051715,01
"150240 Castanhal";-;-;-;-;-;-;-;1872,09;5174,79;9152,58;38731,88;255350,46;633206,11;515313,23;555767,68;619245,67;613268,92;600297,43;607682,31;603189,06;595341,85;675993,19;694350,58;629014,38;665297,93;543137,85;771495,52;652907,37;633067,75;597258,08;685210,21;711889,37;711183,31;687290,66;662985,83;669497,95;590975,78;620366,57;701315,00;654099,16;623566,14;780157,24;687186,81;721263,95;671865,08;591119,94;680464,90;646725,04;748930,92;605243,89;841193,32;909814,06;747710,94;720852,57;677464,48;736518,80;695150,50;755821,54;707075,12;711825,73;709373,26;638699,06;734660,12;580541,41;858566,93;682866,12;687224,26;734578,18;679349,88;663449,72;573708,36;678800,44;658495,94;623211,55;708368,18;698881,06;853523,50;717462,04;744708,35;730991,66;765491,86;975215,73;803720,65;722841,55;786153,20;740786,49;884626,78;785351,03;848884,40;849806,55;860305,84;924184,70;1015072,91;837581,73;957352,66;954960,38;817578,47;689391,52;1001674,15;988515,03;910677,11;857067,41;828914,79;877553,46;763632,73;860821,69;803975,33;786503,92;879430,45;679587,10;824831,95;703358,80;918537,03;772571,08;791468,18;935803,09;725928,01;736820,37;832053,52;830490,46;791026,74;626306,34;807136,90;768529,53;967678,63;773874,65;949448,30;1086200,46;930199,21;995245,84;964267,66;887980,16;944186,05;902536,74;823241,54;853048,25;990223,37;952146,22;907924,85;1035684,00;930443,26;857123,35;926026,31;829011,22;918187,20;852341,51;963039,41;821620,96;784380,72;797430,19;1121433,68;1129604,02;1056145,20;1114095,19;1066778,73;1093923,75;1078006,63;1075346,22;1070158,71;877985,27;1478704,90;1063151,04;1307561,48;1171420,98;1362423,42;1116946,27;1080772,29;1104274,84;980379,81;278906,85;128222372,50
"150250 Chaves";-;-;-;-;-;-;-;-;119,31;-;2927,36;6575,68;13182,10;11374,51;8041,31;11779,30;7280,49;12882,62;8385,16;10029,43;8599,77;8006,34;7869,39;15787,06;12955,32;13718,65;18827,31;13201,83;9758,25;5946,96;24290,63;11043,06;6697,06;6303,86;6464,55;6559,95;10673,45;9532,35;18500,91;18222,13;13593,31;9290,54;12297,71;10019,92;6913,80;11014,60;19444,12;7298,26;11448,03;8018,82;10192,88;14265,01;17917,87;13223,13;5754,94;11019,19;21921,65;10648,27;11970,93;4724,54;17386,72;5113,53;49522,87;6150,02;12668,11;5793,19;8998,20;9337,12;7031,51;14956,18;6479,98;7105,07;17575,70;10545,39;12113,92;33119,41;23274,48;8025,34;14867,27;9184,87;15264,39;8546,73;9783,67;8554,22;17234,94;23213,54;7621,98;16512,17;12052,97;3913,12;13935,76;17989,97;11949,61;30193,98;10791,51;16170,09;18594,42;13310,70;24143,90;19684,94;15027,76;22770,35;12954,15;22543,47;35290,05;10200,43;14391,46;27923,74;19557,66;19160,31;38289,25;63622,74;14428,75;21167,26;29470,58;28147,04;27082,32;10893,67;42731,27;7582,25;13384,95;7751,33;20881,60;27841,05;15180,06;35283,39;28235,29;24429,07;21725,01;19364,50;15527,62;7899,12;22595,62;19805,85;21861,69;25815,75;38279,65;18252,37;40669,99;22460,02;65840,08;25688,30;48530,30;23201,48;17196,04;13202,21;25179,74;6995,57;14476,15;40763,59;18781,67;25407,14;14590,72;13723,48;22366,13;19426,44;19829,16;31135,68;11145,03;13065,20;11565,24;8708,64;37994,12;42767,34;17114,33;48810,90;29301,16;20858,07;6520,11;3099,38;2762986,95
"150260 Colares";-;-;-;-;-;-;-;-;48,38;554,69;295,36;10564,26;10293,95;8311,59;13783,59;19835,35;9771,41;12915,54;19644,35;21321,60;23780,94;14198,76;25760,79;27210,62;38062,19;12294,95;20624,12;19673,00;35359,89;19032,63;18407,84;32732,88;11515,42;19597,74;22351,25;34169,47;31036,05;23785,01;20640,21;24242,48;25942,12;11105,85;21860,18;13529,18;12307,59;19862,12;7918,30;16555,05;20450,29;8520,72;14157,01;42577,91;14302,76;13168,99;18707,37;25924,67;11352,18;23119,11;23323,55;18767,18;23193,57;13206,12;16881,18;29030,91;17283,28;24171,83;26639,56;31760,29;17595,53;18898,68;19925,51;25533,96;12173,73;7610,29;10827,96;15703,57;29292,44;30806,57;22944,85;25907,77;25334,52;33816,62;16635,72;55936,00;35181,17;20697,53;43122,80;29896,29;20832,52;37541,70;62269,36;27922,07;46931,17;14817,99;28610,41;18904,71;58658,82;33688,53;18023,90;20064,93;48081,33;60289,85;26019,32;18912,08;31761,90;45715,36;24942,26;20688,28;21485,98;14626,82;29461,14;66539,53;58981,56;32238,88;47487,18;46977,07;23471,73;37527,35;31925,25;35722,80;30284,82;24915,81;27132,90;57988,45;30869,16;58844,41;34359,74;68684,86;44380,30;52371,42;49793,77;44134,97;62553,10;36058,56;49018,34;62745,45;42846,51;35279,87;85896,74;44865,53;29474,12;85977,82;42977,94;45794,89;49801,65;42102,85;44371,63;13094,02;17588,21;49239,35;47728,91;29444,91;52837,26;56275,90;24394,44;31695,38;37779,30;20132,80;24867,00;21583,96;55309,99;56899,55;25210,80;33417,54;41185,95;48511,04;55160,00;11380,35;14463,88;3442,87;4811567,49
"150270 Conceição do Araguaia";-;-;-;-;-;399,57;-;18892,61;24780,67;35456,81;21086,98;74896,83;163933,62;192299,47;228446,17;200585,23;203401,23;156463,47;170197,91;223056,43;232159,03;164472,16;239345,02;174960,23;228451,16;200339,20;295830,84;221709,59;257271,55;282759,89;223032,05;256168,85;263861,27;256596,63;185951,33;208960,63;277819,60;197391,03;235596,98;216114,78;192086,67;226398,28;227801,92;219907,67;193751,28;216947,19;242105,67;264690,95;290819,32;234140,62;239319,26;236224,66;219629,75;271887,41;221920,84;318437,05;249360,47;259749,32;281309,18;238440,88;280258,72;248359,00;253857,39;236802,29;250371,01;270935,77;139577,48;212832,21;299056,32;233589,78;192867,16;205398,82;289892,82;249015,18;278309,20;310873,49;261409,27;251385,71;276821,49;273245,05;199005,57;208065,41;212896,50;204374,14;216954,46;368948,41;426636,01;213909,12;475723,21;259399,58;206278,37;233568,81;213575,07;221204,28;183457,39;194028,18;281431,52;204159,03;234417,10;277074,28;234166,60;201444,71;221779,73;213847,35;200388,93;191887,60;170761,52;196515,89;208652,19;201907,37;234493,98;237689,12;298203,46;168053,74;208642,62;262945,56;241672,51;224062,63;212612,69;222693,07;217082,29;181881,55;263900,37;189408,61;187464,67;191046,98;151220,21;222383,09;144451,53;204295,60;169309,85;195969,98;233328,44;174065,30;223151,21;216517,05;227022,12;177360,90;172518,82;214340,55;182856,57;190428,22;210713,89;217724,65;263804,25;200999,27;184796,34;254720,98;220403,32;183715,96;274310,89;206943,10;184338,99;240042,40;225346,88;171614,83;255019,40;205330,10;256928,13;127550,51;236878,31;219361,95;327730,26;280225,45;246583,26;286389,02;276955,87;360553,57;189576,72;87035,49;36305600,78
"150275 Concórdia do Pará";-;-;-;-;-;-;-;-;22037,77;11959,86;19977,69;23442,84;42402,05;38319,16;33699,09;53480,05;51218,41;51062,30;50393,46;57594,91;67782,65;28729,76;39908,94;31334,63;17781,67;20398,59;81022,02;52966,67;54721,29;47913,67;39670,52;44869,00;61471,65;61448,53;41095,57;52953,09;51674,39;50217,73;60135,40;62945,40;49010,58;58056,40;83428,42;69858,31;89682,89;53507,39;73377,44;74393,43;60200,66;37086,35;74509,21;44380,86;66822,40;91998,10;64763,20;50776,12;65435,04;69540,83;41324,59;47083,34;65803,47;62473,93;62310,32;65266,50;62570,77;62976,13;53771,01;88980,66;99890,10;63557,17;78831,12;65616,45;57966,16;37722,26;37708,86;45479,60;70326,58;92949,18;69140,59;71823,17;47299,45;64652,79;86049,43;70483,84;91458,19;68415,13;79711,85;78522,51;111243,51;83170,22;104469,45;74872,84;102399,44;125368,74;130552,43;86439,12;77153,61;56169,38;107016,14;74049,42;96035,95;87560,32;87752,80;76187,62;88768,09;80434,38;115347,89;60494,56;87975,32;58316,93;102821,14;60243,99;102796,32;81008,99;144837,26;132515,54;96851,60;91958,72;99220,34;96920,74;79842,94;49019,38;97893,04;91281,63;71524,78;96270,28;120155,02;128476,64;92992,48;94969,08;110184,37;117597,10;127895,03;133275,12;127333,78;97214,72;115538,50;90871,06;107933,73;135467,79;95106,16;140391,24;120885,35;88344,80;117622,24;132718,75;122387,45;90574,05;92520,17;92294,80;142201,31;153940,92;118728,79;154863,84;168679,59;114644,52;187214,62;102390,04;73191,29;67327,42;122312,23;233174,89;194947,96;146309,42;110042,36;144317,12;120694,88;102421,68;93379,57;44552,78;13346491,05
"150276 Cumaru do Norte";-;-;436,74;-;-;-;-;-;-;-;2143,14;3867,54;6729,55;12173,72;11101,08;6150,22;17282,56;22562,01;8067,90;14991,85;18302,68;7587,10;22300,97;11766,88;14866,39;32794,45;17795,19;22025,14;29655,51;20698,90;32201,59;36999,84;28315,41;17408,08;33521,56;61566,93;29810,56;27492,70;37442,32;23554,97;23640,59;27946,62;23480,32;33631,74;24734,78;29810,09;14516,84;23271,96;33336,70;31598,43;41733,31;34325,29;30333,73;27847,07;30486,90;34679,95;46602,80;25948,79;39654,09;35210,78;23973,66;38482,34;25784,81;39868,43;23667,66;40513,46;26029,31;33681,77;24615,73;19642,17;8478,46;22836,58;30326,72;27583,27;33186,30;42615,54;35829,01;39277,48;38710,45;65873,14;31259,31;43519,10;32588,38;30352,31;21135,75;57932,31;25272,46;32482,25;18861,47;40552,92;27217,94;70109,02;54671,16;29482,44;61874,13;30819,74;17086,80;33000,31;51874,70;33686,53;28582,28;20824,58;29687,95;21936,97;25106,22;28340,94;22367,02;12254,69;32333,94;24818,98;21096,79;32129,50;20166,45;17325,80;8176,11;20638,01;33256,42;23582,82;22826,58;29703,15;32797,02;21064,41;38936,92;37086,36;73768,67;29490,33;44618,41;38940,22;33711,66;22265,48;24505,80;28094,81;31135,13;22036,39;29560,73;35600,31;50697,24;33551,49;32135,78;34864,89;48495,22;25991,29;40870,72;42511,47;31701,23;27371,35;52793,20;50279,93;39661,18;39921,92;36844,85;37714,27;44782,93;84899,28;79140,67;70059,04;59202,13;30169,58;52167,08;28835,16;31847,78;26987,56;54960,75;62384,86;32204,17;33849,14;33729,11;62835,95;38791,53;13938,08;5114118,26
"150277 Curionópolis";-;-;-;-;-;-;-;-;-;1225,87;9845,85;64391,36;74405,90;48844,44;69513,69;21973,94;66390,35;61344,83;66475,72;69808,56;58086,92;62683,61;73374,28;74185,75;98071,23;60484,80;65379,44;83866,29;90883,03;63791,94;87916,53;58638,52;63798,83;85192,52;83685,33;73074,83;104787,93;107128,08;79953,92;75669,48;64043,17;65873,36;67432,59;70872,20;66325,67;57597,53;22201,37;71617,82;86191,31;95486,46;93469,40;82397,43;89585,32;86125,69;15765,85;90854,73;73660,95;82727,73;107402,21;70056,05;73730,78;72788,07;80313,17;59655,57;90778,68;69771,44;66833,63;76857,34;91112,20;49190,24;69273,91;43917,59;65704,68;104768,77;141996,52;68900,29;57851,38;70830,15;96483,59;81254,35;72500,24;82421,71;91074,67;79622,73;69203,93;77552,66;78780,83;74201,62;59701,97;48560,86;71953,50;47771,54;70194,52;92626,66;87997,43;42123,64;75124,71;70240,50;88863,86;68429,31;83132,66;93704,53;76464,28;63679,10;66257,06;106475,59;65486,20;73366,73;79961,18;65550,98;75862,32;69255,63;95001,66;79845,59;80631,30;74530,99;60370,04;86789,86;56968,13;60106,06;40178,78;63607,89;54035,14;44295,11;59922,99;68795,23;45762,24;25770,00;42939,00;47771,40;76363,83;58814,76;39113,93;46706,61;57478,38;67269,57;54678,58;60003,84;83574,19;61812,86;72806,10;67780,16;43146,53;73427,69;68098,95;59730,95;79096,39;64202,39;63944,72;68885,87;85969,60;120666,16;65064,99;109358,19;103019,35;71801,13;74195,08;88205,62;74191,50;60798,68;177039,84;136763,80;94437,46;112299,87;67664,68;76376,42;64287,32;66052,00;12791,76;305,40;11480262,67
"150280 Curralinho";-;-;-;-;-;-;-;-;-;295,36;4330,19;36931,73;42511,43;53012,73;48013,41;62078,38;70996,35;61176,12;74076,91;52841,49;54209,24;61354,73;55077,52;49216,07;20130,20;39671,66;59176,70;54873,80;76747,63;53179,88;65775,34;65862,45;89825,48;64605,99;63160,35;50928,42;75453,21;69111,04;172434,36;99309,23;66326,36;48446,67;64026,00;103431,37;66014,22;83240,32;55871,53;70101,63;71106,92;54927,21;96421,28;67121,68;113781,64;70032,67;63683,06;99892,35;92332,76;98511,78;91056,62;84669,01;76587,95;64413,55;66422,91;87450,99;80308,40;77649,16;52848,98;18679,74;80857,57;72819,80;80594,45;64731,15;48209,53;50558,53;68091,91;73311,38;71810,28;23341,31;64911,76;64056,67;91225,02;87331,15;120482,75;102044,62;73000,66;101667,78;65460,60;90960,74;91808,42;112198,53;79237,55;110171,86;100135,96;88702,18;75577,31;66128,64;94711,30;81414,42;81917,87;77966,78;118424,68;72331,21;104781,33;89729,05;74058,33;76449,77;98694,34;90808,43;133721,66;90518,80;94847,54;85563,57;127054,50;136675,72;114763,92;90086,81;100123,15;91624,75;66768,26;118292,33;89364,87;108121,45;79755,77;85062,75;129283,75;95525,92;115558,44;101248,67;126375,41;103008,07;110982,00;93610,50;100375,32;141662,67;104821,53;148272,80;132644,30;126004,53;136718,15;121483,46;86356,80;101747,34;103505,67;79728,36;88947,49;76712,66;104543,60;96171,75;114756,24;63042,93;127341,88;133127,69;124580,83;73521,71;99073,40;132046,67;122556,41;139897,87;147991,94;67046,36;221850,09;212529,39;219204,89;138111,63;140133,90;219309,25;189078,05;76482,24;77542,21;13902,36;14303202,76
