"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130006 Amaturá";2;-;-;-;-;-;-;-;-;-;-;-;2
"130010 Anori";-;-;1;-;-;-;-;-;-;-;-;-;1
"130014 Apuí";-;2;-;1;2;-;-;-;-;-;-;-;5
"130030 Autazes";-;-;1;-;-;-;-;-;-;-;-;-;1
"130040 Barcelos";-;-;2;3;16;5;-;-;2;4;-;-;32
"130060 Benjamin Constant";1;-;-;-;-;-;-;-;-;-;-;2;3
"130070 Boca do Acre";75;66;27;6;-;-;-;-;2;-;1;1;178
"130080 Borba";8;16;19;8;14;20;8;27;28;24;9;16;197
"130090 Canutama";-;-;-;2;-;-;-;-;-;-;-;-;2
"130110 Careiro";26;60;29;13;4;3;1;-;-;-;2;4;142
"130115 Careiro da Várzea";-;1;1;1;-;-;-;-;-;-;1;-;4
"130120 Coari";35;284;250;137;58;23;22;18;8;8;25;47;915
"130130 Codajás";24;67;37;1;-;-;-;-;-;-;-;-;129
"130140 Eirunepé";-;-;1;-;-;-;-;-;-;-;-;-;1
"130150 Envira";2;-;-;-;-;-;-;-;-;-;-;2;4
"130165 Guajará";-;2;2;-;-;-;-;-;-;-;-;-;4
"130170 Humaitá";180;73;43;11;2;-;-;4;6;16;17;5;357
"130180 Ipixuna";2;-;-;-;-;-;-;-;-;-;-;-;2
"130185 Iranduba";-;-;4;4;1;-;-;-;-;-;-;-;9
"130190 Itacoatiara";7;29;25;21;1;6;-;-;-;1;1;5;96
"130210 Japurá";-;1;-;-;-;1;-;-;-;-;-;-;2
"130240 Lábrea";14;4;2;5;-;1;-;-;-;4;2;-;32
"130250 Manacapuru";141;136;29;4;2;3;-;-;1;-;5;3;324
"130255 Manaquiri";2;3;1;3;1;-;-;-;-;-;-;-;10
"130260 Manaus";2336;2754;2854;2223;1231;710;450;272;202;197;186;266;13681
"130270 Manicoré";2;6;9;8;-;3;2;-;8;4;-;-;42
"130290 Maués";-;5;25;32;15;7;2;-;-;-;2;-;88
"130310 Nova Olinda do Norte";1;2;2;-;-;-;-;-;-;-;-;-;5
"130320 Novo Airão";11;16;11;14;1;1;5;1;-;2;-;-;62
"130330 Novo Aripuanã";1;7;36;35;15;14;7;1;3;1;2;2;124
"130340 Parintins";4;11;2;4;2;-;1;1;2;-;-;-;27
"130353 Presidente Figueiredo";-;-;1;2;2;1;-;-;1;1;-;-;8
"130356 Rio Preto da Eva";1;1;-;-;-;2;1;-;-;-;-;-;5
"130360 Santa Isabel do Rio Negro";-;-;-;-;-;-;2;-;-;-;-;-;2
"130370 Santo Antônio do Içá";20;2;3;10;-;-;-;-;-;-;-;-;35
"130380 São Gabriel da Cachoeira";36;23;36;43;15;11;17;9;4;14;6;4;218
"130395 São Sebastião do Uatumã";-;-;1;-;-;-;-;-;-;-;-;-;1
"130406 Tabatinga";165;28;17;7;10;3;2;4;3;3;38;76;356
"130410 Tapauá";-;3;1;-;-;-;-;-;-;-;-;-;4
"130420 Tefé";19;37;85;47;71;126;58;18;4;11;11;13;500
"Total";3115;3639;3557;2645;1463;940;578;355;274;290;308;446;17610
