"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";16;12;1;-;1;-;-;1;-;1;27;20;79
"110037 Alto Alegre dos Parecis";26;5;3;-;1;-;-;1;-;3;2;6;47
"110040 Alto Paraíso";3;9;11;10;-;-;1;6;13;6;17;4;80
"110034 Alvorada D'Oeste";9;5;7;1;1;-;-;-;-;2;16;30;71
"110002 Ariquemes";99;53;42;12;3;-;3;2;-;-;1;9;224
"110045 Buritis";396;148;65;10;8;4;3;-;3;6;13;13;669
"110003 Cabixi";22;22;14;2;4;1;-;-;-;-;-;2;67
"110060 Cacaulândia";1;3;-;-;-;-;-;-;-;-;-;-;4
"110004 Cacoal";550;181;62;12;3;1;5;-;4;3;5;75;901
"110070 Campo Novo de Rondônia";13;6;4;2;2;-;-;-;-;-;-;2;29
"110080 Candeias do Jamari";69;37;10;2;8;2;3;1;-;1;1;12;146
"110005 Cerejeiras";48;15;11;12;3;4;-;1;3;-;2;18;117
"110092 Chupinguaia";13;3;7;5;-;1;1;1;-;-;-;-;31
"110006 Colorado do Oeste";54;30;35;45;22;20;9;12;10;24;84;182;527
"110007 Corumbiara";5;7;22;5;-;1;-;1;-;-;-;-;41
"110008 Costa Marques";82;224;33;5;4;-;-;-;-;1;-;12;361
"110094 Cujubim";56;12;11;4;-;-;-;-;3;-;-;6;92
"110009 Espigão D'Oeste";288;181;38;13;3;1;2;-;1;3;26;7;563
"110100 Governador Jorge Teixeira";36;9;7;3;1;-;1;-;-;4;1;7;69
"110010 Guajará-Mirim";535;201;79;61;30;32;9;21;2;31;59;121;1181
"110110 Itapuã do Oeste";72;46;25;16;13;22;10;1;1;-;1;10;217
"110011 Jaru";403;141;64;40;11;1;3;4;3;5;4;25;704
"110012 Ji-Paraná";237;53;92;118;14;-;-;2;1;-;-;56;573
"110013 Machadinho D'Oeste";122;189;116;15;7;7;3;6;7;7;39;69;587
"110120 Ministro Andreazza";20;19;5;-;-;-;-;-;-;-;-;2;46
"110130 Mirante da Serra";69;41;23;-;1;1;-;-;-;3;73;20;231
"110140 Monte Negro";78;40;10;4;4;3;9;6;1;1;34;42;232
"110014 Nova Brasilândia D'Oeste";268;215;115;31;19;13;10;1;1;9;9;54;745
"110033 Nova Mamoré";77;39;10;4;1;1;-;-;-;1;-;5;138
"110143 Nova União";19;5;4;3;3;1;-;2;-;2;6;23;68
"110050 Novo Horizonte do Oeste";156;73;27;7;2;3;4;3;3;8;57;107;450
"110015 Ouro Preto do Oeste";202;46;14;5;8;4;2;2;3;6;8;65;365
"110145 Parecis";7;2;2;-;-;-;-;-;-;-;-;-;11
"110018 Pimenta Bueno";553;438;269;153;30;5;1;1;-;2;-;28;1480
"110146 Pimenteiras do Oeste";1;-;-;-;-;-;-;-;-;-;-;3;4
"110020 Porto Velho";3564;1909;211;32;6;12;7;4;12;30;125;324;6236
"110025 Presidente Médici";42;27;8;2;-;-;-;-;-;-;2;18;99
"110147 Primavera de Rondônia";15;9;7;2;3;1;-;-;-;1;2;6;46
"110026 Rio Crespo";6;2;9;7;1;3;1;1;-;1;1;2;34
"110028 Rolim de Moura";808;301;48;-;3;-;-;1;1;2;54;114;1332
"110029 Santa Luzia D'Oeste";23;11;4;5;-;-;-;-;-;-;-;2;45
"110148 São Felipe D'Oeste";30;49;7;4;-;10;6;-;-;-;2;12;120
"110149 São Francisco do Guaporé";102;130;49;18;7;1;3;2;5;2;16;18;353
"110032 São Miguel do Guaporé";104;146;9;26;15;2;-;-;-;6;8;27;343
"110150 Seringueiras";55;29;5;1;-;-;-;-;-;-;-;-;90
"110155 Teixeirópolis";60;26;5;-;-;-;-;1;-;-;-;4;96
"110160 Theobroma";20;13;3;4;1;1;-;-;-;-;2;-;44
"110170 Urupá";218;12;-;-;1;-;-;-;-;1;4;50;286
"110175 Vale do Anari";16;8;2;-;-;-;-;-;-;-;-;3;29
"110180 Vale do Paraíso";3;2;-;1;-;-;-;-;-;1;-;1;8
"110030 Vilhena";263;279;273;151;115;36;1;1;-;1;4;37;1161
"Total";9934;5463;1878;853;359;194;97;85;77;174;705;1653;21472
