"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";1;3;1;-;1;1;6;4;3;-;6;5;31
"110037 Alto Alegre dos Parecis";4;4;-;-;-;-;-;-;-;-;-;7;15
"110040 Alto Paraíso";6;4;3;-;1;1;-;-;1;2;-;2;20
"110034 Alvorada D'Oeste";-;3;3;-;3;1;1;1;-;2;6;4;24
"110002 Ariquemes";12;20;7;8;3;1;1;1;4;2;1;6;66
"110045 Buritis";18;7;25;10;19;17;3;3;1;10;9;15;137
"110003 Cabixi";-;-;3;-;-;2;-;-;-;-;1;2;8
"110060 Cacaulândia";-;-;-;2;4;-;-;-;-;1;1;-;8
"110004 Cacoal";3;5;10;9;-;2;2;-;-;1;1;5;38
"110070 Campo Novo de Rondônia";5;2;-;1;-;-;-;3;4;28;157;18;218
"110080 Candeias do Jamari";-;1;2;-;-;2;1;-;-;1;1;2;10
"110005 Cerejeiras";1;2;-;-;2;1;-;2;1;1;1;-;11
"110092 Chupinguaia";1;3;2;2;1;2;2;-;2;-;3;1;19
"110006 Colorado do Oeste";7;5;5;2;2;1;1;-;-;2;-;4;29
"110007 Corumbiara";4;-;-;-;-;-;2;1;2;2;-;-;11
"110008 Costa Marques";44;40;17;12;-;-;-;-;-;-;-;4;117
"110094 Cujubim";-;-;-;-;-;-;-;1;-;-;-;-;1
"110009 Espigão D'Oeste";1;-;3;-;1;3;-;1;2;1;5;1;18
"110100 Governador Jorge Teixeira";-;2;-;-;-;-;-;-;-;-;-;-;2
"110010 Guajará-Mirim";1;1;3;-;12;2;-;1;1;2;-;-;23
"110110 Itapuã do Oeste";-;-;-;-;-;1;2;6;3;5;11;1;29
"110011 Jaru";5;-;14;7;17;1;3;-;1;-;-;-;48
"110012 Ji-Paraná";29;30;28;22;30;31;15;7;3;12;6;12;225
"110013 Machadinho D'Oeste";4;35;16;7;7;5;2;1;2;-;-;2;81
"110120 Ministro Andreazza";-;-;-;2;-;-;-;-;-;-;-;-;2
"110130 Mirante da Serra";5;4;-;-;-;-;-;-;-;-;-;-;9
"110140 Monte Negro";-;-;2;1;-;-;-;-;1;-;-;1;5
"110014 Nova Brasilândia D'Oeste";1;3;1;8;8;2;-;-;-;-;-;-;23
"110033 Nova Mamoré";-;-;3;-;-;-;-;-;-;-;-;-;3
"110143 Nova União";3;4;-;-;-;-;-;-;-;-;-;-;7
"110050 Novo Horizonte do Oeste";1;3;2;4;4;2;-;1;-;1;-;1;19
"110015 Ouro Preto do Oeste";5;4;9;4;6;6;2;2;-;4;1;4;47
"110145 Parecis";-;5;1;-;-;1;-;-;-;-;-;-;7
"110018 Pimenta Bueno";-;-;1;4;2;2;4;8;4;4;4;2;35
"110146 Pimenteiras do Oeste";-;-;-;-;-;-;-;-;-;-;2;-;2
"110020 Porto Velho";8;11;44;41;32;28;11;8;16;27;59;21;306
"110025 Presidente Médici";1;1;4;1;4;-;-;3;2;4;1;3;24
"110147 Primavera de Rondônia";-;-;-;-;-;-;1;2;-;1;-;1;5
"110026 Rio Crespo";1;1;-;-;-;-;-;-;-;-;-;-;2
"110028 Rolim de Moura";10;15;17;3;5;1;-;2;-;-;1;24;78
"110029 Santa Luzia D'Oeste";-;-;3;1;-;-;-;-;-;-;1;1;6
"110148 São Felipe D'Oeste";4;15;6;10;2;2;7;1;1;1;1;-;50
"110149 São Francisco do Guaporé";2;4;6;4;2;2;1;-;-;1;2;-;24
"110150 Seringueiras";6;12;5;-;-;-;-;1;1;1;-;-;26
"110160 Theobroma";2;-;-;1;1;-;2;-;1;1;1;-;9
"110170 Urupá";3;-;-;-;-;-;-;-;1;-;32;30;66
"110175 Vale do Anari";1;1;-;-;-;-;-;-;-;-;-;-;2
"110030 Vilhena";3;2;5;6;4;3;4;6;2;7;3;12;57
"Total";202;252;251;172;173;123;73;66;59;124;317;191;2003
