"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";5;2;-;1;1;1;-;-;1;2;1;1;15
"110037 Alto Alegre dos Parecis";2;6;2;-;-;-;-;-;-;-;2;-;12
"110040 Alto Paraíso";5;1;15;2;2;-;-;-;-;-;-;-;25
"110034 Alvorada D'Oeste";3;1;2;1;1;-;-;-;-;-;-;-;8
"110002 Ariquemes";15;4;8;1;12;8;4;5;2;1;-;1;61
"110045 Buritis";10;10;20;12;13;8;5;6;12;7;22;15;140
"110003 Cabixi";-;-;-;1;1;2;1;-;-;-;-;-;5
"110060 Cacaulândia";25;10;9;4;1;-;-;-;-;-;-;1;50
"110004 Cacoal";5;6;10;3;1;-;-;-;-;1;1;-;27
"110070 Campo Novo de Rondônia";5;-;4;6;1;-;-;1;-;1;-;2;20
"110080 Candeias do Jamari";8;2;1;1;-;-;1;-;-;-;-;1;14
"110090 Castanheiras";-;-;3;-;-;-;-;-;-;-;-;-;3
"110005 Cerejeiras";68;105;73;15;3;-;1;-;-;1;2;1;269
"110006 Colorado do Oeste";1;-;8;1;1;-;-;-;-;1;1;2;15
"110007 Corumbiara";2;1;1;-;-;-;-;-;-;1;-;-;5
"110094 Cujubim";23;8;5;4;3;2;2;1;-;3;1;4;56
"110009 Espigão D'Oeste";20;28;13;19;11;12;1;2;8;2;1;1;118
"110100 Governador Jorge Teixeira";1;-;2;-;-;-;-;-;-;-;-;3;6
"110010 Guajará-Mirim";16;12;24;10;1;6;3;-;-;2;8;16;98
"110110 Itapuã do Oeste";3;4;1;-;-;-;-;1;-;-;-;-;9
"110011 Jaru";39;61;27;5;-;1;-;1;1;-;2;4;141
"110012 Ji-Paraná";35;18;10;1;1;-;-;2;2;2;4;6;81
"110013 Machadinho D'Oeste";72;10;4;1;2;-;1;1;1;-;1;30;123
"110120 Ministro Andreazza";1;1;2;-;-;1;-;-;1;1;-;-;7
"110130 Mirante da Serra";-;-;-;2;2;-;-;-;-;-;3;-;7
"110140 Monte Negro";16;4;2;1;-;-;-;1;-;1;2;5;32
"110014 Nova Brasilândia D'Oeste";13;14;13;14;9;3;2;2;1;-;-;-;71
"110033 Nova Mamoré";-;-;1;-;-;-;-;-;-;-;1;1;3
"110143 Nova União";1;2;1;-;1;1;1;-;-;-;2;-;9
"110050 Novo Horizonte do Oeste";2;1;-;-;1;-;-;-;-;-;-;-;4
"110015 Ouro Preto do Oeste";10;10;7;-;6;3;5;2;1;-;8;4;56
"110145 Parecis";2;5;5;3;-;-;-;1;-;-;-;-;16
"110018 Pimenta Bueno";15;10;10;1;1;1;-;-;1;-;-;1;40
"110146 Pimenteiras do Oeste";-;1;3;-;-;-;-;-;-;-;-;1;5
"110020 Porto Velho";132;105;38;12;7;7;6;6;7;6;11;18;355
"110025 Presidente Médici";2;15;14;4;-;-;-;2;3;-;2;-;42
"110147 Primavera de Rondônia";1;-;-;-;-;-;-;-;-;-;-;-;1
"110026 Rio Crespo";-;2;-;-;-;-;-;-;-;-;-;-;2
"110028 Rolim de Moura";2;7;9;4;2;4;8;11;8;4;4;26;89
"110029 Santa Luzia D'Oeste";-;1;-;1;-;-;-;-;-;-;-;-;2
"110148 São Felipe D'Oeste";1;5;1;7;3;-;-;-;-;-;-;1;18
"110149 São Francisco do Guaporé";1;3;1;-;1;-;1;1;-;-;-;2;10
"110032 São Miguel do Guaporé";3;1;-;-;-;-;-;-;-;-;-;-;4
"110150 Seringueiras";2;1;1;-;-;-;-;-;-;-;-;3;7
"110155 Teixeirópolis";-;1;-;-;-;1;-;-;-;-;1;-;3
"110160 Theobroma";-;1;2;-;1;-;-;-;-;-;-;-;4
"110170 Urupá";4;5;-;1;-;1;-;2;-;-;-;-;13
"110175 Vale do Anari";6;7;2;1;1;-;-;-;-;-;4;1;22
"110180 Vale do Paraíso";7;15;12;7;-;1;1;-;-;1;-;-;44
"110030 Vilhena";1;3;4;2;1;2;1;1;2;-;1;3;21
"Total";585;509;370;148;91;65;44;49;51;37;85;154;2188
