"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";18;5;2;4;-;-;-;-;-;-;-;3;32
"110037 Alto Alegre dos Parecis";11;-;7;17;-;-;-;-;-;-;-;-;35
"110040 Alto Paraíso";-;-;1;13;-;-;1;-;-;-;-;1;16
"110034 Alvorada D'Oeste";13;11;8;-;-;-;-;-;-;-;-;12;44
"110002 Ariquemes";23;32;30;53;23;12;1;2;-;-;4;16;196
"110045 Buritis";-;4;1;8;-;-;-;-;1;-;2;5;21
"110003 Cabixi";8;2;12;5;-;-;-;-;-;-;1;2;30
"110004 Cacoal";368;221;86;23;6;4;-;-;-;-;-;50;758
"110070 Campo Novo de Rondônia";-;-;1;-;-;-;-;-;-;-;-;-;1
"110080 Candeias do Jamari";8;8;4;-;4;1;2;-;-;1;1;1;30
"110090 Castanheiras";-;-;3;2;-;-;-;-;-;-;-;-;5
"110005 Cerejeiras";10;37;59;50;11;4;1;-;-;-;-;2;174
"110092 Chupinguaia";7;-;2;8;4;1;-;-;-;-;-;-;22
"110006 Colorado do Oeste";12;1;2;3;1;-;-;-;1;1;3;8;32
"110007 Corumbiara";-;2;-;-;-;-;-;-;-;-;-;1;3
"110008 Costa Marques";5;-;1;3;-;-;-;-;-;-;-;2;11
"110009 Espigão D'Oeste";29;31;87;51;4;1;1;-;-;1;-;-;205
"110100 Governador Jorge Teixeira";-;1;2;4;1;-;-;-;-;-;-;-;8
"110010 Guajará-Mirim";14;43;247;354;87;13;3;4;1;-;24;79;869
"110110 Itapuã do Oeste";1;1;-;1;-;-;-;-;-;-;-;-;3
"110011 Jaru";10;5;31;13;-;-;-;1;-;-;2;-;62
"110012 Ji-Paraná";46;69;124;17;1;1;-;1;-;-;2;13;274
"110013 Machadinho D'Oeste";19;53;63;34;4;3;-;-;-;-;-;1;177
"110120 Ministro Andreazza";21;1;-;1;-;-;-;-;-;-;1;2;26
"110014 Nova Brasilândia D'Oeste";10;8;6;-;2;-;-;-;1;-;-;3;30
"110033 Nova Mamoré";11;-;2;3;-;-;-;-;-;1;3;5;25
"110015 Ouro Preto do Oeste";1;13;32;12;5;3;-;-;-;2;1;1;70
"110145 Parecis";4;-;8;4;-;-;-;-;-;-;-;-;16
"110018 Pimenta Bueno";69;3;3;4;1;-;-;-;-;-;1;43;124
"110146 Pimenteiras do Oeste";-;-;1;-;1;-;-;-;-;-;-;-;2
"110020 Porto Velho";442;276;142;81;38;5;6;2;2;1;8;90;1093
"110025 Presidente Médici";45;88;1;-;27;3;-;2;4;1;6;14;191
"110147 Primavera de Rondônia";25;9;1;-;-;1;1;-;-;-;1;-;38
"110026 Rio Crespo";1;-;-;-;-;-;-;-;-;-;-;1;2
"110028 Rolim de Moura";22;41;25;24;1;-;-;-;-;1;-;5;119
"110029 Santa Luzia D'Oeste";2;-;10;2;-;1;-;-;-;-;-;-;15
"110148 São Felipe D'Oeste";27;12;2;2;-;-;-;-;-;-;1;1;45
"110149 São Francisco do Guaporé";41;7;11;5;2;-;-;-;-;1;-;-;67
"110032 São Miguel do Guaporé";5;1;6;9;1;-;-;-;-;-;-;-;22
"110150 Seringueiras";1;1;32;21;-;-;-;-;-;-;-;-;55
"110155 Teixeirópolis";-;-;4;3;-;2;-;4;1;-;-;-;14
"110160 Theobroma";-;-;3;4;-;-;-;-;-;-;-;-;7
"110170 Urupá";8;3;33;26;-;-;-;-;-;-;-;-;70
"110175 Vale do Anari";1;-;9;4;-;-;-;-;-;-;-;-;14
"110180 Vale do Paraíso";7;5;13;6;1;-;1;-;-;-;-;-;33
"110030 Vilhena";103;80;93;76;26;16;5;3;8;24;65;71;570
"Total";1448;1074;1210;950;251;71;22;19;19;34;126;432;5656
