"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";-;-;1;-;-;-;-;-;-;-;-;-;1
"110037 Alto Alegre dos Parecis";1;2;7;9;-;2;-;2;1;4;-;-;28
"110040 Alto Paraíso";4;3;12;12;19;-;1;1;-;2;1;1;56
"110034 Alvorada D'Oeste";73;49;74;20;20;11;8;2;3;7;6;2;275
"110002 Ariquemes";5;7;6;3;3;-;-;1;1;3;-;2;31
"110045 Buritis";8;26;20;24;9;2;2;1;-;-;-;1;93
"110003 Cabixi";-;2;8;1;-;-;-;-;-;-;3;-;14
"110060 Cacaulândia";1;-;-;-;-;-;-;-;-;-;-;-;1
"110004 Cacoal";4;6;8;4;2;1;-;1;3;5;1;2;37
"110070 Campo Novo de Rondônia";7;24;13;15;1;-;-;-;-;-;1;-;61
"110080 Candeias do Jamari";1;1;1;-;1;1;-;-;1;-;-;-;6
"110005 Cerejeiras";42;33;22;26;2;1;1;2;4;1;5;24;163
"110092 Chupinguaia";-;1;2;2;-;-;1;1;-;5;-;-;12
"110006 Colorado do Oeste";65;9;24;18;2;-;-;-;2;1;-;8;129
"110007 Corumbiara";8;9;10;6;-;-;-;-;-;-;1;1;35
"110008 Costa Marques";27;61;32;15;7;-;-;1;2;-;-;1;146
"110094 Cujubim";-;-;-;-;1;-;-;1;1;2;1;-;6
"110009 Espigão D'Oeste";9;19;11;15;2;-;-;-;-;-;1;4;61
"110100 Governador Jorge Teixeira";-;3;-;-;-;-;-;-;1;-;-;-;4
"110010 Guajará-Mirim";102;83;120;79;52;14;-;5;5;3;-;10;473
"110110 Itapuã do Oeste";2;2;1;3;9;3;8;8;6;4;-;1;47
"110011 Jaru";2;3;11;7;3;-;1;-;5;2;-;-;34
"110012 Ji-Paraná";12;1;-;1;1;-;-;15;18;4;1;1;54
"110013 Machadinho D'Oeste";2;1;6;-;-;-;-;-;2;-;1;2;14
"110120 Ministro Andreazza";1;-;-;-;1;-;-;-;-;-;-;-;2
"110130 Mirante da Serra";5;5;4;-;-;-;-;-;-;1;-;-;15
"110140 Monte Negro";38;20;6;5;3;-;-;-;-;1;-;5;78
"110014 Nova Brasilândia D'Oeste";66;33;80;85;13;-;-;1;1;-;-;4;283
"110033 Nova Mamoré";1;1;-;2;-;5;2;1;1;-;-;-;13
"110143 Nova União";7;3;3;2;-;-;-;-;-;-;-;-;15
"110050 Novo Horizonte do Oeste";48;18;32;10;1;-;3;-;1;-;-;6;119
"110015 Ouro Preto do Oeste";-;-;1;3;2;1;1;2;1;-;-;-;11
"110018 Pimenta Bueno";-;2;-;1;1;1;-;3;2;2;-;-;12
"110146 Pimenteiras do Oeste";1;3;-;-;-;-;-;-;-;-;-;-;4
"110020 Porto Velho";30;24;29;11;5;1;3;6;6;7;-;3;125
"110025 Presidente Médici";11;5;8;18;1;-;-;1;1;3;-;1;49
"110147 Primavera de Rondônia";-;-;1;2;-;-;-;-;-;-;-;-;3
"110026 Rio Crespo";3;1;3;2;-;-;-;-;1;-;-;-;10
"110028 Rolim de Moura";-;3;1;2;-;-;-;-;-;-;-;-;6
"110029 Santa Luzia D'Oeste";-;1;14;1;1;-;-;-;2;-;-;-;19
"110148 São Felipe D'Oeste";6;6;2;1;1;-;-;-;-;1;-;3;20
"110149 São Francisco do Guaporé";22;8;7;3;-;-;1;-;-;1;5;-;47
"110032 São Miguel do Guaporé";4;4;4;6;3;1;-;-;1;5;-;-;28
"110150 Seringueiras";14;-;8;23;-;-;-;-;-;-;-;2;47
"110160 Theobroma";-;1;-;-;-;-;-;-;1;-;-;-;2
"110170 Urupá";40;53;56;11;-;-;-;-;-;-;-;-;160
"110175 Vale do Anari";1;1;3;-;-;-;-;-;-;-;-;-;5
"110180 Vale do Paraíso";-;-;-;-;-;-;-;-;2;-;-;-;2
"110030 Vilhena";25;23;20;8;5;-;-;4;2;8;3;3;101
"Total";698;560;671;456;171;44;32;59;77;72;30;87;2957
