 Morbidade Hospitalar do SUS - por local de residência - Roraima
Valor total por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2007/Jun";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"140045 Pacaraima";-;209,82;9320,86;1090,73;6896,06;9725,47;17972,30;12988,85;27536,21;20221,35;30805,67;34484,11;32121,03;30860,36;33939,69;36321,89;45557,17;33696,15;51900,44;39467,24;43675,32;47183,26;53668,24;32767,52;38333,69;42560,35;71001,15;83499,20;43702,45;55328,25;47943,51;58038,13;92687,81;55954,98;73164,67;72777,91;70053,88;71667,37;68741,41;49179,68;96938,87;67949,81;54451,20;63697,54;37795,07;29115,93;46998,37;45834,49;47122,22;41234,04;68295,84;60903,67;34620,27;105814,54;86053,48;46967,67;46578,52;53800,71;56745,66;48219,01;40854,23;36848,17;39623,42;44063,57;66339,81;54182,62;56986,62;30562,09;34072,66;67855,58;40322,88;42713,46;45207,72;52561,99;30887,71;33678,14;55027,84;51344,70;54222,70;47368,69;48022,04;64067,91;51171,54;47813,40;93329,26;64403,12;59965,46;56789,69;57759,20;37564,05;37188,45;65626,88;52639,53;63471,60;37262,45;29265,45;52614,85;61299,09;66552,57;33865,77;36595,40;53109,91;55592,25;71708,41;61488,44;63026,55;49893,54;91054,17;52565,70;66245,74;44693,20;58620,33;39802,92;55315,77;88445,12;50990,57;56571,49;88822,85;93559,78;100643,62;81782,31;90240,13;97360,00;96446,17;81160,84;71883,18;86743,98;104131,32;121920,49;77944,83;92286,68;83788,95;142240,05;122053,72;106016,52;88008,36;154947,46;126548,06;139686,99;88386,11;127690,06;126918,02;118642,13;118521,32;143815,38;140252,56;179860,11;141934,23;194945,54;122666,13;117411,80;96491,76;157963,65;55622,14;99331,19;89574,04;56185,66;92918,17;98839,87;64082,74;71073,35;93814,72;75731,20;34894,50;10743080,18
"140047 Rorainópolis";-;-;-;11501,99;6057,01;13035,91;20247,11;22398,97;25635,44;26487,68;27687,29;18842,11;19201,84;28505,40;30133,80;30550,65;31529,70;18285,76;35347,25;20614,55;37214,52;30878,94;34437,61;54732,21;34803,56;45746,86;50346,28;40505,70;48699,63;48952,63;45850,59;37184,11;62564,86;54684,99;87582,79;66515,11;70872,60;98246,14;110643,75;63541,75;59579,97;52960,53;28793,24;52619,32;38906,44;49377,90;89173,08;62565,67;57326,50;90410,58;37309,53;70943,59;49164,66;60793,82;98043,53;50507,39;49865,49;38862,13;81809,83;58226,25;47335,68;41852,63;45202,20;72890,21;54067,03;58292,99;59683,14;60879,29;53424,83;67392,57;54772,73;63705,00;44953,80;47423,69;59913,33;78200,07;99971,82;45460,73;45626,77;57574,81;57186,20;53870,25;50014,60;74900,23;38770,48;42131,70;46582,39;34044,39;43107,09;61195,46;67816,92;27579,51;59495,33;43368,38;59349,68;45407,90;71860,23;61471,74;86455,22;53460,12;71544,53;145546,45;60795,03;42747,22;76633,38;58981,78;59265,06;79630,48;55596,48;72904,30;77911,20;62456,52;78063,38;95935,99;82647,99;84669,69;96174,78;113889,26;104785,41;167462,18;110851,19;135196,31;150251,62;89269,96;77553,70;75306,77;113753,56;79586,92;154797,82;77784,27;132987,19;91179,34;107915,68;94100,09;154826,53;85815,60;66816,11;95039,72;110734,81;78326,45;87065,57;149147,34;97670,88;101350,86;146197,85;94810,28;133335,29;122785,25;134363,23;102818,60;115977,46;106879,20;142200,42;137742,72;102877,45;118892,32;160238,23;131722,70;131485,85;102559,84;134288,82;125271,55;103172,62;77333,71;11553920,47
"140050 São João da Baliza";-;47,27;-;334,31;6064,19;4476,36;10531,32;7783,00;3984,41;15283,09;9921,05;10029,02;9697,81;8242,72;15327,20;11531,94;16420,53;9596,37;13747,31;10645,19;19134,03;22168,66;22140,49;22795,41;24989,78;51761,01;23434,37;22251,18;18293,99;13200,47;46647,92;31514,40;32707,22;33443,79;28070,41;19735,61;33734,50;27038,36;31668,57;32974,15;22958,45;24597,78;17637,77;14107,95;13909,29;11231,06;16995,23;26150,56;21846,66;34135,11;24598,97;24551,46;31739,22;27658,43;30991,55;26610,92;32464,07;18896,74;25322,90;15586,49;17053,69;22188,48;19379,89;16748,99;14456,54;20168,27;20318,13;18710,35;20057,78;9448,06;20726,33;14699,24;16761,53;24038,20;14266,90;14468,79;36516,72;20804,71;13040,42;19560,78;20478,08;17352,65;23176,22;19446,80;16372,91;15886,60;35074,73;19738,94;30766,39;7530,03;14225,26;8989,69;13615,77;18036,85;21503,07;17394,02;14770,75;13881,69;131469,56;23456,20;69522,58;15658,49;21609,40;36455,93;13836,40;6628,84;18213,44;15062,22;41571,84;34910,05;9918,70;19489,37;11776,08;23087,88;24809,46;16401,26;25186,67;11141,89;15763,18;17973,35;20653,70;18171,57;20592,47;23160,11;17336,94;34950,81;15836,42;17485,12;14231,81;19526,07;35480,75;21019,97;19057,02;23073,70;25533,24;23381,75;24104,46;18324,82;10911,73;17168,04;19685,44;20540,54;34324,99;20414,88;23801,99;24500,65;21805,39;27437,49;11348,99;13454,84;20400,56;19487,90;11494,36;13486,68;17184,96;21861,01;25243,11;24712,06;26572,95;35603,93;57564,64;15235,45;30045,66;12960,58;3458124,61
"140060 São Luiz";-;-;-;-;2101,69;2377,58;5840,38;4784,29;10976,55;10334,90;11846,77;8465,11;24824,75;12636,79;6767,72;19238,52;10906,01;6552,17;7728,54;21183,03;14181,25;11981,50;8619,08;11260,08;16467,70;15273,00;8157,02;4696,25;8542,44;13985,35;8132,08;2867,52;18117,94;15332,44;31732,32;12346,61;16923,61;15514,09;21886,47;20511,73;16533,97;18803,06;16912,14;11292,66;14932,81;13417,14;21219,46;22765,63;19801,15;17039,53;30294,76;26972,53;16739,35;6303,34;18682,42;29638,01;32364,92;29364,75;38165,41;13054,39;17921,90;18402,91;16703,53;22908,51;13592,63;12482,49;16573,81;24425,16;16675,91;17520,37;51438,56;26825,65;24952,69;23620,33;27231,72;21342,00;19285,66;26336,46;23198,22;17244,28;19284,81;32274,11;27473,09;11494,19;17648,05;16459,12;16462,44;8777,35;6182,50;30149,49;20672,00;26606,16;16104,52;19559,77;6101,53;17847,64;23853,01;15205,64;9574,93;12794,58;12707,32;17987,65;9601,23;18344,42;16575,48;14705,30;24198,88;56647,15;32440,15;24196,42;13590,60;13398,74;20100,04;18742,81;15865,49;17495,49;21175,25;36368,78;33842,53;16469,19;27259,73;16791,77;22508,13;15071,72;9204,06;11785,49;18759,03;18589,46;15891,49;44959,02;11795,35;20513,16;15926,79;13068,15;21646,17;27770,62;20382,58;8387,32;11247,83;22152,79;26951,44;18188,37;106636,24;14863,10;31015,11;12447,35;14922,77;14102,97;14291,94;15331,83;20723,63;14602,18;11475,30;15684,84;10823,96;28417,23;27387,73;23646,11;7747,95;14761,68;41153,57;16881,03;16344,75;13095,88;2990258,97
"140070 Uiramutã";-;-;-;-;3170,93;5111,19;13891,33;13802,73;9299,08;6949,78;9968,63;9179,75;15507,86;16627,65;21197,94;9919,31;12752,80;6661,84;17139,05;15030,63;18072,14;22560,20;47873,08;22235,12;17799,50;21146,22;22644,10;25192,19;53196,12;18709,58;15984,56;35005,96;27999,76;28094,72;27238,89;28050,93;29208,02;26912,97;28639,56;67203,54;33641,44;31843,42;46160,47;35603,08;29518,76;33278,41;40799,86;38480,04;57261,85;28328,35;29522,21;85252,42;65946,40;33773,24;25770,07;22047,31;26542,89;44252,22;36829,34;41021,63;63743,68;38198,20;20639,44;13813,77;50103,67;26219,11;21643,62;30908,93;36264,63;80182,44;31148,10;73053,53;39453,34;29840,82;30789,18;46838,82;43504,63;45984,48;60345,77;26691,78;41862,72;39849,80;37950,64;42538,44;43334,84;74809,32;55834,31;59494,73;48954,00;41881,33;30693,97;24546,07;39372,83;18431,90;22966,53;46895,57;53804,77;30346,68;44570,30;25410,01;16134,74;39198,45;61429,36;29692,74;32306,74;31890,85;45542,49;59519,73;50897,94;35973,43;42169,92;36368,02;27994,63;51340,31;34969,25;28373,37;36976,23;46115,63;29253,22;55567,24;49850,88;43045,82;37629,59;33250,71;37922,94;40713,28;35662,99;31761,72;51582,69;37258,66;44857,08;36966,53;26621,36;58602,52;52370,70;50507,20;54214,50;86339,01;39499,59;81894,68;39627,06;30324,85;35727,62;25445,71;27610,10;65960,88;58937,67;67950,07;44424,67;45252,19;49363,22;83390,16;59915,17;24559,63;21661,81;24423,18;58825,22;30580,32;48919,98;34408,34;70612,89;75337,92;21718,13;25863,55;5981874,85
"Total";413,69;4867,89;13574,19;45010,48;369660,90;476140,51;836533,23;811801,61;909594,56;935473,56;1121560,25;1013664,56;1093985,25;1135767,97;1062649,21;1131237,20;1296374,87;1259036,63;1215534,54;1192756,45;1608291,58;1546545,78;1412876,08;1433892,42;1460140,10;1585587,96;1841730,94;1618611,37;1723176,50;1575832,58;1659761,14;1493168,06;1892700,99;1851148,99;2009022,93;1953716,59;1998979,68;2097849,34;2077380,82;1805509,32;1679116,77;1594164,69;1739698,93;1318856,44;1375288,56;1500739,02;1778011,04;2000145,50;1832943,31;1772389,97;1925330,89;1993584,66;1728728,65;1729283,93;1846431,72;1772300,66;1912883,94;1857017,92;2079359,79;1962025,44;1806576,20;1922583,86;1859167,82;1522071,47;1696971,68;1672301,74;1780968,43;1605430,59;1910502,81;1805501,52;1802214,52;2081013,44;2046624,42;1931749,60;2146646,04;1904723,25;1942772,28;1811684,80;1787187,60;1657516,48;2052597,12;2113325,05;2100423,24;1891507,00;2019172,64;2117984,16;2191049,09;2032287,66;2053182,17;2003739,13;2116644,90;1803785,20;2011733,35;2106773,90;2151103,65;2404346,92;2577265,75;2523814,91;2701040,25;2164183,07;2269865,12;2150671,89;2451148,36;2254395,08;2608940,22;2454396,58;2457134,74;2648533,99;2621735,21;2770554,41;2506455,55;2515089,39;2356624,44;2669546,91;2685489,45;2338308,15;2861665,08;2706318,56;3040854,69;3180179,47;2889476,86;3119789,46;2988939,51;2905119,04;2971687,90;2885676,03;3148905,64;2838578,93;3102953,85;3008942,03;3118436,58;3312577,69;3208567,59;3653804,89;3198215,43;3350444,67;2852061,39;2595690,25;2884059,24;2818472,37;3264512,65;3247172,38;3320078,63;2852114,82;3232822,83;3429871,88;3649792,52;3406043,33;3516159,48;3183605,00;3495588,06;3268156,25;3233702,03;2396870,80;3129773,30;3406919,16;3350596,30;3360279,63;3253761,06;3501268,81;3984221,99;3129750,07;3162868,52;1723238,69;355699505,09
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
