"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"510010 Acorizal";-;-;-;-;-;-;-;-;-;-;4;1;5
"510020 Água Boa";3;-;1;1;2;-;-;-;-;-;1;1;9
"510025 Alta Floresta";74;101;171;135;58;17;14;4;14;15;15;12;630
"510030 Alto Araguaia";-;1;-;-;-;-;-;1;-;-;1;-;3
"510035 Alto Boa Vista";-;1;1;1;-;-;-;-;-;-;-;-;3
"510050 Alto Paraguai";1;4;-;-;1;-;-;-;-;1;-;-;7
"510060 Alto Taquari";1;-;-;-;-;-;-;1;1;2;-;-;5
"510080 Apiacás";-;-;1;1;-;-;-;-;-;-;-;-;2
"510100 Araguaiana";1;-;-;-;-;1;-;-;-;-;-;-;2
"510125 Araputanga";11;5;7;9;2;2;5;-;1;-;1;-;43
"510130 Arenápolis";1;1;-;1;-;-;-;-;-;-;-;1;4
"510140 Aripuanã";5;9;6;10;9;7;2;-;2;2;6;2;60
"510170 Barra do Bugres";2;2;-;1;-;-;-;-;-;-;-;-;5
"510180 Barra do Garças";10;12;6;11;3;2;2;-;-;1;-;2;49
"510185 Bom Jesus do Araguaia";7;12;7;5;-;-;-;-;-;-;-;-;31
"510190 Brasnorte";4;3;-;3;-;1;1;2;-;-;1;1;16
"510250 Cáceres";12;16;14;13;4;3;-;5;3;2;1;6;79
"510260 Campinápolis";-;-;1;-;1;-;-;-;-;-;-;-;2
"510263 Campo Novo do Parecis";1;1;-;1;-;3;2;-;1;-;1;2;12
"510267 Campo Verde";5;4;11;9;5;2;1;-;3;1;2;1;44
"510268 Campos de Júlio";14;10;14;15;6;7;8;1;1;1;-;-;77
"510269 Canabrava do Norte";-;-;5;-;3;8;-;-;-;-;2;2;20
"510270 Canarana";2;2;-;1;-;1;-;-;-;-;-;1;7
"510279 Carlinda";1;1;6;12;4;1;-;1;1;5;1;1;34
"510285 Castanheira";-;1;10;12;-;1;-;-;-;1;-;-;25
"510300 Chapada dos Guimarães";-;1;2;2;1;1;-;-;-;-;-;-;7
"510305 Cláudia";4;3;-;5;2;1;-;-;-;-;1;-;16
"510310 Cocalinho";-;-;-;-;-;-;-;-;-;-;-;1;1
"510320 Colíder";8;14;22;3;8;1;2;-;3;1;7;-;69
"510325 Colniza";24;16;23;16;10;20;10;7;26;21;24;24;221
"510330 Comodoro";8;28;17;13;18;4;2;2;2;5;2;7;108
"510335 Confresa";9;23;11;1;2;-;-;-;-;-;-;-;46
"510336 Conquista D'Oeste";3;-;-;-;-;-;-;-;-;-;-;1;4
"510337 Cotriguaçu";-;-;2;4;8;2;-;-;-;1;2;-;19
