"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"510720 Rio Branco";10;3;2;3;-;-;-;-;-;-;4;-;22
"510757 Rondolândia";5;20;100;72;34;9;14;4;3;1;-;-;262
"510760 Rondonópolis";675;572;290;94;32;19;13;17;18;26;14;21;1791
"510770 Rosário Oeste";39;9;3;4;-;1;-;-;-;-;5;14;75
"510775 Salto do Céu";9;14;2;2;-;-;-;-;-;-;-;-;27
"510724 Santa Carmem";6;4;5;3;7;5;4;1;-;-;-;2;37
"510774 Santa Cruz do Xingu";1;-;-;-;-;-;-;-;-;-;1;-;2
"510776 Santa Rita do Trivelato";2;1;3;4;-;-;-;-;1;-;-;1;12
"510777 Santa Terezinha";2;1;-;-;-;-;-;-;-;-;-;-;3
"510726 Santo Afonso";5;9;10;12;7;4;-;-;1;-;1;-;49
"510779 Santo Antônio do Leste";45;16;20;30;10;8;4;5;-;-;-;2;140
"510780 Santo Antônio do Leverger";4;10;4;12;1;1;-;1;-;-;2;2;37
"510785 São Félix do Araguaia";4;1;-;5;3;1;-;-;1;-;-;1;16
"510729 São José do Povo";7;1;-;1;-;-;-;-;-;-;-;-;9
"510730 São José do Rio Claro";1;14;15;8;9;11;2;-;1;1;4;5;71
"510735 São José do Xingu";80;38;20;4;2;4;-;-;-;1;2;3;154
"510710 São José dos Quatro Marcos";41;63;37;6;1;-;-;-;-;-;2;2;152
"510740 São Pedro da Cipa";-;-;1;3;-;-;-;-;-;-;-;-;4
"510787 Sapezal";62;125;168;50;50;13;5;-;-;-;2;1;476
"510788 Serra Nova Dourada";10;5;2;11;7;1;1;-;-;-;-;5;42
"510790 Sinop";709;1048;1311;815;534;249;132;87;42;61;141;136;5265
"510792 Sorriso";61;151;301;213;132;40;19;17;7;6;5;14;966
"510794 Tabaporã";38;14;17;9;25;1;4;-;1;-;1;3;113
"510795 Tangará da Serra";390;293;212;114;47;21;11;1;3;1;1;5;1099
"510800 Tapurah";4;8;12;13;11;4;5;3;-;-;-;-;60
"510805 Terra Nova do Norte";11;10;19;9;22;5;1;-;-;1;1;1;80
"510810 Tesouro";5;3;3;-;2;-;-;-;-;-;-;1;14
"510820 Torixoréu";39;12;9;4;2;2;-;3;-;1;6;6;84
"510830 União do Sul";29;35;31;7;3;4;1;-;-;-;-;4;114
"510835 Vale de São Domingos";3;1;10;2;6;2;-;-;-;-;7;-;31
"510840 Várzea Grande";40;70;70;64;30;23;10;11;10;19;13;14;374
"510850 Vera";25;29;9;7;5;7;2;1;1;2;6;4;98
"510550 Vila Bela da Santíssima Trindade";61;54;5;-;1;-;-;-;1;-;5;4;131
"510860 Vila Rica";46;6;3;5;2;3;-;-;-;2;-;-;67
"Total";9057;7925;7037;4370;2302;948;592;381;361;451;774;861;35059
