"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"140005 Alto Alegre";-;-;-;-;1;3;-;5;-;1;-;-;10
"140002 Amajari";-;1;4;10;5;4;2;7;2;-;-;5;40
"140010 Boa Vista";20;15;21;24;17;49;84;106;66;18;5;13;438
"140015 Bonfim";3;-;-;1;1;1;4;6;10;2;4;5;37
"140017 Cantá";-;1;-;1;-;-;1;5;5;2;1;1;17
"140020 Caracaraí";-;-;1;1;35;64;21;9;-;-;-;-;131
"140023 Caroebe";-;-;-;-;-;-;-;2;1;-;1;-;4
"140028 Iracema";-;1;1;-;3;-;8;18;12;9;-;-;52
"140030 Mucajaí";-;-;2;-;-;2;6;16;16;3;1;2;48
"140040 Normandia";-;-;-;-;-;2;-;5;1;-;-;-;8
"140045 Pacaraima";1;1;1;-;-;-;-;-;3;-;-;-;6
"140047 Rorainópolis";71;29;42;73;26;19;19;3;-;2;1;-;285
"140050 São João da Baliza";-;-;-;-;-;-;9;5;4;2;1;1;22
"140070 Uiramutã";-;-;-;-;-;1;-;-;6;1;-;1;9
"Total";95;48;72;110;88;145;154;187;126;40;14;28;1107
